,Late_Scoring_Average_RANK THIS WEEK,Late_Scoring_Average_RANK LAST WEEK,Late_Scoring_Average_PLAYER NAME,Late_Scoring_Average_ROUNDS,Late_Scoring_Average_AVG,Late_Scoring_Average_TOTAL STROKES,Late_Scoring_Average_TOTAL LATE ROUNDS
63,64,64,Brandt Snedeker,84,70.45,2959,42
64,T65,T65,J.T. Poston,73,70.49,2608,37
65,T65,T65,Harold Varner III,91,70.49,2749,39
66,T67,T67,Martin Laird,73,70.5,2397,34
67,T67,T67,Adam Scott,78,70.5,2679,38
68,T69,T69,Matt Atkins,56,70.54,1834,26
69,T69,T69,Patton Kizzire,92,70.54,2610,37
70,T69,T69,Vaughn Taylor,83,70.54,2751,39
71,T72,T72,Anirban Lahiri,82,70.55,2822,40
72,T72,T72,Louis Oosthuizen,62,70.55,2328,33
73,T74,T74,Jamie Lovemark,92,70.57,2964,42
74,T74,T74,C.T. Pan,104,70.57,3458,49
75,T74,T74,Hudson Swafford,73,70.57,1976,28
76,T77,T77,Tom Lovelady,87,70.58,2823,40
77,T77,T77,Kevin Tway,110,70.58,3529,50
78,T79,T79,Matt Kuchar,88,70.6,3177,45
79,T79,T79,Rory Sabbatini,91,70.6,3036,43
80,T79,T79,Shawn Stefani,76,70.6,2471,35
81,T82,T82,Kevin Kisner,89,70.62,2966,42
82,T82,T82,Gary Woodland,96,70.62,3531,50
83,T84,T84,Fabián Gómez,88,70.63,2684,38
84,T84,T84,Russell Henley,77,70.63,2260,32
85,86,86,Troy Merritt,89,70.64,2755,39
86,87,87,Bronson Burgoon,69,70.66,2261,32
87,T88,T88,Paul Casey,74,70.67,2332,33
88,T88,T88,Whee Kim,93,70.67,3039,43
89,T90,T90,Harris English,84,70.68,2827,40
90,T90,T90,J.J. Henry,81,70.68,2403,34
91,92,92,Adam Hadwin,92,70.7,2616,37
92,T93,T93,Corey Conners,97,70.71,2899,41
93,T93,T93,Jim Furyk,50,70.71,1697,24
94,T93,T93,Stephan Jaeger,81,70.71,2475,35
95,96,96,Scott Stallings,96,70.73,3395,48
96,T97,T97,Trey Mullinax,75,70.74,2193,31
97,T97,T97,Patrick Rodgers,97,70.74,2759,39
98,99,99,Brice Garnett,99,70.76,3184,45
99,100,100,Pat Perez,82,70.77,2760,39
100,T101,T101,Tyrrell Hatton,58,70.78,1911,27
101,T101,T101,Ian Poulter,73,70.78,2265,32
102,T101,T101,Sam Saunders,80,70.78,2548,36
103,104,104,Shane Lowry,64,70.79,1982,28
104,T105,T105,Tyler Duncan,97,70.82,3116,44
105,T105,T105,Branden Grace,67,70.82,1983,28
106,T105,T105,Ben Martin,64,70.82,2337,33
107,108,108,Brendan Steele,74,70.84,2267,32
108,T109,T109,Zac Blair,64,70.85,1913,27
109,T109,T109,Si Woo Kim,108,70.85,3826,54
110,111,111,Wesley Bryan,69,70.86,1984,28
111,T112,T112,Luke List,98,70.87,3756,53
112,T112,T112,Alex Noren,67,70.87,2126,30
113,114,114,Danny Lee,88,70.88,2835,40
114,T115,T115,Lanto Griffin,80,70.89,2481,35
115,T115,T115,Bill Haas,76,70.89,2552,36
116,T117,T117,David Hearn,66,70.9,2127,30
117,T117,T117,Charley Hoffman,87,70.9,2978,42
118,T117,T117,Tyrone Van Aswegen,101,70.9,2765,39
119,120,120,Daniel Berger,81,70.91,2340,33
120,T121,T121,Brandon Harkins,101,70.93,2979,42
121,T121,T121,J.B. Holmes,77,70.93,2908,41
122,T121,T121,Richy Werenski,98,70.93,2979,42
123,124,124,Peter Uihlein,83,70.94,2554,36
124,T125,T125,Kiradech Aphibarnrat,51,70.95,1490,21
125,T125,T125,Jhonattan Vegas,92,70.95,2696,38
126,T127,T127,James Hahn,85,70.97,2626,37
127,T127,T127,Ryan Palmer,69,70.97,2484,35
128,T129,T129,John Huh,94,71.0,2911,41
129,T129,T129,Nate Lashley,51,71.0,1704,24
130,T129,T129,Scott Piercy,84,71.0,2769,39
131,T129,T129,"Ted Potter, Jr.",87,71.0,2840,40
132,T129,T129,Ollie Schniederjans,91,71.0,2769,39
133,T134,T134,Andrew Landry,82,71.03,2699,38
134,T134,T134,Nicholas Lindheim,77,71.03,2202,31
135,T134,T134,Ben Silverman,90,71.03,2699,38
136,137,137,Brian Stuard,103,71.04,3552,50
137,138,138,Grayson Murray,72,71.05,2771,39
138,T139,T139,Matt Jones,70,71.06,2203,31
139,T139,T139,David Lingmerth,82,71.06,2416,34
140,T139,T139,Nick Watney,94,71.06,2487,35
141,T142,T142,Peter Malnati,87,71.08,2559,36
142,T142,T142,Xinjun Zhang,81,71.08,2559,36
143,T144,T144,Hunter Mahan,67,71.1,2204,31
144,T144,T144,Rob Oppenheim,74,71.1,2133,30
145,T144,T144,Michael Thompson,62,71.1,2062,29
146,T147,T147,Martin Flores,92,71.12,2418,34
147,T147,T147,Graeme McDowell,67,71.12,1849,26
148,T149,T149,Kevin Chappell,77,71.13,2134,30
149,T149,T149,Steve Wheatcroft,60,71.13,2134,30
150,151,151,Denny McCarthy,71,71.14,2490,35
151,T152,T152,Aaron Baddeley,84,71.19,2563,36
152,T152,T152,Alex Cejka,77,71.19,1922,27
153,154,154,Scott Brown,102,71.21,3418,48
154,155,155,Tom Hoge,101,71.25,3135,44
155,156,156,Dominic Bozzelli,65,71.27,2138,30
156,157,157,Jonathan Randolph,71,71.28,2067,29
157,158,158,Mackenzie Hughes,80,71.29,2424,34
158,159,159,Sean O'Hair,67,71.32,2425,34
159,160,160,Martin Piller,79,71.33,2782,39
160,161,161,Ricky Barnes,65,71.34,2069,29
161,162,162,Chris Stroud,81,71.37,2498,35
162,163,163,Retief Goosen,60,71.4,1785,25
163,T164,T164,Derek Fathauer,84,71.44,2929,41
164,T164,T164,Talor Gooch,78,71.44,2572,36
165,T164,T164,Seamus Power,86,71.44,2572,36
166,T164,T164,Adam Schenk,86,71.44,2429,34
167,T168,T168,Roberto Díaz,72,71.47,2287,32
168,T168,T168,Cody Gribble,71,71.47,2430,34
169,170,170,Kelly Kraft,94,71.53,3076,43
170,171,171,Robert Garrigus,80,71.54,2647,37
171,T172,T172,Charl Schwartzel,65,71.63,1934,27
172,T172,T172,Nick Taylor,94,71.63,3080,43
173,174,174,Michael Kim,74,71.66,2723,38
174,T175,T175,Matt Every,79,71.67,2365,33
175,T175,T175,Sung Kang,89,71.67,3010,42
176,177,177,Chad Campbell,87,71.72,2582,36
177,178,178,Billy Hurley III,70,71.74,2224,31
178,179,179,Bud Cauley,55,71.8,1795,25
179,180,180,Cameron Tringale,67,71.84,2227,31
180,181,181,Lucas Glover,65,71.86,2012,28
181,182,182,Jason Dufner,71,71.94,2302,32
182,183,183,Jonas Blixt,67,72.0,1800,25
183,184,184,Robert Streb,78,72.03,2449,34
184,185,185,Kyle Thompson,50,72.1,1514,21
185,186,186,Ethan Tracy,72,72.22,2311,32
186,187,187,Satoshi Kodaira,51,72.33,1736,24
187,188,188,Rod Pampling,62,72.8,1820,25
188,189,189,Daniel Summerhays,51,72.81,1529,21
189,190,190,D.A. Points,63,73.03,2337,32
190,191,191,Zecheng Dou,53,73.08,1754,24
191,192,192,Andrew Yun,51,73.13,1682,23
192,193,193,Greg Chalmers,56,73.46,1910,26
