,Scoring_Average_Actual_RANK THIS WEEK,Scoring_Average_Actual_RANK LAST WEEK,Scoring_Average_Actual_PLAYER NAME,Scoring_Average_Actual_ROUNDS,Scoring_Average_Actual_AVG,Scoring_Average_Actual_TOTAL STROKES,Scoring_Average_Actual_TOTAL ROUNDS
41,T42,T42,Blayne Barber,69,70.13,4699,67
42,T42,T42,Marc Leishman,93,70.13,6312,90
43,44,44,Sam Ryder,82,70.15,5612,80
44,T45,T45,Keegan Bradley,98,70.16,6525,93
45,T45,T45,Brandt Snedeker,84,70.16,5753,82
46,47,47,Chez Reavie,93,70.19,6036,86
47,T48,T48,Beau Hossler,104,70.21,7302,104
48,T48,T48,Patrick Reed,94,70.21,6038,86
49,T48,T48,Gary Woodland,96,70.21,6389,91
50,T51,T51,Bronson Burgoon,69,70.22,4845,69
51,T51,T51,Rory Sabbatini,91,70.22,6250,89
52,53,53,Ryan Armour,109,70.23,7515,107
53,T54,T54,Byeong Hun An,86,70.26,5902,84
54,T54,T54,Abraham Ancer,98,70.26,6745,96
55,T54,T54,Stewart Cink,87,70.26,6113,87
56,T54,T54,Kyle Stanley,93,70.26,6183,88
57,T58,T58,Keith Mitchell,99,70.3,6819,97
58,T58,T58,Vaughn Taylor,83,70.3,5554,79
59,60,60,Luke List,98,70.31,6679,95
60,T61,T61,Alex Cejka,77,70.32,4852,69
61,T61,T61,John Huh,94,70.32,6329,90
62,63,63,Matt Kuchar,88,70.33,5626,80
63,T64,T64,Corey Conners,97,70.35,6543,93
64,T64,T64,Denny McCarthy,71,70.35,4432,63
65,T66,T66,Patton Kizzire,92,70.37,6263,89
66,T66,T66,Alex Noren,67,70.37,4222,60
67,T68,T68,Seamus Power,86,70.38,5490,78
68,T68,T68,Sam Saunders,80,70.38,5208,74
69,T70,T70,Brandon Harkins,101,70.4,6688,95
70,T70,T70,Kevin Kisner,89,70.4,5491,78
71,T70,T70,Martin Laird,73,70.4,4576,65
72,T73,T73,Tyrrell Hatton,58,70.41,3802,54
73,T73,T73,J.T. Poston,73,70.41,4999,71
74,T73,T73,Kevin Tway,110,70.41,7323,104
75,T76,T76,Russell Knox,94,70.42,6338,90
76,T76,T76,Xander Schauffele,96,70.42,6549,93
77,T76,T76,Cameron Smith,85,70.42,5493,78
78,T79,T79,Daniel Berger,81,70.43,5353,76
79,T79,T79,Scott Piercy,84,70.43,5634,80
80,T79,T79,Michael Thompson,62,70.43,4085,58
81,82,82,William McGirt,84,70.44,5494,78
82,83,83,Peter Uihlein,83,70.45,5495,78
83,T84,T84,Brian Harman,94,70.46,6341,90
84,T84,T84,Hunter Mahan,67,70.46,4439,63
85,T84,T84,Peter Malnati,87,70.46,5848,83
86,87,87,Jamie Lovemark,92,70.47,6201,88
87,T88,T88,James Hahn,85,70.48,5779,82
88,T88,T88,Louis Oosthuizen,62,70.48,3806,54
89,90,90,Zac Blair,64,70.5,4089,58
90,T91,T91,Troy Merritt,89,70.51,5993,85
91,T91,T91,Brett Stegmaier,67,70.51,4301,61
92,T91,T91,Nick Watney,94,70.51,6346,90
93,94,94,Scott Stallings,96,70.53,6348,90
94,T95,T95,Ryan Blaum,81,70.54,5502,78
95,T95,T95,Ryan Palmer,69,70.54,4444,63
96,97,97,Branden Grace,67,70.55,4515,64
97,T98,T98,Adam Hadwin,92,70.56,6280,89
98,T98,T98,Adam Scott,78,70.56,5504,78
99,100,100,Conrad Shindler,60,70.57,3952,56
100,T101,T101,Ben Crane,65,70.58,4164,59
101,T101,T101,Jim Furyk,50,70.58,3388,48
102,T101,T101,Fabián Gómez,88,70.58,5929,84
103,104,104,Russell Henley,77,70.59,5224,74
104,T105,T105,Nate Lashley,51,70.6,3318,47
105,T105,T105,Pat Perez,82,70.6,5295,75
106,T107,T107,Trey Mullinax,75,70.61,4872,69
107,T107,T107,Ian Poulter,73,70.61,4519,64
108,T107,T107,Ollie Schniederjans,91,70.61,6143,87
109,110,110,Tom Hoge,101,70.62,6568,93
110,111,111,David Hearn,66,70.63,4238,60
111,112,112,Charley Hoffman,87,70.64,5651,80
112,T113,T113,Lanto Griffin,80,70.65,5228,74
113,T113,T113,David Lingmerth,82,70.65,5511,78
114,T115,T115,Matt Jones,70,70.66,4381,62
115,T115,T115,Anirban Lahiri,82,70.66,5794,82
116,T115,T115,Danny Lee,88,70.66,6077,86
117,T115,T115,Shawn Stefani,76,70.66,5229,74
118,T119,T119,Nicholas Lindheim,77,70.67,4876,69
119,T119,T119,Patrick Rodgers,97,70.67,6572,93
120,T119,T119,Brian Stuard,103,70.67,6855,97
121,122,122,Jonathan Byrd,70,70.68,4382,62
122,123,123,Brice Garnett,99,70.69,6716,95
123,124,124,Andrew Landry,82,70.71,5657,80
124,125,125,Aaron Baddeley,84,70.74,5518,78
125,126,126,J.B. Holmes,77,70.75,5306,75
126,127,127,Tyler Duncan,97,70.77,6582,93
127,128,128,Richy Werenski,98,70.78,6512,92
128,129,129,Harris English,84,70.79,5522,78
129,130,130,Nick Taylor,94,70.81,6373,90
130,T131,T131,Dominic Bozzelli,65,70.82,4603,65
131,T131,T131,Harold Varner III,91,70.82,6303,89
132,T133,T133,Ricky Barnes,65,70.83,4179,59
133,T133,T133,Ben Martin,64,70.83,4533,64
134,T135,T135,Kevin Chappell,77,70.85,5243,74
135,T135,T135,Tom Lovelady,87,70.85,5739,81
136,T137,T137,Bill Haas,76,70.86,5244,74
137,T137,T137,Jimmy Walker,81,70.86,5456,77
138,T139,T139,Mackenzie Hughes,80,70.88,5387,76
139,T139,T139,Stephan Jaeger,81,70.88,5316,75
140,T139,T139,Steve Wheatcroft,60,70.88,4111,58
141,142,142,Ben Silverman,90,70.9,5956,84
142,143,143,Tyrone Van Aswegen,101,70.91,6595,93
143,T144,T144,Robert Garrigus,80,70.93,5391,76
144,T144,T144,"Ted Potter, Jr.",87,70.93,6171,87
145,T146,T146,J.J. Henry,81,70.95,5321,75
146,T146,T146,Shane Lowry,64,70.95,3973,56
147,T148,T148,Scott Brown,102,70.96,6954,98
148,T148,T148,Brendan Steele,74,70.96,4754,67
149,150,150,Whee Kim,93,70.99,6318,89
150,151,151,Talor Gooch,78,71.0,5112,72
151,152,152,Rob Oppenheim,74,71.03,4830,68
152,T153,T153,Adam Schenk,86,71.04,5683,80
153,T153,T153,Hudson Swafford,73,71.04,4760,67
154,T155,T155,Martin Flores,92,71.07,6112,86
155,T155,T155,Xinjun Zhang,81,71.07,5330,75
156,157,157,Si Woo Kim,108,71.1,7394,104
157,158,158,Graeme McDowell,67,71.12,4196,59
158,T159,T159,Kelly Kraft,94,71.16,6547,92
159,T159,T159,Chris Stroud,81,71.16,5195,73
160,161,161,Wesley Bryan,69,71.19,4770,67
161,162,162,Jhonattan Vegas,92,71.22,6339,89
162,T163,T163,Bud Cauley,55,71.23,3775,53
163,T163,T163,Lucas Glover,65,71.23,4345,61
164,165,165,Kiradech Aphibarnrat,51,71.24,3277,46
165,166,166,Sean O'Hair,67,71.27,4490,63
166,167,167,Roberto Díaz,72,71.28,4847,68
167,168,168,Chad Campbell,87,71.29,5632,79
168,169,169,Jason Dufner,71,71.31,4564,64
169,170,170,Billy Hurley III,70,71.33,4565,64
170,171,171,Ethan Tracy,72,71.43,4857,68
171,172,172,Matt Atkins,56,71.46,3716,52
172,173,173,Michael Kim,74,71.5,5005,70
173,174,174,Derek Fathauer,84,71.53,5722,80
174,175,175,Martin Piller,79,71.55,5509,77
175,176,176,Retief Goosen,60,71.56,3721,52
176,177,177,Jonathan Randolph,71,71.57,4652,65
177,178,178,Robert Streb,78,71.64,5301,74
178,T179,T179,Matt Every,79,71.72,5379,75
179,T179,T179,Charl Schwartzel,65,71.72,4160,58
180,181,181,Sung Kang,89,71.78,6101,85
181,182,182,Cody Gribble,71,71.8,4667,65
182,183,183,Cameron Tringale,67,71.83,4525,63
183,184,184,Jonas Blixt,67,71.85,4383,61
184,185,185,Grayson Murray,72,71.89,5176,72
185,186,186,Kyle Thompson,50,71.98,3311,46
186,187,187,Rod Pampling,62,72.14,4184,58
187,188,188,Satoshi Kodaira,51,72.23,3467,48
188,189,189,D.A. Points,63,72.36,4414,61
189,190,190,Zecheng Dou,53,72.37,3546,49
190,191,191,Greg Chalmers,56,72.44,3767,52
191,192,192,Daniel Summerhays,51,72.47,3261,45
192,193,193,Andrew Yun,51,72.98,3284,45
