,Birdie_or_Better_Percentage_-_Left_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Left_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Left_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Left_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Left_Rough_%,Birdie_or_Better_Percentage_-_Left_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Left_Rough_TOTAL HOLES
51,52,52,Aaron Baddeley,84,16.77,27,161
52,53,53,Tony Finau,105,16.67,27,162
53,54,54,Charles Howell III,104,16.53,20,121
54,55,55,Alex Cejka,77,16.52,19,115
55,56,56,Rafa Cabrera Bello,75,16.42,11,67
56,57,57,Tommy Fleetwood,73,16.3,15,92
57,58,58,Chris Kirk,108,16.27,27,166
58,59,59,Pat Perez,82,16.05,13,81
59,60,60,Patrick Reed,94,16.03,21,131
60,61,61,Shawn Stefani,76,15.93,18,113
61,62,62,Seamus Power,86,15.89,24,151
62,T63,T63,Daniel Berger,81,15.79,12,76
63,T63,T63,Stewart Cink,87,15.79,18,114
64,65,65,Jamie Lovemark,92,15.69,24,153
65,T66,T66,Jon Rahm,71,15.58,12,77
66,T66,T66,Charl Schwartzel,65,15.58,12,77
67,68,68,Derek Fathauer,84,15.57,19,122
68,69,69,Patrick Cantlay,87,15.53,16,103
69,70,70,Cody Gribble,71,15.45,17,110
70,71,71,Patton Kizzire,92,15.43,25,162
71,72,72,Robert Streb,78,15.38,24,156
72,73,73,Greg Chalmers,56,15.28,11,72
73,74,74,Lanto Griffin,80,15.27,20,131
74,75,75,Mackenzie Hughes,80,15.18,17,112
75,76,76,Rob Oppenheim,74,15.09,16,106
76,77,77,Tiger Woods,68,15.05,14,93
77,T78,T78,J.J. Spaun,85,15.0,15,100
78,T78,T78,Kevin Streelman,94,15.0,12,80
79,80,80,Ryan Armour,109,14.95,16,107
80,T81,T81,Jason Dufner,71,14.77,13,88
81,T81,T81,Retief Goosen,60,14.77,13,88
82,83,83,Troy Merritt,89,14.75,18,122
83,T84,T84,Francesco Molinari,73,14.71,10,68
84,T84,T84,Kyle Stanley,93,14.71,10,68
85,86,86,Blayne Barber,69,14.66,17,116
86,T87,T87,Denny McCarthy,71,14.63,12,82
87,T87,T87,Adam Schenk,86,14.63,18,123
88,89,89,Chad Campbell,87,14.55,16,110
89,90,90,John Huh,94,14.52,18,124
90,91,91,Si Woo Kim,108,14.5,19,131
91,92,92,Ryan Blaum,81,14.47,22,152
92,93,93,Richy Werenski,98,14.4,18,125
93,T94,T94,"Ted Potter, Jr.",87,14.39,19,132
94,T94,T94,Ben Silverman,90,14.39,19,132
95,T96,T96,Martin Laird,73,14.29,10,70
96,T96,T96,Sean O'Hair,67,14.29,15,105
97,T96,T96,Brian Stuard,103,14.29,16,112
98,T96,T96,Kyle Thompson,50,14.29,8,56
99,100,100,Kevin Tway,110,14.14,27,191
100,101,101,Russell Knox,94,14.12,12,85
101,102,102,Luke List,98,14.04,24,171
102,103,103,Kiradech Aphibarnrat,51,14.0,7,50
103,104,104,Fabián Gómez,88,13.97,19,136
104,105,105,Matt Jones,70,13.95,12,86
105,106,106,Nate Lashley,51,13.89,10,72
106,107,107,Lucas Glover,65,13.85,9,65
107,108,108,Nick Taylor,94,13.82,17,123
108,109,109,J.J. Henry,81,13.73,14,102
109,110,110,Webb Simpson,95,13.7,20,146
110,111,111,Ben Crane,65,13.64,9,66
111,112,112,Rickie Fowler,74,13.58,11,81
112,113,113,C.T. Pan,104,13.56,16,118
113,T114,T114,Zecheng Dou,53,13.48,12,89
114,T114,T114,D.A. Points,63,13.48,12,89
115,116,116,Vaughn Taylor,83,13.46,14,104
116,117,117,Harris English,84,13.43,18,134
117,118,118,Brandon Harkins,101,13.37,23,172
118,119,119,Steve Wheatcroft,60,13.33,8,60
119,120,120,Grayson Murray,72,13.27,15,113
120,121,121,Andrew Yun,51,13.16,10,76
121,122,122,Beau Hossler,104,13.1,19,145
122,123,123,Brice Garnett,99,13.08,17,130
123,124,124,Tyrone Van Aswegen,101,13.07,20,153
124,T125,T125,Jim Furyk,50,13.04,9,69
125,T125,T125,Scott Stallings,96,13.04,18,138
126,127,127,Roberto Díaz,72,13.0,13,100
127,128,128,Zach Johnson,94,12.8,16,125
128,129,129,Ollie Schniederjans,91,12.78,23,180
129,130,130,Chesson Hadley,103,12.75,19,149
130,T131,T131,Corey Conners,97,12.5,14,112
131,T131,T131,David Hearn,66,12.5,10,80
132,T131,T131,Jonathan Randolph,71,12.5,14,112
133,T131,T131,Adam Scott,78,12.5,10,80
134,T131,T131,Ethan Tracy,72,12.5,12,96
135,136,136,Stephan Jaeger,81,12.4,16,129
136,T137,T137,Tyler Duncan,97,12.39,14,113
137,T137,T137,Brian Harman,94,12.39,14,113
138,139,139,Ryan Palmer,69,12.38,13,105
139,140,140,Chez Reavie,93,12.33,9,73
140,141,141,Keegan Bradley,98,12.28,14,114
141,142,142,Matt Every,79,12.24,18,147
142,143,143,Whee Kim,93,12.21,16,131
143,T144,T144,Byeong Hun An,86,12.2,15,123
144,T144,T144,Johnson Wagner,75,12.2,10,82
145,146,146,Harold Varner III,91,12.16,18,148
146,147,147,Brett Stegmaier,67,12.15,13,107
147,T148,T148,Tyrrell Hatton,58,12.07,7,58
148,T148,T148,Aaron Wise,90,12.07,14,116
149,150,150,Conrad Shindler,60,11.94,8,67
150,151,151,Jimmy Walker,81,11.9,15,126
151,152,152,Xander Schauffele,96,11.88,12,101
152,153,153,Ian Poulter,73,11.86,7,59
153,154,154,Peter Malnati,87,11.81,15,127
154,155,155,Billy Hurley III,70,11.69,18,154
155,156,156,Nicholas Lindheim,77,11.65,12,103
156,157,157,Jason Day,75,11.63,10,86
157,158,158,Wesley Bryan,69,11.57,14,121
158,159,159,Kelly Kraft,94,11.45,15,131
159,160,160,Bronson Burgoon,69,11.39,9,79
160,161,161,Talor Gooch,78,11.38,14,123
161,162,162,Brian Gay,103,11.3,13,115
162,163,163,Michael Kim,74,11.25,9,80
163,164,164,Hideki Matsuyama,75,11.22,11,98
164,165,165,Sung Kang,89,11.21,13,116
165,166,166,J.T. Poston,73,11.01,12,109
166,T167,T167,Martin Flores,92,10.94,14,128
167,T167,T167,Ryan Moore,78,10.94,7,64
168,T167,T167,Alex Noren,67,10.94,7,64
169,170,170,Andrew Landry,82,10.87,10,92
170,171,171,Louis Oosthuizen,62,10.77,7,65
171,172,172,Cameron Tringale,67,10.74,13,121
172,173,173,Chris Stroud,81,10.64,10,94
173,174,174,Kevin Na,91,10.57,13,123
174,175,175,Russell Henley,77,10.53,8,76
175,176,176,James Hahn,85,10.42,10,96
176,177,177,Scott Brown,102,10.32,16,155
177,178,178,Kevin Kisner,89,10.19,11,108
178,179,179,Anirban Lahiri,82,10.0,12,120
179,180,180,Adam Hadwin,92,9.88,8,81
180,181,181,Patrick Rodgers,97,9.77,13,133
181,182,182,Zac Blair,64,9.46,7,74
182,183,183,Martin Piller,79,9.42,13,138
183,184,184,Tom Hoge,101,9.23,12,130
184,185,185,Brendan Steele,74,8.82,9,102
185,186,186,Satoshi Kodaira,51,8.62,5,58
186,187,187,Branden Grace,67,8.57,6,70
187,188,188,Ben Martin,64,8.43,7,83
188,T189,T189,Daniel Summerhays,51,7.87,7,89
189,T189,T189,Michael Thompson,62,7.87,7,89
190,191,191,Scott Piercy,84,7.61,7,92
191,192,192,Shane Lowry,64,6.52,6,92
192,193,193,Marc Leishman,93,6.09,7,115
