,Tenth_Tee_Early_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Early_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Early_Scoring_Average_PLAYER NAME,Tenth_Tee_Early_Scoring_Average_ROUNDS,Tenth_Tee_Early_Scoring_Average_AVG,Tenth_Tee_Early_Scoring_Average_TOTAL STROKES,Tenth_Tee_Early_Scoring_Average_TOTAL 10TH TEE EARLY RDS.
94,T94,T94,Phil Mickelson,90,70.36,1548,22
95,T96,T96,Aaron Baddeley,84,70.4,704,10
96,T96,T96,Jamie Lovemark,92,70.4,1056,15
97,T98,T98,Nate Lashley,51,70.43,493,7
98,T98,T98,Keith Mitchell,99,70.43,1479,21
99,100,100,Nick Watney,94,70.45,775,11
100,T101,T101,Mackenzie Hughes,80,70.46,916,13
101,T101,T101,Scott Stallings,96,70.46,1691,24
102,T101,T101,Tyrone Van Aswegen,101,70.46,1691,24
103,T104,T104,Adam Hadwin,92,70.5,1269,18
104,T104,T104,Charley Hoffman,87,70.5,1128,16
105,T106,T106,Ben Crane,65,70.53,1199,17
106,T106,T106,Luke List,98,70.53,1058,15
107,108,108,Harold Varner III,91,70.54,1693,24
108,109,109,Zecheng Dou,53,70.55,776,11
109,110,110,"Ted Potter, Jr.",87,70.57,988,14
110,111,111,Bronson Burgoon,69,70.61,1624,23
111,112,112,J.T. Poston,73,70.62,918,13
112,T113,T113,Nicholas Lindheim,77,70.63,1130,16
113,T113,T113,Steve Wheatcroft,60,70.63,1130,16
114,T115,T115,Joel Dahmen,93,70.64,989,14
115,T115,T115,J.B. Holmes,77,70.64,989,14
116,T115,T115,Ethan Tracy,72,70.64,989,14
117,T118,T118,Blayne Barber,69,70.67,1060,15
118,T118,T118,Alex Cejka,77,70.67,1060,15
119,T118,T118,David Hearn,66,70.67,1060,15
120,T118,T118,Whee Kim,93,70.67,1272,18
121,122,122,Kevin Streelman,94,70.69,1131,16
122,123,123,Lanto Griffin,80,70.73,1061,15
123,124,124,Russell Knox,94,70.74,1344,19
124,125,125,Chris Kirk,108,70.79,1345,19
125,126,126,Ben Martin,64,70.8,1062,15
126,T127,T127,J.J. Spaun,85,70.83,850,12
127,T127,T127,Richy Werenski,98,70.83,1629,23
128,129,129,Billy Hurley III,70,70.88,1134,16
129,130,130,Sam Ryder,82,70.89,1347,19
130,T131,T131,Rory McIlroy,64,70.92,922,13
131,T131,T131,Adam Schenk,86,70.92,1773,25
132,133,133,Stephan Jaeger,81,70.94,1277,18
133,134,134,Robert Garrigus,80,70.95,1419,20
134,135,135,Scott Brown,102,70.96,1632,23
135,T136,T136,Ryan Armour,109,71.0,994,14
136,T136,T136,Danny Lee,88,71.0,1491,21
137,T136,T136,Peter Malnati,87,71.0,710,10
138,T136,T136,Cameron Tringale,67,71.0,994,14
139,T140,T140,Tyler Duncan,97,71.07,995,14
140,T140,T140,Russell Henley,77,71.07,1066,15
141,142,142,Jhonattan Vegas,92,71.1,1422,20
142,143,143,Ben Silverman,90,71.11,1920,27
143,144,144,Jonathan Byrd,70,71.13,1636,23
144,145,145,Jimmy Walker,81,71.14,996,14
145,T146,T146,Jason Dufner,71,71.15,925,13
146,T146,T146,Patrick Reed,94,71.15,1423,20
147,148,148,Jonathan Randolph,71,71.18,783,11
148,149,149,Roberto Díaz,72,71.19,1139,16
149,150,150,Lucas Glover,65,71.21,997,14
150,151,151,Greg Chalmers,56,71.22,641,9
151,T152,T152,Matt Every,79,71.23,926,13
152,T152,T152,Andrew Putnam,97,71.23,926,13
153,154,154,Xinjun Zhang,81,71.24,1781,25
154,155,155,Michael Kim,74,71.29,998,14
155,T156,T156,Rob Oppenheim,74,71.31,1141,16
156,T156,T156,Conrad Shindler,60,71.31,927,13
157,158,158,Wesley Bryan,69,71.33,856,12
158,159,159,Adam Scott,78,71.38,1142,16
159,160,160,Tom Lovelady,87,71.44,1286,18
160,161,161,Emiliano Grillo,94,71.46,929,13
161,T162,T162,Fabián Gómez,88,71.5,858,12
162,T162,T162,Retief Goosen,60,71.5,1287,18
163,164,164,Patrick Rodgers,97,71.56,1145,16
164,165,165,Matt Atkins,56,71.59,1217,17
165,166,166,Derek Fathauer,84,71.6,1790,25
166,T167,T167,Talor Gooch,78,71.63,1361,19
167,T167,T167,Brett Stegmaier,67,71.63,1146,16
168,T167,T167,Aaron Wise,90,71.63,1146,16
169,T170,T170,Ryan Blaum,81,71.71,1004,14
170,T170,T170,Robert Streb,78,71.71,1004,14
171,172,172,Chad Campbell,87,71.72,1291,18
172,173,173,Trey Mullinax,75,71.75,574,8
173,174,174,Si Woo Kim,108,71.89,1366,19
174,175,175,Bud Cauley,55,71.92,935,13
175,176,176,Graeme McDowell,67,71.94,1151,16
176,177,177,Abraham Ancer,98,72.0,1584,22
177,178,178,Cody Gribble,71,72.06,1225,17
178,179,179,Bill Haas,76,72.08,937,13
179,180,180,Hudson Swafford,73,72.18,794,11
180,181,181,Jonas Blixt,67,72.25,867,12
181,182,182,Chris Stroud,81,72.27,795,11
182,183,183,Martin Piller,79,72.28,1301,18
183,184,184,Sung Kang,89,72.4,1086,15
184,185,185,Satoshi Kodaira,51,72.43,507,7
185,186,186,Sean O'Hair,67,72.44,652,9
186,187,187,Rod Pampling,62,72.67,872,12
187,188,188,Shawn Stefani,76,72.83,874,12
188,189,189,Kyle Thompson,50,72.85,947,13
189,190,190,Daniel Summerhays,51,73.13,1097,15
190,191,191,Andrew Yun,51,73.4,734,10
191,192,192,Grayson Murray,72,73.44,661,9
192,193,193,Charl Schwartzel,65,73.86,517,7
