,Greens_in_Regulation_Percentage_RANK THIS WEEK,Greens_in_Regulation_Percentage_RANK LAST WEEK,Greens_in_Regulation_Percentage_PLAYER NAME,Greens_in_Regulation_Percentage_ROUNDS,Greens_in_Regulation_Percentage_%,Greens_in_Regulation_Percentage_GREENS HIT,Greens_in_Regulation_Percentage_# HOLES,Greens_in_Regulation_Percentage_RELATIVE/PAR
104,T104,T104,Patrick Sheehan,124,64.8,1353,2088,-0.24
105,106,106,Davis Love III,78,64.74,909,1404,-0.24
106,107,107,Will MacKenzie,62,64.7,722,1116,-0.23
107,108,108,Doug LaBelle II,65,64.66,675,1044,-0.22
108,T109,T109,Steve Flesch,95,64.62,1105,1710,-0.24
109,T109,T109,Mike Weir,88,64.62,1012,1566,-0.26
110,111,111,Camilo Villegas,79,64.6,907,1404,-0.29
111,112,112,Brett Quigley,80,64.53,906,1404,-0.25
112,113,113,Sean O'Hair,81,64.47,940,1458,-0.23
113,T114,T114,Mark Calcavecchia,67,64.39,765,1188,-0.22
114,T114,T114,Lee Janzen,89,64.39,962,1494,-0.23
115,116,116,Nick O'Hern,82,64.38,927,1440,-0.25
116,117,117,Glen Day,64,64.37,672,1044,-0.23
117,118,118,Jeff Overton,103,64.14,1143,1782,-0.26
118,119,119,Joe Ogilvie,100,64.12,1108,1728,-0.27
119,120,120,Tom Pernice Jr.,104,64.1,1200,1872,-0.26
120,121,121,Mark Hensby,71,64.08,819,1278,-0.26
121,122,122,Shane Bertsch,96,64.06,1107,1728,-0.26
122,123,123,Nick Flanagan,89,63.99,979,1530,-0.23
123,124,124,Frank Lickliter II,107,63.97,1232,1926,-0.27
124,125,125,Tag Ridings,88,63.95,1013,1584,-0.26
125,126,126,Matt Kuchar,88,63.89,943,1476,-0.23
126,127,127,Steve Stricker,75,63.81,827,1296,-0.25
127,128,128,Adam Scott,51,63.72,562,882,-0.25
128,T129,T129,Brian Gay,102,63.71,1078,1692,-0.28
129,T129,T129,Dustin Johnson,92,63.71,1055,1656,-0.27
130,T131,T131,Tim Clark,90,63.61,1019,1602,-0.26
131,T131,T131,Rod Pampling,83,63.61,916,1440,-0.25
132,133,133,Kevin Na,97,63.57,1110,1746,-0.27
133,134,134,Carl Pettersson,110,63.54,1258,1980,-0.26
134,135,135,Billy Andrade,71,63.52,766,1206,-0.19
135,136,136,John Rollins,94,63.48,1074,1692,-0.23
136,T137,T137,Ben Curtis,80,63.45,868,1368,-0.24
137,T137,T137,Marc Turnesa,87,63.45,948,1494,-0.27
138,139,139,Bob Sowards,61,63.43,628,990,-0.23
139,T140,T140,Jerry Kelly,89,63.36,958,1512,-0.22
140,T140,T140,Brandt Snedeker,85,63.36,958,1512,-0.25
141,142,142,Chris DiMarco,87,63.35,992,1566,-0.23
142,143,143,Michael Letzig,88,63.29,957,1512,-0.28
143,144,144,Tim Petrovic,97,63.17,1012,1602,-0.25
144,145,145,Nicholas Thompson,113,63.14,1216,1926,-0.25
145,146,146,Alex Cejka,75,63.12,784,1242,-0.22
146,147,147,Jimmy Walker,73,63.08,738,1170,-0.25
147,148,148,Trevor Immelman,70,63.07,772,1224,-0.21
148,149,149,Jonathan Byrd,88,63.01,964,1530,-0.26
149,150,150,Todd Hamilton,92,62.98,1043,1656,-0.23
150,151,151,Paul Goydos,78,62.96,884,1404,-0.22
151,152,152,J.B. Holmes,86,62.94,963,1530,-0.26
152,153,153,Jin Park,85,62.84,871,1386,-0.22
153,154,154,Mathias Grönberg,87,62.78,938,1494,-0.25
154,155,155,Jason Allred,63,62.67,643,1026,-0.23
155,156,156,Ángel Cabrera,55,62.64,575,918,-0.24
156,157,157,Rocco Mediate,87,62.58,980,1566,-0.23
157,158,158,Craig Kanada,65,62.52,664,1062,-0.26
158,159,159,Parker McLachlin,88,62.5,945,1512,-0.27
159,160,160,Kyle Thompson,70,62.41,719,1152,-0.21
160,T161,T161,Alejandro Cañizares,52,62.37,494,792,-0.26
161,T161,T161,David Lutterus,59,62.37,595,954,-0.19
162,163,163,Tim Herron,97,62.25,1042,1674,-0.25
163,164,164,Matt Jones,95,62.15,1018,1638,-0.26
164,165,165,Tom Lehman,51,62.13,548,882,-0.2
165,T166,T166,Aaron Baddeley,76,62.02,815,1314,-0.29
166,T166,T166,Stephen Leaney,53,62.02,547,882,-0.19
167,168,168,Stuart Appleby,87,61.9,936,1512,-0.26
168,T169,T169,Geoff Ogilvy,65,61.89,713,1152,-0.24
169,T169,T169,Chris Riley,51,61.89,479,774,-0.24
170,171,171,Freddie Jacobson,78,61.82,868,1404,-0.26
171,172,172,Jeff Quinney,87,61.81,968,1566,-0.27
172,173,173,Ryan Moore,72,61.73,800,1296,-0.27
173,174,174,Johnson Wagner,83,61.6,887,1440,-0.24
174,175,175,Brett Rumford,72,61.52,753,1224,-0.25
175,176,176,Ryuji Imada,80,61.39,884,1440,-0.27
176,177,177,Travis Perkins,53,61.35,519,846,-0.19
177,178,178,Ernie Els,51,61.33,552,900,-0.23
178,179,179,Cody Freeman,66,61.29,684,1116,-0.23
179,180,180,Eric Axley,113,61.16,1200,1962,-0.27
180,181,181,J.P. Hayes,67,61.03,736,1206,-0.21
181,182,182,Marco Dawson,64,60.91,614,1008,-0.26
182,183,183,Chad Collins,72,60.86,723,1188,-0.27
183,184,184,Jesper Parnevik,88,60.85,920,1512,-0.26
184,185,185,John Mallinger,95,60.82,1040,1710,-0.27
185,186,186,Padraig Harrington,52,60.67,546,900,-0.29
186,187,187,Shigeki Maruyama,50,60.0,486,810,-0.2
187,188,188,Nathan Green,95,59.82,1023,1710,-0.29
188,189,189,Daniel Chopra,84,59.77,893,1494,-0.31
189,190,190,Ian Poulter,51,59.75,527,882,-0.23
190,191,191,Greg Kraft,63,59.49,589,990,-0.24
191,192,192,Retief Goosen,59,59.39,620,1044,-0.24
192,193,193,Steve Lowery,74,59.38,791,1332,-0.25
193,194,194,Andres Romero,69,58.79,709,1206,-0.26
194,195,195,Richard Johnson,77,58.44,789,1350,-0.25
195,196,196,Corey Pavin,69,57.95,678,1170,-0.26
196,197,197,David Duval,51,57.84,531,918,-0.21
