,Longest_Hole_Outs_in_yards_RANK THIS WEEK,Longest_Hole_Outs_in_yards_RANK LAST WEEK,Longest_Hole_Outs_in_yards_PLAYER NAME,Longest_Hole_Outs_in_yards_ROUNDS,Longest_Hole_Outs_in_yards_DISTANCE,Longest_Hole_Outs_in_yards_TOURNAMENT,Longest_Hole_Outs_in_yards_ROUND- COURSE,Longest_Hole_Outs_in_yards_HOLE
135,T135,136,Jason Gore,94,99,Children's Miracle Network Classic presented by Wal-Mart,3,8
136,T135,137,Hunter Mahan,87,99,The Barclays,1,1
137,T138,136,Jason Gore,94,98,Buick Open,1,6
138,T138,112,Brian Davis,108,98,Verizon Heritage,2,14
139,T138,140,Nathan Green,95,98,the Memorial Tournament presented by Morgan Stanley,1,14
140,T138,141,Kevin Stadler,90,98,THE PLAYERS Championship,4,4
141,T138,142,Mark Calcavecchia,67,98,Wyndham Championship,4,17
142,143,143,Matt Kuchar,88,97,the Memorial Tournament presented by Morgan Stanley,3,15
143,144,144,Ryan Palmer,69,96,Children's Miracle Network Classic presented by Wal-Mart,2,8
144,T145,141,Kevin Stadler,90,95,THE PLAYERS Championship,3,4
145,T145,55,Brett Quigley,80,95,Ginn sur Mer Classic,3,18
146,147,87,Billy Mayfair,103,94,Shell Houston Open,2,10
147,T148,124,Justin Rose,46,93,Wachovia Championship,2,10
148,T148,6,Chez Reavie,102,93,PODS Championship,4,7
149,T148,19,Dean Wilson,109,93,John Deere Classic,4,10
150,T148,45,Jeff Quinney,87,93,Shell Houston Open,3,13
151,T152,106,David Toms,70,92,Valero Texas Open,2,9
152,T152,66,Bob Sowards,61,92,Ginn sur Mer Classic,1,6
153,154,22,Kevin Streelman,114,91,The Barclays,1,1
154,155,142,Mark Calcavecchia,67,89,Mercedes-Benz Championship,4,12
155,156,156,Zach Johnson,85,88,Arnold Palmer Invitational presented by MasterCard,4,12
156,157,157,Tony Finau,2,87,U.S. Bank Championship in Milwaukee,2,16
157,158,112,Brian Davis,108,86,Arnold Palmer Invitational presented by MasterCard,3,12
158,T159,27,Jason Day,81,85,Justin Timberlake Shriners Hospitals for Children Open,2,1
159,T159,143,Matt Kuchar,88,85,John Deere Classic,2,2
160,T159,66,Bob Sowards,61,85,John Deere Classic,1,10
161,162,114,Jeff Maggert,86,84,RBC Canadian Open,3,16
162,T163,163,Davis Love III,78,82,Valero Texas Open,1,8
163,T163,164,Freddie Jacobson,78,82,AT&T Pebble Beach National Pro-Am,2,18
164,T163,14,Sean O'Hair,81,82,Crowne Plaza Invitational at Colonial,3,18
165,166,4,Pat Perez,93,81,Wachovia Championship,3,15
166,T167,37,Dustin Johnson,92,80,AT&T Pebble Beach National Pro-Am,3,13
167,T167,71,Mark Brooks,48,80,Travelers Championship,1,2
168,T169,6,Chez Reavie,102,78,RBC Canadian Open,2,13
169,T169,170,Chris DiMarco,87,78,Justin Timberlake Shriners Hospitals for Children Open,3,16
170,171,107,Martin Laird,98,77,John Deere Classic,2,8
171,172,13,Kevin Na,97,76,RBC Canadian Open,2,13
172,173,140,Nathan Green,95,74,U.S. Bank Championship in Milwaukee,2,12
173,174,106,David Toms,70,73,Travelers Championship,1,13
174,175,175,Ken Duke,116,71,Verizon Heritage,2,9
175,176,142,Mark Calcavecchia,67,70,John Deere Classic,1,14
176,T177,97,Jeev Milkha Singh,18,69,World Golf Championships-CA Championship,2,3
177,T177,178,Jason Allred,63,69,Valero Texas Open,1,8
178,T177,179,Luke Donald,35,69,EDS Byron Nelson Championship,4,17
179,T177,58,Chad Campbell,94,69,Shell Houston Open,3,8
180,T181,2,Jay Williamson,96,67,Buick Open,3,12
181,T181,182,Steve Stricker,75,67,The Barclays,2,3
182,T183,183,Brett Rumford,72,64,Justin Timberlake Shriners Hospitals for Children Open,2,4
183,T183,184,Charlie Wi,97,64,PODS Championship,3,1
184,185,179,Luke Donald,35,57,the Memorial Tournament presented by Morgan Stanley,1,9
185,186,186,Nick Flanagan,89,54,AT&T Classic,4,13
186,187,131,Jeff Overton,103,53,John Deere Classic,3,14
187,T188,188,Anthony Kim,81,52,The Honda Classic,2,4
188,T188,189,Skip Kendall,15,52,U.S. Bank Championship in Milwaukee,2,9
189,T188,4,Pat Perez,93,52,Turning Stone Resort Championship,1,10
190,T188,192,Tom Pernice Jr.,104,52,FBR Open,1,17
191,T188,182,Steve Stricker,75,52,Mercedes-Benz Championship,4,12
192,193,193,J.L. Lewis,40,50,Shell Houston Open,1,12
193,T194,55,Brett Quigley,80,48,Viking Classic,3,7
194,T194,52,Kent Jones,68,48,Buick Open,2,12
195,T194,51,Steve Flesch,95,48,Wachovia Championship,2,6
196,T197,106,David Toms,70,46,AT&T Classic,2,7
197,T197,54,Fred Couples,60,46,Justin Timberlake Shriners Hospitals for Children Open,3,15
198,199,101,Charles Howell III,101,45,Stanford St. Jude Championship,2,10
199,200,200,Rocco Mediate,87,44,AT&T Pebble Beach National Pro-Am,1,2
