,Greens_or_Fringe_in_Regulation_RANK THIS WEEK,Greens_or_Fringe_in_Regulation_RANK LAST WEEK,Greens_or_Fringe_in_Regulation_PLAYER NAME,Greens_or_Fringe_in_Regulation_ROUNDS,Greens_or_Fringe_in_Regulation_%,Greens_or_Fringe_in_Regulation_TOTAL HIT,Greens_or_Fringe_in_Regulation_TOTAL ATTEMPTS,Greens_or_Fringe_in_Regulation_RTP SCORE
38,39,39,K.J. Choi,74,72.61,745,1026,-183.0
39,40,40,Steve Elkington,84,72.6,954,1314,-229.0
40,T41,T41,John Merrick,98,72.58,1006,1386,-214.0
41,T41,T41,D.J. Trahan,94,72.58,1019,1404,-235.0
42,T43,T43,Kenny Perry,97,72.52,1201,1656,-293.0
43,T43,T43,David Toms,70,72.52,731,1008,-176.0
44,45,45,Chez Reavie,102,72.47,1174,1620,-247.0
45,46,46,Paul Casey,55,72.38,469,648,-109.0
46,47,47,Stephen Ames,83,72.22,858,1188,-220.0
47,T48,T48,George McNeill,97,72.16,1169,1620,-286.0
48,T48,T48,Bo Van Pelt,101,72.16,1208,1674,-272.0
49,50,50,Michael Allen,91,72.08,1012,1404,-254.0
50,T51,T51,Camilo Villegas,79,72.05,817,1134,-231.0
51,T51,T51,Mike Weir,88,72.05,856,1188,-222.0
52,53,53,Ted Purdy,68,72.03,765,1062,-132.0
53,54,54,Scott Verplank,82,71.97,842,1170,-200.0
54,55,55,Ron Whittaker,54,71.95,531,738,-100.0
55,56,56,Sergio Garcia,72,71.83,724,1008,-185.0
56,57,57,Troy Matteson,94,71.79,1150,1602,-252.0
57,58,58,Charles Howell III,101,71.78,1124,1566,-276.0
58,59,59,Martin Laird,98,71.76,1098,1530,-281.0
59,60,60,Ben Crane,86,71.7,968,1350,-252.0
60,T61,T61,Carlos Franco,73,71.69,813,1134,-191.0
61,T61,T61,Mark Wilson,107,71.69,1342,1872,-331.0
62,63,63,Charlie Wi,97,71.65,1135,1584,-255.0
63,64,64,Steve Flesch,95,71.6,1044,1458,-235.0
64,65,65,Phil Mickelson,80,71.56,760,1062,-221.0
65,66,66,Rich Beem,90,71.52,1017,1422,-234.0
66,67,67,Charles Warren,79,71.47,952,1332,-188.0
67,68,68,Tim Clark,90,71.39,938,1314,-235.0
68,69,69,Nick O'Hern,82,71.36,912,1278,-221.0
69,70,70,Todd Hamilton,92,71.32,950,1332,-214.0
70,T71,T71,Bart Bryant,81,71.31,860,1206,-170.0
71,T71,T71,Jeff Maggert,86,71.31,1014,1422,-213.0
72,T73,T73,Mark Calcavecchia,67,71.3,693,972,-160.0
73,T73,T73,Bill Haas,99,71.3,1155,1620,-295.0
74,75,75,Brian Davis,108,71.24,1308,1836,-293.0
75,76,76,Richard Johnson,60,71.2,628,882,-117.0
76,77,77,Justin Bolli,87,71.16,935,1314,-179.0
77,78,78,Charley Hoffman,94,71.12,1101,1548,-262.0
78,79,79,Matt Kuchar,88,71.11,896,1260,-196.0
79,80,80,Scott McCarron,63,71.09,691,972,-157.0
80,81,81,Steve Allan,58,71.06,614,864,-147.0
81,82,82,Lucas Glover,91,70.95,1060,1494,-252.0
82,83,83,Brandt Jobe,52,70.92,600,846,-127.0
83,84,84,Tom Lehman,51,70.91,485,684,-96.0
84,85,85,Davis Love III,78,70.85,829,1170,-205.0
85,86,86,Tommy Armour III,77,70.79,841,1188,-180.0
86,T87,T87,Brett Quigley,80,70.78,930,1314,-212.0
87,T87,T87,Kevin Stadler,90,70.78,930,1314,-216.0
88,89,89,Anthony Kim,81,70.77,828,1170,-233.0
89,90,90,Dean Wilson,109,70.73,1184,1674,-281.0
90,91,91,Olin Browne,77,70.71,891,1260,-148.0
91,92,92,Dudley Hart,74,70.65,852,1206,-197.0
92,93,93,Geoff Ogilvy,65,70.63,623,882,-150.0
93,94,94,Brad Adamonis,87,70.61,966,1368,-217.0
94,95,95,Fred Couples,60,70.59,648,918,-173.0
95,96,96,Omar Uresti,74,70.55,800,1134,-164.0
96,T97,T97,Ángel Cabrera,55,70.51,495,702,-125.0
97,T97,T97,Rod Pampling,83,70.51,863,1224,-191.0
98,99,99,Doug LaBelle II,65,70.48,647,918,-139.0
99,100,100,Cameron Beckman,87,70.42,938,1332,-211.0
100,101,101,Ryan Armour,87,70.39,963,1368,-217.0
101,102,102,Brad Elder,67,70.37,684,972,-152.0
102,T103,T103,Stuart Appleby,87,70.32,848,1206,-205.0
103,T103,T103,Adam Scott,51,70.32,443,630,-111.0
104,105,105,Tom Pernice Jr.,104,70.29,1240,1764,-305.0
105,106,106,Jeff Overton,103,70.21,1150,1638,-280.0
106,107,107,Jason Day,81,70.2,973,1386,-236.0
107,T108,T108,Peter Lonard,92,70.14,1010,1440,-224.0
108,T108,T108,Y.E. Yang,89,70.14,1010,1440,-221.0
109,110,110,John Rollins,94,70.11,997,1422,-227.0
110,111,111,Jon Mills,95,70.09,984,1404,-203.0
111,112,112,Vaughn Taylor,103,70.04,1185,1692,-294.0
112,T113,T113,Robert Gamez,79,70.03,895,1278,-163.0
113,T113,T113,Tag Ridings,88,70.03,1021,1458,-238.0
114,T115,T115,Ben Curtis,80,70.02,794,1134,-191.0
115,T115,T115,Jim McGovern,75,70.02,794,1134,-160.0
116,117,117,Jonathan Byrd,88,69.99,970,1386,-243.0
117,118,118,Jerry Kelly,89,69.97,932,1332,-205.0
118,119,119,Glen Day,64,69.94,705,1008,-166.0
119,120,120,Tim Wilkinson,95,69.93,1007,1440,-228.0
120,121,121,Paul Claxton,63,69.89,629,900,-127.0
121,122,122,Trevor Immelman,70,69.86,679,972,-139.0
122,123,123,Kenneth Ferrie,72,69.81,754,1080,-154.0
123,124,124,Will MacKenzie,62,69.79,716,1026,-157.0
124,125,125,Cliff Kresge,84,69.71,916,1314,-180.0
125,126,126,Tim Herron,97,69.67,1091,1566,-261.0
126,127,127,Brenden Pappas,66,69.64,702,1008,-182.0
127,128,128,Michael Letzig,88,69.59,927,1332,-240.0
128,129,129,Tommy Gainey,60,69.57,576,828,-133.0
129,130,130,Bob Sowards,61,69.55,651,936,-142.0
130,131,131,Shane Bertsch,96,69.51,1126,1620,-268.0
131,132,132,Joe Ogilvie,100,69.48,1088,1566,-279.0
132,133,133,Billy Andrade,71,69.44,775,1116,-137.0
133,134,134,Todd Demsey,80,69.41,887,1278,-202.0
134,135,135,J.B. Holmes,86,69.4,862,1242,-224.0
135,136,136,Ken Duke,116,69.37,1311,1890,-352.0
136,137,137,Steve Stricker,75,69.35,724,1044,-193.0
137,138,138,Nicholas Thompson,113,69.33,1198,1728,-270.0
138,139,139,Alex Cejka,75,69.26,748,1080,-147.0
139,140,140,Patrick Sheehan,124,69.21,1308,1890,-310.0
140,141,141,Mark Hensby,71,69.18,797,1152,-198.0
141,142,142,James Driscoll,85,69.15,946,1368,-239.0
142,143,143,Sean O'Hair,81,69.12,846,1224,-191.0
143,144,144,Lee Janzen,89,69.11,933,1350,-210.0
144,145,145,Brian Gay,102,69.06,1069,1548,-277.0
145,146,146,Nick Flanagan,89,69.03,994,1440,-214.0
146,T147,T147,Frank Lickliter II,107,69.0,1242,1800,-307.0
147,T147,T147,Tim Petrovic,97,69.0,1006,1458,-224.0
148,149,149,Tom Scherrer,56,68.94,546,792,-124.0
149,150,150,Marc Turnesa,87,68.93,943,1368,-243.0
150,151,151,Dustin Johnson,92,68.86,1004,1458,-249.0
151,152,152,Ernie Els,51,68.83,446,648,-107.0
152,153,153,Aaron Baddeley,76,68.7,742,1080,-221.0
153,154,154,Rocco Mediate,87,68.6,852,1242,-178.0
154,155,155,Carl Pettersson,110,68.56,1197,1746,-311.0
155,156,156,Freddie Jacobson,78,68.49,789,1152,-198.0
156,157,157,Kevin Na,97,68.44,1121,1638,-285.0
157,158,158,Padraig Harrington,52,68.4,394,576,-104.0
158,159,159,Chris DiMarco,87,68.27,934,1368,-213.0
159,T160,T160,Jason Allred,63,68.22,614,900,-127.0
160,T160,T160,Johnson Wagner,83,68.22,835,1224,-186.0
161,162,162,Ryuji Imada,80,68.14,834,1224,-214.0
162,163,163,Kyle Thompson,70,68.03,698,1026,-142.0
163,164,164,Jin Park,85,68.02,857,1260,-172.0
164,165,165,David Lutterus,59,68.0,612,900,-108.0
165,166,166,Brandt Snedeker,85,67.99,820,1206,-193.0
166,167,167,Stephen Leaney,53,67.9,550,810,-99.0
167,168,168,Paul Goydos,78,67.83,818,1206,-187.0
168,169,169,Jeff Quinney,87,67.81,891,1314,-228.0
169,170,170,Craig Kanada,65,67.68,670,990,-154.0
170,171,171,Mathias Grönberg,87,67.65,962,1422,-223.0
171,172,172,Jimmy Walker,73,67.29,751,1116,-177.0
172,173,173,Parker McLachlin,88,67.23,956,1422,-251.0
173,174,174,Retief Goosen,59,67.2,508,756,-114.0
174,175,175,Ryan Moore,72,67.02,760,1134,-188.0
175,176,176,Eric Axley,113,66.95,1181,1764,-289.0
176,177,177,Matt Jones,95,66.87,1011,1512,-227.0
177,178,178,Cody Freeman,66,66.77,661,990,-132.0
178,179,179,Alejandro Cañizares,52,66.67,492,738,-118.0
179,T180,T180,John Mallinger,95,66.53,1006,1512,-263.0
180,T180,T180,Chris Riley,51,66.53,479,720,-106.0
181,182,182,Brett Rumford,72,66.3,728,1098,-175.0
182,183,183,Marco Dawson,64,66.26,644,972,-160.0
183,184,184,J.P. Hayes,67,66.14,750,1134,-148.0
184,185,185,Greg Kraft,63,66.11,595,900,-139.0
185,186,186,Ian Poulter,51,65.9,427,648,-98.0
186,187,187,Jesper Parnevik,88,65.78,888,1350,-233.0
187,188,188,Corey Pavin,69,65.77,663,1008,-171.0
188,189,189,Daniel Chopra,84,65.75,816,1241,-235.0
189,190,190,Chad Collins,72,65.52,743,1134,-192.0
190,191,191,Shigeki Maruyama,50,65.48,495,756,-99.0
191,192,192,Steve Lowery,74,65.42,789,1206,-179.0
192,193,193,Travis Perkins,53,65.0,468,720,-85.0
193,194,194,Nathan Green,95,64.9,1063,1638,-290.0
194,195,195,Andres Romero,69,64.74,571,882,-152.0
195,196,196,David Duval,51,63.28,467,738,-93.0
196,197,197,Richard Johnson,77,62.66,767,1224,-194.0
