,Average_Approach_Distance_-_Birdie_or_Better_RANK THIS WEEK,Average_Approach_Distance_-_Birdie_or_Better_RANK LAST WEEK,Average_Approach_Distance_-_Birdie_or_Better_PLAYER NAME,Average_Approach_Distance_-_Birdie_or_Better_ROUNDS,Average_Approach_Distance_-_Birdie_or_Better_AVG (YARDS),Average_Approach_Distance_-_Birdie_or_Better_TOTAL DISTANCE (INCHES),Average_Approach_Distance_-_Birdie_or_Better_NUMBER OF APPROACH SHOTS
36,37,37,Jeff Gove,50,164.2,809871.0,137
37,T38,T38,Stephen Ames,83,164.3,1454946.0,246
38,T38,T38,Steve Elkington,84,164.3,1573420.0,266
39,T38,T38,Bob Tway,70,164.3,1336682.0,226
40,41,41,Bob Estes,90,164.4,1710287.0,289
41,T42,T42,David Duval,51,164.8,711999.0,120
42,T42,T42,Chris Stroud,81,164.8,1251840.0,211
43,T42,T42,Vaughn Taylor,103,164.8,2029290.0,342
44,45,45,Paul Casey,55,164.9,807111.0,136
45,46,46,David Toms,70,165.1,1218741.0,205
46,T47,T47,Billy Andrade,71,165.4,1065656.0,179
47,T47,T47,Brett Rumford,72,165.4,1250208.0,210
48,49,49,Mark Wilson,107,165.6,2283311.0,383
49,50,50,J.P. Hayes,67,165.8,1080355.0,181
50,T51,T51,Ben Crane,86,166.1,1692213.0,283
51,T51,T51,Tom Pernice Jr.,104,166.1,2110876.0,353
52,T53,T53,Cody Freeman,66,166.3,982081.0,164
53,T53,T53,Zach Johnson,85,166.3,1556486.0,260
54,55,55,Cameron Beckman,87,166.6,1571229.0,262
55,T56,T56,Steve Stricker,75,166.7,1271896.0,212
56,T56,T56,Mike Weir,88,166.7,1464180.0,244
57,58,58,Todd Hamilton,92,166.8,1464833.0,244
58,T59,T59,Ben Curtis,80,167.1,1263453.0,210
59,T59,T59,Doug LaBelle II,65,167.1,980278.0,163
60,61,61,John Huston,56,167.2,1186126.0,197
61,62,62,Jim Furyk,95,167.4,1626686.0,270
62,63,63,Chris Riley,51,167.5,759740.0,126
63,64,64,Marc Turnesa,87,167.6,1665395.0,276
64,T65,T65,Ken Duke,116,167.7,2378739.0,394
65,T65,T65,Richard Johnson,60,167.7,875309.0,145
66,T65,T65,Carl Pettersson,110,167.7,2089156.0,346
67,68,68,Michael Allen,91,168.1,1736615.0,287
68,T69,T69,Mark Calcavecchia,67,168.2,1168397.0,193
69,T69,T69,Jim McGovern,75,168.2,1205207.0,199
70,T71,T71,Chad Campbell,94,168.6,1990476.0,328
71,T71,T71,Jerry Kelly,89,168.6,1444930.0,238
72,T71,T71,John Mallinger,95,168.6,1814517.0,299
73,T74,T74,Trevor Immelman,70,168.7,1032401.0,170
74,T74,T74,Steve Lowery,74,168.7,1275650.0,210
75,76,76,Will MacKenzie,62,168.8,1087746.0,179
76,77,77,Shigeki Maruyama,50,168.9,747869.0,123
77,T78,T78,Justin Bolli,87,169.2,1395100.0,229
78,T78,T78,Ernie Els,51,169.2,791690.0,130
79,T78,T78,Jason Gore,94,169.2,1973398.0,324
80,81,81,Brad Elder,67,169.3,1048040.0,172
81,T82,T82,Stuart Appleby,87,169.4,1463695.0,240
82,T82,T82,Briny Baird,113,169.4,1914924.0,314
83,84,84,Alex Cejka,75,169.7,1154630.0,189
84,T85,T85,Chad Collins,72,169.8,1289738.0,211
85,T85,T85,Lee Janzen,89,169.8,1552405.0,254
86,87,87,Steve Flesch,95,169.9,1743577.0,285
87,88,88,K.J. Choi,74,170.1,1310101.0,214
88,89,89,J.J. Henry,108,170.2,1819630.0,297
89,T90,T90,Anthony Kim,81,170.3,1600216.0,261
90,T90,T90,Patrick Sheehan,124,170.3,2139933.0,349
91,92,92,Cliff Kresge,84,170.5,1405347.0,229
92,T93,T93,Marco Dawson,64,170.6,1130111.0,184
93,T93,T93,Ryuji Imada,80,170.6,1449316.0,236
94,95,95,David Lutterus,59,170.7,940375.0,153
95,96,96,Dudley Hart,74,170.8,1450842.0,236
96,97,97,Billy Mayfair,103,170.9,1870319.0,304
97,T98,T98,Kyle Thompson,70,171.0,1046766.0,170
98,T98,T98,Charlie Wi,97,171.0,1846538.0,300
99,T100,T100,Robert Gamez,79,171.3,1387533.0,225
100,T100,T100,Tim Herron,97,171.3,1855906.0,301
101,102,102,Tommy Gainey,60,171.4,1012154.0,164
102,103,103,Brandt Snedeker,85,171.6,1371044.0,222
103,104,104,Jeff Maggert,86,171.8,1663891.0,269
104,105,105,Richard Johnson,77,171.9,1330842.0,215
105,106,106,John Rollins,94,172.1,1660163.0,268
106,107,107,Frank Lickliter II,107,172.3,2195546.0,354
107,T108,T108,Rich Beem,90,172.5,1713755.0,276
108,T108,T108,Steve Marino,119,172.5,2440111.0,393
109,110,110,Joe Durant,92,172.7,1678678.0,270
110,T111,T111,Eric Axley,113,172.8,2089700.0,336
111,T111,T111,Hunter Mahan,87,172.8,1692205.0,272
112,113,113,Scott McCarron,63,173.1,1208995.0,194
113,114,114,Daniel Chopra,84,173.3,1547476.0,248
114,115,115,Kent Jones,68,173.5,1236369.0,198
115,116,116,Tim Petrovic,97,173.7,1744375.0,279
116,117,117,Travis Perkins,53,173.8,706916.0,113
117,118,118,Peter Lonard,92,173.9,1702816.0,272
118,119,119,Jeff Overton,103,174.0,2060477.0,329
119,T120,T120,Tom Lehman,51,174.1,764770.0,122
120,T120,T120,Kevin Streelman,114,174.1,2225070.0,355
121,122,122,Retief Goosen,59,174.3,847262.0,135
122,123,123,Bob Sowards,61,174.5,1030468.0,164
123,124,124,Y.E. Yang,89,174.7,1660125.0,264
124,T125,T125,Mark Hensby,71,174.8,1497978.0,238
125,T125,T125,Kenny Perry,97,174.8,2171070.0,345
126,127,127,Woody Austin,109,174.9,2083861.0,331
127,128,128,Rocco Mediate,87,175.0,1329639.0,211
128,129,129,Jon Mills,95,175.2,1539361.0,244
129,130,130,Stewart Cink,87,175.4,1572496.0,249
130,131,131,Brandt Jobe,52,175.7,954853.0,151
131,T132,T132,Todd Demsey,80,175.8,1499675.0,237
132,T132,T132,Ryan Palmer,69,175.8,1651628.0,261
133,T132,T132,Tom Scherrer,56,175.8,917643.0,145
134,135,135,Rod Pampling,83,176.0,1476399.0,233
135,136,136,Rory Sabbatini,77,176.1,1610278.0,254
136,137,137,Alejandro Cañizares,52,176.3,844048.0,133
137,138,138,Vijay Singh,82,176.5,1549972.0,244
138,139,139,Nick Flanagan,89,176.6,1697601.0,267
139,140,140,Kevin Na,97,176.7,2041369.0,321
140,141,141,John Senden,93,176.8,1737224.0,273
141,142,142,Bo Van Pelt,101,176.9,2044052.0,321
142,T143,T143,Lucas Glover,91,177.0,1860342.0,292
143,T143,T143,Parker McLachlin,88,177.0,1771022.0,278
144,145,145,D.J. Trahan,94,177.6,1809466.0,283
145,146,146,Harrison Frazar,73,178.0,1365281.0,213
146,147,147,Charles Howell III,101,178.1,1975222.0,308
147,148,148,Brad Adamonis,87,178.5,1664701.0,259
148,149,149,Jimmy Walker,73,178.8,1306784.0,203
149,T150,T150,Aaron Baddeley,76,178.9,1500897.0,233
150,T150,T150,Sean O'Hair,81,178.9,1410337.0,219
151,T152,T152,Brett Quigley,80,179.0,1546973.0,240
152,T152,T152,Camilo Villegas,79,179.0,1649411.0,256
153,154,154,Kevin Sutherland,98,179.2,2077508.0,322
154,155,155,Mathias Grönberg,87,179.4,1802326.0,279
155,T156,T156,Padraig Harrington,52,179.5,788502.0,122
156,T156,T156,Martin Laird,98,179.5,2100594.0,325
157,158,158,Boo Weekley,86,179.7,1494789.0,231
158,159,159,Ryan Moore,72,179.8,1417868.0,219
159,T160,T160,Jonathan Byrd,88,180.0,1840358.0,284
160,T160,T160,Nathan Green,95,180.0,2113015.0,326
161,T162,T162,Troy Matteson,94,180.4,2000071.0,308
162,T162,T162,Ted Purdy,68,180.4,1091118.0,168
163,164,164,Fred Couples,60,180.5,1247909.0,192
164,165,165,Michael Letzig,88,180.7,1821471.0,280
165,166,166,Robert Allenby,108,181.0,2085448.0,320
166,167,167,J.B. Holmes,86,181.1,1766806.0,271
167,168,168,Kevin Stadler,90,181.3,1710268.0,262
168,T169,T169,Davis Love III,78,181.6,1581705.0,242
169,T169,T169,George McNeill,97,181.6,2164030.0,331
170,T169,T169,Johnson Wagner,83,181.6,1509896.0,231
171,T172,T172,John Merrick,98,181.7,1655077.0,253
172,T172,T172,Nicholas Thompson,113,181.7,2250504.0,344
173,174,174,Jesper Parnevik,88,181.8,1799683.0,275
174,T175,T175,Ángel Cabrera,55,181.9,936248.0,143
175,T175,T175,Carlos Franco,73,181.9,1479751.0,226
176,T175,T175,Brenden Pappas,66,181.9,1309690.0,200
177,178,178,Pat Perez,93,182.0,2090591.0,319
178,T179,T179,Jason Day,81,182.3,1771869.0,270
179,T179,T179,Kenneth Ferrie,72,182.3,1266709.0,193
180,T179,T179,Charley Hoffman,94,182.3,2034284.0,310
181,182,182,Dustin Johnson,92,182.6,1827298.0,278
182,183,183,Phil Mickelson,80,182.8,1606119.0,244
183,184,184,Sergio Garcia,72,183.0,1409589.0,214
184,185,185,Bill Haas,99,183.2,2176286.0,330
185,186,186,Jason Allred,63,183.7,1124175.0,170
186,T187,T187,Steve Allan,58,184.0,1159111.0,175
187,T187,T187,Matt Jones,95,184.0,1801847.0,272
188,189,189,Andres Romero,69,184.9,1131823.0,170
189,190,190,Charles Warren,79,185.2,1593497.0,239
190,T191,T191,James Driscoll,85,185.5,1762809.0,264
191,T191,T191,Adam Scott,51,185.5,914750.0,137
192,193,193,Bubba Watson,97,186.9,2093003.0,311
193,194,194,Tag Ridings,88,187.3,1975284.0,293
194,195,195,Mathew Goggin,91,192.4,2036517.0,294
195,196,196,Robert Garrigus,90,194.5,2366625.0,338
196,197,197,Nick Watney,96,195.0,2161819.0,308
