,Birdie_or_Better_Percentage_-_Right_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Right_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Right_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Right_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Right_Rough_%,Birdie_or_Better_Percentage_-_Right_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Right_Rough_TOTAL HOLES
36,37,37,John Merrick,98,16.34,25,153
37,38,38,Brett Quigley,80,16.33,24,147
38,39,39,Ryan Moore,72,16.19,17,105
39,40,40,Jon Mills,95,16.18,22,136
40,41,41,Tommy Gainey,60,16.13,15,93
41,42,42,Peter Lonard,92,16.1,19,118
42,43,43,Scott Sterling,89,16.03,21,131
43,44,44,Adam Scott,51,16.0,12,75
44,45,45,Kyle Thompson,70,15.93,18,113
45,46,46,Bubba Watson,97,15.87,30,189
46,T47,T47,Brad Adamonis,87,15.76,29,184
47,T47,T47,Troy Matteson,94,15.76,29,184
48,49,49,Steve Flesch,95,15.75,20,127
49,T50,T50,Bill Haas,99,15.71,30,191
50,T50,T50,Kenny Perry,97,15.71,22,140
51,52,52,Michael Letzig,88,15.69,24,153
52,53,53,Chris Stroud,81,15.67,21,134
53,54,54,David Toms,70,15.53,16,103
54,55,55,Martin Laird,98,15.52,27,174
55,56,56,John Mallinger,95,15.5,20,129
56,57,57,Tim Petrovic,97,15.44,21,136
57,58,58,Joe Durant,92,15.38,18,117
58,59,59,Stuart Appleby,87,15.33,23,150
59,60,60,Jason Allred,63,15.32,17,111
60,61,61,Bob Tway,70,15.29,13,85
61,62,62,John Riegger,73,15.24,16,105
62,63,63,Harrison Frazar,73,15.2,19,125
63,64,64,Brenden Pappas,66,15.18,17,112
64,65,65,Kevin Na,97,15.17,22,145
65,66,66,Steve Lowery,74,15.15,20,132
66,67,67,Nick O'Hern,82,15.12,13,86
67,68,68,Steve Elkington,84,15.0,15,100
68,69,69,Billy Andrade,71,14.96,19,127
69,70,70,Rich Beem,90,14.89,21,141
70,T71,T71,Tommy Armour III,77,14.88,18,121
71,T71,T71,Jonathan Byrd,88,14.88,18,121
72,73,73,Chad Campbell,94,14.86,22,148
73,74,74,Charley Hoffman,94,14.72,24,163
74,75,75,Joe Ogilvie,100,14.65,23,157
75,76,76,Freddie Jacobson,78,14.63,18,123
76,77,77,Lee Janzen,89,14.58,14,96
77,78,78,Carl Pettersson,110,14.57,22,151
78,79,79,Travis Perkins,53,14.56,15,103
79,80,80,Chez Reavie,102,14.53,17,117
80,T81,T81,Mark Hensby,71,14.29,16,112
81,T81,T81,Steve Marino,119,14.29,22,154
82,T81,T81,Nicholas Thompson,113,14.29,25,175
83,84,84,Vaughn Taylor,103,14.2,23,162
84,85,85,Cody Freeman,66,14.17,18,127
85,T86,T86,Charles Howell III,101,14.14,28,198
86,T86,T86,Scott Verplank,82,14.14,14,99
87,88,88,Jin Park,85,14.13,13,92
88,89,89,Ryuji Imada,80,14.09,21,149
89,90,90,Tim Herron,97,14.06,27,192
90,91,91,George McNeill,97,14.05,26,185
91,92,92,Bob Estes,90,14.02,23,164
92,93,93,Ken Duke,116,13.99,34,243
93,94,94,Shane Bertsch,96,13.93,17,122
94,95,95,Tag Ridings,88,13.9,26,187
95,96,96,Todd Demsey,80,13.89,15,108
96,97,97,Boo Weekley,86,13.85,18,130
97,98,98,Johnson Wagner,83,13.77,19,138
98,T99,T99,Scott McCarron,63,13.75,11,80
99,T99,T99,Ian Poulter,51,13.75,11,80
100,101,101,Brad Elder,67,13.73,14,102
101,102,102,Billy Mayfair,103,13.58,22,162
102,103,103,Brian Davis,108,13.57,19,140
103,104,104,Bob Sowards,61,13.56,16,118
104,105,105,Kevin Sutherland,98,13.53,23,170
105,106,106,Mathias Grönberg,87,13.51,20,148
106,107,107,David Lutterus,59,13.46,14,104
107,108,108,Phil Mickelson,80,13.45,16,119
108,109,109,Brian Gay,102,13.4,13,97
109,110,110,Woody Austin,109,13.38,21,157
110,T111,T111,Padraig Harrington,52,13.33,8,60
111,T111,T111,Vijay Singh,82,13.33,20,150
112,T111,T111,Charlie Wi,97,13.33,20,150
113,T114,T114,Ángel Cabrera,55,13.21,14,106
114,T114,T114,Paul Goydos,78,13.21,14,106
115,T116,T116,James Driscoll,85,13.11,24,183
116,T116,T116,J.J. Henry,108,13.11,16,122
117,118,118,Jay Williamson,96,13.08,17,130
118,119,119,Jason Day,81,13.01,19,146
119,120,120,Brett Rumford,72,12.98,17,131
120,T121,T121,Trevor Immelman,70,12.96,14,108
121,T121,T121,Jim McGovern,75,12.96,14,108
122,123,123,Doug LaBelle II,65,12.9,8,62
123,124,124,Fred Couples,60,12.8,16,125
124,125,125,Mark Wilson,107,12.79,22,172
125,126,126,Patrick Sheehan,124,12.74,20,157
126,127,127,Jimmy Walker,73,12.59,18,143
127,128,128,Sean O'Hair,81,12.31,16,130
128,129,129,Briny Baird,113,12.27,20,163
129,130,130,John Senden,93,12.26,13,106
130,131,131,Bo Van Pelt,101,12.24,24,196
131,132,132,Tim Wilkinson,95,12.16,18,148
132,133,133,Glen Day,64,12.09,11,91
133,134,134,Jerry Kelly,89,12.04,13,108
134,135,135,Jason Gore,94,12.03,16,133
135,136,136,Alex Cejka,75,12.0,12,100
136,137,137,Ben Curtis,80,11.96,11,92
137,138,138,Will MacKenzie,62,11.93,13,109
138,139,139,Corey Pavin,69,11.88,12,101
139,140,140,Jim Furyk,95,11.86,14,118
140,141,141,Richard Johnson,77,11.76,18,153
141,142,142,Dudley Hart,74,11.71,13,111
142,143,143,Jeff Quinney,87,11.63,15,129
143,144,144,Stephen Ames,83,11.61,13,112
144,145,145,Tom Pernice Jr.,104,11.46,22,192
145,146,146,Tom Lehman,51,11.39,9,79
146,147,147,Andres Romero,69,11.36,15,132
147,148,148,Jesper Parnevik,88,11.35,16,141
148,149,149,Y.E. Yang,89,11.27,16,142
149,T150,T150,Heath Slocum,104,11.11,11,99
150,T150,T150,Omar Uresti,74,11.11,10,90
151,152,152,Jeff Maggert,86,10.94,14,128
152,153,153,Dean Wilson,109,10.91,18,165
153,154,154,Chris DiMarco,87,10.88,16,147
154,155,155,Rocco Mediate,87,10.83,13,120
155,156,156,Justin Bolli,87,10.81,12,111
156,157,157,Eric Axley,113,10.77,21,195
157,T158,T158,Stewart Cink,87,10.74,16,149
158,T158,T158,Rory Sabbatini,77,10.74,13,121
159,160,160,David Duval,51,10.71,6,56
160,161,161,Frank Lickliter II,107,10.5,19,181
161,T162,T162,Geoff Ogilvy,65,10.38,11,106
162,T162,T162,Charles Warren,79,10.38,11,106
163,164,164,Matt Jones,95,10.15,20,197
164,165,165,Chris Riley,51,10.14,7,69
165,166,166,Shigeki Maruyama,50,10.13,8,79
166,T167,T167,Michael Allen,91,10.0,12,120
167,T167,T167,Ernie Els,51,10.0,7,70
168,T167,T167,Justin Leonard,101,10.0,10,100
169,T167,T167,Rod Pampling,83,10.0,11,110
170,171,171,Todd Hamilton,92,9.91,11,111
171,T172,T172,Olin Browne,77,9.8,5,51
172,T172,T172,Steve Stricker,75,9.8,10,102
173,174,174,Lucas Glover,91,9.79,14,143
174,175,175,Paul Claxton,63,9.76,8,82
175,176,176,Kevin Streelman,114,9.71,20,206
176,177,177,Ryan Armour,87,9.63,13,135
177,178,178,Matt Kuchar,88,9.62,10,104
178,179,179,Retief Goosen,59,9.59,7,73
179,T180,T180,Tim Clark,90,9.52,12,126
180,T180,T180,Gavin Coles,54,9.52,6,63
181,182,182,Richard Johnson,60,9.38,9,96
182,183,183,John Rollins,94,9.35,13,139
183,184,184,Tom Scherrer,56,9.21,7,76
184,185,185,Cliff Kresge,84,8.65,9,104
185,186,186,Ted Purdy,68,8.55,10,117
186,187,187,Carlos Franco,73,8.41,9,107
187,T188,T188,Bart Bryant,81,8.33,9,108
188,T188,T188,Kent Jones,68,8.33,7,84
189,190,190,J.P. Hayes,67,8.15,11,135
190,191,191,Paul Casey,55,7.94,5,63
191,192,192,Hunter Mahan,87,6.72,8,119
192,T193,T193,Marco Dawson,64,6.12,6,98
193,T193,T193,Robert Gamez,79,6.12,6,98
194,195,195,Craig Kanada,65,5.75,5,87
195,196,196,Stephen Leaney,53,4.92,3,61
196,197,197,Jeff Gove,50,3.13,2,64
