,Birdie_or_Better_Percentage_-_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Rough_%,Birdie_or_Better_Percentage_-_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Rough_TOTAL HOLES
55,56,56,Woody Austin,109,14.75,41,278
56,57,57,Mathias Grönberg,87,14.72,44,299
57,58,58,Nick Watney,96,14.71,49,333
58,59,59,Rich Beem,90,14.69,36,245
59,T60,T60,Tommy Armour III,77,14.67,33,225
60,T60,T60,Mike Weir,88,14.67,33,225
61,62,62,Boo Weekley,86,14.66,34,232
62,63,63,Jason Gore,94,14.63,36,246
63,64,64,Tim Petrovic,97,14.55,39,268
64,65,65,Freddie Jacobson,78,14.54,33,227
65,66,66,Gavin Coles,54,14.5,19,131
66,T67,T67,Jason Allred,63,14.42,31,215
67,T67,T67,Tag Ridings,88,14.42,47,326
68,69,69,Stewart Cink,87,14.4,36,250
69,70,70,K.J. Choi,74,14.35,31,216
70,71,71,John Mallinger,95,14.34,37,258
71,72,72,Charley Hoffman,94,14.33,44,307
72,T73,T73,Todd Demsey,80,14.29,35,245
73,T73,T73,Peter Lonard,92,14.29,36,252
74,T73,T73,Jimmy Walker,73,14.29,40,280
75,76,76,Jonathan Byrd,88,14.22,31,218
76,77,77,Paul Goydos,78,14.21,28,197
77,78,78,Tom Lehman,51,14.17,18,127
78,79,79,Fred Couples,60,14.15,30,212
79,80,80,Jon Mills,95,14.13,40,283
80,81,81,Stuart Appleby,87,14.12,37,262
81,82,82,Chad Campbell,94,14.02,38,271
82,83,83,Chris Stroud,81,14.01,29,207
83,T84,T84,Michael Letzig,88,13.97,38,272
84,T84,T84,Troy Matteson,94,13.97,44,315
85,86,86,Ángel Cabrera,55,13.92,27,194
86,87,87,Cody Freeman,66,13.84,31,224
87,88,88,James Driscoll,85,13.82,47,340
88,T89,T89,Nicholas Thompson,113,13.79,44,319
89,T89,T89,D.J. Trahan,94,13.79,36,261
90,91,91,Rory Sabbatini,77,13.78,31,225
91,92,92,Jesper Parnevik,88,13.75,37,269
92,T93,T93,Brian Davis,108,13.74,36,262
93,T93,T93,Kenneth Ferrie,72,13.74,25,182
94,95,95,Charles Howell III,101,13.68,48,351
95,T96,T96,Tom Scherrer,56,13.61,20,147
96,T96,T96,Scott Verplank,82,13.61,23,169
97,T98,T98,Steve Marino,119,13.6,48,353
