,Average_Distance_after_Going_for_it_Shot_RANK THIS WEEK,Average_Distance_after_Going_for_it_Shot_RANK LAST WEEK,Average_Distance_after_Going_for_it_Shot_PLAYER NAME,Average_Distance_after_Going_for_it_Shot_ROUNDS,Average_Distance_after_Going_for_it_Shot_AVG,Average_Distance_after_Going_for_it_Shot_TOTAL DIST AFTER GFG SHOT,Average_Distance_after_Going_for_it_Shot_TOTAL GFG SHOTS
32,T31,T31,Craig Kanada,65,23.3,43562.0,52
33,T31,T31,Rory Sabbatini,77,23.3,101570.0,121
34,35,35,John Senden,93,23.4,120532.0,143
35,T36,T36,Brad Adamonis,87,23.6,126390.0,149
36,T36,T36,Tom Scherrer,56,23.6,58628.0,69
37,T36,T36,Kevin Streelman,114,23.6,172662.0,203
38,T36,T36,Bo Van Pelt,101,23.6,152752.0,180
39,T40,T40,Ryan Armour,87,23.7,95704.0,112
40,T40,T40,Bart Bryant,81,23.7,57133.0,67
41,T40,T40,Frank Lickliter II,107,23.7,152722.0,179
42,T40,T40,Brett Quigley,80,23.7,113325.0,133
43,T44,T44,Robert Allenby,108,23.8,155215.0,181
44,T44,T44,Jason Allred,63,23.8,89114.0,104
45,T44,T44,Bill Haas,99,23.8,173230.0,202
46,T44,T44,Joe Ogilvie,100,23.8,138719.0,162
47,48,48,Sean O'Hair,81,23.9,105948.0,123
48,T49,T49,Justin Bolli,87,24.0,93264.0,108
49,T49,T49,Brian Gay,102,24.0,61289.0,71
50,T49,T49,Todd Hamilton,92,24.0,88040.0,102
51,T52,T52,Marco Dawson,64,24.1,64260.0,74
52,T52,T52,Sergio Garcia,72,24.1,103083.0,119
53,T52,T52,Phil Mickelson,80,24.1,124721.0,144
54,T55,T55,Aaron Baddeley,76,24.2,115160.0,132
55,T55,T55,Alejandro Cañizares,52,24.2,58314.0,67
56,T55,T55,Troy Matteson,94,24.2,167240.0,192
57,T55,T55,Brenden Pappas,66,24.2,95781.0,110
58,T55,T55,Bob Sowards,61,24.2,85233.0,98
59,T55,T55,Kevin Sutherland,98,24.2,148837.0,171
60,T55,T55,D.J. Trahan,94,24.2,150575.0,173
61,62,62,Y.E. Yang,89,24.3,133764.0,153
62,T63,T63,Ben Curtis,80,24.4,80879.0,92
63,T63,T63,Jim McGovern,75,24.4,59824.0,68
64,T65,T65,Kevin Stadler,90,24.5,133962.0,152
65,T65,T65,Nicholas Thompson,113,24.5,192615.0,218
66,T67,T67,Woody Austin,109,24.6,149865.0,169
67,T67,T67,Padraig Harrington,52,24.6,54857.0,62
68,T67,T67,Charles Howell III,101,24.6,170900.0,193
69,T70,T70,Tim Clark,90,24.7,65750.0,74
70,T70,T70,Kent Jones,68,24.7,79053.0,89
71,T70,T70,Ryan Palmer,69,24.7,103088.0,116
72,T70,T70,Brandt Snedeker,85,24.7,85350.0,96
73,T74,T74,Billy Andrade,71,24.8,69719.0,78
74,T74,T74,Briny Baird,113,24.8,121524.0,136
75,T74,T74,Charley Hoffman,94,24.8,176433.0,198
76,T74,T74,Michael Letzig,88,24.8,136626.0,153
77,T74,T74,John Merrick,98,24.8,132853.0,149
78,T79,T79,Chad Campbell,94,24.9,119007.0,133
79,T79,T79,Mathias Grönberg,87,24.9,159632.0,178
80,T81,T81,K.J. Choi,74,25.0,79235.0,88
81,T81,T81,Jeff Gove,50,25.0,54988.0,61
82,T81,T81,Matt Kuchar,88,25.0,69386.0,77
83,T81,T81,Will MacKenzie,62,25.0,85469.0,95
84,T81,T81,Steve Stricker,75,25.0,71902.0,80
85,T86,T86,Tommy Armour III,77,25.1,64974.0,72
86,T86,T86,James Driscoll,85,25.1,156300.0,173
87,T86,T86,Freddie Jacobson,78,25.1,74976.0,83
88,T86,T86,David Toms,70,25.1,77592.0,86
89,T90,T90,Carlos Franco,73,25.2,104154.0,115
90,T90,T90,Lucas Glover,91,25.2,145976.0,161
91,T90,T90,John Rollins,94,25.2,133216.0,147
92,T93,T93,Brian Davis,108,25.3,132951.0,146
93,T93,T93,Dustin Johnson,92,25.3,181329.0,199
94,T93,T93,Steve Marino,119,25.3,175947.0,193
95,T93,T93,Patrick Sheehan,124,25.3,132903.0,146
96,T97,T97,Cliff Kresge,84,25.5,92615.0,101
97,T97,T97,Parker McLachlin,88,25.5,122109.0,133
98,T97,T97,Nick O'Hern,82,25.5,56962.0,62
99,T97,T97,Geoff Ogilvy,65,25.5,67099.0,73
100,T97,T97,Nick Watney,96,25.5,219268.0,239
101,T97,T97,Boo Weekley,86,25.5,116471.0,127
102,103,103,Harrison Frazar,73,25.6,126984.0,138
103,T104,T104,Todd Demsey,80,25.7,126985.0,137
104,T104,T104,Jeff Overton,103,25.7,187834.0,203
105,T104,T104,Jesper Parnevik,88,25.7,135984.0,147
106,T104,T104,Tim Wilkinson,95,25.7,102574.0,111
107,T108,T108,Glen Day,64,25.8,55712.0,60
108,T108,T108,Carl Pettersson,110,25.8,140426.0,151
109,T110,T110,Kenneth Ferrie,72,25.9,110001.0,118
110,T110,T110,Tag Ridings,88,25.9,182826.0,196
111,T110,T110,Heath Slocum,104,25.9,86861.0,93
112,T113,T113,Stuart Appleby,87,26.0,95491.0,102
113,T113,T113,Tim Petrovic,97,26.0,124564.0,133
114,T115,T115,Bob Estes,90,26.1,107107.0,114
115,T115,T115,Mathew Goggin,91,26.1,179312.0,191
116,T115,T115,Justin Leonard,101,26.1,77970.0,83
117,T118,T118,Nathan Green,95,26.2,164118.0,174
118,T118,T118,Jay Williamson,96,26.2,91420.0,97
119,T120,T120,Cameron Beckman,87,26.3,94749.0,100
120,T120,T120,Tommy Gainey,60,26.3,99489.0,105
121,T120,T120,Matt Jones,95,26.3,171619.0,181
122,T123,T123,Michael Allen,91,26.4,123718.0,130
123,T123,T123,Joe Durant,92,26.4,134938.0,142
124,T123,T123,Tim Herron,97,26.4,147538.0,155
125,T123,T123,Jerry Kelly,89,26.4,87543.0,92
126,T123,T123,Jeff Maggert,86,26.4,127262.0,134
127,T123,T123,Jeff Quinney,87,26.4,75058.0,79
128,T123,T123,Jimmy Walker,73,26.4,129289.0,136
129,130,130,Shane Bertsch,96,26.5,94361.0,99
130,T131,T131,Cody Freeman,66,26.6,81476.0,85
131,T131,T131,Paul Goydos,78,26.6,68048.0,71
132,T131,T131,Chris Stroud,81,26.6,105486.0,110
133,T131,T131,Dean Wilson,109,26.6,104527.0,109
134,T135,T135,Rocco Mediate,87,26.7,106862.0,111
135,T135,T135,Rod Pampling,83,26.7,130767.0,136
136,T137,T137,Bob Tway,70,26.8,79181.0,82
137,T137,T137,Mike Weir,88,26.8,103133.0,107
138,T139,T139,Mark Calcavecchia,67,26.9,92058.0,95
139,T139,T139,Tom Pernice Jr.,104,26.9,130507.0,135
140,T141,T141,Jon Mills,95,27.0,140757.0,145
141,T141,T141,Marc Turnesa,87,27.0,104818.0,108
142,T143,T143,Ken Duke,116,27.1,169733.0,174
143,T143,T143,Ian Poulter,51,27.1,40018.0,41
144,T145,T145,John Huston,56,27.2,97831.0,100
145,T145,T145,Steve Lowery,74,27.2,127363.0,130
146,T145,T145,Ryan Moore,72,27.2,140036.0,143
147,T148,T148,Eric Axley,113,27.3,158257.0,161
148,T148,T148,Retief Goosen,59,27.3,67743.0,69
149,T148,T148,Charles Warren,79,27.3,185845.0,189
150,T148,T148,Mark Wilson,107,27.3,150358.0,153
151,152,152,Brad Elder,67,27.4,84962.0,86
152,T153,T153,Ángel Cabrera,55,27.5,96168.0,97
153,T153,T153,Ben Crane,86,27.5,121921.0,123
154,T153,T153,Steve Elkington,84,27.5,99850.0,101
155,T153,T153,J.J. Henry,108,27.5,144525.0,146
156,T153,T153,Mark Hensby,71,27.5,119759.0,121
157,158,158,Lee Janzen,89,27.6,102443.0,103
158,T159,T159,Jonathan Byrd,88,27.7,159290.0,160
159,T159,T159,Chris Riley,51,27.7,57785.0,58
160,161,161,Kevin Na,97,27.8,162378.0,162
161,162,162,Alex Cejka,75,27.9,85356.0,85
162,163,163,Scott McCarron,63,28.0,95760.0,95
163,164,164,Steve Flesch,95,28.1,121257.0,120
164,T165,T165,Olin Browne,77,28.2,56926.0,56
165,T165,T165,Vaughn Taylor,103,28.2,136216.0,134
166,T165,T165,Scott Verplank,82,28.2,97519.0,96
167,T168,T168,Ryuji Imada,80,28.3,99813.0,98
168,T168,T168,Richard Johnson,77,28.3,145524.0,143
169,T168,T168,Peter Lonard,92,28.3,134530.0,132
170,T168,T168,Johnson Wagner,83,28.3,124493.0,122
171,172,172,John Mallinger,95,28.4,112491.0,110
172,T173,T173,Billy Mayfair,103,28.5,147561.0,144
173,T173,T173,Chez Reavie,102,28.5,114904.0,112
174,T175,T175,Jason Day,81,28.7,186717.0,181
175,T175,T175,Doug LaBelle II,65,28.7,52619.0,51
176,177,177,J.P. Hayes,67,28.8,84058.0,81
177,178,178,Daniel Chopra,84,28.9,150817.0,145
178,179,179,Ted Purdy,68,29.0,128230.0,123
179,T180,T180,Steve Allan,58,29.2,131461.0,125
180,T180,T180,Paul Claxton,63,29.2,62030.0,59
181,T180,T180,Omar Uresti,74,29.2,86242.0,82
182,183,183,Zach Johnson,85,29.3,105348.0,100
183,T184,T184,Chris DiMarco,87,29.4,101514.0,96
184,T184,T184,Shigeki Maruyama,50,29.4,50785.0,48
185,186,186,Brett Rumford,72,29.6,94992.0,89
186,T187,T187,David Lutterus,59,29.7,80205.0,75
187,T187,T187,Kyle Thompson,70,29.7,84328.0,79
188,189,189,Stephen Leaney,53,30.0,35634.0,33
189,190,190,Travis Perkins,53,30.5,81222.0,74
190,191,191,Robert Gamez,79,31.9,114968.0,100
191,192,192,Charlie Wi,97,32.0,167085.0,145
192,193,193,Rich Beem,90,32.2,170517.0,147
193,194,194,Jin Park,85,32.6,84534.0,72
194,195,195,Chad Collins,72,33.0,107958.0,91
195,196,196,Corey Pavin,69,34.1,49056.0,40
196,197,197,Dudley Hart,74,34.9,101661.0,81
