,Going_for_the_Green_RANK THIS WEEK,Going_for_the_Green_RANK LAST WEEK,Going_for_the_Green_PLAYER NAME,Going_for_the_Green_ROUNDS,Going_for_the_Green_%,Going_for_the_Green_ATTEMPTS,Going_for_the_Green_NON-ATTEMPTS,Going_for_the_Green_RTP-GOING FOR THE GREEN,Going_for_the_Green_RTP-NOT GOING FOR THE GRN
137,138,138,Cliff Kresge,84,38.76,100,158,-48,-13
138,139,139,Tom Pernice Jr.,104,38.68,135,214,-77,-32
139,140,140,Marc Turnesa,87,38.43,108,173,-61,-29
140,141,141,Patrick Sheehan,124,38.16,145,235,-72,-18
141,142,142,Steve Flesch,95,38.1,120,195,-69,-27
142,143,143,Ryuji Imada,80,37.98,98,160,-56,-34
143,144,144,Robert Gamez,79,37.93,99,162,-41,-7
144,145,145,Jeff Gove,50,37.74,60,99,-34,-9
145,146,146,Justin Bolli,87,37.63,108,179,-55,-15
146,T147,T147,Stephen Ames,83,37.5,87,145,-57,-35
147,T147,T147,Bob Tway,70,37.5,81,135,-45,-30
148,149,149,Chris Riley,51,37.18,58,98,-30,-21
149,150,150,Tim Wilkinson,95,37.12,111,188,-62,-33
150,151,151,John Mallinger,95,36.95,109,186,-58,-14
151,152,152,Freddie Jacobson,78,36.73,83,143,-45,-14
152,153,153,Zach Johnson,85,36.53,99,172,-50,-18
153,154,154,Jerry Kelly,89,36.11,91,161,-57,-12
154,155,155,Trevor Immelman,70,36.0,63,112,-35,-8
155,T156,T156,Billy Andrade,71,35.94,78,139,-37,-1
156,T156,T156,Steve Elkington,84,35.94,101,180,-48,-26
157,158,158,Kyle Thompson,70,35.91,79,141,-46,-6
158,159,159,J.P. Hayes,67,35.56,80,145,-42,-7
159,160,160,Todd Hamilton,92,35.54,102,185,-48,-33
160,161,161,Lee Janzen,89,35.27,103,189,-49,-1
161,162,162,Bob Estes,90,35.2,113,208,-56,-30
162,163,163,Marco Dawson,64,35.12,72,133,-47,-12
163,164,164,Cameron Beckman,87,34.98,99,184,-55,-27
164,165,165,Omar Uresti,74,34.18,81,156,-41,-38
165,166,166,Chez Reavie,102,33.53,112,222,-40,-27
166,167,167,Dudley Hart,74,33.33,81,162,-39,-22
167,168,168,Chris DiMarco,87,33.22,95,191,-54,-32
168,169,169,Richard Johnson,60,32.93,55,112,-26,-2
169,170,170,Justin Leonard,101,32.28,82,172,-44,-43
170,171,171,Ian Poulter,51,31.78,41,88,-18,-14
171,172,172,Jay Williamson,96,31.7,97,209,-46,-15
172,173,173,Dean Wilson,109,31.59,109,236,-51,-36
173,174,174,Scott Sterling,89,31.54,88,191,-50,-31
174,175,175,Glen Day,64,31.09,60,133,-29,-23
175,176,176,Paul Claxton,63,30.69,58,131,-19,-5
176,177,177,Bart Bryant,81,30.59,67,152,-34,-22
177,178,178,Tim Clark,90,30.42,73,167,-41,-30
178,179,179,Jim McGovern,75,30.18,67,155,-44,-2
179,180,180,Tommy Armour III,77,29.96,71,166,-38,-22
180,181,181,Shane Bertsch,96,29.73,99,234,-56,-40
181,182,182,Matt Kuchar,88,29.57,76,181,-48,-32
182,183,183,Heath Slocum,104,29.3,92,222,-41,-36
183,184,184,Shigeki Maruyama,50,29.09,48,117,-33,-17
184,185,185,Jeff Quinney,87,28.11,79,202,-39,-27
185,186,186,Doug LaBelle II,65,27.93,50,129,-27,-16
186,187,187,Paul Goydos,78,27.1,71,191,-34,-24
187,188,188,Jin Park,85,26.89,71,193,-32,-16
188,189,189,Ron Whittaker,54,26.71,39,107,-25,-19
189,190,190,Craig Kanada,65,26.0,52,148,-28,-27
190,191,191,Greg Kraft,63,24.74,47,143,-26,-4
191,192,192,Brian Gay,102,23.43,71,232,-43,-68
192,193,193,Olin Browne,77,22.22,56,196,-21,-15
193,194,194,Nick O'Hern,82,22.06,62,219,-32,-43
194,195,195,Corey Pavin,69,20.83,40,152,-15,-28
195,196,196,Gavin Coles,54,20.75,33,126,-21,-26
196,197,197,Stephen Leaney,53,18.86,33,142,-15,-20
