,GIR_Percentage_from_Fairway_RANK THIS WEEK,GIR_Percentage_from_Fairway_RANK LAST WEEK,GIR_Percentage_from_Fairway_PLAYER NAME,GIR_Percentage_from_Fairway_ROUNDS,GIR_Percentage_from_Fairway_%,GIR_Percentage_from_Fairway_GREENS HIT,GIR_Percentage_from_Fairway_# OF HOLES
184,185,185,Nick O'Hern,82,70.79,572,808
185,186,186,Olin Browne,77,70.76,593,838
186,187,187,John Rollins,94,70.63,630,892
187,188,188,Alejandro Cañizares,52,70.6,269,381
188,189,189,John Mallinger,95,70.48,647,918
189,190,190,Kyle Thompson,70,70.38,392,557
190,191,191,Omar Uresti,74,70.1,511,729
191,192,192,Paul Goydos,78,69.6,538,773
192,193,193,Nathan Green,95,69.47,546,786
193,194,194,Greg Kraft,63,69.45,366,527
194,195,195,Padraig Harrington,52,68.19,283,415
195,196,196,Steve Lowery,74,68.17,422,619
196,197,197,Corey Pavin,69,64.53,402,623
