,Scrambling_from_the_Fringe_RANK THIS WEEK,Scrambling_from_the_Fringe_RANK LAST WEEK,Scrambling_from_the_Fringe_PLAYER NAME,Scrambling_from_the_Fringe_ROUNDS,Scrambling_from_the_Fringe_%,Scrambling_from_the_Fringe_SUCCESSES,Scrambling_from_the_Fringe_ATTEMPTS
73,T72,T72,D.J. Trahan,99,89.47,85,95
74,75,75,Brian Gay,107,89.42,93,104
75,76,76,Will MacKenzie,100,89.41,76,85
76,T77,T77,Craig Bowden,78,89.39,59,66
77,T77,T77,Rod Pampling,92,89.39,59,66
78,79,79,Ian Poulter,63,89.29,25,28
79,80,80,Duffy Waldorf,69,89.23,58,65
80,81,81,Cliff Kresge,107,89.22,91,102
81,82,82,Andrew Buckle,77,89.19,66,74
82,83,83,Tom Lehman,62,89.13,41,46
83,84,84,Jesper Parnevik,88,89.04,65,73
84,T85,T85,Richard Johnson,93,89.02,73,82
85,T85,T85,Justin Leonard,95,89.02,73,82
86,87,87,Mathias Grönberg,95,89.01,81,91
87,T88,T88,Mark Hensby,81,88.89,56,63
88,T88,T88,George McNeill,95,88.89,72,81
89,T88,T88,Phil Mickelson,73,88.89,48,54
90,T88,T88,Nick Watney,87,88.89,80,90
91,T88,T88,Jay Williamson,50,88.89,40,45
92,93,93,Jeff Quinney,95,88.75,71,80
93,94,94,Hunter Mahan,91,88.73,63,71
94,95,95,Padraig Harrington,64,88.68,47,53
95,96,96,Lucas Glover,98,88.61,70,79
96,T97,T97,J.J. Henry,86,88.57,62,70
97,T97,T97,Rory Sabbatini,81,88.57,62,70
98,99,99,Daisuke Maruyama,86,88.31,68,77
99,T100,T100,Chad Campbell,96,88.14,52,59
100,T100,T100,Jarrod Lyle,77,88.14,52,59
101,T100,T100,Steve Stricker,81,88.14,52,59
102,103,103,Briny Baird,115,87.91,80,91
103,104,104,Justin Rose,63,87.8,36,41
104,105,105,Jim Rutledge,59,87.76,43,49
105,106,106,Kyle Reifers,71,87.72,50,57
106,T107,T107,Jonathan Byrd,73,87.69,57,65
107,T107,T107,Rocco Mediate,72,87.69,57,65
108,109,109,Jeff Maggert,79,87.67,64,73
109,110,110,Heath Slocum,101,87.62,92,105
110,T111,T111,Parker McLachlin,83,87.5,63,72
111,T111,T111,Bob Tway,103,87.5,84,96
112,T111,T111,Tiger Woods,63,87.5,21,24
113,114,114,J.P. Hayes,89,87.38,90,103
114,115,115,Chris DiMarco,79,87.27,48,55
115,116,116,Bart Bryant,87,87.21,75,86
116,117,117,Shigeki Maruyama,84,87.06,74,85
117,T118,T118,Fred Funk,65,87.04,47,54
118,T118,T118,Davis Love III,66,87.04,47,54
119,120,120,Rich Beem,89,87.01,67,77
120,T121,T121,Mark Brooks,53,86.96,40,46
121,T121,T121,Kevin Na,84,86.96,80,92
122,T121,T121,Scott Verplank,82,86.96,60,69
123,124,124,David Toms,80,86.89,53,61
124,T125,T125,Ken Duke,112,86.87,86,99
125,T125,T125,Tim Petrovic,106,86.87,86,99
126,127,127,Woody Austin,95,86.84,66,76
127,128,128,José Coceres,50,86.79,46,53
128,129,129,Dean Wilson,92,86.75,72,83
129,130,130,Craig Lile,77,86.67,65,75
130,131,131,David Branshaw,83,86.59,71,82
131,132,132,Ryan Palmer,91,86.42,70,81
132,133,133,John Mallinger,96,86.36,95,110
133,134,134,John Senden,97,86.3,63,73
134,135,135,Jeff Gove,103,86.25,69,80
135,136,136,Freddie Jacobson,70,86.15,56,65
136,137,137,Marco Dawson,73,86.08,68,79
137,138,138,Craig Kanada,109,86.0,86,100
138,139,139,Gavin Coles,87,85.9,67,78
139,140,140,Peter Lonard,85,85.88,73,85
140,T141,T141,Michael Boyd,61,85.71,54,63
141,T141,T141,Jason Gore,86,85.71,60,70
142,T141,T141,Steve Marino,106,85.71,84,98
143,T141,T141,Billy Mayfair,98,85.71,66,77
144,T141,T141,Shaun Micheel,91,85.71,66,77
145,146,146,Charley Hoffman,97,85.57,83,97
146,147,147,Kenny Perry,83,85.53,65,76
147,148,148,Lee Janzen,66,85.42,41,48
148,149,149,Tim Herron,98,85.29,58,68
149,150,150,Johnson Wagner,97,85.26,81,95
150,151,151,Mark Calcavecchia,93,85.07,57,67
151,152,152,Kirk Triplett,77,84.93,62,73
152,153,153,Chris Couch,76,84.75,50,59
153,T154,T154,Billy Andrade,88,84.72,61,72
154,T154,T154,Joey Sindelar,75,84.72,61,72
155,156,156,J.B. Holmes,71,84.51,60,71
156,157,157,Cameron Beckman,96,84.38,54,64
157,T158,T158,Boo Weekley,101,84.21,64,76
158,T158,T158,Mark Wilson,87,84.21,64,76
159,160,160,Stephen Ames,81,84.13,53,63
160,161,161,Bill Haas,93,84.04,79,94
161,162,162,Todd Hamilton,76,83.93,47,56
162,163,163,Jaco Van Zyl,51,83.82,57,68
163,164,164,Ben Curtis,80,83.67,41,49
164,165,165,John Merrick,92,83.61,51,61
165,166,166,Brian Davis,101,83.48,96,115
166,167,167,Steve Elkington,87,83.12,64,77
167,168,168,Jeff Brehaut,59,83.05,49,59
168,T169,T169,Stuart Appleby,74,83.02,44,53
169,T169,T169,Brett Wetterich,88,83.02,44,53
170,T171,T171,Robert Allenby,90,82.67,62,75
171,T171,T171,Brendon de Jonge,76,82.67,62,75
172,T173,T173,Tripp Isenhour,86,82.35,70,85
173,T173,T173,José María Olazábal,52,82.35,28,34
174,175,175,Harrison Frazar,88,82.28,65,79
175,176,176,Steve Wheatcroft,73,82.26,51,62
176,177,177,Bryce Molder,56,81.97,50,61
177,178,178,Michael Putnam,96,81.67,49,60
178,179,179,Kent Jones,97,81.58,62,76
179,180,180,Vaughn Taylor,91,81.08,60,74
180,181,181,Alex Cejka,80,80.82,59,73
181,182,182,Steve Allan,63,80.36,45,56
182,183,183,Jeff Overton,60,80.33,49,61
183,T184,T184,Jason Dufner,100,80.23,69,86
184,T184,T184,Charles Warren,101,80.23,69,86
185,186,186,Joe Durant,88,80.0,60,75
186,187,187,Frank Lickliter II,95,79.76,67,84
187,188,188,Pat Perez,84,78.95,45,57
188,189,189,Robert Garrigus,95,78.65,70,89
189,190,190,John Daly,59,78.46,51,65
190,191,191,Kevin Stadler,95,78.05,64,82
191,192,192,Paul Stankowski,52,78.0,39,50
192,193,193,Anders Hansen,55,76.92,30,39
193,194,194,Glen Day,85,76.83,63,82
194,195,195,Darron Stiles,65,76.47,39,51
195,196,196,Paul Goydos,60,74.0,37,50
