,Left_Rough_Tendency_RANK THIS WEEK,Left_Rough_Tendency_RANK LAST WEEK,Left_Rough_Tendency_PLAYER NAME,Left_Rough_Tendency_ROUNDS,Left_Rough_Tendency_%,Left_Rough_Tendency_TOTAL LEFT ROUGH,Left_Rough_Tendency_POSSIBLE FWYS,Left_Rough_Tendency_RELATIVE TO PAR
47,48,48,Matt Gogel,79,3.47,32,923,+0.16
48,T49,T49,Notah Begay III,76,3.48,35,1007,+0.03
49,T49,T49,Jay Don Blake,107,3.48,48,1380,+0.17
50,51,51,John Riegger,88,3.49,39,1118,+0.05
51,52,52,Andrew Magee,91,3.51,41,1169,+0.12
52,53,53,Rocco Mediate,79,3.52,28,796,+0.39
53,T54,T54,Greg Chalmers,94,3.55,43,1211,+0.07
54,T54,T54,Blaine McCallister,75,3.55,34,959,+0.03
55,56,56,Justin Leonard,97,3.56,38,1066,+0.24
56,T57,T57,Chris DiMarco,111,3.57,44,1234,E
57,T57,T57,Bernhard Langer,55,3.57,19,532,+0.26
58,T59,T59,Robert Allenby,96,3.6,40,1110,+0.08
59,T59,T59,Matt Peterson,80,3.6,39,1084,+0.28
60,T61,T61,Glen Day,107,3.61,49,1358,+0.10
61,T61,T61,Joel Edwards,101,3.61,47,1302,+0.13
62,63,63,Paul Azinger,69,3.64,27,742,+0.19
63,T64,T64,Briny Baird,110,3.65,53,1452,+0.13
64,T64,T64,Brad Lardon,59,3.65,27,740,+0.22
65,66,66,Tim Clark,76,3.66,32,874,+0.16
66,T67,T67,David Peoples,105,3.7,52,1405,+0.02
67,T67,T67,Lee Porter,91,3.7,42,1136,+0.26
68,69,69,Mark O'Meara,68,3.72,26,698,+0.15
69,70,70,Garrett Willis,80,3.73,40,1073,+0.50
70,71,71,Steve Pate,64,3.74,29,776,+0.28
71,T72,T72,Jerry Kelly,99,3.75,44,1172,+0.14
72,T72,T72,Jeff Sluman,118,3.75,53,1412,+0.21
73,74,74,Shigeki Maruyama,87,3.76,36,957,-0.06
74,75,75,Tom Pernice Jr.,101,3.77,47,1246,+0.19
75,76,76,Dudley Hart,88,3.81,37,972,+0.22
76,T77,T77,Cameron Beckman,87,3.83,41,1070,+0.07
77,T77,T77,John Senden,96,3.83,45,1176,+0.09
78,79,79,Chad Campbell,111,3.86,54,1398,+0.02
79,80,80,Paul Goydos,66,3.87,32,826,+0.03
80,81,81,Scott Simpson,61,3.88,32,824,+0.03
81,T82,T82,Edward Fryatt,94,3.89,46,1184,+0.15
82,T82,T82,Tim Petrovic,92,3.89,45,1156,-0.04
83,T82,T82,Chris Riley,104,3.89,46,1182,-0.02
84,T82,T82,Jerry Smith,91,3.89,45,1156,+0.09
85,T86,T86,Billy Andrade,100,3.92,47,1199,-0.06
86,T86,T86,David Gossett,95,3.92,48,1225,E
87,88,88,Grant Waite,98,3.97,52,1309,+0.04
88,89,89,Rod Pampling,98,4.0,49,1226,+0.08
89,90,90,Peter Jacobsen,67,4.01,35,873,E
90,91,91,Frank Lickliter II,94,4.03,43,1068,+0.07
91,T92,T92,Bart Bryant,69,4.05,36,888,+0.28
92,T92,T92,Charles Howell III,118,4.05,53,1310,-0.11
93,T94,T94,Per-Ulrik Johansson,87,4.07,47,1156,+0.15
94,T94,T94,Chris Smith,103,4.07,50,1227,+0.14
95,96,96,K.J. Choi,93,4.09,43,1052,+0.02
96,97,97,David Morland IV,58,4.15,30,723,+0.13
97,T98,T98,Rich Beem,99,4.17,51,1223,+0.25
98,T98,T98,Jim Carter,98,4.17,49,1174,+0.06
99,T98,T98,Paul Claxton,83,4.17,45,1080,+0.22
100,T101,T101,Miguel Angel Jiménez,60,4.18,26,622,+0.31
101,T101,T101,Jay Williamson,91,4.18,50,1196,+0.20
102,T103,T103,Sergio Garcia,79,4.19,33,788,+0.21
103,T103,T103,Scott Hoch,71,4.19,34,812,+0.15
104,T103,T103,Kenneth Staton,104,4.19,55,1314,+0.02
105,106,106,Steve Jones,71,4.2,35,834,+0.03
106,T107,T107,Skip Kendall,103,4.24,56,1322,+0.14
107,T107,T107,Mike Weir,94,4.24,44,1038,+0.16
108,109,109,Bob Burns,99,4.25,54,1272,+0.06
109,T110,T110,Retief Goosen,56,4.26,24,564,+0.08
110,T110,T110,Mike Sposa,111,4.26,62,1457,+0.31
111,T110,T110,Kevin Sutherland,96,4.26,44,1034,+0.25
112,T113,T113,Stewart Cink,92,4.29,43,1003,+0.16
113,T113,T113,Kent Jones,105,4.29,56,1306,+0.13
114,T113,T113,Kenny Perry,98,4.29,51,1188,-0.08
115,116,116,Jonathan Byrd,96,4.3,52,1209,+0.04
116,T117,T117,Brian Gay,117,4.33,63,1456,-0.05
117,T117,T117,Jay Haas,83,4.33,44,1016,+0.23
118,T119,T119,Robert Gamez,69,4.34,38,876,+0.05
119,T119,T119,Jonathan Kaye,83,4.34,44,1014,+0.09
120,121,121,Shaun Micheel,100,4.38,56,1280,+0.05
121,T122,T122,Mark Brooks,97,4.43,50,1129,+0.22
122,T122,T122,John Daly,62,4.43,29,655,+0.45
123,T122,T122,Matt Kuchar,82,4.43,42,948,+0.10
124,T122,T122,Len Mattiace,106,4.43,57,1288,+0.09
125,T126,T126,Harrison Frazar,88,4.44,50,1127,+0.02
126,T126,T126,Duffy Waldorf,90,4.44,50,1127,+0.10
127,128,128,Steve Stricker,68,4.49,32,712,-0.09
128,129,129,J.P. Hayes,78,4.5,43,956,+0.07
129,130,130,Tommy Armour III,82,4.52,49,1084,+0.02
130,131,131,Brandt Jobe,94,4.53,56,1237,+0.20
131,132,132,David Toms,106,4.56,55,1206,+0.18
132,133,133,Brian Henninger,66,4.59,40,871,+0.10
133,134,134,Rory Sabbatini,69,4.62,35,757,E
134,135,135,Brian Bateman,94,4.65,55,1182,+0.15
135,136,136,J.L. Lewis,98,4.67,60,1284,+0.07
136,T137,T137,Bradley Hughes,60,4.68,36,770,+0.22
137,T137,T137,Michael Muehr,73,4.68,43,919,+0.16
138,T139,T139,Tom Byrum,77,4.69,45,960,+0.24
139,T139,T139,David Frost,90,4.69,55,1173,+0.11
140,141,141,J.J. Henry,112,4.72,67,1418,+0.12
141,142,142,Jason Hill,59,4.73,36,761,E
142,143,143,Jess Daley,76,4.74,46,971,-0.02
143,T144,T144,"David Berganio, Jr.",80,4.75,49,1032,+0.04
144,T144,T144,Brandel Chamblee,85,4.75,54,1138,+0.30
145,T144,T144,Lee Janzen,101,4.75,53,1115,+0.11
146,T144,T144,Ian Leggatt,97,4.75,54,1138,+0.24
147,T148,T148,Russ Cochran,68,4.76,43,904,+0.07
148,T148,T148,Tim Herron,102,4.76,56,1176,+0.14
149,T148,T148,Steve Lowery,98,4.76,53,1114,+0.06
150,151,151,David Duval,78,4.78,41,857,+0.24
151,152,152,Brett Wetterich,89,4.8,54,1124,+0.19
152,T153,T153,Jeff Brehaut,87,4.81,54,1122,+0.04
153,T153,T153,Neal Lancaster,101,4.81,61,1268,+0.20
154,155,155,Vijay Singh,102,4.82,54,1120,+0.04
155,T156,T156,Davis Love III,92,4.85,47,970,+0.11
156,T156,T156,Hidemichi Tanaka,104,4.85,61,1258,+0.13
157,T158,T158,Bob Heintz,68,4.94,43,871,+0.09
158,T158,T158,Bob Tway,103,4.94,60,1215,-0.10
159,160,160,Stephen Gangluff,75,5.02,48,956,+0.35
160,T161,T161,Ben Crane,91,5.04,55,1091,-0.05
161,T161,T161,Greg Kraft,86,5.04,56,1112,+0.39
162,T161,T161,Deane Pappas,90,5.04,58,1151,+0.10
163,T164,T164,Stuart Appleby,97,5.05,55,1090,+0.20
164,T164,T164,Boo Weekley,57,5.05,37,732,+0.35
165,166,166,Frank Nobilo,94,5.07,64,1263,+0.31
166,167,167,Woody Austin,102,5.1,65,1275,+0.28
167,168,168,Tiger Woods,69,5.11,36,704,-0.22
168,169,169,Ernie Els,68,5.12,33,644,+0.12
169,T170,T170,Luke Donald,106,5.13,68,1326,+0.12
170,T170,T170,Geoff Ogilvy,90,5.13,59,1151,+0.15
171,172,172,Gary Nicklaus,66,5.15,44,855,+0.11
172,T173,T173,Phil Mickelson,97,5.18,55,1062,+0.09
173,T173,T173,Dennis Paulson,89,5.18,60,1159,+0.12
174,175,175,Phil Tataurangi,88,5.22,55,1053,+0.13
175,T176,T176,Brad Elder,76,5.33,51,956,+0.10
176,T176,T176,Robin Freeman,79,5.33,54,1014,+0.11
177,T178,T178,Craig Barlow,62,5.38,42,780,+0.02
178,T178,T178,Jeff Gove,89,5.38,61,1134,+0.18
179,T180,T180,Spike McRoy,69,5.41,41,758,+0.05
180,T180,T180,Paul Stankowski,100,5.41,66,1219,+0.20
181,182,182,Craig Perks,91,5.43,54,994,+0.20
182,183,183,Bo Van Pelt,78,5.47,54,988,+0.24
183,184,184,Joe Ogilvie,50,5.52,35,634,+0.37
184,185,185,Carlos Franco,107,5.58,76,1362,+0.04
185,T186,T186,Eduardo Herrera,59,5.61,46,820,+0.33
186,T186,T186,Scott McCarron,106,5.61,63,1122,+0.08
187,T188,T188,Bryce Molder,65,5.66,47,830,E
188,T188,T188,Tom Scherrer,98,5.66,72,1271,+0.08
189,190,190,Tommy Tolles,64,5.69,47,826,+0.06
190,191,191,Mike Hulbert,55,5.77,41,711,+0.22
191,192,192,Tripp Isenhour,68,5.9,52,882,+0.02
192,193,193,Franklin Langham,72,5.94,52,876,+0.23
193,194,194,Bob May,91,6.21,73,1176,+0.11
194,195,195,Steve Allan,93,6.22,74,1189,+0.22
195,196,196,Joey Sindelar,104,6.26,80,1278,+0.01
196,197,197,Mathew Goggin,64,6.41,51,796,+0.27
197,198,198,Michael Long,71,6.78,62,915,+0.03
198,199,199,Brett Quigley,93,6.95,86,1238,+0.14
199,200,200,Dicky Pride,51,6.97,45,646,+0.29
200,201,201,Brenden Pappas,62,7.37,59,801,+0.24
201,202,202,José María Olazábal,71,8.48,57,672,+0.28
