,Ball_Striking_RANK THIS WEEK,Ball_Striking_RANK LAST WEEK,Ball_Striking_PLAYER NAME,Ball_Striking_ROUNDS,Ball_Striking_VALUE,Ball_Striking_TOTAL DRV RANK,Ball_Striking_GIR RANK
146,147,147,Brandel Chamblee,85,278,175,103
147,148,148,Kaname Yokoo,74,279,80,199
148,149,149,Mike Sposa,111,280,149,131
149,150,150,Jason Hill,59,281,162,119
150,151,151,Scott Dunlap,74,283,173,110
151,152,152,Neal Lancaster,101,284,147,137
152,153,153,Fulton Allem,64,289,108,181
153,T154,T154,Ernie Els,68,290,155,135
154,T154,T154,Brenden Pappas,62,290,132,158
155,156,156,Jay Don Blake,107,292,152,140
156,157,157,Tommy Tolles,64,293,129,164
157,158,158,John Daly,62,295,100,195
158,159,159,Skip Kendall,103,301,140,161
159,160,160,Shigeki Maruyama,87,305,157,148
160,161,161,Tom Scherrer,98,306,186,120
161,162,162,Jess Daley,76,308,159,149
162,163,163,J.P. Hayes,78,309,165,144
163,T164,T164,Brad Elder,76,312,159,153
164,T164,T164,Andrew Magee,91,312,152,160
165,T166,T166,Mark Brooks,97,313,143,170
166,T166,T166,Lee Porter,91,313,138,175
167,168,168,Jesper Parnevik,85,315,189,126
168,169,169,Eduardo Herrera,59,321,120,201
169,T170,T170,Mark O'Meara,68,322,180,142
170,T170,T170,Corey Pavin,78,322,126,196
171,172,172,Miguel Angel Jiménez,60,323,145,178
172,173,173,Pete Jordan,78,325,143,182
173,174,174,Billy Andrade,100,326,177,149
174,175,175,Steve Stricker,68,329,146,183
175,176,176,Bernhard Langer,55,330,184,146
176,T177,T177,Matt Gogel,79,339,177,162
177,T177,T177,Brett Quigley,93,339,171,168
178,179,179,Brad Faxon,93,340,186,154
179,180,180,Steve Elkington,82,342,169,173
180,181,181,Greg Chalmers,94,344,181,163
181,182,182,Franklin Langham,72,345,168,177
182,183,183,Woody Austin,102,347,167,180
183,184,184,Jay Haas,83,348,192,156
184,T185,T185,Michael Allen,76,350,158,192
185,T185,T185,Bryce Molder,65,350,193,157
186,187,187,Deane Pappas,90,352,164,188
187,188,188,José Coceres,51,357,159,198
188,189,189,Greg Kraft,86,363,194,169
189,190,190,David Frost,90,365,191,174
190,191,191,Bob Heintz,68,367,165,202
191,192,192,Gary Nicklaus,66,370,195,175
192,193,193,Jerry Smith,91,373,183,190
193,194,194,Craig Perks,91,376,190,186
194,195,195,Paul Azinger,69,381,196,185
195,196,196,Joe Ogilvie,50,384,184,200
196,197,197,Michael Muehr,73,385,201,184
197,198,198,Brian Watts,58,386,197,189
198,T199,T199,Mike Hulbert,55,393,200,193
199,T199,T199,José María Olazábal,71,393,202,191
200,T199,T199,Richard Zokol,53,393,199,194
201,202,202,Scott Simpson,61,395,198,197
