,Scrambling_from_the_Sand_RANK THIS WEEK,Scrambling_from_the_Sand_RANK LAST WEEK,Scrambling_from_the_Sand_PLAYER NAME,Scrambling_from_the_Sand_ROUNDS,Scrambling_from_the_Sand_%,Scrambling_from_the_Sand_SUCCESSES,Scrambling_from_the_Sand_ATTEMPTS
58,59,59,John Senden,101,55.24,58,105
59,60,60,Craig Perks,67,55.13,43,78
60,61,61,Justin Bolli,65,55.0,44,80
61,T62,T62,Michael Allen,90,54.95,50,91
62,T62,T62,Dean Wilson,86,54.95,50,91
63,64,64,Kevin Na,88,54.87,62,113
64,65,65,Charles Howell III,95,54.84,51,93
65,66,66,Mark Brooks,72,54.74,52,95
66,67,67,Mark Hensby,70,54.72,29,53
67,68,68,Steve Allan,102,54.64,53,97
68,69,69,Billy Mayfair,114,54.55,60,110
69,70,70,Steve Flesch,90,54.43,43,79
70,71,71,Rory Sabbatini,81,54.41,37,68
71,72,72,Lee Janzen,75,54.29,38,70
72,73,73,Ryan Palmer,101,54.21,58,107
73,T74,T74,Mark Calcavecchia,92,54.17,52,96
74,T74,T74,Fred Couples,72,54.17,26,48
75,T74,T74,Bernhard Langer,67,54.17,39,72
76,77,77,Stewart Cink,98,54.12,46,85
77,78,78,Doug Barron,70,54.05,40,74
78,79,79,D.A. Points,94,54.0,54,100
79,80,80,Andrew Magee,82,53.92,55,102
80,81,81,Brad Faxon,75,53.85,49,91
81,82,82,Tom Gillis,77,53.76,50,93
82,83,83,Justin Leonard,78,53.52,38,71
83,84,84,Jerry Kelly,101,53.33,48,90
84,T85,T85,Danny Briggs,70,53.19,50,94
85,T85,T85,Heath Slocum,103,53.19,50,94
86,87,87,Greg Owen,84,52.94,45,85
87,T88,T88,Franklin Langham,91,52.63,50,95
88,T88,T88,Loren Roberts,54,52.63,30,57
89,90,90,Retief Goosen,71,52.5,21,40
90,91,91,Aaron Baddeley,84,52.22,47,90
91,92,92,Ted Purdy,122,52.14,61,117
92,93,93,Tom Lehman,69,52.11,37,71
93,94,94,Darron Stiles,78,52.0,52,100
94,95,95,Mario Tiziani,67,51.95,40,77
95,96,96,Sean O'Hair,103,51.92,54,104
96,97,97,Justin Rose,99,51.79,58,112
97,98,98,Scott Hend,75,51.76,44,85
98,99,99,Hidemichi Tanaka,106,51.67,62,120
99,100,100,Hideto Tanihara,50,51.52,34,66
100,101,101,Zach Johnson,96,51.49,52,101
101,102,102,Jonathan Byrd,103,51.3,59,115
102,103,103,Tom Pernice Jr.,111,51.24,62,121
103,104,104,Cameron Beckman,96,50.98,52,102
104,105,105,Neal Lancaster,95,50.93,55,108
105,106,106,Stuart Appleby,84,50.68,37,73
106,T107,T107,Jason Bohn,91,50.53,48,95
107,T107,T107,Alex Cejka,84,50.53,48,95
108,T109,T109,Olin Browne,99,50.0,47,94
109,T109,T109,John Cook,72,50.0,44,88
110,T109,T109,Chris DiMarco,83,50.0,35,70
111,T109,T109,Bob Estes,92,50.0,50,100
112,T109,T109,Paul Gow,78,50.0,47,94
113,T109,T109,Tag Ridings,93,50.0,41,82
114,T109,T109,Steve Stricker,62,50.0,42,84
115,T109,T109,Jay Williamson,53,50.0,34,68
116,117,117,Todd Fischer,99,49.57,58,117
117,118,118,Matt Gogel,78,49.5,50,101
118,119,119,Hunter Haas,83,49.49,49,99
119,120,120,Arron Oberholser,65,49.28,34,69
120,T121,T121,Glen Hnatiuk,59,49.21,31,63
121,T121,T121,Ian Poulter,62,49.21,31,63
122,T123,T123,Carlos Franco,78,49.15,29,59
123,T123,T123,David Toms,87,49.15,29,59
124,125,125,Robert Gamez,91,49.12,56,114
125,126,126,D.J. Trahan,81,48.75,39,80
126,127,127,Jeff Hart,63,48.57,34,70
127,128,128,Steve Elkington,67,48.53,33,68
128,129,129,Bart Bryant,91,48.42,46,95
129,130,130,Kent Jones,99,48.39,60,124
130,131,131,Chris Anderson,66,48.35,44,91
131,132,132,Paul Azinger,66,48.24,41,85
132,133,133,Hank Kuehne,84,48.21,54,112
133,T134,T134,J.L. Lewis,98,48.19,40,83
134,T134,T134,Peter Lonard,85,48.19,40,83
135,T136,T136,Rocco Mediate,73,48.0,36,75
136,T136,T136,Vaughn Taylor,99,48.0,48,100
137,138,138,J.J. Henry,102,47.92,46,96
138,139,139,John Daly,78,47.76,32,67
139,140,140,Jeff Maggert,79,47.69,31,65
140,141,141,Dudley Hart,84,47.62,40,84
141,142,142,Woody Austin,100,47.54,58,122
142,143,143,Duffy Waldorf,86,47.42,46,97
143,144,144,Matt Davidson,53,47.3,35,74
144,145,145,Kenny Perry,82,47.17,25,53
145,146,146,Dennis Paulson,63,47.13,41,87
146,T147,T147,Paul Claxton,79,46.99,39,83
147,T147,T147,Lucas Glover,88,46.99,39,83
148,149,149,Bo Van Pelt,112,46.88,45,96
149,150,150,Tom Byrum,83,46.81,44,94
150,151,151,Steve Lowery,100,46.74,43,92
151,T152,T152,Jay Haas,54,46.67,28,60
152,T152,T152,Skip Kendall,80,46.67,49,105
153,154,154,Brenden Pappas,51,46.15,18,39
154,T155,T155,Chad Campbell,95,46.07,41,89
155,T155,T155,Bob Heintz,67,46.07,41,89
156,157,157,Jim Carter,62,45.78,38,83
157,158,158,J.P. Hayes,63,45.21,33,73
158,159,159,Jesper Parnevik,84,44.94,40,89
159,160,160,Will MacKenzie,75,44.83,26,58
160,161,161,John Huston,90,44.66,46,103
161,162,162,Jeff Brehaut,71,44.64,25,56
162,T163,T163,Jason Allred,75,44.55,45,101
163,T163,T163,Harrison Frazar,105,44.55,49,110
164,165,165,Arjun Atwal,65,44.3,35,79
165,166,166,Tim Petrovic,97,44.04,48,109
166,167,167,Joe Durant,81,43.84,32,73
167,168,168,Joey Sindelar,104,43.64,48,110
168,169,169,Lee Westwood,50,43.33,13,30
169,T170,T170,Rod Pampling,89,43.06,31,72
170,T170,T170,Rob Rashell,65,43.06,31,72
171,172,172,Nick Watney,91,43.02,37,86
172,173,173,John Rollins,97,42.99,46,107
173,T174,T174,Adam Scott,72,42.86,21,49
174,T174,T174,Kevin Stadler,96,42.86,42,98
175,176,176,Tommy Armour III,103,42.55,40,94
176,177,177,Michael Long,72,42.5,34,80
177,178,178,Todd Hamilton,94,42.42,42,99
178,179,179,Frank Lickliter II,100,42.39,39,92
179,180,180,Scott Gutschewski,86,42.25,30,71
180,181,181,Mathias Grönberg,60,41.82,23,55
181,182,182,Briny Baird,98,41.75,43,103
182,183,183,Jonathan Kaye,77,41.67,30,72
183,184,184,Brian Bateman,98,41.3,38,92
184,185,185,Scott McCarron,78,40.82,40,98
185,T186,T186,Bradley Hughes,52,40.32,25,62
186,T186,T186,Brett Wetterich,76,40.32,25,62
187,188,188,Ben Curtis,65,40.26,31,77
188,189,189,Chris Smith,93,40.23,35,87
189,190,190,Bill Glasson,54,40.0,20,50
190,191,191,Roland Thatcher,75,39.71,27,68
191,192,192,Thomas Levet,54,37.25,19,51
192,193,193,Brandt Jobe,96,37.08,33,89
193,194,194,John Elliott,58,36.99,27,73
194,195,195,Steve Jones,56,36.62,26,71
195,196,196,David Hearn,68,36.51,23,63
196,197,197,Hunter Mahan,103,36.36,36,99
197,198,198,Shaun Micheel,81,35.82,24,67
198,199,199,Joey Snyder III,102,35.14,39,111
199,T200,T200,D.J. Brigman,76,33.33,26,78
200,T200,T200,Charles Warren,89,33.33,26,78
201,202,202,Patrick Sheehan,114,32.48,38,117
