,Scrambling_from_the_Fringe_RANK THIS WEEK,Scrambling_from_the_Fringe_RANK LAST WEEK,Scrambling_from_the_Fringe_PLAYER NAME,Scrambling_from_the_Fringe_ROUNDS,Scrambling_from_the_Fringe_%,Scrambling_from_the_Fringe_SUCCESSES,Scrambling_from_the_Fringe_ATTEMPTS
78,79,79,Steve Lowery,100,86.52,122,141
79,80,80,Mike Weir,71,86.44,51,59
80,T81,T81,K.J. Choi,78,86.36,57,66
81,T81,T81,Tjaart van der Walt,56,86.36,57,66
82,83,83,Geoff Ogilvy,97,86.32,82,95
83,84,84,Daniel Chopra,108,86.3,126,146
84,85,85,Mark Brooks,72,86.21,75,87
85,86,86,Brendan Jones,81,86.17,81,94
86,87,87,Hideto Tanihara,50,86.15,56,65
87,88,88,Michael Allen,90,86.07,105,122
88,T89,T89,Doug Barron,70,86.0,86,100
89,T89,T89,John Senden,101,86.0,129,150
90,91,91,Tim Herron,100,85.95,104,121
91,92,92,Stuart Appleby,84,85.94,55,64
92,T93,T93,Bob Heintz,67,85.92,61,71
93,T93,T93,Tiger Woods,76,85.92,61,71
94,95,95,Scott Verplank,87,85.88,73,85
95,96,96,Joey Snyder III,102,85.85,91,106
96,T97,T97,Brian Bateman,98,85.71,102,119
97,T97,T97,Steve Elkington,67,85.71,60,70
98,T97,T97,Ryuji Imada,78,85.71,78,91
99,T97,T97,Davis Love III,80,85.71,60,70
100,101,101,Tim Petrovic,97,85.58,89,104
101,102,102,Rocco Mediate,73,85.57,83,97
102,103,103,Carlos Franco,78,85.56,77,90
103,104,104,Arjun Atwal,65,85.48,53,62
104,105,105,Woody Austin,100,85.4,117,137
105,106,106,Steve Allan,102,85.37,105,123
106,107,107,Chris Riley,67,85.33,64,75
107,108,108,Rob Rashell,65,85.23,75,88
108,T109,T109,Padraig Harrington,50,85.19,46,54
109,T109,T109,Hidemichi Tanaka,106,85.19,115,135
110,111,111,Charles Warren,89,85.15,86,101
111,T112,T112,Scott Hend,75,85.0,85,100
112,T112,T112,Freddie Jacobson,72,85.0,68,80
113,T114,T114,Cameron Beckman,96,84.96,113,133
114,T114,T114,Bo Van Pelt,112,84.96,113,133
115,116,116,Shaun Micheel,81,84.95,79,93
116,117,117,Kirk Triplett,55,84.93,62,73
117,118,118,Lucas Glover,88,84.91,90,106
118,119,119,Jay Williamson,53,84.88,73,86
119,120,120,Brett Wetterich,76,84.81,67,79
120,121,121,Paul Azinger,66,84.78,78,92
121,122,122,Vaughn Taylor,99,84.68,94,111
122,123,123,Brian Gay,101,84.62,121,143
123,124,124,Bob Estes,92,84.43,103,122
124,125,125,Craig Perks,67,84.38,81,96
125,126,126,Aaron Baddeley,84,84.31,86,102
126,T127,T127,Sean O'Hair,103,84.3,102,121
127,T127,T127,Chris Smith,93,84.3,102,121
128,129,129,Jay Haas,54,84.29,59,70
129,T130,T130,Robert Gamez,91,84.25,107,127
130,T130,T130,Brett Quigley,96,84.25,107,127
131,132,132,Ted Purdy,122,84.17,101,120
132,133,133,Stephen Leaney,89,84.16,85,101
133,134,134,David Hearn,68,84.15,69,82
134,135,135,Tag Ridings,93,84.07,95,113
135,136,136,Tommy Armour III,103,84.06,116,138
136,137,137,Mark Calcavecchia,92,83.97,110,131
137,138,138,Stephen Ames,82,83.91,73,87
138,T139,T139,Will MacKenzie,75,83.87,78,93
139,T139,T139,Roland Thatcher,75,83.87,52,62
140,T141,T141,Olin Browne,99,83.84,83,99
141,T141,T141,Bart Bryant,91,83.84,83,99
142,143,143,Jeff Brehaut,71,83.82,57,68
143,144,144,Steve Jones,56,83.75,67,80
144,145,145,John Elliott,58,83.72,72,86
145,146,146,Jeff Maggert,79,83.67,82,98
146,147,147,James Driscoll,73,83.52,76,91
147,148,148,Hunter Mahan,103,83.49,91,109
148,149,149,Heath Slocum,103,83.47,101,121
149,150,150,Tom Pernice Jr.,111,83.45,116,139
150,151,151,Chris Anderson,66,83.13,69,83
151,T152,T152,John Huston,90,83.05,98,118
152,T152,T152,Arron Oberholser,65,83.05,49,59
153,154,154,Mark O'Meara,66,82.95,73,88
154,155,155,Matt Davidson,53,82.81,53,64
155,T156,T156,Gavin Coles,70,82.65,81,98
156,T156,T156,Fred Funk,102,82.65,81,98
157,158,158,Hank Kuehne,84,82.57,90,109
158,159,159,Danny Briggs,70,82.56,71,86
159,160,160,Fred Couples,72,82.54,52,63
160,161,161,Jeff Sluman,94,82.44,108,131
161,162,162,Joe Durant,81,82.14,69,84
162,T163,T163,Matt Gogel,78,82.11,78,95
163,T163,T163,Michael Long,72,82.11,78,95
164,165,165,Brian Davis,75,82.08,87,106
165,166,166,Hunter Haas,83,82.02,73,89
166,167,167,Dennis Paulson,63,81.94,59,72
167,T168,T168,Tim Clark,92,81.82,72,88
168,T168,T168,Jeff Hart,63,81.82,81,99
169,T168,T168,Glen Hnatiuk,59,81.82,54,66
170,171,171,Charles Howell III,95,81.73,85,104
171,172,172,Len Mattiace,86,81.72,76,93
172,173,173,Franklin Langham,91,81.68,107,131
173,174,174,Paul Gow,78,81.58,93,114
174,175,175,Jonathan Kaye,77,81.33,61,75
175,176,176,Brent Geiberger,61,81.25,65,80
176,T177,T177,J.J. Henry,102,80.91,89,110
177,T177,T177,Omar Uresti,84,80.91,89,110
178,179,179,Brandt Jobe,96,80.67,96,119
179,180,180,Robert Allenby,95,80.65,75,93
180,181,181,Frank Lickliter II,100,80.17,97,121
181,182,182,Billy Mayfair,114,80.15,105,131
182,183,183,D.J. Brigman,76,80.0,68,85
183,184,184,D.J. Trahan,81,79.8,79,99
184,185,185,Joe Ogilvie,103,79.65,90,113
185,186,186,John Rollins,97,79.46,89,112
186,187,187,Ben Curtis,65,79.45,58,73
187,188,188,Larry Mize,54,79.1,53,67
188,189,189,Robert Damron,89,78.99,94,119
189,190,190,Mark Wilson,74,78.89,71,90
190,191,191,Bradley Hughes,52,78.67,59,75
191,T192,T192,Neal Lancaster,95,78.57,88,112
192,T192,T192,Lee Westwood,50,78.57,44,56
193,194,194,Tom Gillis,77,77.97,92,118
194,195,195,Justin Bolli,65,77.38,65,84
195,196,196,Todd Hamilton,94,76.85,83,108
196,197,197,Adam Scott,72,75.81,47,62
197,198,198,Mark Hensby,70,74.55,41,55
198,199,199,Paul Claxton,79,74.44,67,90
199,200,200,John Cook,72,74.19,69,93
200,201,201,Jim Carter,62,73.2,71,97
201,202,202,Thomas Levet,54,71.11,32,45
