,Sand_Save_Percentage_RANK THIS WEEK,Sand_Save_Percentage_RANK LAST WEEK,Sand_Save_Percentage_PLAYER NAME,Sand_Save_Percentage_ROUNDS,Sand_Save_Percentage_%,Sand_Save_Percentage_# SAVES,Sand_Save_Percentage_# BUNKERS,Sand_Save_Percentage_TOTAL O/U PAR
44,45,45,Ryuji Imada,85,54.66,88,161,56.0
45,46,46,Robert Allenby,71,54.64,53,97,28.0
46,T47,T47,Steve Flesch,77,54.55,78,143,52.0
47,T47,T47,Jim Furyk,86,54.55,66,121,37.0
48,49,49,Steve Stricker,81,54.23,77,142,50.0
49,50,50,Zach Johnson,94,54.14,72,133,45.0
50,51,51,John Senden,100,53.85,91,169,53.0
51,52,52,Dean Wilson,81,53.77,57,106,40.0
52,53,53,Darron Stiles,52,53.73,36,67,23.0
53,54,54,Anthony Kim,76,53.38,71,133,45.0
54,55,55,Y.E. Yang,83,53.28,73,137,38.0
55,56,56,Alex Cejka,82,53.27,57,107,38.0
56,57,57,Tim Petrovic,97,53.18,92,173,49.0
57,58,58,K.J. Choi,65,53.13,51,96,34.0
58,59,59,Mark Brooks,55,53.09,43,81,35.0
59,60,60,Corey Pavin,73,53.06,52,98,42.0
60,61,61,Justin Leonard,95,53.02,79,149,50.0
61,T62,T62,Lee Janzen,74,52.94,63,119,52.0
62,T62,T62,Parker McLachlin,71,52.94,72,136,50.0
63,64,64,Woody Austin,84,52.9,73,138,44.0
64,65,65,Dustin Johnson,85,52.89,64,121,31.0
65,66,66,Sergio Garcia,59,52.88,55,104,31.0
66,67,67,Kenny Perry,92,52.76,67,127,34.0
67,68,68,Scott McCarron,91,52.53,83,158,67.0
68,T69,T69,John Rollins,92,52.38,88,168,46.0
69,T69,T69,Vaughn Taylor,88,52.38,77,147,46.0
70,71,71,Matt Jones,56,52.31,34,65,11.0
71,72,72,Tim Herron,87,52.29,80,153,47.0
72,73,73,Davis Love III,89,52.21,71,136,44.0
73,74,74,Jeff Quinney,78,52.1,62,119,49.0
74,75,75,Chad Campbell,90,52.07,63,121,37.0
75,76,76,Ángel Cabrera,55,51.92,54,104,44.0
76,T77,T77,David Duval,56,51.85,42,81,41.0
77,T77,T77,Derek Fathauer,63,51.85,56,108,37.0
78,T77,T77,Jay Williamson,69,51.85,42,81,30.0
79,80,80,Sean O'Hair,80,51.75,59,114,36.0
80,81,81,Scott Verplank,88,51.7,76,147,57.0
81,82,82,J.J. Henry,97,51.64,63,122,28.0
82,83,83,Brian Davis,103,51.55,83,161,64.0
83,84,84,Glen Day,79,51.46,53,103,35.0
84,85,85,Stephen Ames,77,51.33,58,113,29.0
85,86,86,Carl Pettersson,86,51.05,73,143,46.0
86,87,87,Jarrod Lyle,65,51.02,50,98,33.0
87,88,88,Mark Calcavecchia,72,50.96,53,104,38.0
88,T89,T89,Richard Johnson,85,50.72,70,138,58.0
89,T89,T89,Brandt Snedeker,81,50.72,70,138,55.0
90,91,91,Kevin Stadler,65,50.67,38,75,25.0
91,92,92,Peter Tomasulo,61,50.59,43,85,34.0
92,93,93,Jeff Maggert,79,50.41,62,123,45.0
93,T94,T94,Chez Reavie,81,50.39,65,129,52.0
94,T94,T94,David Toms,98,50.39,64,127,40.0
95,96,96,Aaron Baddeley,66,50.36,70,139,66.0
96,T97,T97,Brendon de Jonge,90,50.0,72,144,42.0
97,T97,T97,Rory Sabbatini,81,50.0,69,138,46.0
98,T97,T97,Nicholas Thompson,96,50.0,83,166,47.0
99,100,100,Nick Watney,86,49.67,76,153,51.0
100,101,101,Ryan Palmer,78,49.63,67,135,39.0
101,102,102,Jeff Klauk,97,49.38,80,162,63.0
102,103,103,Daniel Chopra,89,49.08,80,163,60.0
103,104,104,Bo Van Pelt,100,49.02,75,153,45.0
104,105,105,Camilo Villegas,76,48.84,63,129,42.0
105,106,106,Bill Lunde,83,48.8,61,125,45.0
106,107,107,Marc Leishman,91,48.59,69,142,46.0
107,108,108,Charles Howell III,99,48.32,72,149,55.0
108,109,109,Brad Faxon,59,48.28,70,145,67.0
109,T110,T110,Ernie Els,70,48.0,60,125,47.0
110,T110,T110,Jason Gore,74,48.0,48,100,30.0
111,112,112,Spencer Levin,75,47.87,45,94,29.0
112,113,113,Greg Chalmers,85,47.83,55,115,37.0
113,T114,T114,Rocco Mediate,79,47.37,54,114,42.0
114,T114,T114,Charles Warren,63,47.37,45,95,24.0
115,116,116,Rich Beem,77,47.31,44,93,34.0
116,117,117,Ryan Moore,89,47.26,69,146,64.0
117,118,118,Eric Axley,71,47.2,59,125,69.0
118,119,119,Michael Allen,73,47.17,50,106,33.0
119,T120,T120,Stuart Appleby,79,47.06,72,153,59.0
120,T120,T120,Patrick Sheehan,51,47.06,24,51,23.0
121,122,122,James Nitties,86,46.81,66,141,52.0
122,123,123,Adam Scott,53,46.74,43,92,33.0
123,T124,T124,Stewart Cink,79,46.72,57,122,58.0
124,T124,T124,Todd Hamilton,83,46.72,64,137,70.0
125,126,126,Phil Mickelson,66,46.61,55,118,45.0
126,127,127,Brian Vranesh,51,46.58,34,73,31.0
127,128,128,Harrison Frazar,93,46.56,61,131,39.0
128,129,129,Bob Estes,78,46.51,60,129,59.0
129,130,130,Charley Hoffman,97,46.47,79,170,56.0
130,131,131,Chris Stroud,88,46.4,58,125,52.0
131,132,132,Scott Piercy,85,46.38,64,138,51.0
132,133,133,Mathew Goggin,76,46.34,57,123,41.0
133,134,134,Steve Elkington,70,46.3,50,108,43.0
134,135,135,Jonathan Byrd,89,46.25,74,160,52.0
135,136,136,Kevin Streelman,97,46.15,66,143,61.0
136,T137,T137,Greg Owen,97,45.86,61,133,43.0
137,T137,T137,Bubba Watson,73,45.86,61,133,54.0
138,139,139,Matt Bettencourt,98,45.73,75,164,72.0
139,140,140,Rick Price,54,45.71,32,70,29.0
140,141,141,Jeff Overton,92,45.68,74,162,58.0
141,142,142,Brett Quigley,92,45.6,57,125,67.0
142,143,143,Casey Wittenberg,71,45.45,45,99,45.0
143,144,144,D.A. Points,99,45.22,71,157,52.0
144,T145,T145,Pat Perez,74,45.16,56,124,47.0
145,T145,T145,Scott Sterling,51,45.16,28,62,25.0
146,147,147,Steve Marino,98,45.06,73,162,55.0
147,148,148,Vijay Singh,71,44.92,53,118,40.0
148,149,149,Ted Purdy,101,44.76,64,143,57.0
149,150,150,Peter Lonard,86,44.63,54,121,54.0
150,151,151,Steve Lowery,83,44.44,76,171,71.0
151,152,152,Johnson Wagner,81,43.94,58,132,47.0
152,153,153,Paul Goydos,79,43.8,60,137,74.0
153,154,154,Tag Ridings,50,43.75,28,64,22.0
154,155,155,Brendon Todd,53,43.42,33,76,39.0
155,156,156,Heath Slocum,95,43.17,60,139,61.0
156,157,157,J.B. Holmes,74,42.86,60,140,73.0
157,158,158,Ricky Barnes,67,42.7,38,89,29.0
158,T159,T159,John Mallinger,90,42.54,57,134,68.0
159,T159,T159,Billy Mayfair,83,42.54,57,134,64.0
160,161,161,Andres Romero,58,42.42,42,99,44.0
161,162,162,Boo Weekley,79,42.0,42,100,37.0
162,163,163,D.J. Trahan,96,41.91,57,136,50.0
163,164,164,Robert Garrigus,83,41.59,47,113,35.0
164,165,165,Jason Dufner,90,41.09,53,129,57.0
165,T166,T166,Brian Bateman,55,40.74,33,81,35.0
166,T166,T166,Tom Lehman,55,40.74,33,81,42.0
167,168,168,Bart Bryant,58,40.63,39,96,53.0
168,169,169,Kent Jones,73,39.64,44,111,56.0
169,170,170,John Merrick,91,39.53,51,129,58.0
170,171,171,Colt Knost,71,39.51,32,81,45.0
171,172,172,Kirk Triplett,60,39.19,29,74,44.0
172,T173,T173,Kris Blanks,60,38.89,28,72,35.0
173,T173,T173,Martin Laird,72,38.89,49,126,49.0
174,175,175,Joe Durant,62,38.46,25,65,38.0
175,176,176,Marc Turnesa,77,38.41,53,138,78.0
176,177,177,Tommy Armour III,58,38.03,27,71,40.0
177,178,178,Will MacKenzie,69,37.5,42,112,45.0
178,179,179,Troy Matteson,95,37.4,49,131,61.0
179,180,180,Leif Olson,51,36.71,29,79,51.0
180,181,181,Greg Kraft,51,36.14,30,83,64.0
181,182,182,Jason Bohn,88,34.82,39,112,56.0
182,183,183,Fred Couples,54,33.33,28,84,44.0
183,184,184,Gary Woodland,53,31.67,19,60,31.0
