,Scrambling_from_the_Fringe_RANK THIS WEEK,Scrambling_from_the_Fringe_RANK LAST WEEK,Scrambling_from_the_Fringe_PLAYER NAME,Scrambling_from_the_Fringe_ROUNDS,Scrambling_from_the_Fringe_%,Scrambling_from_the_Fringe_SUCCESSES,Scrambling_from_the_Fringe_ATTEMPTS
34,35,35,Jim Furyk,86,91.94,57,62
35,36,36,Matt Jones,56,91.84,45,49
36,37,37,George McNeill,82,91.78,67,73
37,T38,T38,Bart Bryant,58,91.67,33,36
38,T38,T38,Ben Curtis,63,91.67,33,36
39,T38,T38,Jarrod Lyle,65,91.67,44,48
40,41,41,Heath Slocum,95,91.57,76,83
41,42,42,Vijay Singh,71,91.49,43,47
42,43,43,Tom Lehman,55,91.43,32,35
43,44,44,Ernie Els,70,91.38,53,58
44,T45,T45,Harrison Frazar,93,91.23,52,57
45,T45,T45,Colt Knost,71,91.23,52,57
46,47,47,Ricky Barnes,67,91.11,41,45
47,48,48,Jason Dufner,90,91.04,61,67
48,T49,T49,Daniel Chopra,89,90.91,70,77
49,T49,T49,Ryuji Imada,85,90.91,60,66
50,T49,T49,Jeff Klauk,97,90.91,70,77
51,52,52,Michael Letzig,96,90.8,79,87
52,T53,T53,Joe Ogilvie,85,90.79,69,76
53,T53,T53,Chris Riley,77,90.79,69,76
54,T55,T55,Woody Austin,84,90.77,59,65
55,T55,T55,Ryan Moore,89,90.77,59,65
56,T57,T57,Kris Blanks,60,90.74,49,54
57,T57,T57,Spencer Levin,75,90.74,49,54
58,59,59,Patrick Sheehan,51,90.7,39,43
59,60,60,Nicholas Thompson,96,90.67,68,75
60,61,61,Charlie Wi,92,90.41,66,73
61,62,62,Bo Van Pelt,100,90.36,75,83
62,63,63,Stewart Cink,79,90.32,56,62
63,64,64,Ángel Cabrera,55,90.24,37,41
64,65,65,Casey Wittenberg,71,90.16,55,61
65,66,66,Brandt Snedeker,81,90.14,64,71
66,67,67,Jeff Maggert,79,89.87,71,79
67,68,68,Tim Herron,87,89.86,62,69
68,69,69,Steve Elkington,70,89.83,53,59
69,70,70,Luke Donald,79,89.8,44,49
70,T71,T71,Steve Flesch,77,89.71,61,68
71,T71,T71,James Nitties,86,89.71,61,68
72,73,73,Troy Matteson,95,89.61,69,77
73,T74,T74,Kenny Perry,92,89.55,60,67
74,T74,T74,Scott Verplank,88,89.55,60,67
75,76,76,Ben Crane,93,89.53,77,86
76,T77,T77,Sergio Garcia,59,89.47,34,38
77,T77,T77,Rocco Mediate,79,89.47,51,57
78,79,79,Cameron Beckman,87,89.41,76,85
79,T80,T80,Kevin Streelman,97,89.39,59,66
80,T80,T80,Johnson Wagner,81,89.39,59,66
81,T80,T80,Mike Weir,85,89.39,59,66
82,83,83,Mark Brooks,55,89.36,42,47
83,T84,T84,Ryan Palmer,78,89.23,58,65
84,T84,T84,Kevin Sutherland,96,89.23,58,65
85,T86,T86,Marc Leishman,91,89.19,66,74
86,T86,T86,Nick O'Hern,90,89.19,66,74
87,88,88,Webb Simpson,94,89.16,74,83
88,89,89,Greg Kraft,51,89.09,49,55
89,T90,T90,David Mathis,82,89.06,57,64
90,T90,T90,Chez Reavie,81,89.06,57,64
91,92,92,John Senden,100,88.89,72,81
92,T93,T93,Bob Estes,78,88.73,63,71
93,T93,T93,Bill Lunde,83,88.73,63,71
94,95,95,Martin Laird,72,88.68,47,53
95,96,96,Rick Price,54,88.64,39,44
96,T97,T97,Jonathan Byrd,89,88.46,69,78
97,T97,T97,Lee Janzen,74,88.46,46,52
98,T97,T97,D.J. Trahan,96,88.46,69,78
99,T97,T97,Jay Williamson,69,88.46,46,52
100,T101,T101,Eric Axley,71,88.37,38,43
101,T101,T101,Jason Day,61,88.37,38,43
102,103,103,Scott McCarron,91,88.31,68,77
103,T104,T104,Tommy Armour III,58,88.24,45,51
104,T104,T104,Freddie Jacobson,83,88.24,60,68
105,T104,T104,Bubba Watson,73,88.24,45,51
106,T107,T107,Mathew Goggin,76,88.14,52,59
107,T107,T107,Rory Sabbatini,81,88.14,52,59
108,109,109,Brian Davis,103,88.1,74,84
109,110,110,Rod Pampling,72,87.93,51,58
110,111,111,Pat Perez,74,87.88,58,66
111,112,112,Nathan Green,104,87.8,72,82
112,113,113,Jimmy Walker,74,87.72,50,57
113,T114,T114,Rich Beem,77,87.5,49,56
114,T114,T114,Tim Clark,81,87.5,56,64
115,116,116,Jeff Overton,92,87.36,76,87
116,117,117,Justin Leonard,95,87.34,69,79
117,118,118,Tom Pernice Jr.,82,87.32,62,71
118,119,119,Brett Quigley,92,87.18,68,78
119,120,120,Ken Duke,87,87.14,61,70
120,121,121,Kirk Triplett,60,86.96,60,69
121,122,122,Sean O'Hair,80,86.89,53,61
122,123,123,J.J. Henry,97,86.76,59,68
123,T124,T124,Stephen Ames,77,86.67,52,60
124,T124,T124,Vaughn Taylor,88,86.67,65,75
125,126,126,Brian Gay,96,86.59,71,82
126,127,127,Billy Mayfair,83,86.57,58,67
127,128,128,Mark Calcavecchia,72,86.44,51,59
128,129,129,Scott Piercy,85,86.3,63,73
129,T130,T130,Charles Howell III,99,86.21,50,58
130,T130,T130,Ted Purdy,101,86.21,75,87
131,132,132,Darron Stiles,52,86.11,31,36
132,133,133,Anthony Kim,76,86.0,43,50
133,T134,T134,Robert Allenby,71,85.96,49,57
134,T134,T134,Dustin Johnson,85,85.96,49,57
135,136,136,Boo Weekley,79,85.94,55,64
136,T137,T137,Brendon de Jonge,90,85.92,61,71
137,T137,T137,Peter Lonard,86,85.92,61,71
138,139,139,David Toms,98,85.88,73,85
139,T140,T140,Michael Allen,73,85.71,60,70
140,T140,T140,Will MacKenzie,69,85.71,42,49
141,142,142,Charley Hoffman,97,85.53,65,76
142,T143,T143,Richard Johnson,85,85.25,52,61
143,T143,T143,Chris Stroud,88,85.25,52,61
144,T145,T145,Chad Campbell,90,85.14,63,74
145,T145,T145,Steve Lowery,83,85.14,63,74
146,147,147,Padraig Harrington,66,85.11,40,47
147,148,148,John Merrick,91,85.07,57,67
148,149,149,D.A. Points,99,84.95,79,93
149,150,150,Briny Baird,89,84.93,62,73
150,151,151,Fred Couples,54,84.85,28,33
151,152,152,Chris DiMarco,97,84.78,78,92
152,153,153,Stuart Appleby,79,84.75,50,59
153,154,154,Corey Pavin,73,84.72,61,72
154,155,155,Brian Vranesh,51,84.62,44,52
155,156,156,Jason Bohn,88,84.52,71,84
156,157,157,Greg Owen,97,84.38,54,64
157,158,158,Nick Watney,86,84.29,59,70
158,159,159,Cliff Kresge,78,84.21,48,57
159,160,160,Aron Price,89,84.0,63,75
160,161,161,Parker McLachlin,71,83.58,56,67
161,T162,T162,Jeff Quinney,78,83.33,70,84
162,T162,T162,Tag Ridings,50,83.33,35,42
163,164,164,Matt Bettencourt,98,83.13,69,83
164,165,165,Derek Fathauer,63,82.98,39,47
165,166,166,Justin Rose,71,82.5,33,40
166,167,167,Brian Bateman,55,82.0,41,50
167,168,168,Marc Turnesa,77,81.94,59,72
168,169,169,Adam Scott,53,81.82,36,44
169,170,170,Joe Durant,62,81.48,44,54
170,171,171,John Rollins,92,81.4,70,86
171,172,172,Jason Gore,74,80.88,55,68
172,173,173,Alex Cejka,82,80.65,50,62
173,174,174,Paul Goydos,79,80.6,54,67
174,T175,T175,K.J. Choi,65,80.0,40,50
175,T175,T175,Brad Faxon,59,80.0,48,60
176,177,177,Glen Day,79,78.95,45,57
177,178,178,Andres Romero,58,77.42,24,31
178,179,179,J.B. Holmes,74,77.36,41,53
179,180,180,Gary Woodland,53,75.68,28,37
180,181,181,Peter Tomasulo,61,75.56,34,45
181,182,182,David Duval,56,75.51,37,49
182,183,183,Leif Olson,51,75.0,36,48
183,184,184,Brendon Todd,53,72.22,26,36
