,Scrambling_from_the_Sand_RANK THIS WEEK,Scrambling_from_the_Sand_RANK LAST WEEK,Scrambling_from_the_Sand_PLAYER NAME,Scrambling_from_the_Sand_ROUNDS,Scrambling_from_the_Sand_%,Scrambling_from_the_Sand_SUCCESSES,Scrambling_from_the_Sand_ATTEMPTS
63,64,64,Jay Williamson,69,54.84,34,62
64,65,65,Tim Herron,87,54.78,63,115
65,66,66,Jeff Maggert,79,54.74,52,95
66,T67,T67,Woody Austin,84,54.55,60,110
67,T67,T67,Aaron Baddeley,66,54.55,54,99
68,T67,T67,Richard Johnson,85,54.55,60,110
69,T67,T67,Dustin Johnson,85,54.55,42,77
70,T67,T67,Aron Price,89,54.55,54,99
71,72,72,Y.E. Yang,83,54.46,55,101
72,73,73,Brian Davis,103,54.4,68,125
73,74,74,Mark Brooks,55,54.17,39,72
74,75,75,Dean Wilson,81,54.12,46,85
75,76,76,Sergio Garcia,59,54.1,33,61
76,77,77,Ben Crane,93,54.01,74,137
77,78,78,Freddie Jacobson,83,53.92,55,102
78,79,79,Lee Janzen,74,53.85,56,104
79,T80,T80,Robert Allenby,71,53.33,32,60
80,T80,T80,Justin Leonard,95,53.33,56,105
81,T82,T82,Rory Sabbatini,81,53.26,49,92
82,T82,T82,David Toms,98,53.26,49,92
83,T84,T84,Bill Lunde,83,53.19,50,94
84,T84,T84,Carl Pettersson,86,53.19,50,94
85,86,86,Brendon de Jonge,90,52.88,55,104
86,T87,T87,Alex Cejka,82,52.81,47,89
87,T87,T87,Stewart Cink,79,52.81,47,89
88,89,89,Kenny Perry,92,52.63,40,76
89,90,90,Marc Leishman,91,52.38,55,105
90,T91,T91,Jarrod Lyle,65,52.0,39,75
91,T91,T91,Chez Reavie,81,52.0,52,100
92,T93,T93,Eric Axley,71,51.65,47,91
93,T93,T93,Jeff Quinney,78,51.65,47,91
94,95,95,Daniel Chopra,89,51.64,63,122
95,96,96,Nick Watney,86,51.61,48,93
96,T97,T97,Charley Hoffman,97,51.35,57,111
97,T97,T97,Nicholas Thompson,96,51.35,57,111
98,99,99,Mathew Goggin,76,51.19,43,84
99,100,100,Pat Perez,74,51.14,45,88
100,T101,T101,Davis Love III,89,51.02,50,98
101,T101,T101,Darron Stiles,52,51.02,25,49
102,103,103,Vaughn Taylor,88,50.93,55,108
103,104,104,John Rollins,92,50.85,60,118
104,105,105,Scott McCarron,91,50.81,63,124
105,106,106,Vijay Singh,71,50.77,33,65
106,107,107,Stephen Ames,77,50.75,34,67
107,108,108,Casey Wittenberg,71,50.67,38,75
108,109,109,Steve Elkington,70,50.59,43,85
109,110,110,Brad Faxon,59,50.43,58,115
110,111,111,Jeff Klauk,97,50.38,67,133
111,T112,T112,Chad Campbell,90,50.0,35,70
112,T112,T112,Ernie Els,70,50.0,41,82
113,T112,T112,Derek Fathauer,63,50.0,43,86
114,T112,T112,Todd Hamilton,83,50.0,49,98
115,T112,T112,Phil Mickelson,66,50.0,36,72
116,T112,T112,Ryan Palmer,78,50.0,45,90
117,T112,T112,Adam Scott,53,50.0,28,56
118,T112,T112,Scott Sterling,51,50.0,23,46
119,T112,T112,Charles Warren,63,50.0,32,64
120,121,121,Bo Van Pelt,100,49.49,49,99
121,122,122,Ryan Moore,89,49.48,48,97
122,123,123,Brendon Todd,53,48.39,30,62
123,124,124,Peter Tomasulo,61,48.33,29,60
124,125,125,Greg Chalmers,85,48.24,41,85
125,126,126,D.A. Points,99,47.83,55,115
126,127,127,Matt Bettencourt,98,47.75,53,111
127,128,128,Rocco Mediate,79,47.5,38,80
128,129,129,Patrick Sheehan,51,47.37,18,38
129,130,130,Scott Piercy,85,47.31,44,93
130,131,131,Steve Marino,98,47.27,52,110
131,132,132,Steve Lowery,83,47.24,60,127
132,133,133,Kevin Streelman,97,47.12,49,104
133,T134,T134,Sean O'Hair,80,47.06,32,68
134,T134,T134,Ted Purdy,101,47.06,48,102
135,136,136,Peter Lonard,86,47.0,47,100
136,137,137,Brian Bateman,55,46.77,29,62
137,138,138,Michael Allen,73,46.75,36,77
138,139,139,Harrison Frazar,93,46.74,43,92
139,140,140,Jonathan Byrd,89,46.36,51,110
140,141,141,Camilo Villegas,76,46.25,37,80
141,142,142,Brett Quigley,92,45.92,45,98
142,T143,T143,Bob Estes,78,45.71,48,105
143,T143,T143,James Nitties,86,45.71,48,105
144,145,145,Charles Howell III,99,45.45,45,99
145,146,146,Paul Goydos,79,45.37,49,108
146,147,147,J.B. Holmes,74,45.36,44,97
147,148,148,Stuart Appleby,79,45.1,46,102
148,T149,T149,Tom Lehman,55,44.83,26,58
149,T149,T149,John Merrick,91,44.83,39,87
150,T149,T149,Brian Vranesh,51,44.83,26,58
151,152,152,Ricky Barnes,67,44.44,24,54
152,153,153,Rich Beem,77,44.29,31,70
153,154,154,Bubba Watson,73,44.16,34,77
154,155,155,Gary Woodland,53,43.59,17,39
155,156,156,Chris Stroud,88,43.37,36,83
156,157,157,Tommy Armour III,58,43.14,22,51
157,158,158,Johnson Wagner,81,43.01,40,93
158,159,159,Boo Weekley,79,42.86,27,63
159,160,160,John Mallinger,90,42.57,43,101
160,161,161,Billy Mayfair,83,42.53,37,87
161,162,162,Jeff Overton,92,42.48,48,113
162,163,163,Jason Dufner,90,42.42,42,99
163,164,164,Rick Price,54,42.31,22,52
164,165,165,Greg Owen,97,42.11,40,95
165,166,166,Tag Ridings,50,41.86,18,43
166,167,167,Kent Jones,73,41.49,39,94
167,168,168,Bart Bryant,58,41.46,34,82
168,169,169,Troy Matteson,95,41.3,38,92
169,170,170,Heath Slocum,95,41.28,45,109
170,171,171,Robert Garrigus,83,40.58,28,69
171,172,172,Greg Kraft,51,40.0,24,60
172,173,173,D.J. Trahan,96,39.76,33,83
173,174,174,Joe Durant,62,39.62,21,53
174,175,175,Kris Blanks,60,39.34,24,61
175,176,176,Andres Romero,58,39.22,20,51
176,177,177,Kirk Triplett,60,38.98,23,59
177,178,178,Colt Knost,71,37.88,25,66
178,179,179,Marc Turnesa,77,37.72,43,114
179,180,180,Will MacKenzie,69,37.5,27,72
180,181,181,Leif Olson,51,35.94,23,64
181,182,182,Fred Couples,54,35.0,21,60
182,183,183,Martin Laird,72,34.67,26,75
183,184,184,Jason Bohn,88,33.33,29,87
