,Average_Distance_of_Putts_made_RANK THIS WEEK,Average_Distance_of_Putts_made_RANK LAST WEEK,Average_Distance_of_Putts_made_PLAYER NAME,Average_Distance_of_Putts_made_ROUNDS,Average_Distance_of_Putts_made_AVG,Average_Distance_of_Putts_made_TOTAL DIST. (INCHES),Average_Distance_of_Putts_made_TOTAL ROUNDS,Average_Distance_of_Putts_made_AVG DIST.,Average_Distance_of_Putts_made_BEST ROUND
121,122,122,Robert Allenby,108,"72' 1""",74412,86,"4' 1""","147' 3"""
122,T123,T123,Robert Gamez,79,"72' 0""",61309,71,"4' 0""","139' 3"""
123,T123,T123,Lucas Glover,91,"72' 0""",71677,83,"4' 0""","139' 9"""
124,T123,T123,Michael Letzig,88,"72' 0""",63954,74,"4' 0""","180' 7"""
125,T126,T126,Rich Beem,90,"71' 11""",68173,79,"4' 0""","159' 3"""
126,T126,T126,Davis Love III,78,"71' 11""",56110,65,"4' 0""","142' 6"""
127,T126,T126,Mike Weir,88,"71' 11""",56931,66,"4' 0""","140' 4"""
128,129,129,Brett Quigley,80,"71' 9""",62865,73,"4' 1""","140' 3"""
129,T130,T130,Glen Day,64,"71' 7""",48078,56,"4' 1""","136' 4"""
130,T130,T130,John Riegger,73,"71' 7""",54950,64,"4' 0""","143' 10"""
131,132,132,Gavin Coles,54,"71' 6""",37768,44,"4' 1""","116' 3"""
132,133,133,Jon Mills,95,"71' 5""",66827,78,"4' 0""","152' 0"""
133,T134,T134,Alex Cejka,75,"71' 4""",51352,60,"4' 0""","130' 9"""
134,T134,T134,Lee Janzen,89,"71' 4""",64228,75,"4' 0""","137' 4"""
135,T134,T134,Zach Johnson,85,"71' 4""",60760,71,"4' 0""","132' 5"""
136,T134,T134,John Rollins,94,"71' 4""",67618,79,"4' 0""","126' 5"""
137,T138,T138,Michael Allen,91,"71' 3""",66714,78,"4' 0""","151' 6"""
138,T138,T138,Jim Furyk,95,"71' 3""",64115,75,"3' 12""","146' 5"""
139,T138,T138,Mathew Goggin,91,"71' 3""",70128,82,"4' 0""","142' 4"""
140,141,141,Bob Estes,90,"71' 2""",73453,86,"4' 0""","151' 2"""
141,T142,T142,David Duval,51,"71' 1""",34966,41,"4' 0""","107' 2"""
142,T142,T142,Chris Riley,51,"71' 1""",34125,40,"3' 12""","148' 8"""
143,T144,T144,Bart Bryant,81,"71' 0""",57114,67,"3' 12""","123' 6"""
144,T144,T144,Rod Pampling,83,"71' 0""",57942,68,"3' 12""","116' 6"""
145,146,146,Sergio Garcia,72,"70' 11""",47659,56,"3' 12""","160' 10"""
146,147,147,Billy Mayfair,103,"70' 10""",80790,95,"3' 12""","138' 2"""
147,T148,T148,Shigeki Maruyama,50,"70' 9""",35673,42,"4' 0""","115' 5"""
148,T148,T148,Jin Park,85,"70' 9""",59396,70,"3' 12""","120' 7"""
149,T150,T150,Marco Dawson,64,"70' 8""",45781,54,"3' 12""","171' 4"""
150,T150,T150,Tag Ridings,88,"70' 8""",68656,81,"3' 12""","164' 11"""
151,152,152,Kevin Stadler,90,"70' 7""",61824,73,"3' 12""","147' 10"""
152,153,153,Y.E. Yang,89,"70' 6""",67717,80,"3' 11""","126' 6"""
153,154,154,Retief Goosen,59,"70' 5""",35482,42,"3' 12""","134' 1"""
154,155,155,John Senden,93,"70' 4""",69211,82,"3' 12""","133' 5"""
155,T156,T156,Ben Curtis,80,"70' 3""",53132,63,"3' 12""","112' 10"""
156,T156,T156,Joe Durant,92,"70' 3""",66580,79,"3' 11""","134' 9"""
157,T156,T156,Charley Hoffman,94,"70' 3""",72488,86,"3' 11""","155' 0"""
158,159,159,Tom Scherrer,56,"70' 2""",37034,44,"3' 11""","110' 7"""
159,160,160,Padraig Harrington,52,"70' 0""",26880,32,"3' 12""","116' 8"""
160,161,161,Rocco Mediate,87,"69' 11""",57909,69,"3' 11""","115' 6"""
161,T162,T162,Will MacKenzie,62,"69' 10""",47781,57,"3' 11""","139' 8"""
162,T162,T162,Troy Matteson,94,"69' 10""",74577,89,"3' 11""","137' 6"""
163,164,164,Paul Claxton,63,"69' 8""",41790,50,"3' 11""","116' 0"""
164,T165,T165,Jason Allred,63,"69' 6""",41700,50,"3' 11""","124' 2"""
165,T165,T165,Travis Perkins,53,"69' 6""",33371,40,"3' 11""","103' 8"""
166,167,167,Brandt Jobe,52,"69' 5""",39158,47,"3' 11""","133' 10"""
167,T168,T168,Briny Baird,113,"69' 4""",79824,96,"3' 11""","162' 3"""
168,T168,T168,Todd Demsey,80,"69' 4""",59052,71,"3' 11""","122' 11"""
169,170,170,Chris Stroud,81,"69' 2""",54768,66,"3' 11""","136' 0"""
170,T171,T171,Fred Couples,60,"69' 0""",42223,51,"3' 11""","111' 4"""
171,T171,T171,Tom Lehman,51,"69' 0""",31467,38,"3' 11""","106' 9"""
172,T171,T171,Jay Williamson,96,"69' 0""",66254,80,"3' 11""","147' 7"""
173,174,174,Dustin Johnson,92,"68' 7""",66671,81,"3' 10""","114' 6"""
174,T175,T175,J.J. Henry,108,"68' 5""",81314,99,"3' 10""","138' 11"""
175,T175,T175,David Lutterus,59,"68' 5""",41026,50,"3' 10""","106' 9"""
176,T175,T175,Jim McGovern,75,"68' 5""",51692,63,"3' 10""","125' 5"""
177,178,178,John Merrick,98,"68' 4""",63110,77,"3' 10""","152' 10"""
178,179,179,Scott Sterling,89,"68' 3""",60574,74,"3' 10""","111' 3"""
179,T180,T180,Justin Bolli,87,"68' 2""",59707,73,"3' 10""","134' 9"""
180,T180,T180,Charles Howell III,101,"68' 2""",71154,87,"3' 10""","143' 4"""
181,T180,T180,Vijay Singh,82,"68' 2""",51513,63,"3' 10""","174' 8"""
182,183,183,Olin Browne,77,"68' 1""",57187,70,"3' 10""","125' 6"""
183,184,184,Omar Uresti,74,"67' 10""",51302,63,"3' 10""","142' 4"""
184,185,185,Scott Verplank,82,"67' 9""",52867,65,"3' 10""","141' 6"""
185,186,186,D.J. Trahan,94,"67' 8""",63337,78,"3' 10""","132' 8"""
186,T187,T187,Jeff Gove,50,"67' 6""",35633,44,"3' 9""","146' 2"""
187,T187,T187,Heath Slocum,104,"67' 6""",69669,86,"3' 9""","131' 9"""
188,T189,T189,Brad Adamonis,87,"67' 2""",61246,76,"3' 9""","151' 8"""
189,T189,T189,Ted Purdy,68,"67' 2""",47581,59,"3' 9""","138' 7"""
190,191,191,Bubba Watson,97,"67' 0""",64301,80,"3' 9""","145' 1"""
191,192,192,Ernie Els,51,"66' 8""",28815,36,"3' 9""","106' 1"""
192,T193,T193,Ángel Cabrera,55,"65' 11""",30854,39,"3' 9""","97' 11"""
193,T193,T193,Brett Rumford,72,"65' 11""",48236,61,"3' 9""","107' 8"""
194,195,195,Harrison Frazar,73,"65' 9""",48945,62,"3' 8""","157' 0"""
195,196,196,Charles Warren,79,"64' 5""",57207,74,"3' 7""","113' 6"""
196,197,197,Trevor Immelman,70,"64' 0""",41478,54,"3' 7""","125' 8"""
