,Total_1_Putts_-_Inside_5_RANK THIS WEEK,Total_1_Putts_-_Inside_5_RANK LAST WEEK,Total_1_Putts_-_Inside_5_PLAYER NAME,Total_1_Putts_-_Inside_5_ROUNDS,Total_1_Putts_-_Inside_5_TOTAL,Total_1_Putts_-_Inside_5_TOTAL (FOR ALL DISTANCES),Total_1_Putts_-_Inside_5_PCT OF ALL 1-PUTTS
79,80,80,Jim Furyk,95,262,515,50.9
80,T81,T81,Brad Adamonis,87,261,486,53.7
81,T81,T81,J.B. Holmes,86,261,497,52.5
82,T83,T83,Cameron Beckman,87,258,507,50.9
83,T83,T83,Rich Beem,90,258,528,48.9
84,T83,T83,Matt Kuchar,88,258,499,51.7
85,86,86,Mike Weir,88,257,495,51.9
86,87,87,Ben Crane,86,256,547,46.8
87,88,88,John Senden,93,254,496,51.2
88,T89,T89,Stuart Appleby,87,252,499,50.5
89,T89,T89,Rod Pampling,83,252,466,54.1
90,91,91,Brandt Snedeker,85,251,488,51.4
91,92,92,Steve Lowery,74,250,482,51.9
92,93,93,Dudley Hart,74,248,496,50.0
93,94,94,Chris DiMarco,87,247,532,46.4
94,T95,T95,Paul Goydos,78,246,480,51.3
95,T95,T95,Jeff Maggert,86,246,522,47.1
96,T95,T95,Jin Park,85,246,477,51.6
97,T98,T98,Cliff Kresge,84,245,478,51.3
98,T98,T98,Rocco Mediate,87,245,468,52.4
99,T98,T98,Kevin Stadler,90,245,484,50.6
100,T101,T101,Aaron Baddeley,76,244,472,51.7
101,T101,T101,Justin Leonard,101,244,524,46.6
102,T101,T101,Brett Quigley,80,244,486,50.2
103,T101,T101,Omar Uresti,74,244,429,56.9
104,T101,T101,Scott Verplank,82,244,457,53.4
105,T101,T101,Jay Williamson,96,244,487,50.1
106,T107,T107,Chad Collins,72,243,479,50.7
107,T107,T107,Ben Curtis,80,243,452,53.8
108,109,109,Johnson Wagner,83,241,482,50.0
109,T110,T110,Todd Hamilton,92,240,503,47.7
110,T110,T110,Ryan Moore,72,240,466,51.5
111,112,112,Anthony Kim,81,238,486,49.0
112,113,113,Vijay Singh,82,237,429,55.2
113,T114,T114,Tommy Armour III,77,235,450,52.2
114,T114,T114,Freddie Jacobson,78,235,473,49.7
115,T114,T114,Davis Love III,78,235,455,51.6
116,117,117,Camilo Villegas,79,234,452,51.8
117,T118,T118,Justin Bolli,87,232,462,50.2
118,T118,T118,J.P. Hayes,67,232,438,53.0
119,T120,T120,Phil Mickelson,80,231,446,51.8
120,T120,T120,Brett Rumford,72,231,431,53.6
121,T120,T120,Scott Sterling,89,231,470,49.1
122,T123,T123,Steve Stricker,75,230,430,53.5
123,T123,T123,Charles Warren,79,230,448,51.3
124,125,125,Sean O'Hair,81,229,452,50.7
125,126,126,Ryan Armour,87,227,498,45.6
126,T127,T127,Robert Gamez,79,226,458,49.3
127,T127,T127,Zach Johnson,85,226,471,48.0
128,129,129,Stephen Ames,83,224,451,49.7
129,130,130,Olin Browne,77,222,428,51.9
130,131,131,Stewart Cink,87,220,454,48.5
131,132,132,Jimmy Walker,73,219,430,50.9
132,133,133,Harrison Frazar,73,217,390,55.6
133,T134,T134,Mark Hensby,71,216,443,48.8
134,T134,T134,John Riegger,73,216,419,51.6
135,136,136,Joe Durant,92,215,458,46.9
136,137,137,Steve Elkington,84,214,497,43.1
137,138,138,Corey Pavin,69,212,449,47.2
138,T139,T139,Glen Day,64,208,389,53.5
139,T139,T139,Chris Stroud,81,208,403,51.6
140,141,141,Bob Tway,70,207,446,46.4
141,142,142,Rory Sabbatini,77,205,428,47.9
142,143,143,Alex Cejka,75,203,405,50.1
143,144,144,David Toms,70,202,388,52.1
144,145,145,Hunter Mahan,87,201,462,43.5
145,T146,T146,Craig Kanada,65,200,404,49.5
146,T146,T146,Will MacKenzie,62,200,385,51.9
147,T146,T146,Scott McCarron,63,200,391,51.2
148,T149,T149,Kenneth Ferrie,72,199,399,49.9
149,T149,T149,Ted Purdy,68,199,367,54.2
150,T151,T151,Marco Dawson,64,198,387,51.2
151,T151,T151,Greg Kraft,63,198,386,51.3
152,T153,T153,Carlos Franco,73,196,417,47.0
153,T153,T153,Sergio Garcia,72,196,384,51.0
154,T153,T153,Kyle Thompson,70,196,375,52.3
155,156,156,Brenden Pappas,66,194,411,47.2
156,157,157,Ryan Palmer,69,191,442,43.2
157,158,158,Jim McGovern,75,190,399,47.6
158,159,159,K.J. Choi,74,188,399,47.1
159,160,160,Trevor Immelman,70,186,338,55.0
160,161,161,Cody Freeman,66,184,372,49.5
161,T162,T162,Jason Allred,63,182,351,51.9
162,T162,T162,Mark Calcavecchia,67,182,368,49.5
163,T164,T164,Billy Andrade,71,181,383,47.3
164,T164,T164,Fred Couples,60,181,353,51.3
165,T164,T164,Boo Weekley,86,181,389,46.5
166,T167,T167,Brad Elder,67,180,371,48.5
167,T167,T167,David Lutterus,59,180,323,55.7
168,T167,T167,Andres Romero,69,180,360,50.0
169,170,170,Geoff Ogilvy,65,179,344,52.0
170,171,171,Bob Sowards,61,177,347,51.0
171,172,172,Chris Riley,51,170,305,55.7
172,T173,T173,Retief Goosen,59,168,305,55.1
173,T173,T173,Doug LaBelle II,65,168,353,47.6
174,175,175,Kent Jones,68,166,362,45.9
175,176,176,Paul Claxton,63,163,321,50.8
176,T177,T177,Gavin Coles,54,159,302,52.6
177,T177,T177,Shigeki Maruyama,50,159,307,51.8
178,T179,T179,Jeff Gove,50,155,271,57.2
179,T179,T179,Padraig Harrington,52,155,260,59.6
180,181,181,Tom Scherrer,56,153,302,50.7
181,T182,T182,Alejandro Cañizares,52,152,293,51.9
182,T182,T182,Stephen Leaney,53,152,307,49.5
183,T184,T184,Tommy Gainey,60,151,289,52.2
184,T184,T184,Brandt Jobe,52,151,296,51.0
185,186,186,Ernie Els,51,148,258,57.4
186,187,187,John Huston,56,147,331,44.4
187,188,188,Tom Lehman,51,144,262,55.0
188,T189,T189,Steve Allan,58,142,313,45.4
189,T189,T189,Ángel Cabrera,55,142,259,54.8
190,T189,T189,Travis Perkins,53,142,266,53.4
191,192,192,Ian Poulter,51,140,269,52.0
192,193,193,Richard Johnson,60,136,317,42.9
193,194,194,David Duval,51,132,287,46.0
194,195,195,Adam Scott,51,130,245,53.1
195,196,196,Paul Casey,55,115,233,49.4
196,197,197,Ron Whittaker,54,112,255,43.9
