,Consecutive_Birdies_Streak_RANK THIS WEEK,Consecutive_Birdies_Streak_RANK LAST WEEK,Consecutive_Birdies_Streak_PLAYER NAME,Consecutive_Birdies_Streak_EVENTS,Consecutive_Birdies_Streak_NUMBER OF HOLES
407,T291,T291,Brian Sasada,1,2
408,T291,T291,Nobuhito Sato,3,2
409,T291,T291,Gene Sauers,2,2
410,T291,T291,Ken Schall,1,2
411,T291,T291,Steve Schneiter,1,2
412,T291,T291,Rick Schuller,1,2
413,T291,T291,Jim Schuman,1,2
414,T291,T291,Steve Scott,1,2
415,T291,T291,Adam Scott,6,2
416,T291,T291,Steve Sear,1,2
417,T291,T291,John Shawver,1,2
418,T291,T291,Mark Slawter,2,2
419,T291,T291,David Smail,3,2
420,T291,T291,Dave Spengler,1,2
421,T291,T291,Mike Standly,6,2
422,T291,T291,Dane Staton,1,2
423,T291,T291,Mike Sullivan,2,2
424,T291,T291,Joseph Summerhays,1,2
425,T291,T291,David Sutherland,2,2
426,T291,T291,Ken Tanigawa,1,2
427,T291,T291,Robert Thompson,2,2
428,T291,T291,Greg Towne,1,2
429,T291,T291,Jay Turcsik,1,2
430,T291,T291,Greg Twiggs,1,2
431,T291,T291,Brett Upper,2,2
432,T291,T291,Fred Wadsworth,6,2
433,T291,T291,Jimmy Walker,3,2
434,T291,T291,Stan Watkins,1,2
435,T291,T291,Tom Watson,4,2
436,T291,T291,Tim Weinhart,1,2
437,T291,T291,Steve Wheatcroft,1,2
438,T291,T291,Robert Wilkin,1,2
439,T291,T291,Dean Wilson,2,2
440,T291,T291,Jim Woodward,1,2
441,T291,T291,Mark Wurtz,2,2
442,T291,T291,Don Yrene,1,2
443,T291,T291,Bruce Zabriski,1,2
444,T291,T291,Chris Zambri,2,2
445,T446,T446,Matt Abbott,1,1
446,T446,T446,John Aber,2,1
447,T446,T446,Colin Amaral,1,1
448,T446,T446,Ted Bach,1,1
449,T446,T446,Ian Baker-Finch,1,1
450,T446,T446,Aaron Barber,2,1
451,T446,T446,Rich Barcelo,1,1
452,T446,T446,Jeff Barlow,1,1
453,T446,T446,Don Bell,1,1
454,T446,T446,Jim Benepe,1,1
455,T446,T446,Don Berry,1,1
456,T446,T446,Rich Bin,1,1
