,All-Around_Ranking_RANK THIS WEEK,All-Around_Ranking_RANK LAST WEEK,All-Around_Ranking_PLAYER NAME,All-Around_Ranking_EVENTS,All-Around_Ranking_TOTAL
118,119,119,Bernhard Langer,24,823
119,120,120,Shane Bertsch,34,829
120,121,121,Justin Leonard,26,832
121,T122,T122,Mathias Grönberg,30,840
122,T122,T122,J.P. Hayes,19,840
123,124,124,John Huston,27,842
124,125,125,Olin Browne,30,843
125,126,126,Jeff Overton,28,848
126,127,127,Mathew Goggin,26,858
127,128,128,Paul Azinger,30,859
128,129,129,Bart Bryant,26,863
129,130,130,Tag Ridings,33,868
130,131,131,Jeff Brehaut,33,875
131,132,132,Woody Austin,31,877
132,133,133,Brent Geiberger,30,878
133,T134,T134,Billy Andrade,24,880
134,T134,T134,Jason Gore,29,880
135,136,136,John Cook,22,882
136,137,137,David Duval,24,888
137,138,138,Jeff Maggert,26,897
138,T139,T139,Chris Couch,27,903
139,T139,T139,Fred Couples,17,903
140,141,141,Paul Stankowski,22,907
141,142,142,Tommy Armour III,25,910
142,143,143,Omar Uresti,22,922
143,144,144,Tim Herron,27,934
144,145,145,Robert Gamez,30,936
145,146,146,Charles Howell III,30,939
146,147,147,"Wes Short, Jr.",33,940
147,148,148,Vance Veazey,20,948
148,149,149,Joey Sindelar,29,956
149,150,150,Jonathan Kaye,32,957
150,151,151,D.A. Points,28,958
151,152,152,Corey Pavin,23,961
152,T153,T153,Henrik Bjornstad,31,964
153,T153,T153,Carlos Franco,29,964
154,155,155,Nicholas Thompson,32,976
155,156,156,Patrick Sheehan,34,986
156,157,157,Bob Tway,25,1001
157,158,158,Matt Hansen,25,1016
158,T159,T159,Robert Damron,31,1032
159,T159,T159,Jon Mills,27,1032
160,161,161,Brian Bateman,26,1039
161,162,162,Doug Barron,28,1048
162,163,163,Jimmy Walker,21,1051
163,T164,T164,Todd Fischer,35,1052
164,T164,T164,Lee Janzen,28,1052
165,166,166,Tom Lehman,20,1055
166,167,167,John Daly,21,1061
167,168,168,Paul Goydos,24,1067
168,169,169,Danny Ellis,23,1070
169,170,170,Ian Leggatt,29,1074
170,171,171,Mike Sposa,25,1079
171,172,172,Roger Tambellini,25,1080
172,T173,T173,Greg Chalmers,28,1082
173,T173,T173,Tjaart van der Walt,21,1082
174,175,175,Peter Lonard,22,1088
175,176,176,Tim Petrovic,30,1092
176,177,177,Mark Calcavecchia,27,1094
177,178,178,Thomas Levet,18,1096
178,179,179,Greg Kraft,26,1101
179,180,180,Ben Curtis,26,1108
180,181,181,Ron Whittaker,28,1109
181,182,182,James Driscoll,29,1128
182,183,183,Jason Schultz,28,1134
183,184,184,Alex Aragon,26,1139
184,185,185,Larry Mize,18,1142
185,186,186,Len Mattiace,22,1180
186,187,187,Mark Brooks,36,1195
187,T188,T188,Steve Jones,27,1203
188,T188,T188,J.L. Lewis,17,1203
189,190,190,Michael Connell,22,1268
190,191,191,Ryan Hietala,23,1270
191,192,192,"John Engler, Jr.",27,1271
192,193,193,Mark O'Meara,18,1283
193,194,194,Todd Hamilton,27,1286
194,195,195,Brad Faxon,26,1290
195,196,196,Hidemichi Tanaka,31,1316
