,PGA_Championship_Points_RANK THIS WEEK,PGA_Championship_Points_RANK LAST WEEK,PGA_Championship_Points_PLAYER NAME,PGA_Championship_Points_EVENTS,PGA_Championship_Points_POINTS
212,213,213,Roger Tambellini,8,21800
213,214,214,Michael Connell,9,20605
214,215,215,Rob Oppenheim,2,19500
215,T216,T216,Spike McRoy,3,18225
216,T216,T216,Garrett Willis,4,18225
217,218,218,Dan Forsman,5,16628
218,219,219,Mike Small,4,16096
219,220,220,Neal Lancaster,7,16055
220,221,221,Hidemichi Tanaka,10,15824
221,222,222,David Duval,7,15251
222,223,223,Hideto Tanihara,1,14320
223,224,224,Azuma Yano,1,14007
224,225,225,Grant Waite,4,13825
225,226,226,Blaine McCallister,3,13260
226,227,227,Miguel Angel Jiménez,2,13175
227,228,228,John Riegger,4,13074
228,T229,T229,Jay Haas,1,12875
229,T229,T229,Don Yrene,1,12875
230,231,231,Jim Kane,1,12725
231,232,232,Paul Casey,4,12672
232,233,233,Gary Hallberg,3,12480
233,234,234,Kane Webber,1,12045
234,235,235,Doug Barron,9,11543
235,236,236,Steven Bowditch,9,11160
236,237,237,B.J. Staten,3,11000
237,238,238,Nick Price,6,10100
238,T239,T239,Bob Burns,4,8560
239,T239,T239,Scott Gump,5,8560
240,T239,T239,Jimmy Walker,4,8560
241,242,242,Guy Boros,2,7840
242,243,243,Donnie Hammond,3,7560
243,244,244,Michael Bradley,3,6840
244,245,245,John Daly,5,6690
245,246,246,Kirk Triplett,3,6300
246,247,247,Phil Tataurangi,7,6090
247,248,248,Jon Mills,8,6000
248,249,249,Willie Wood,3,5910
249,250,250,Andrew Magee,6,5820
250,251,251,Jim McGovern,2,5790
251,252,252,Notah Begay III,4,5700
252,253,253,Joel Edwards,2,5580
253,254,254,Phil Schmitt,1,5460
