,Total_Money_Official_and_Unofficial_RANK THIS WEEK,Total_Money_Official_and_Unofficial_RANK LAST WEEK,Total_Money_Official_and_Unofficial_PLAYER NAME,Total_Money_Official_and_Unofficial_EVENTS,Total_Money_Official_and_Unofficial_MONEY
88,89,89,Richard Lee,24,"$920,836"
89,90,90,Charlie Beljan,24,"$916,229"
90,91,91,Mark Wilson,19,"$913,730"
91,92,92,Brian Harman,29,"$909,759"
92,93,93,Geoff Ogilvy,19,"$892,920"
93,94,94,Martin Kaymer,17,"$882,937"
94,95,95,D.H. Lee,22,"$882,793"
95,96,96,Morgan Hoffmann,20,"$871,003"
96,97,97,William McGirt,24,"$867,384"
97,98,98,Gonzalo Fernandez-Castaño,12,"$858,653"
98,99,99,James Hahn,26,"$853,507"
99,100,100,Jerry Kelly,22,"$832,407"
100,101,101,"Ted Potter, Jr.",22,"$829,770"
101,102,102,James Driscoll,23,"$821,101"
102,103,103,Bryce Molder,24,"$816,922"
103,104,104,Martin Flores,25,"$805,597"
104,105,105,Johnson Wagner,24,"$801,955"
105,106,106,Ben Crane,21,"$796,947"
106,107,107,Hideki Matsuyama,8,"$771,640"
107,108,108,Bob Estes,18,"$769,717"
108,109,109,J.J. Henry,26,"$761,861"
109,110,110,Lucas Glover,23,"$747,812"
110,111,111,Jason Bohn,23,"$739,030"
111,112,112,Carl Pettersson,24,"$738,143"
112,113,113,Justin Hicks,25,"$732,742"
113,114,114,Jeff Overton,24,"$721,723"
114,115,115,Aaron Baddeley,24,"$721,024"
115,116,116,Nicolas Colsaerts,17,"$720,164"
116,117,117,Andres Romero,21,"$718,507"
117,118,118,Thorbjørn Olesen,11,"$713,300"
118,119,119,Padraig Harrington,17,"$711,244"
119,120,120,Peter Hanson,16,"$710,178"
120,121,121,Camilo Villegas,23,"$709,677"
121,122,122,Steven Bowditch,22,"$697,775"
122,123,123,Justin Leonard,24,"$694,139"
123,124,124,John Senden,25,"$667,027"
124,125,125,Charlie Wi,23,"$656,672"
125,126,126,Erik Compton,24,"$651,660"
126,127,127,David Toms,16,"$646,161"
127,128,128,Greg Chalmers,25,"$632,283"
128,129,129,Chez Reavie,22,"$590,925"
129,130,130,Scott Langley,27,"$590,684"
130,131,131,Fabián Gómez,23,"$586,942"
131,132,132,Woody Austin,8,"$568,800"
132,133,133,Ricky Barnes,26,"$553,878"
133,134,134,Louis Oosthuizen,14,"$549,908"
134,135,135,Justin Bolli,23,"$545,187"
135,136,136,Stuart Appleby,25,"$538,333"
136,137,137,Tommy Gainey,28,"$520,479"
137,138,138,Shawn Stefani,21,"$511,399"
138,139,139,Chad Campbell,25,"$510,661"
139,140,140,George McNeill,21,"$500,798"
140,141,141,Dicky Pride,23,"$495,390"
141,142,142,Miguel Angel Jiménez,3,"$491,547"
142,143,143,Jim Herman,19,"$490,756"
143,144,144,Richard Sterne,8,"$483,758"
144,145,145,Brendon Todd,10,"$473,220"
145,146,146,Robert Streb,25,"$454,871"
146,147,147,Brad Fritsch,24,"$452,184"
147,148,148,Robert Karlsson,18,"$444,238"
148,149,149,Bud Cauley,24,"$443,698"
149,150,150,Greg Owen,24,"$442,198"
150,151,151,Ross Fisher,16,"$429,918"
151,152,152,Jonathan Byrd,16,"$428,966"
152,153,153,Tag Ridings,24,"$428,922"
153,154,154,Casey Wittenberg,27,"$425,395"
154,155,155,Ryo Ishikawa,23,"$424,541"
155,156,156,Francesco Molinari,9,"$423,963"
156,157,157,Ben Kohles,25,"$419,416"
157,158,158,Marcel Siem,9,"$402,106"
158,159,159,Henrik Norlander,22,"$401,958"
159,160,160,Vaughn Taylor,16,"$399,286"
160,161,161,Seung-Yul Noh,25,"$391,763"
161,162,162,Ben Curtis,20,"$372,543"
162,163,163,Trevor Immelman,24,"$360,549"
163,164,164,Shane Lowry,9,"$345,551"
164,165,165,Tom Gillis,22,"$345,325"
165,166,166,Doug LaBelle II,23,"$338,921"
166,167,167,Steve LeBrun,21,"$337,157"
167,168,168,Chris Wood,5,"$330,585"
168,169,169,Bobby Gates,20,"$320,248"
169,170,170,Retief Goosen,9,"$315,702"
170,171,171,Branden Grace,13,"$313,759"
171,172,172,Vijay Singh,19,"$309,351"
172,173,173,Brandt Jobe,19,"$309,105"
173,174,174,Russell Knox,11,"$305,973"
174,175,175,Fred Couples,5,"$305,898"
175,176,176,Paul Lawrie,7,"$304,369"
176,177,177,Davis Love III,15,"$303,470"
177,178,178,Tim Herron,15,"$302,570"
178,179,179,Jamie Donaldson,10,"$284,947"
179,180,180,D.J. Trahan,16,"$284,249"
180,181,181,Nick O'Hern,10,"$282,464"
181,182,182,Cameron Percy,21,"$277,336"
182,183,183,Cameron Beckman,8,"$276,805"
183,184,184,David Mathis,24,"$274,477"
184,185,185,Sean O'Hair,22,"$268,614"
185,186,186,George Coetzee,11,"$267,761"
186,187,187,Luke List,24,"$264,401"
187,188,188,Rafa Cabrera Bello,5,"$262,968"
188,189,189,John Peterson,6,"$259,679"
189,190,190,Y.E. Yang,19,"$259,118"
190,191,191,Troy Matteson,24,"$245,090"
191,192,192,Matteo Manassero,9,"$242,684"
192,193,193,Stephen Gallacher,5,"$242,018"
193,194,194,Kevin Sutherland,13,"$223,098"
194,195,195,Scott Gardiner,23,"$219,645"
195,196,196,Peter Tomasulo,10,"$218,240"
196,197,197,Aaron Watkins,19,"$217,495"
197,198,198,Billy Andrade,4,"$214,000"
198,199,199,Will Claxton,24,"$206,722"
199,200,200,Bill Lunde,10,"$206,710"
200,201,201,Robert Allenby,24,"$204,272"
201,202,202,Tim Petrovic,12,"$196,565"
202,203,203,Patrick Cantlay,7,"$195,411"
203,204,204,Mike Weir,22,"$194,510"
204,205,205,Stephen Ames,19,"$188,987"
205,206,206,Glen Day,6,"$186,610"
206,207,207,Darron Stiles,20,"$184,866"
207,208,208,Alex Noren,5,"$184,000"
208,209,209,Marcus Fraser,6,"$183,330"
209,210,210,Andres Gonzales,17,"$179,387"
210,211,211,Colt Knost,25,"$176,710"
211,212,212,Chris DiMarco,11,"$175,555"
212,213,213,Jay Haas,2,"$172,500"
213,214,214,Alistair Presnell,23,"$163,134"
214,215,215,Jeff Klauk,8,"$149,830"
215,216,216,Steve Marino,12,"$148,874"
216,217,217,Paul Casey,7,"$147,612"
217,218,218,John Mallinger,12,"$137,299"
218,219,219,Jin Park,20,"$136,457"
219,220,220,Lee Williams,22,"$133,755"
220,221,221,Marc Warren,2,"$132,786"
221,222,222,Scott Jamieson,3,"$131,500"
222,223,223,Kyle Reifers,4,"$128,400"
223,224,224,Billy Mayfair,14,"$123,860"
224,225,225,Danny Willett,2,"$123,043"
225,226,226,Peter Uihlein,4,"$121,625"
226,227,227,Kiradech Aphibarnrat,3,"$120,250"
227,228,228,Scott Verplank,15,"$119,155"
228,229,229,Richie Ramsay,4,"$119,077"
229,T230,T230,Shane Bertsch,1,"$112,000"
230,T230,T230,Franklin Corpening,1,"$112,000"
231,T230,T230,Danny Lee,1,"$112,000"
232,233,233,Kevin Na,8,"$110,864"
233,234,234,Rod Pampling,16,"$110,451"
234,235,235,Thongchai Jaidee,4,"$104,126"
235,236,236,Matt Bettencourt,9,"$101,687"
236,237,237,Joey Snyder III,15,"$98,887"
237,238,238,Nathan Green,9,"$97,753"
238,239,239,Eduardo De La Riva,1,"$95,043"
239,240,240,Heath Slocum,9,"$90,796"
240,241,241,Thomas Bjørn,4,"$87,171"
241,242,242,Darren Clarke,3,"$86,718"
242,243,243,Mathew Goggin,1,"$86,579"
243,244,244,"Wes Short, Jr.",15,"$82,855"
244,245,245,Michael Bradley,21,"$79,107"
245,246,246,Andrew Svoboda,18,"$77,219"
246,247,247,Steve Flesch,6,"$76,654"
247,248,248,Gary Christian,10,"$75,332"
248,249,249,Ken Looper,2,"$73,530"
249,250,250,Paul Haley II,18,"$73,006"
250,T251,T251,Brad Faxon,2,"$62,500"
251,T251,T251,Jeff Sluman,1,"$62,500"
252,T253,T253,Morten Orum Madsen,1,"$60,183"
253,T253,T253,John Parry,1,"$60,183"
254,255,255,Mikko Ilonen,3,"$60,053"
255,256,256,Steve Wheatcroft,1,"$59,520"
256,257,257,Eric Meierdierks,19,"$58,029"
257,258,258,Steven Tiley,1,"$56,873"
258,T259,T259,Peter Jacobsen,1,"$56,250"
259,T259,T259,Lexi Thompson,1,"$56,250"
260,T259,T259,Fuzzy Zoeller,1,"$56,250"
261,262,262,Bernhard Langer,1,"$56,040"
262,263,263,Joe Ogilvie,15,"$54,173"
263,264,264,Jonathan Randolph,1,"$54,000"
264,265,265,Jeff Gove,17,"$53,401"
265,266,266,Kenny Perry,3,"$52,616"
266,267,267,Nick Price,1,"$52,500"
267,268,268,Blayne Barber,3,"$52,110"
268,269,269,Thaworn Wiratchant,3,"$50,600"
269,T270,T270,Tom Lewis,1,"$50,000"
270,T270,T270,Paul McGinley,2,"$50,000"
271,T270,T270,Bob Tway,1,"$50,000"
272,273,273,Joe Affrunti,5,"$49,615"
273,274,274,Jesper Parnevik,13,"$49,241"
274,275,275,Mike Hendry,1,"$48,750"
275,276,276,Hank Kuehne,5,"$48,046"
276,277,277,Edward Loar,2,"$47,246"
277,278,278,Hiroyuki Fujita,5,"$46,000"
278,279,279,Michael Letzig,17,"$45,626"
279,280,280,Brett Rumford,3,"$44,250"
280,281,281,John Daly,12,"$43,543"
281,282,282,Hunter Haas,5,"$42,929"
282,283,283,Satoshi Kodaira,2,"$42,800"
283,284,284,Toru Taniguchi,2,"$41,750"
284,285,285,Jaco Van Zyl,3,"$41,500"
285,286,286,Daniel Popovic,1,"$41,250"
286,287,287,Kelly Kraft,2,"$39,539"
287,288,288,Chris Williams,5,"$39,304"
288,289,289,Oliver Fisher,1,"$39,251"
289,290,290,Neal Lancaster,6,"$36,979"
290,T291,T291,Peter Lonard,1,"$36,667"
291,T291,T291,Paul Stankowski,1,"$36,667"
292,293,293,Todd Baek,1,"$35,960"
293,294,294,Sandy Lyle,2,"$34,962"
294,295,295,Troy Kelly,10,"$32,350"
295,296,296,Joe Durant,7,"$32,290"
296,297,297,Ryuji Imada,7,"$30,820"
297,298,298,Tom Watson,4,"$28,980"
298,T299,T299,Steven Alker,2,"$28,961"
299,T299,T299,Bio Kim,1,"$28,961"
300,301,301,Duffy Waldorf,3,"$28,657"
301,302,302,Jon Curran,3,"$28,350"
302,303,303,Chris Riley,3,"$27,521"
303,304,304,Lee Janzen,11,"$25,482"
304,T305,T305,Mark Brown,1,"$24,641"
305,T305,T305,Shingo Katayama,1,"$24,641"
306,307,307,Jeremiah Wooding,1,"$23,760"
307,308,308,Arjun Atwal,8,"$22,122"
308,309,309,Alexandre Rocha,3,"$21,254"
309,310,310,Dean Wilson,2,"$20,836"
310,311,311,Ryan Blaum,3,"$20,417"
311,T312,T312,Tom Lehman,2,"$20,077"
312,T312,T312,Mark O'Meara,3,"$20,077"
313,314,314,José María Olazábal,2,"$19,480"
314,315,315,Matt Weibring,1,"$19,406"
315,T316,T316,Grégory Bourdy,1,"$19,085"
316,T316,T316,Bernd Wiesberger,2,"$19,085"
317,T318,T318,Bart Bryant,2,"$19,068"
318,T318,T318,Russ Cochran,1,"$19,068"
319,T320,T320,Peter Hedblom,1,"$18,926"
320,T320,T320,David Howell,1,"$18,926"
321,322,322,Gareth Wright,1,"$18,398"
322,323,323,Scott Harrington,1,"$18,295"
323,324,324,Robert Gamez,3,"$17,880"
324,T325,T325,Todd Hamilton,4,"$17,864"
325,T325,T325,Shiv Kapur,1,"$17,864"
326,T325,T325,K.T. Kim,1,"$17,864"
327,328,328,Peter Senior,1,"$17,253"
328,329,329,David Frost,1,"$16,864"
329,330,330,Simon Khan,1,"$16,844"
330,331,331,Nate Smith,1,"$15,829"
331,T332,T332,J.B. Holmes,5,"$15,184"
332,T332,T332,Sam Saunders,1,"$15,184"
333,334,334,Brooks Koepka,2,"$14,950"
334,335,335,Zack Fischer,4,"$13,601"
335,336,336,Skip Kendall,2,"$13,590"
336,337,337,Marc Turnesa,2,"$12,900"
337,T338,T338,Mark Anderson,1,"$12,824"
338,T338,T338,Hideto Tanihara,1,"$12,824"
339,340,340,Roger Sloan,1,"$12,805"
340,341,341,Ted Purdy,3,"$12,797"
341,342,342,David Branshaw,1,"$12,444"
342,343,343,Michael Block,1,"$12,342"
343,344,344,John Kimbell,1,"$12,162"
344,345,345,Rod Perry,3,"$11,656"
345,346,346,Brad Adamonis,2,"$11,340"
346,347,347,Andre Stolz,1,"$7,905"
347,348,348,Sebastián Vázquez,1,"$7,700"
348,349,349,Thomas Aiken,2,"$7,104"
349,350,350,Rafael Campos,1,"$6,650"
350,T351,T351,Marco Dawson,1,"$6,630"
351,T351,T351,Kent Jones,1,"$6,630"
352,353,353,David Duval,8,"$6,210"
353,354,354,Kevin Kisner,1,"$6,180"
354,355,355,Scott McCarron,8,"$6,060"
355,356,356,Andrew Johnson,1,"$5,850"
356,357,357,Frank Lickliter II,3,"$5,730"
