,Birdie_or_Better_Percentage_-_Right_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Right_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Right_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Right_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Right_Rough_%,Birdie_or_Better_Percentage_-_Right_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Right_Rough_TOTAL HOLES
80,81,81,Brian Watts,58,14.81,4.0,27
81,82,82,Robert Gamez,69,14.71,5.0,34
82,83,83,David Toms,106,14.58,7.0,48
83,T84,T84,Jeff Brehaut,87,14.55,8.0,55
84,T84,T84,Greg Chalmers,94,14.55,8.0,55
85,T86,T86,Pat Bates,94,14.29,5.0,35
86,T86,T86,Notah Begay III,76,14.29,5.0,35
87,T86,T86,Harrison Frazar,88,14.29,7.0,49
88,T86,T86,Justin Leonard,97,14.29,4.0,28
89,T86,T86,Dennis Paulson,89,14.29,7.0,49
90,T86,T86,Tom Pernice Jr.,101,14.29,9.0,63
91,T86,T86,Brett Wetterich,89,14.29,7.0,49
92,T93,T93,Stephen Ames,89,13.89,5.0,36
93,T93,T93,David Frost,90,13.89,5.0,36
94,T93,T93,Dudley Hart,88,13.89,5.0,36
95,T93,T93,Neal Lancaster,101,13.89,5.0,36
96,97,97,Paul Gow,99,13.85,9.0,65
97,98,98,Ian Leggatt,97,13.64,6.0,44
98,T99,T99,José María Olazábal,71,13.16,5.0,38
99,T99,T99,Brenden Pappas,62,13.16,5.0,38
100,101,101,Davis Love III,92,13.04,6.0,46
101,T102,T102,Edward Fryatt,94,12.96,7.0,54
102,T102,T102,Geoff Ogilvy,90,12.96,7.0,54
103,104,104,Bradley Hughes,60,12.9,4.0,31
104,T105,T105,Cameron Beckman,87,12.82,5.0,39
105,T105,T105,Robert Damron,85,12.82,5.0,39
106,T105,T105,Peter Lonard,93,12.82,5.0,39
107,T108,T108,Jess Daley,76,12.77,6.0,47
108,T108,T108,David Duval,78,12.77,6.0,47
109,T108,T108,Joey Sindelar,104,12.77,6.0,47
110,T108,T108,Jerry Smith,91,12.77,6.0,47
111,T112,T112,Heath Slocum,96,12.5,3.0,24
112,T112,T112,Kirk Triplett,84,12.5,2.0,16
113,114,114,Brandel Chamblee,85,12.2,5.0,41
114,115,115,Steve Allan,93,11.86,7.0,59
115,116,116,Paul Goydos,66,11.76,2.0,17
116,117,117,Donnie Hammond,60,11.54,3.0,26
117,T118,T118,Matt Peterson,80,11.43,4.0,35
118,T118,T118,Mike Weir,94,11.43,4.0,35
119,T120,T120,Kent Jones,105,11.11,6.0,54
120,T120,T120,Brad Lardon,59,11.11,3.0,27
121,T120,T120,Kevin Sutherland,96,11.11,4.0,36
122,T120,T120,Bob Tway,103,11.11,4.0,36
123,124,124,Michael Clark II,97,10.87,5.0,46
124,T125,T125,John Daly,62,10.53,2.0,19
125,T125,T125,Dicky Pride,51,10.53,4.0,38
126,127,127,Ernie Els,68,10.34,3.0,29
127,128,128,Craig Perks,91,10.26,4.0,39
128,129,129,Michael Allen,76,10.2,5.0,49
129,T130,T130,Luke Donald,106,10.0,3.0,30
130,T130,T130,J.P. Hayes,78,10.0,2.0,20
131,T130,T130,Skip Kendall,103,10.0,5.0,50
132,T130,T130,Craig Parry,69,10.0,4.0,40
133,T130,T130,Jeff Sluman,118,10.0,5.0,50
134,T135,T135,Ben Crane,91,9.8,5.0,51
135,T135,T135,Paul Stankowski,100,9.8,5.0,51
136,T137,T137,Briny Baird,110,9.76,4.0,41
137,T137,T137,Franklin Langham,72,9.76,4.0,41
138,T137,T137,Pat Perez,89,9.76,4.0,41
139,140,140,Steve Elkington,82,9.62,5.0,52
140,T141,T141,Craig Barlow,62,9.52,4.0,42
141,T141,T141,Joel Edwards,101,9.52,4.0,42
142,T141,T141,Bob Estes,93,9.52,4.0,42
143,T141,T141,Jason Hill,59,9.52,4.0,42
144,T141,T141,Loren Roberts,93,9.52,4.0,42
145,T141,T141,Jay Williamson,91,9.52,4.0,42
146,T147,T147,Charles Howell III,118,9.43,5.0,53
147,T147,T147,Shaun Micheel,100,9.43,5.0,53
148,149,149,Boo Weekley,57,9.38,3.0,32
149,T150,T150,Jerry Kelly,99,9.26,5.0,54
150,T150,T150,Bo Van Pelt,78,9.26,5.0,54
151,T152,T152,Scott Hoch,71,9.09,3.0,33
152,T152,T152,Deane Pappas,90,9.09,5.0,55
153,154,154,Carl Paulson,84,8.93,5.0,56
154,T155,T155,Steve Lowery,98,8.82,3.0,34
155,T155,T155,David Morland IV,58,8.82,3.0,34
156,T157,T157,Tim Clark,76,8.7,2.0,23
157,T157,T157,J.L. Lewis,98,8.7,4.0,46
158,159,159,Brian Henninger,66,8.57,3.0,35
159,160,160,Stephen Gangluff,75,8.51,4.0,47
160,T161,T161,Billy Andrade,100,8.33,4.0,48
161,T161,T161,Scott Dunlap,74,8.33,4.0,48
162,T161,T161,Jeff Gove,89,8.33,4.0,48
163,T161,T161,Bernhard Langer,55,8.33,1.0,12
164,T161,T161,Mark O'Meara,68,8.33,2.0,24
165,T161,T161,Esteban Toledo,106,8.33,3.0,36
166,167,167,Billy Mayfair,99,8.0,2.0,25
167,T168,T168,Mark Brooks,97,7.69,3.0,39
168,T168,T168,Bart Bryant,69,7.69,2.0,26
169,T168,T168,Matt Gogel,79,7.69,3.0,39
170,T168,T168,Nick Price,69,7.69,2.0,26
171,172,172,Glen Hnatiuk,95,7.5,3.0,40
172,173,173,Frank Nobilo,94,7.41,2.0,27
173,174,174,Russ Cochran,68,7.32,3.0,41
174,T175,T175,Fulton Allem,64,7.14,1.0,14
175,T175,T175,Blaine McCallister,75,7.14,2.0,28
176,T175,T175,Scott Verplank,93,7.14,2.0,28
177,178,178,Paul Azinger,69,6.9,2.0,29
178,179,179,Brian Bateman,94,6.82,3.0,44
179,T180,T180,Retief Goosen,56,6.67,2.0,30
180,T180,T180,David Gossett,95,6.67,2.0,30
181,182,182,Lee Porter,91,6.45,2.0,31
182,183,183,Steve Flesch,110,6.38,3.0,47
183,184,184,Kenneth Staton,104,6.12,3.0,49
184,185,185,Michael Muehr,73,5.71,2.0,35
185,186,186,Spike McRoy,69,5.26,1.0,19
186,187,187,J.J. Henry,112,5.13,2.0,39
187,188,188,Joe Durant,87,5.0,1.0,20
188,T189,T189,Mathew Goggin,64,4.76,2.0,42
189,T189,T189,Peter Jacobsen,67,4.76,1.0,21
190,T189,T189,Joe Ogilvie,50,4.76,1.0,21
191,192,192,Eduardo Herrera,59,4.44,2.0,45
192,193,193,Jim Furyk,88,4.35,1.0,23
193,194,194,Gary Nicklaus,66,4.0,1.0,25
194,195,195,Mike Hulbert,55,3.7,1.0,27
195,196,196,Rory Sabbatini,69,3.45,1.0,29
196,T197,T197,José Coceres,51,3.33,1.0,30
197,T197,T197,Rocco Mediate,79,3.33,1.0,30
198,T199,T199,Jay Haas,83,0.0,,27
199,T199,T199,Lee Janzen,101,0.0,,30
200,T199,T199,Steve Pate,64,0.0,,30
201,T199,T199,Corey Pavin,78,0.0,,18
