,Going_for_the_Green_-_Birdie_or_Better_RANK THIS WEEK,Going_for_the_Green_-_Birdie_or_Better_RANK LAST WEEK,Going_for_the_Green_-_Birdie_or_Better_PLAYER NAME,Going_for_the_Green_-_Birdie_or_Better_ROUNDS,Going_for_the_Green_-_Birdie_or_Better_%,Going_for_the_Green_-_Birdie_or_Better_# OF BIRDIE OR BETTER,Going_for_the_Green_-_Birdie_or_Better_ATTEMPTS,Going_for_the_Green_-_Birdie_or_Better_RTP-SUCCESSES,Going_for_the_Green_-_Birdie_or_Better_RTP-NOT GOING FOR THE GRN
123,124,124,Rory Sabbatini,69,53.7,29,54,-31,+1.00
124,125,125,Joe Durant,87,53.66,22,41,-22,-8.00
125,126,126,Stewart Cink,92,53.57,30,56,-32,-8.00
126,127,127,Ben Crane,91,53.52,38,71,-42,-10.00
127,128,128,Hidemichi Tanaka,104,53.42,39,73,-42,-5.00
128,T129,T129,Chris Riley,104,52.94,27,51,-29,-15.00
129,T129,T129,Kenneth Staton,104,52.94,54,102,-55,-11.00
130,131,131,Steve Flesch,110,52.86,37,70,-40,-2.00
131,T132,T132,Franklin Langham,72,52.63,20,38,-22,+7.00
132,T132,T132,Andrew Magee,91,52.63,30,57,-31,-20.00
133,T134,T134,Brandt Jobe,94,52.5,42,80,-44,-11.00
134,T134,T134,Brad Lardon,59,52.5,21,40,-21,-3.00
135,136,136,Neal Lancaster,101,52.46,32,61,-33,-1.00
136,137,137,Luke Donald,106,52.38,33,63,-34,-10.00
137,138,138,Heath Slocum,96,51.85,14,27,-14,-30.00
138,139,139,John Senden,96,51.76,44,85,-49,-5.00
139,140,140,Robin Freeman,79,51.67,31,60,-32,-6.00
140,141,141,Tom Byrum,77,51.61,16,31,-16,-16.00
141,142,142,Glen Day,107,51.43,36,70,-37,-7.00
142,143,143,Lee Porter,91,51.28,20,39,-20,-16.00
143,144,144,Steve Elkington,82,51.06,24,47,-27,-1.00
144,145,145,Dan Forsman,83,50.91,28,55,-30,-16.00
145,146,146,Len Mattiace,106,50.7,36,71,-36,-10.00
146,T147,T147,Tommy Armour III,82,50.0,24,48,-24,-6.00
147,T147,T147,Mark Brooks,97,50.0,22,44,-22,-10.00
148,T147,T147,Per-Ulrik Johansson,87,50.0,28,56,-32,+3.00
149,T147,T147,Tom Lehman,78,50.0,18,36,-19,-2.00
150,T147,T147,Joe Ogilvie,50,50.0,18,36,-20,-3.00
151,152,152,Kaname Yokoo,74,49.12,28,57,-30,-3.00
152,153,153,Justin Leonard,97,49.06,26,53,-28,-10.00
153,154,154,Bradley Hughes,60,49.02,25,51,-26,-5.00
154,155,155,Fulton Allem,64,48.72,19,39,-19,-17.00
155,156,156,Michael Clark II,97,48.61,35,72,-36,-4.00
156,T157,T157,Matt Kuchar,82,48.21,27,56,-28,-9.00
157,T157,T157,Jerry Smith,91,48.21,27,56,-27,-13.00
158,159,159,Dudley Hart,88,48.08,25,52,-28,-14.00
159,160,160,Tom Scherrer,98,48.0,24,50,-25,-6.00
160,161,161,Harrison Frazar,88,47.95,35,73,-36,-10.00
161,162,162,Glen Hnatiuk,95,47.76,32,67,-32,-11.00
162,163,163,Kevin Sutherland,96,47.73,21,44,-24,E
163,164,164,Tom Pernice Jr.,101,47.69,31,65,-32,-6.00
164,165,165,David Morland IV,58,47.62,20,42,-21,-9.00
165,166,166,Edward Fryatt,94,47.44,37,78,-38,-12.00
166,167,167,Chris Smith,103,47.25,43,91,-46,+2.00
167,168,168,K.J. Choi,93,47.22,34,72,-38,-18.00
168,169,169,Joey Sindelar,104,47.19,42,89,-45,-7.00
169,170,170,Stephen Gangluff,75,46.81,22,47,-23,+1.00
170,171,171,Paul Gow,99,46.74,43,92,-47,-3.00
171,T172,T172,Mike Hulbert,55,46.67,14,30,-16,+6.00
172,T172,T172,Nick Price,69,46.67,14,30,-16,-8.00
173,T172,T172,Mike Sposa,111,46.67,28,60,-28,-20.00
174,T175,T175,J.J. Henry,112,46.15,42,91,-50,-5.00
175,T175,T175,Peter Jacobsen,67,46.15,18,39,-18,-7.00
176,177,177,Jeff Gove,89,45.9,28,61,-28,-24.00
177,178,178,Jay Haas,83,45.71,16,35,-17,-12.00
178,179,179,Spike McRoy,69,45.45,15,33,-16,-7.00
179,T180,T180,Paul Goydos,66,45.16,14,31,-15,-12.00
180,T180,T180,J.P. Hayes,78,45.16,14,31,-15,-19.00
181,182,182,Miguel Angel Jiménez,60,45.0,18,40,-19,-5.00
182,183,183,Brandel Chamblee,85,44.68,21,47,-22,+5.00
183,184,184,Matt Peterson,80,44.44,20,45,-21,-3.00
184,185,185,Deane Pappas,90,44.12,30,68,-32,+2.00
185,186,186,Scott Dunlap,74,43.75,21,48,-21,-5.00
186,T187,T187,Jonathan Kaye,83,42.86,33,77,-34,-17.00
187,T187,T187,Michael Muehr,73,42.86,9,21,-9,-3.00
188,189,189,Bob Tway,103,42.62,26,61,-31,-10.00
189,190,190,Greg Kraft,86,42.5,17,40,-19,-8.00
190,191,191,Russ Cochran,68,42.11,16,38,-16,-11.00
191,192,192,Dicky Pride,51,41.18,14,34,-14,E
192,193,193,Jeff Maggert,83,41.03,16,39,-17,-10.00
193,194,194,Robert Gamez,69,40.98,25,61,-27,-3.00
194,T195,T195,Steve Pate,64,40.0,12,30,-12,-6.00
195,T195,T195,Esteban Toledo,106,40.0,18,45,-18,-7.00
196,197,197,Pete Jordan,78,38.71,12,31,-13,-12.00
197,198,198,Steve Jones,71,37.84,14,37,-14,-14.00
198,199,199,Hal Sutton,74,37.21,16,43,-16,-3.00
199,200,200,Corey Pavin,78,36.0,9,25,-9,-15.00
200,201,201,Brian Watts,58,35.48,11,31,-12,-7.00
201,202,202,Eduardo Herrera,59,29.41,15,51,-15,+3.00
