,Scrambling_from_the_Rough_RANK THIS WEEK,Scrambling_from_the_Rough_RANK LAST WEEK,Scrambling_from_the_Rough_PLAYER NAME,Scrambling_from_the_Rough_ROUNDS,Scrambling_from_the_Rough_%,Scrambling_from_the_Rough_SUCCESSES,Scrambling_from_the_Rough_ATTEMPTS
67,68,68,Chris Stroud,81,58.38,101,173
68,T69,T69,Anirban Lahiri,82,58.33,98,168
69,T69,T69,Nate Lashley,51,58.33,63,108
70,T69,T69,Nick Taylor,94,58.33,91,156
71,72,72,David Hearn,66,58.26,67,115
72,73,73,Seamus Power,86,58.24,99,170
73,T74,T74,Byeong Hun An,86,58.02,94,162
74,T74,T74,Wesley Bryan,69,58.02,76,131
75,T76,T76,Grayson Murray,72,58.0,87,150
76,T76,T76,Henrik Stenson,60,58.0,29,50
77,78,78,Justin Rose,70,57.94,62,107
78,T79,T79,Jason Day,75,57.84,59,102
79,T79,T79,Rod Pampling,62,57.84,59,102
80,81,81,Beau Hossler,104,57.71,116,201
81,T82,T82,Blayne Barber,69,57.69,75,130
82,T82,T82,Martin Laird,73,57.69,75,130
83,84,84,Russell Knox,94,57.66,79,137
84,85,85,Kyle Stanley,93,57.6,72,125
85,86,86,Peter Malnati,87,57.56,118,205
86,87,87,Tommy Fleetwood,73,57.55,61,106
87,88,88,Jason Dufner,71,57.43,58,101
88,89,89,Rory Sabbatini,91,57.31,98,171
89,90,90,James Hahn,85,57.24,87,152
90,91,91,David Lingmerth,82,57.22,107,187
91,T92,T92,Danny Lee,88,57.14,100,175
92,T92,T92,Francesco Molinari,73,57.14,52,91
93,94,94,J.J. Spaun,85,57.04,81,142
94,95,95,Patton Kizzire,92,57.0,114,200
95,96,96,Dominic Bozzelli,65,56.98,98,172
96,T97,T97,Chesson Hadley,103,56.91,103,181
97,T97,T97,Brooks Koepka,64,56.91,70,123
98,T99,T99,Ryan Armour,109,56.68,106,187
99,T99,T99,Aaron Wise,90,56.68,106,187
100,T101,T101,Bryson DeChambeau,93,56.61,107,189
101,T101,T101,Patrick Reed,94,56.61,107,189
102,103,103,Bill Haas,76,56.6,90,159
103,104,104,Kelly Kraft,94,56.59,103,182
104,105,105,Tyler Duncan,97,56.57,99,175
105,106,106,Luke List,98,56.52,104,184
106,107,107,Sam Ryder,82,56.49,87,154
107,T108,T108,Bronson Burgoon,69,56.25,81,144
108,T108,T108,Rickie Fowler,74,56.25,72,128
109,T108,T108,William McGirt,84,56.25,81,144
110,111,111,Phil Mickelson,90,56.22,104,185
111,112,112,Jonathan Byrd,70,56.2,77,137
112,113,113,Pat Perez,82,56.1,69,123
113,114,114,Rafa Cabrera Bello,75,56.04,51,91
114,115,115,Graeme McDowell,67,55.88,57,102
115,T116,T116,J.B. Holmes,77,55.81,96,172
116,T116,T116,Rob Oppenheim,74,55.81,96,172
117,118,118,Sean O'Hair,67,55.78,82,147
118,119,119,Gary Woodland,96,55.77,87,156
119,120,120,Harris English,84,55.76,92,165
120,121,121,Hunter Mahan,67,55.74,68,122
121,122,122,Michael Kim,74,55.63,89,160
122,T123,T123,Corey Conners,97,55.56,105,189
123,T123,T123,Marc Leishman,93,55.56,75,135
124,T123,T123,Ryan Palmer,69,55.56,70,126
125,126,126,Ben Crane,65,55.46,66,119
126,127,127,Stephan Jaeger,81,55.36,93,168
127,128,128,Ethan Tracy,72,55.23,95,172
128,129,129,Derek Fathauer,84,55.17,112,203
129,130,130,Charley Hoffman,87,55.13,86,156
130,131,131,J.T. Poston,73,55.11,97,176
131,132,132,Nicholas Lindheim,77,55.06,87,158
132,133,133,Ricky Barnes,65,55.0,77,140
133,134,134,Xinjun Zhang,81,54.97,83,151
134,135,135,Harold Varner III,91,54.89,101,184
135,136,136,Chad Campbell,87,54.86,79,144
136,137,137,Bubba Watson,90,54.79,80,146
137,138,138,Ben Silverman,90,54.71,93,170
138,139,139,Trey Mullinax,75,54.66,88,161
139,140,140,Martin Flores,92,54.65,94,172
140,141,141,Robert Garrigus,80,54.64,100,183
141,142,142,Roberto Díaz,72,54.49,85,156
142,143,143,Scott Stallings,96,54.44,98,180
143,144,144,Lanto Griffin,80,54.43,86,158
144,145,145,Hideki Matsuyama,75,54.37,56,103
145,146,146,Jonas Blixt,67,54.2,71,131
146,147,147,Aaron Baddeley,84,54.12,92,170
147,148,148,Ben Martin,64,54.11,79,146
148,149,149,Matt Jones,70,53.96,75,139
149,150,150,Ryan Blaum,81,53.94,89,165
150,151,151,Billy Horschel,86,53.9,76,141
151,152,152,Charles Howell III,104,53.85,84,156
152,153,153,Troy Merritt,89,53.81,106,197
153,154,154,Russell Henley,77,53.77,57,106
154,T155,T155,Tony Finau,105,53.64,81,151
155,T155,T155,Brian Harman,94,53.64,81,151
156,157,157,Xander Schauffele,96,53.61,89,166
157,158,158,Keith Mitchell,99,53.48,100,187
158,159,159,J.J. Henry,81,53.38,79,148
159,160,160,Jason Kokrak,99,53.37,87,163
160,161,161,Jonathan Randolph,71,53.3,97,182
161,162,162,C.T. Pan,104,53.26,98,184
162,163,163,Robert Streb,78,53.24,74,139
163,164,164,Nick Watney,94,52.94,108,204
164,165,165,Mackenzie Hughes,80,52.91,91,172
165,166,166,Cody Gribble,71,52.67,79,150
166,167,167,Sam Saunders,80,52.63,80,152
167,168,168,Sung Kang,89,52.6,101,192
168,169,169,Brett Stegmaier,67,52.59,61,116
169,170,170,Brendan Steele,74,52.54,62,118
170,171,171,Tom Lovelady,87,52.46,96,183
171,172,172,Patrick Rodgers,97,52.25,93,178
172,173,173,Zecheng Dou,53,52.17,60,115
173,174,174,Kevin Tway,110,51.98,105,202
174,175,175,D.A. Points,63,51.61,80,155
175,176,176,Brandon Harkins,101,51.49,104,202
176,177,177,Adam Scott,78,51.09,47,92
177,178,178,John Huh,94,50.82,93,183
178,179,179,Scott Piercy,84,50.79,64,126
179,180,180,Charl Schwartzel,65,50.54,47,93
180,181,181,Michael Thompson,62,50.44,57,113
181,T182,T182,Cameron Percy,56,50.0,49,98
182,T182,T182,Adam Schenk,86,50.0,82,164
183,184,184,Billy Hurley III,70,49.69,81,163
184,185,185,Scott Brown,102,49.52,103,208
185,186,186,Greg Chalmers,56,49.02,75,153
186,187,187,Hudson Swafford,73,48.54,50,103
187,188,188,Shane Lowry,64,47.46,56,118
188,189,189,Kyle Thompson,50,47.41,55,116
189,190,190,Matt Every,79,47.25,86,182
190,191,191,Andrew Yun,51,46.28,56,121
191,192,192,Cameron Tringale,67,46.1,65,141
192,193,193,Satoshi Kodaira,51,43.48,40,92
