,Scrambling_from_the_Sand_RANK THIS WEEK,Scrambling_from_the_Sand_RANK LAST WEEK,Scrambling_from_the_Sand_PLAYER NAME,Scrambling_from_the_Sand_ROUNDS,Scrambling_from_the_Sand_%,Scrambling_from_the_Sand_SUCCESSES,Scrambling_from_the_Sand_ATTEMPTS
171,172,172,Robert Garrigus,80,43.82,39,89
172,173,173,Ryan Palmer,69,43.68,38,87
173,174,174,Adam Schenk,86,43.3,42,97
174,175,175,Zecheng Dou,53,43.1,25,58
175,176,176,Tony Finau,105,42.71,41,96
176,177,177,Aaron Wise,90,42.57,43,101
177,178,178,Mackenzie Hughes,80,42.22,38,90
178,179,179,Jason Kokrak,99,42.2,46,109
179,180,180,Kevin Chappell,77,42.11,32,76
180,181,181,Robert Streb,78,41.76,38,91
181,182,182,Ryan Blaum,81,41.67,40,96
182,183,183,Derek Fathauer,84,40.87,47,115
183,184,184,Richy Werenski,98,40.0,44,110
184,185,185,Kevin Kisner,89,39.51,32,81
185,186,186,Martin Flores,92,39.45,43,109
186,187,187,Nicholas Lindheim,77,39.39,26,66
187,188,188,J.J. Henry,81,39.06,25,64
188,189,189,Satoshi Kodaira,51,38.71,24,62
189,190,190,Michael Thompson,62,37.78,17,45
190,191,191,Tyler Duncan,97,36.89,38,103
191,192,192,Ethan Tracy,72,33.77,26,77
192,193,193,Andrew Yun,51,28.85,15,52
