,Best_YTD_Streak_wo_a_3-Putt_RANK THIS WEEK,Best_YTD_Streak_wo_a_3-Putt_RANK LAST WEEK,Best_YTD_Streak_wo_a_3-Putt_PLAYER NAME,Best_YTD_Streak_wo_a_3-Putt_EVENTS,Best_YTD_Streak_wo_a_3-Putt_BEST STREAK,Best_YTD_Streak_wo_a_3-Putt_CURRENT STREAK
515,T515,T515,David Bradshaw,1,22,13.0
516,T515,T515,Andrés Echavarría,1,22,22.0
517,T515,T515,Nathan Green,1,22,9.0
518,T515,T515,Kent Jones,2,22,8.0
519,T515,T515,HaoTong Li,1,22,4.0
520,T515,T515,Alan Morin,1,22,10.0
521,T515,T515,Garth Mulroy,1,22,
522,T515,T515,Garrett Okamura,1,22,22.0
523,T515,T515,Austin Peters,1,22,22.0
524,T515,T515,Brett Quigley,2,22,22.0
525,T515,T515,Stan Utley,1,22,8.0
526,T527,T527,"Rich Berberian, Jr.",1,21,21.0
527,T527,T527,Jean-Philip Cornellier,1,21,8.0
528,T527,T527,Brad Elder,1,21,3.0
529,T527,T527,Mathias Grönberg,1,21,14.0
530,T527,T527,Larry Mize,1,21,14.0
531,T527,T527,Bradley Neil,3,21,6.0
532,T527,T527,Garrett Rank,1,21,21.0
533,T527,T527,T.J. Vogel,1,21,13.0
534,T527,T527,Jake Younan,1,21,11.0
535,T536,T536,Lucas Bjerregaard,1,20,
536,T536,T536,Rafael Campos,1,20,20.0
537,T536,T536,Keith Clearwater,2,20,5.0
538,T536,T536,Matias Dominguez,1,20,
539,T536,T536,Byron Meth,1,20,15.0
540,T536,T536,Jonathan Moore,1,20,7.0
541,T536,T536,Daniel Venezio,1,20,1.0
542,T536,T536,Romain Wattel,1,20,1.0
543,T536,T536,Chris Williams,1,20,4.0
544,T536,T536,Ian Woosnam,1,20,14.0
545,T536,T536,Steven Young,1,20,15.0
546,T547,T547,Brian Cairns,1,19,2.0
547,T547,T547,Eric Dugas,1,19,
548,T547,T547,CJ Gatto,1,19,16.0
549,T547,T547,Stephan Jaeger,1,19,
550,T547,T547,Andrew Kozan,1,19,13.0
551,T547,T547,Junhak Lee,1,19,11.0
552,T547,T547,Rocco Mediate,1,19,19.0
553,T547,T547,Jake Narro,1,19,2.0
