,Ryder_Cup_Points_RANK THIS WEEK,Ryder_Cup_Points_RANK LAST WEEK,Ryder_Cup_Points_PLAYER NAME,Ryder_Cup_Points_EVENTS,Ryder_Cup_Points_POINTS
124,125,125,Michael Bradley,20,196.87099999999998
125,126,126,Joe Ogilvie,17,168.888
126,127,127,Cameron Beckman,21,161.001
127,128,128,Duffy Waldorf,10,156.841
128,129,129,Rocco Mediate,19,152.60299999999998
129,130,130,Derek Lamely,20,149.888
130,131,131,Todd Hamilton,9,142.202
131,132,132,Tom Pernice Jr.,18,125.125
132,133,133,Tom Watson,5,117.17299999999999
133,134,134,Steve Marino,9,117.04
134,135,135,Frank Lickliter II,8,112.84
135,136,136,Briny Baird,14,112.406
136,137,137,Shaun Micheel,13,109.219
137,138,138,Morgan Hoffmann,1,106.336
138,139,139,Jim Herman,2,105.0
139,140,140,Chris Riley,10,104.54299999999999
140,141,141,Steve Wheatcroft,17,103.738
141,142,142,Patrick Sheehan,16,98.348
142,143,143,Tom Lehman,3,95.56200000000001
143,144,144,Woody Austin,7,95.17200000000001
144,145,145,Michael Allen,3,93.94
145,146,146,Tommy Biershenk,22,92.014
146,147,147,Tim Petrovic,15,90.40899999999999
147,148,148,Jamie Lovemark,16,89.184
148,149,149,Andres Gonzales,2,78.78
149,150,150,Scott Dunlap,15,78.07600000000001
150,151,151,Kenny Perry,5,76.544
151,152,152,Justin Hicks,3,66.123
152,153,153,Marc Turnesa,10,65.145
153,154,154,Corey Pavin,2,59.12
154,155,155,Paul Goydos,6,57.22
155,156,156,Marco Dawson,17,55.144
156,157,157,Shane Bertsch,13,52.864
157,158,158,Skip Kendall,5,49.545
158,159,159,Jeff Curl,3,47.438
159,160,160,Kent Jones,7,45.754
160,161,161,Edward Loar,18,43.714
161,162,162,Jeff Quinney,1,43.31
162,163,163,Garrett Willis,12,42.034
163,164,164,Stephen Gangluff,18,41.233999999999995
164,165,165,Fred Funk,5,40.929
165,166,166,Paul Stankowski,7,39.116
166,167,167,Will MacKenzie,6,36.35
167,168,168,Brett Quigley,1,31.858
168,169,169,Brett Wetterich,7,31.451
169,170,170,Michael Putnam,5,31.264
170,171,171,Robert Gamez,8,30.296
171,172,172,David Duval,17,29.816
172,173,173,Robert Damron,7,26.807
173,174,174,Hank Kuehne,8,26.342
174,175,175,Omar Uresti,4,25.844
175,176,176,Bart Bryant,3,23.134
176,177,177,Kevin Sutherland,4,22.886
177,178,178,Zack Miller,9,22.752
178,179,179,Neal Lancaster,7,22.184
179,180,180,Joseph Bramlett,1,21.85
180,181,181,Willie Wood,1,21.0
181,182,182,Glen Day,3,19.425
182,183,183,Craig Barlow,6,18.953
183,184,184,Ted Purdy,4,18.495
184,185,185,Mike Small,2,15.0
185,186,186,Jason Gore,8,13.35
186,187,187,Fran Quinn,5,12.932
187,188,188,Doug LaBelle II,1,12.54
188,189,189,Sam Saunders,5,12.224
189,190,190,Guy Boros,2,10.508
190,191,191,Len Mattiace,1,8.325
191,192,192,Gene Sauers,2,6.45
192,T193,T193,Eric Axley,3,3.608
193,T193,T193,Mark Brooks,4,3.608
194,T193,T193,Steve Lowery,1,3.608
195,196,196,Kirk Triplett,4,3.571
196,197,197,John Riegger,1,3.405
197,198,198,Kyle Thompson,18,3.33
