,Percentage_of_Yardage_covered_by_Tee_Shots_RANK THIS WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_RANK LAST WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_PLAYER NAME,Percentage_of_Yardage_covered_by_Tee_Shots_ROUNDS,Percentage_of_Yardage_covered_by_Tee_Shots_AVG (%),Percentage_of_Yardage_covered_by_Tee_Shots_TOTAL SHOT DISTANCE,Percentage_of_Yardage_covered_by_Tee_Shots_TOTAL DISTANCE
135,136,136,Billy Mayfair,109,60.57,356093.3,587898
136,T137,T137,J.P. Hayes,79,60.55,243811.6,402644
137,T137,T137,Mark Wilson,62,60.55,218236.8,360434
138,139,139,Tim Clark,84,60.53,271020.2,447745
139,140,140,Ben Curtis,56,60.52,141375.4,233612
140,141,141,Russ Cochran,61,60.49,207784.2,343522
141,142,142,Olin Browne,92,60.48,299560.8,495313
142,T143,T143,Jerry Kelly,113,60.44,330348.0,546552
143,T143,T143,Justin Leonard,90,60.44,234705.5,388315
144,145,145,Chris DiMarco,105,60.42,295409.3,488905
145,146,146,David Gossett,57,60.41,193752.7,320722
146,147,147,Dicky Pride,66,60.4,224328.2,371382
147,148,148,Dean Wilson,99,60.39,345332.3,571837
148,149,149,Heath Slocum,92,60.36,315840.8,523276
149,150,150,Kirk Triplett,88,60.32,232544.9,385547
150,151,151,Bob Tway,90,60.31,236050.1,391390
151,152,152,Skip Kendall,99,60.29,298312.6,494814
152,T153,T153,José Coceres,68,60.28,229063.9,380020
153,T153,T153,Spike McRoy,93,60.28,293073.1,486174
154,155,155,Scott Hoch,52,60.27,157975.7,262123
155,156,156,Cliff Kresge,89,60.23,283684.6,470986
156,157,157,Kevin Na,100,60.22,325850.7,541093
157,158,158,Steve Flesch,109,60.21,299046.0,496700
158,159,159,Dan Forsman,79,60.19,248735.2,413259
159,160,160,Blaine McCallister,68,60.08,231725.2,385680
160,161,161,Steve Pate,71,60.07,226136.7,376438
161,162,162,Bernhard Langer,59,60.05,160537.5,267332
162,163,163,Brian Gay,96,60.03,332743.4,554339
163,164,164,Richard Johnson,102,60.01,349479.4,582394
164,165,165,Shigeki Maruyama,93,60.0,281152.2,468620
165,166,166,Hirofumi Miyase,65,59.98,212413.3,354127
166,167,167,Bob Estes,73,59.97,189271.6,315608
167,T168,T168,Steve Stricker,81,59.96,258326.5,430859
168,T168,T168,Scott Verplank,92,59.96,254703.9,424807
169,170,170,Luke Donald,72,59.94,235615.6,393111
170,171,171,Stephen Leaney,84,59.91,217569.2,363155
171,172,172,Hidemichi Tanaka,89,59.82,295403.5,493805
172,173,173,Bob Burns,88,59.81,292634.4,489309
173,174,174,Robert Damron,92,59.79,314286.6,525688
174,175,175,Pat Bates,99,59.77,335731.5,561708
175,176,176,Scott Simpson,55,59.7,191103.0,320126
176,177,177,Chris Riley,78,59.59,199524.7,334853
177,178,178,Len Mattiace,75,59.57,263076.2,441658
178,179,179,Mark Brooks,72,59.51,213476.3,358696
179,180,180,Gene Sauers,83,59.5,274862.9,461916
180,181,181,Tom Byrum,83,59.48,268913.7,452078
181,182,182,David Morland IV,73,59.45,232422.7,390925
182,183,183,Fred Funk,97,59.42,306726.8,516242
183,184,184,Omar Uresti,85,59.4,281402.3,473713
184,185,185,Loren Roberts,81,59.39,252207.2,424671
185,186,186,Esteban Toledo,92,59.32,296444.8,499725
186,187,187,David Frost,78,59.13,275453.0,465823
187,188,188,Nick Price,51,59.02,135187.1,229066
188,189,189,Craig Parry,52,59.01,135088.1,228913
189,190,190,Jay Haas,84,58.92,227781.1,386586
190,191,191,Brad Faxon,94,58.9,257387.3,437010
191,192,192,Craig Bowden,83,58.86,275310.2,467770
192,193,193,José María Olazábal,56,58.73,158187.8,269370
193,194,194,Mark O'Meara,58,58.64,153872.1,262383
194,195,195,John Cook,57,58.47,177994.9,304431
195,196,196,Corey Pavin,83,57.97,241188.0,416023
