,SG_Off-the-Tee_RANK THIS WEEK,SG_Off-the-Tee_RANK LAST WEEK,SG_Off-the-Tee_PLAYER NAME,SG_Off-the-Tee_ROUNDS,SG_Off-the-Tee_AVERAGE,SG_Off-the-Tee_TOTAL SG:OTT,SG_Off-the-Tee_MEASURED ROUNDS
169,170,170,Dicky Pride,66,-0.308,-18.16,59
170,171,171,Cliff Kresge,89,-0.312,-23.418000000000003,75
171,172,172,Brenden Pappas,111,-0.317,-31.385,99
172,173,173,Mark Brooks,72,-0.324,-18.461,57
173,174,174,Andre Stolz,53,-0.33299999999999996,-16.002,48
174,175,175,Billy Andrade,104,-0.33799999999999997,-31.131,92
175,176,176,David Morland IV,73,-0.345,-21.403000000000002,62
176,177,177,Loren Roberts,81,-0.35100000000000003,-23.855,68
177,178,178,John Cook,57,-0.373,-17.904,48
178,179,179,Corey Pavin,83,-0.392,-26.275,67
179,180,180,Michael Allen,87,-0.39299999999999996,-30.285,77
180,181,181,Steve Pate,71,-0.396,-24.169,61
181,182,182,Paul Azinger,75,-0.40299999999999997,-26.226,65
182,183,183,Ken Duke,89,-0.40399999999999997,-32.318000000000005,80
183,184,184,Tommy Tolles,67,-0.414,-25.261999999999997,61
184,T185,T185,Brian Gay,96,-0.425,-37.395,88
185,T185,T185,Mark O'Meara,58,-0.425,-17.434,41
186,187,187,Dan Olsen,75,-0.42700000000000005,-27.74,65
187,188,188,Greg Chalmers,70,-0.441,-28.695999999999998,65
188,189,189,Brad Faxon,94,-0.47600000000000003,-33.317,70
189,190,190,Aaron Baddeley,87,-0.53,-40.255,76
190,191,191,Kevin Muncrief,50,-0.5670000000000001,-25.51,45
191,192,192,Craig Perks,75,-0.5770000000000001,-36.32,63
192,193,193,David Frost,78,-0.591,-44.326,75
193,194,194,Steve Stricker,81,-1.036,-71.50399999999999,69
194,195,195,David Gossett,57,-1.075,-54.826,51
195,196,196,José María Olazábal,56,-1.08,-45.357,42
