,Left_Rough_Tendency_RANK THIS WEEK,Left_Rough_Tendency_RANK LAST WEEK,Left_Rough_Tendency_PLAYER NAME,Left_Rough_Tendency_ROUNDS,Left_Rough_Tendency_%,Left_Rough_Tendency_TOTAL LEFT ROUGH,Left_Rough_Tendency_POSSIBLE FWYS,Left_Rough_Tendency_RELATIVE TO PAR
33,34,34,Brad Faxon,94,9.84,100,1016,+0.01
34,35,35,Steve Pate,71,9.87,92,932,+0.13
35,36,36,Jonathan Byrd,85,9.88,103,1042,+0.01
36,37,37,Scott Simpson,55,10.03,74,738,+0.19
37,38,38,Ted Purdy,114,10.09,152,1506,+0.03
38,39,39,Kevin Sutherland,86,10.11,106,1048,+0.15
39,T40,T40,Joe Ogilvie,104,10.19,131,1285,+0.06
40,T40,T40,Chris Riley,78,10.19,85,834,+0.20
41,42,42,Kent Jones,99,10.38,137,1320,+0.23
42,43,43,Scott Hoch,52,10.4,67,644,+0.03
43,44,44,Spike McRoy,93,10.42,123,1180,+0.11
44,45,45,Jonathan Kaye,79,10.52,100,951,+0.20
45,46,46,Mark Wilson,62,10.53,88,836,+0.11
46,47,47,Robert Allenby,93,10.57,112,1060,+0.06
47,48,48,John Rollins,90,10.58,114,1078,+0.15
48,T49,T49,Tim Petrovic,111,10.63,141,1326,+0.07
49,T49,T49,Bo Van Pelt,107,10.63,133,1251,+0.09
50,T51,T51,Ben Curtis,56,10.64,63,592,E
51,T51,T51,Chris DiMarco,105,10.64,122,1147,+0.11
52,53,53,David Branshaw,84,10.65,119,1117,+0.23
53,54,54,Jeff Sluman,98,10.76,133,1236,+0.12
54,55,55,Scott Hend,81,10.86,114,1050,+0.14
55,T56,T56,Kevin Na,100,10.87,142,1306,+0.08
56,T56,T56,Jay Williamson,100,10.87,148,1362,+0.17
57,58,58,Olin Browne,92,10.94,131,1197,+0.22
58,59,59,Steve Elkington,64,10.98,90,820,+0.22
59,60,60,Skip Kendall,99,11.01,133,1208,+0.11
60,61,61,Tim Clark,84,11.05,114,1032,+0.11
61,62,62,Nick Price,51,11.09,59,532,+0.12
62,63,63,Brent Geiberger,94,11.13,141,1267,+0.10
63,T64,T64,Paul Azinger,75,11.16,110,986,+0.05
64,T64,T64,John Huston,62,11.16,81,726,-0.01
65,66,66,Retief Goosen,56,11.17,67,600,+0.06
66,67,67,Mark Brooks,72,11.19,100,894,+0.37
67,68,68,Darren Clarke,54,11.22,57,508,+0.02
68,T69,T69,Billy Andrade,104,11.28,157,1392,+0.10
69,T69,T69,Blaine McCallister,68,11.28,104,922,+0.13
70,71,71,Len Mattiace,75,11.34,115,1014,+0.08
71,72,72,Hidemichi Tanaka,89,11.35,128,1128,+0.08
72,73,73,Dudley Hart,60,11.39,86,755,+0.12
73,74,74,Stephen Ames,97,11.4,135,1184,+0.01
74,75,75,Charles Howell III,104,11.41,132,1157,+0.10
75,76,76,Jay Delsing,76,11.43,113,989,+0.13
76,77,77,Rich Beem,81,11.49,107,931,+0.17
77,78,78,Bob Burns,88,11.5,138,1200,+0.30
78,79,79,Bob Tway,90,11.52,115,998,+0.10
79,80,80,Pat Bates,99,11.55,156,1351,+0.07
80,T81,T81,Stewart Cink,103,11.57,134,1158,+0.02
81,T81,T81,Glen Day,101,11.57,153,1322,+0.14
82,83,83,Cameron Beckman,99,11.62,152,1308,+0.05
83,84,84,Robert Gamez,103,11.63,157,1350,+0.04
84,85,85,D.J. Brigman,79,11.7,121,1034,+0.17
85,86,86,Dennis Paulson,71,11.75,110,936,+0.03
86,T87,T87,Guy Boros,64,11.76,102,867,+0.13
87,T87,T87,Joey Sindelar,100,11.76,154,1309,+0.09
88,89,89,Harrison Frazar,86,11.83,128,1082,+0.16
89,T90,T90,Briny Baird,100,11.85,147,1241,+0.13
90,T90,T90,Hirofumi Miyase,65,11.85,101,852,+0.43
91,T92,T92,Robert Damron,92,11.88,149,1254,+0.09
92,T92,T92,Arron Oberholser,77,11.88,111,934,+0.06
93,94,94,Jay Haas,84,11.95,108,904,+0.06
94,95,95,Shaun Micheel,93,12.0,126,1050,+0.19
95,96,96,Lucas Glover,95,12.02,149,1240,+0.08
96,97,97,John Riegger,53,12.03,89,740,+0.16
97,98,98,Fred Couples,54,12.1,75,620,+0.19
98,99,99,Kevin Muncrief,50,12.13,81,668,+0.31
99,100,100,Peter Lonard,68,12.15,95,782,+0.14
100,101,101,Steve Flesch,109,12.18,152,1248,+0.04
101,102,102,Frank Lickliter II,89,12.28,139,1132,+0.08
102,103,103,J.J. Henry,103,12.3,166,1350,+0.13
103,104,104,Esteban Toledo,92,12.31,151,1227,+0.25
104,105,105,K.J. Choi,83,12.33,110,892,+0.24
105,106,106,Mark Hensby,97,12.35,150,1215,+0.17
106,107,107,John Senden,99,12.36,159,1286,-0.01
107,T108,T108,Woody Austin,94,12.4,152,1226,+0.13
108,T108,T108,Justin Leonard,90,12.4,123,992,+0.05
109,110,110,Pat Perez,102,12.41,163,1313,+0.09
110,111,111,Ben Crane,92,12.42,153,1232,+0.08
111,112,112,Carl Pettersson,100,12.46,151,1212,+0.04
112,113,113,Phil Mickelson,83,12.47,106,850,+0.06
113,114,114,Jeff Maggert,60,12.5,91,728,+0.19
114,115,115,Tommy Armour III,87,12.58,146,1161,+0.17
115,116,116,Roger Tambellini,81,12.6,130,1032,+0.14
116,T117,T117,Sergio Garcia,65,12.64,92,728,-0.03
117,T117,T117,Roland Thatcher,66,12.64,113,894,+0.11
118,119,119,Jason Dufner,79,12.66,136,1074,+0.13
119,120,120,Danny Briggs,85,12.7,140,1102,+0.12
120,121,121,J.L. Lewis,106,12.71,170,1338,+0.14
121,122,122,Mathias Grönberg,91,12.74,144,1130,+0.08
122,123,123,Vaughn Taylor,84,12.75,142,1114,+0.25
123,124,124,Rich Barcelo,67,12.76,112,878,+0.13
124,125,125,Richard Johnson,102,12.79,178,1392,+0.30
125,126,126,Steve Allan,102,12.85,170,1323,+0.09
126,127,127,Ken Duke,89,12.88,153,1188,+0.12
127,128,128,Chris Smith,105,12.92,182,1409,+0.08
128,129,129,Dean Wilson,99,12.94,178,1376,+0.18
129,130,130,Geoff Ogilvy,91,12.98,150,1156,+0.07
130,131,131,Stuart Appleby,84,13.04,117,897,+0.07
131,132,132,Brian Gay,96,13.05,167,1280,+0.14
132,133,133,Shigeki Maruyama,93,13.08,147,1124,+0.02
133,134,134,Hunter Mahan,94,13.11,161,1228,+0.07
134,135,135,Tommy Tolles,67,13.13,119,906,+0.06
135,136,136,Cliff Kresge,89,13.16,152,1155,+0.18
136,137,137,Alex Cejka,76,13.17,110,835,+0.07
137,138,138,Greg Chalmers,70,13.21,125,946,+0.14
138,139,139,José María Olazábal,56,13.24,81,612,+0.12
139,140,140,Kris Cox,73,13.25,120,906,+0.22
140,141,141,Dan Forsman,79,13.3,135,1015,+0.19
141,142,142,Mike Heinen,53,13.34,95,712,+0.20
142,143,143,Patrick Sheehan,113,13.36,195,1460,+0.21
143,144,144,Neal Lancaster,106,13.44,189,1406,+0.03
144,T145,T145,Freddie Jacobson,83,13.5,128,948,+0.12
145,T145,T145,Matt Kuchar,83,13.5,152,1126,+0.14
146,147,147,Lee Janzen,84,13.54,147,1086,+0.08
147,148,148,Chris Couch,55,13.55,100,738,+0.30
148,T149,T149,Jason Bohn,98,13.56,176,1298,+0.18
149,T149,T149,Russ Cochran,61,13.56,112,826,+0.03
150,151,151,Todd Hamilton,92,13.59,137,1008,+0.04
151,152,152,Bernhard Langer,59,13.65,89,652,+0.10
152,153,153,Rod Pampling,98,13.68,160,1170,+0.21
153,154,154,Michael Allen,87,13.74,163,1186,+0.10
154,155,155,Steve Lowery,91,13.77,155,1126,+0.17
155,156,156,Tiger Woods,78,13.83,109,788,-0.07
156,157,157,Mark O'Meara,58,13.86,89,642,+0.17
157,158,158,Vijay Singh,112,13.9,179,1288,-0.03
158,T159,T159,Jesper Parnevik,86,13.92,159,1142,+0.07
159,T159,T159,Mike Weir,75,13.92,115,826,+0.12
160,161,161,Niclas Fasth,61,13.93,105,754,+0.21
161,162,162,Chad Campbell,100,13.97,162,1160,+0.08
162,163,163,Todd Fischer,104,14.01,195,1392,+0.18
163,164,164,Brian Bateman,84,14.08,149,1058,+0.03
164,165,165,Arjun Atwal,85,14.13,156,1104,+0.12
165,166,166,Daniel Chopra,108,14.14,197,1393,+0.09
166,167,167,Stephen Leaney,84,14.16,124,876,+0.24
167,T168,T168,Tom Carter,113,14.24,206,1447,+0.11
168,T168,T168,Justin Rose,77,14.24,127,892,-0.04
169,170,170,Danny Ellis,81,14.25,153,1074,+0.14
170,171,171,Steve Stricker,81,14.29,151,1057,+0.12
171,172,172,Deane Pappas,72,14.32,136,950,+0.07
172,173,173,Gene Sauers,83,14.53,164,1129,+0.18
173,174,174,Luke Donald,72,14.62,131,896,+0.21
174,175,175,David Peoples,82,14.68,164,1117,+0.18
175,176,176,Rory Sabbatini,89,14.7,157,1068,E
176,T177,T177,Tag Ridings,53,14.71,98,666,+0.01
177,T177,T177,Andre Stolz,53,14.71,105,714,+0.21
178,179,179,David Frost,78,14.73,160,1086,+0.19
179,180,180,Brett Quigley,102,14.77,189,1280,+0.07
180,181,181,Brian Kortan,65,14.8,124,838,+0.19
181,182,182,Dan Olsen,75,14.86,143,962,+0.12
182,183,183,Aaron Baddeley,87,14.88,164,1102,+0.09
183,184,184,Grant Waite,79,14.91,156,1046,+0.17
184,185,185,Davis Love III,85,14.95,128,856,+0.05
185,186,186,Tripp Isenhour,55,14.96,102,682,+0.30
186,187,187,Tim Herron,84,15.07,149,989,-0.01
187,188,188,John Daly,79,15.1,154,1020,+0.01
188,189,189,Kenny Perry,79,15.25,140,918,+0.06
189,190,190,Brenden Pappas,111,15.47,228,1474,+0.07
190,191,191,Craig Perks,75,16.0,152,950,+0.08
191,192,192,Ernie Els,62,16.39,97,592,+0.04
192,193,193,Adam Scott,55,16.49,93,564,+0.06
193,194,194,Carlos Franco,99,16.65,220,1321,E
194,195,195,David Gossett,57,17.15,131,764,+0.27
195,196,196,Hank Kuehne,91,18.83,229,1216,-0.04
