,Hit_Fairway_Percentage_RANK THIS WEEK,Hit_Fairway_Percentage_RANK LAST WEEK,Hit_Fairway_Percentage_PLAYER NAME,Hit_Fairway_Percentage_ROUNDS,Hit_Fairway_Percentage_%,Hit_Fairway_Percentage_FAIRWAYS HIT,Hit_Fairway_Percentage_POSSIBLE FAIRWAYS,Hit_Fairway_Percentage_RELATIVE TO PAR
60,61,61,Len Mattiace,75,67.16,681,1014,-0.08
61,62,62,Cameron Beckman,99,67.05,877,1308,-0.18
62,63,63,Jay Haas,84,66.92,605,904,-0.19
63,64,64,Steve Flesch,109,66.91,835,1248,-0.11
64,65,65,Guy Boros,64,66.9,580,867,-0.05
65,66,66,David Branshaw,84,66.88,747,1117,-0.12
66,T67,T67,Ben Curtis,56,66.72,395,592,-0.14
67,T67,T67,Glen Day,101,66.72,882,1322,-0.17
68,69,69,Bob Estes,73,66.67,544,816,-0.2
69,70,70,Brian Bateman,84,66.64,705,1058,-0.17
70,71,71,Bo Van Pelt,107,66.59,833,1251,-0.19
71,72,72,Pat Perez,102,66.57,874,1313,-0.15
72,73,73,Mark Calcavecchia,79,66.38,616,928,-0.18
73,74,74,Jonathan Kaye,79,66.35,631,951,-0.17
74,75,75,Gene Sauers,83,66.34,749,1129,-0.1
75,76,76,David Frost,78,66.3,720,1086,-0.13
76,77,77,J.L. Lewis,106,66.22,886,1338,-0.18
77,78,78,Jason Bohn,98,66.18,859,1298,-0.16
78,79,79,Darren Clarke,54,66.14,336,508,-0.18
79,80,80,Robert Allenby,93,66.13,701,1060,-0.18
80,81,81,Charles Howell III,104,66.03,764,1157,-0.17
81,T82,T82,J.J. Henry,103,66.0,891,1350,-0.21
82,T82,T82,Joey Sindelar,100,66.0,864,1309,-0.14
83,84,84,Stephen Leaney,84,65.98,578,876,-0.15
84,85,85,John Senden,99,65.94,848,1286,-0.2
85,T86,T86,Stephen Ames,97,65.63,777,1184,-0.18
86,T86,T86,Brian Gay,96,65.63,840,1280,-0.18
87,88,88,Robert Gamez,103,65.56,885,1350,-0.17
88,89,89,Mike Weir,75,65.5,541,826,-0.16
89,90,90,Danny Briggs,85,65.43,721,1102,-0.13
90,91,91,Shigeki Maruyama,93,65.39,735,1124,-0.17
91,92,92,Russ Cochran,61,65.25,539,826,-0.1
92,93,93,Scott McCarron,88,65.24,745,1142,-0.15
93,94,94,Bob Tway,90,65.23,651,998,-0.15
94,95,95,Vaughn Taylor,84,65.17,726,1114,-0.21
95,96,96,Alex Cejka,76,65.15,544,835,-0.15
96,97,97,Chad Campbell,100,65.09,755,1160,-0.15
97,98,98,Briny Baird,100,65.03,807,1241,-0.18
98,99,99,David Toms,80,64.95,543,836,-0.2
99,100,100,Kenny Perry,79,64.92,596,918,-0.18
100,101,101,Brent Geiberger,94,64.88,822,1267,-0.15
101,102,102,Dan Forsman,79,64.73,657,1015,-0.12
102,103,103,Harrison Frazar,86,64.7,700,1082,-0.25
103,104,104,Ben Crane,92,64.69,797,1232,-0.17
104,105,105,Lucas Glover,95,64.68,802,1240,-0.18
105,106,106,Stuart Appleby,84,64.66,580,897,-0.19
106,107,107,Roland Thatcher,66,64.65,578,894,-0.15
107,108,108,Steve Pate,71,64.59,602,932,-0.14
108,109,109,Matt Kuchar,83,64.48,726,1126,-0.16
109,110,110,Peter Lonard,68,64.45,504,782,-0.12
110,111,111,D.J. Brigman,79,64.41,666,1034,-0.13
111,112,112,Dudley Hart,60,64.37,486,755,-0.16
112,113,113,Blaine McCallister,68,64.21,592,922,-0.09
113,114,114,Tim Petrovic,111,64.18,851,1326,-0.18
114,115,115,Shaun Micheel,93,63.9,671,1050,-0.21
115,116,116,Craig Parry,52,63.83,337,528,-0.15
116,117,117,Woody Austin,94,63.78,782,1226,-0.17
117,118,118,David Peoples,82,63.74,712,1117,-0.2
118,119,119,Brian Kortan,65,63.6,533,838,-0.12
119,120,120,Rich Beem,81,63.59,592,931,-0.14
120,121,121,Geoff Ogilvy,91,63.58,735,1156,-0.22
121,122,122,Ryan Palmer,103,63.54,866,1363,-0.18
122,123,123,Hunter Mahan,94,63.52,780,1228,-0.16
123,124,124,Retief Goosen,56,63.5,381,600,-0.27
124,125,125,Cliff Kresge,89,63.46,733,1155,-0.12
125,126,126,Danny Ellis,81,63.31,680,1074,-0.15
126,127,127,Dean Wilson,99,63.23,870,1376,-0.18
127,128,128,K.J. Choi,83,63.12,563,892,-0.18
128,129,129,Chris Riley,78,63.07,526,834,-0.19
129,130,130,Bernhard Langer,59,63.04,411,652,-0.13
130,131,131,Mike Heinen,53,62.92,448,712,-0.18
131,132,132,Justin Rose,77,62.89,561,892,-0.2
132,133,133,Patrick Sheehan,113,62.88,918,1460,-0.17
133,134,134,Tommy Armour III,87,62.79,729,1161,-0.12
134,135,135,Jason Dufner,79,62.76,674,1074,-0.18
135,136,136,Niclas Fasth,61,62.6,472,754,-0.12
136,137,137,Phil Mickelson,83,62.59,532,850,-0.23
137,138,138,Lee Janzen,84,62.52,679,1086,-0.19
138,139,139,Tripp Isenhour,55,62.46,426,682,-0.14
139,140,140,Vijay Singh,112,62.42,804,1288,-0.3
140,141,141,Jonathan Byrd,85,62.28,649,1042,-0.2
141,142,142,Joe Ogilvie,104,62.18,799,1285,-0.18
142,143,143,Carl Pettersson,100,62.05,752,1212,-0.22
143,144,144,Jay Delsing,76,61.98,613,989,-0.18
144,145,145,Greg Chalmers,70,61.95,586,946,-0.18
145,146,146,Todd Fischer,104,61.64,858,1392,-0.2
146,147,147,Dennis Paulson,71,61.43,575,936,-0.15
147,148,148,Brad Faxon,94,61.42,624,1016,-0.16
148,149,149,John Riegger,53,61.35,454,740,-0.17
149,150,150,Arjun Atwal,85,61.14,675,1104,-0.15
150,151,151,Davis Love III,85,60.98,522,856,-0.18
151,152,152,Rory Sabbatini,89,60.58,647,1068,-0.19
152,153,153,Sergio Garcia,65,60.3,439,728,-0.2
153,154,154,Rod Pampling,98,60.26,705,1170,-0.23
154,155,155,Kris Cox,73,60.04,544,906,-0.15
155,156,156,Steve Allan,102,60.02,794,1323,-0.16
156,157,157,Deane Pappas,72,60.0,570,950,-0.15
157,158,158,Jesper Parnevik,86,59.98,685,1142,-0.19
158,159,159,Chris Smith,105,59.97,845,1409,-0.18
159,160,160,Tim Herron,84,59.86,592,989,-0.18
160,161,161,Grant Waite,79,59.85,626,1046,-0.15
161,162,162,Mathias Grönberg,91,59.82,676,1130,-0.11
162,163,163,Roger Tambellini,81,59.79,617,1032,-0.14
163,164,164,Billy Andrade,104,59.7,831,1392,-0.17
164,165,165,Carlos Franco,99,59.58,787,1321,-0.19
165,166,166,Fred Couples,54,59.52,369,620,-0.21
166,167,167,Rich Barcelo,67,59.45,522,878,-0.14
167,168,168,Andre Stolz,53,59.24,423,714,-0.13
168,169,169,Adam Scott,55,59.22,334,564,-0.29
169,170,170,Daniel Chopra,108,59.08,823,1393,-0.19
170,171,171,Stewart Cink,103,59.07,684,1158,-0.23
171,172,172,Ken Duke,89,58.92,700,1188,-0.11
172,173,173,Steve Lowery,91,58.7,661,1126,-0.18
173,174,174,Todd Hamilton,92,58.53,590,1008,-0.12
174,175,175,Neal Lancaster,106,57.97,815,1406,-0.17
175,176,176,Paul Azinger,75,57.91,571,986,-0.2
176,177,177,Tiger Woods,78,57.36,452,788,-0.29
177,178,178,Brett Quigley,102,57.27,733,1280,-0.17
178,179,179,Tag Ridings,53,57.21,381,666,-0.19
179,180,180,José María Olazábal,56,57.19,350,612,-0.2
180,181,181,Freddie Jacobson,83,57.07,541,948,-0.21
181,182,182,Ernie Els,62,56.93,337,592,-0.23
182,183,183,Michael Allen,87,56.91,675,1186,-0.18
183,184,184,Chris Couch,55,56.1,414,738,-0.16
184,185,185,Tom Carter,113,55.84,808,1447,-0.16
185,186,186,Kevin Muncrief,50,55.39,370,668,-0.11
186,187,187,Craig Perks,75,55.05,523,950,-0.19
187,188,188,David Gossett,57,54.71,418,764,-0.02
188,189,189,Tommy Tolles,67,54.19,491,906,-0.13
189,190,190,Scott Hend,81,54.1,568,1050,-0.16
190,191,191,John Daly,79,53.63,547,1020,-0.3
191,192,192,Aaron Baddeley,87,53.36,588,1102,-0.16
192,193,193,Steve Stricker,81,52.79,558,1057,-0.21
193,194,194,Dan Olsen,75,51.35,494,962,-0.16
194,195,195,Brenden Pappas,111,50.61,746,1474,-0.23
195,196,196,Hank Kuehne,91,50.0,608,1216,-0.21
