,Right_Rough_Tendency_RANK THIS WEEK,Right_Rough_Tendency_RANK LAST WEEK,Right_Rough_Tendency_PLAYER NAME,Right_Rough_Tendency_ROUNDS,Right_Rough_Tendency_%,Right_Rough_Tendency_TOTAL RIGHT ROUGH,Right_Rough_Tendency_POSSIBLE FWYS,Right_Rough_Tendency_RELATIVE TO PAR
76,77,77,Russ Cochran,61,11.74,97,826,+0.20
77,T78,T78,Jason Bohn,98,11.79,153,1298,+0.14
78,T78,T78,Dudley Hart,60,11.79,89,755,+0.09
79,80,80,Pat Perez,102,11.81,155,1313,+0.10
80,81,81,Shigeki Maruyama,93,11.83,133,1124,+0.05
81,82,82,Jonathan Kaye,79,11.88,113,951,+0.22
82,83,83,Brian Kortan,65,11.93,100,838,+0.24
83,84,84,David Morland IV,73,11.94,115,963,+0.18
84,85,85,Grant Waite,79,12.24,128,1046,+0.16
85,86,86,David Peoples,82,12.26,137,1117,+0.19
86,87,87,Billy Mayfair,109,12.37,174,1407,+0.20
87,88,88,Heath Slocum,92,12.47,153,1227,+0.12
88,89,89,Tom Pernice Jr.,103,12.5,162,1296,+0.08
89,90,90,Matt Gogel,86,12.51,133,1063,+0.20
90,91,91,Notah Begay III,71,12.53,117,934,+0.09
91,92,92,J.P. Hayes,79,12.54,124,989,+0.23
92,93,93,Jason Dufner,79,12.57,135,1074,+0.08
93,T94,T94,Brian Gay,96,12.58,161,1280,+0.18
94,T94,T94,Scott Hoch,52,12.58,81,644,+0.14
95,96,96,John Senden,99,12.6,162,1286,+0.12
96,97,97,Geoff Ogilvy,91,12.63,146,1156,+0.06
97,T98,T98,Ben Crane,92,12.66,156,1232,+0.14
98,T98,T98,Steve Pate,71,12.66,118,932,+0.10
99,100,100,Bo Van Pelt,107,12.79,160,1251,+0.08
100,101,101,Guy Boros,64,12.8,111,867,+0.14
101,102,102,Deane Pappas,72,12.84,122,950,-0.06
102,T103,T103,Stuart Appleby,84,12.93,116,897,+0.04
103,T103,T103,Vaughn Taylor,84,12.93,144,1114,+0.11
104,105,105,Tim Herron,84,12.94,128,989,+0.14
105,106,106,Patrick Sheehan,113,12.95,189,1460,+0.06
106,107,107,Rory Sabbatini,89,13.11,140,1068,-0.01
107,108,108,Harrison Frazar,86,13.12,142,1082,+0.05
108,109,109,Danny Briggs,85,13.16,145,1102,+0.03
109,110,110,Roland Thatcher,66,13.2,118,894,+0.13
110,111,111,Hunter Mahan,94,13.27,163,1228,+0.19
111,112,112,Chris Couch,55,13.28,98,738,+0.26
112,113,113,Lucas Glover,95,13.31,165,1240,+0.16
113,114,114,Kris Cox,73,13.36,121,906,+0.20
114,115,115,Cameron Beckman,99,13.38,175,1308,+0.11
115,116,116,Jay Haas,84,13.5,122,904,+0.04
116,117,117,Ben Curtis,56,13.51,80,592,+0.10
117,118,118,Bob Tway,90,13.53,135,998,+0.21
118,119,119,Peter Lonard,68,13.55,106,782,+0.15
119,120,120,Todd Fischer,104,13.58,189,1392,+0.17
120,121,121,Vijay Singh,112,13.59,175,1288,E
121,122,122,Joey Sindelar,100,13.6,178,1309,+0.13
122,123,123,David Gossett,57,13.61,104,764,+0.27
123,124,124,Carlos Franco,99,13.63,180,1321,+0.08
124,125,125,D.J. Brigman,79,13.64,141,1034,+0.04
125,126,126,Jesper Parnevik,86,13.66,156,1142,+0.03
126,127,127,Arjun Atwal,85,13.68,151,1104,+0.19
127,128,128,Shaun Micheel,93,13.81,145,1050,+0.12
128,129,129,Brent Geiberger,94,13.89,176,1267,+0.02
129,130,130,Hank Kuehne,91,13.9,169,1216,+0.01
130,131,131,Niclas Fasth,61,13.93,105,754,+0.10
131,132,132,Greg Chalmers,70,13.95,132,946,+0.17
132,T133,T133,Michael Allen,87,14.0,166,1186,+0.04
133,T133,T133,Charles Howell III,104,14.0,162,1157,+0.11
134,135,135,Stephen Ames,97,14.02,166,1184,+0.16
135,136,136,Chris Smith,105,14.05,198,1409,+0.14
136,137,137,Tom Lehman,70,14.06,122,868,+0.15
137,138,138,Mathias Grönberg,91,14.07,159,1130,+0.03
138,139,139,Woody Austin,94,14.11,173,1226,+0.08
139,140,140,Rich Beem,81,14.18,132,931,+0.10
140,141,141,Loren Roberts,81,14.33,145,1012,+0.19
141,142,142,Carl Pettersson,100,14.36,174,1212,-0.01
142,T143,T143,Tommy Armour III,87,14.47,168,1161,+0.20
143,T143,T143,Mike Heinen,53,14.47,103,712,+0.08
144,145,145,Rod Pampling,98,14.53,170,1170,+0.04
145,146,146,Andre Stolz,53,14.57,104,714,+0.21
146,147,147,Craig Perks,75,14.63,139,950,+0.24
147,148,148,Daniel Chopra,108,14.64,204,1393,+0.05
148,T149,T149,Robert Allenby,93,14.72,156,1060,+0.15
149,T149,T149,Neal Lancaster,106,14.72,207,1406,+0.09
150,151,151,Steve Allan,102,14.74,195,1323,+0.05
151,152,152,Jay Delsing,76,14.76,146,989,+0.18
152,153,153,Scott McCarron,88,14.8,169,1142,+0.18
153,154,154,Dicky Pride,66,14.91,127,852,+0.19
154,155,155,Tim Petrovic,111,14.93,198,1326,+0.13
155,156,156,Billy Andrade,104,14.94,208,1392,+0.10
156,157,157,Tag Ridings,53,15.02,100,666,+0.17
157,158,158,José María Olazábal,56,15.03,92,612,+0.09
158,159,159,Ryan Palmer,103,15.04,205,1363,+0.12
159,160,160,Blaine McCallister,68,15.08,139,922,+0.24
160,161,161,Chris Riley,78,15.23,127,834,+0.07
161,162,162,David Toms,80,15.31,128,836,+0.12
162,163,163,Joe Ogilvie,104,15.33,197,1285,+0.06
163,164,164,Darren Clarke,54,15.35,78,508,+0.04
164,165,165,Tommy Tolles,67,15.45,140,906,+0.22
165,166,166,Ken Duke,89,15.49,184,1188,+0.17
166,167,167,Freddie Jacobson,83,15.51,147,948,+0.03
167,168,168,Bob Estes,73,15.56,127,816,+0.06
168,169,169,Adam Scott,55,15.6,88,564,+0.20
169,170,170,Brett Quigley,102,15.63,200,1280,+0.06
170,171,171,Steve Stricker,81,15.7,166,1057,+0.05
171,172,172,Steve Lowery,91,15.72,177,1126,+0.08
172,173,173,Brenden Pappas,111,15.88,234,1474,+0.05
173,174,174,Roger Tambellini,81,16.09,166,1032,+0.15
174,T175,T175,Rich Barcelo,67,16.17,142,878,+0.13
175,T175,T175,Retief Goosen,56,16.17,97,600,+0.01
176,177,177,Jonathan Byrd,85,16.22,169,1042,+0.08
177,T178,T178,Davis Love III,85,16.24,139,856,+0.03
178,T178,T178,Dennis Paulson,71,16.24,152,936,+0.07
179,180,180,K.J. Choi,83,16.26,145,892,+0.17
180,T181,T181,Sergio Garcia,65,16.35,119,728,+0.06
181,T181,T181,John Riegger,53,16.35,121,740,+0.05
182,183,183,Tom Carter,113,16.38,237,1447,+0.08
183,184,184,Kevin Muncrief,50,16.47,110,668,+0.21
184,185,185,Todd Hamilton,92,16.96,171,1008,+0.18
185,186,186,Paul Azinger,75,17.14,169,986,+0.21
186,187,187,John Daly,79,17.25,176,1020,+0.07
187,188,188,Stewart Cink,103,17.62,204,1158,-0.01
188,189,189,Brad Faxon,94,17.72,180,1016,+0.18
189,190,190,Fred Couples,54,17.9,111,620,+0.13
190,T191,T191,Scott Hend,81,18.19,191,1050,+0.06
191,T191,T191,Dan Olsen,75,18.19,175,962,+0.14
192,193,193,Aaron Baddeley,87,18.51,204,1102,+0.19
193,194,194,Tiger Woods,78,18.91,149,788,-0.05
194,195,195,Ernie Els,62,19.09,113,592,E
195,196,196,Craig Parry,52,19.13,101,528,+0.20
