,Scoring_Average_Before_Cut_RANK THIS WEEK,Scoring_Average_Before_Cut_RANK LAST WEEK,Scoring_Average_Before_Cut_PLAYER NAME,Scoring_Average_Before_Cut_AVG,Scoring_Average_Before_Cut_TOTAL STROKES,Scoring_Average_Before_Cut_TOTAL ROUNDS
84,85,85,Andrew Magee,70.78,4530,64
85,T86,T86,Jim McGovern,70.79,2973,42
86,T86,T86,Ted Tryba,70.79,4743,67
87,88,88,Tim Herron,70.8,3965,56
88,T89,T89,Marco Dawson,70.81,2620,37
89,T89,T89,Spike McRoy,70.81,4532,64
90,T89,T89,Michael Muehr,70.81,4532,64
91,T92,T92,Brandel Chamblee,70.84,3471,49
92,T92,T92,Brandt Jobe,70.84,4321,61
93,T94,T94,Brad Elder,70.85,5030,71
94,T94,T94,Willie Wood,70.85,2338,33
95,96,96,Neal Lancaster,70.86,4960,70
96,97,97,Loren Roberts,70.88,3615,51
97,98,98,Lee Porter,70.93,4256,60
98,99,99,Scott Simpson,70.94,3334,47
99,T100,T100,Greg Kraft,70.95,4683,66
100,T100,T100,Steve Pate,70.95,4115,58
101,T100,T100,Corey Pavin,70.95,3051,43
102,T100,T100,Brent Schwarzrock,70.95,2909,41
103,104,104,J.P. Hayes,70.98,3407,48
104,T105,T105,Billy Andrade,71.0,3976,56
105,T105,T105,Glen Day,71.0,3976,56
106,T105,T105,Steve Elkington,71.0,2698,38
107,T105,T105,David Frost,71.0,4047,57
108,T105,T105,J.J. Henry,71.0,3976,56
109,T105,T105,Joe Ogilvie,71.0,4970,70
110,T111,T111,Mark Brooks,71.02,4048,57
111,T111,T111,Per-Ulrik Johansson,71.02,4119,58
112,T111,T111,Mark O'Meara,71.02,2983,42
113,T114,T114,José María Olazábal,71.03,2202,31
114,T114,T114,David Peoples,71.03,4191,59
115,T114,T114,Jerry Smith,71.03,4688,66
116,T117,T117,Tommy Armour III,71.05,4547,64
117,T117,T117,John Huston,71.05,2700,38
118,T119,T119,Carlos Franco,71.06,3766,53
119,T119,T119,Chris Perry,71.06,3624,51
120,121,121,Rich Beem,71.08,4407,62
121,122,122,Dan Forsman,71.1,3484,49
122,123,123,Bob Burns,71.12,4196,59
123,124,124,Michael Clark II,71.15,4411,62
124,T125,T125,Dennis Paulson,71.16,3558,50
125,T125,T125,Esteban Toledo,71.16,5195,73
126,T127,T127,Blaine McCallister,71.17,4199,59
127,T127,T127,Grant Waite,71.17,3772,53
128,129,129,Ronnie Black,71.18,2420,34
129,130,130,Shaun Micheel,71.19,4912,69
130,T131,T131,Tom Byrum,71.2,3916,55
131,T131,T131,Robin Freeman,71.2,4984,70
132,133,133,Tripp Isenhour,71.22,4273,60
133,T134,T134,Scott Dunlap,71.24,3847,54
134,T134,T134,Jeff Maggert,71.24,4132,58
135,136,136,David Morland IV,71.27,4205,59
136,T137,T137,Kevin Johnson,71.29,4634,65
137,T137,T137,Andrew McLardy,71.29,3992,56
138,T139,T139,Jeff Hart,71.32,3994,56
139,T139,T139,Bradley Hughes,71.32,4707,66
140,T139,T139,Ian Leggatt,71.32,4279,60
141,142,142,Carl Paulson,71.34,4352,61
142,143,143,Matt Gogel,71.35,3853,54
143,144,144,Larry Mize,71.38,3426,48
144,145,145,Chris Tidland,71.45,4001,56
145,146,146,Rory Sabbatini,71.46,3287,46
146,147,147,Paul Goydos,71.47,4288,60
147,148,148,Joey Sindelar,71.48,3431,48
148,149,149,Kaname Yokoo,71.49,3932,55
149,150,150,Duffy Waldorf,71.52,3576,50
150,151,151,Steve Jones,71.53,3648,51
151,T152,T152,Ben Bates,71.54,2647,37
152,T152,T152,Danny Ellis,71.54,4006,56
153,154,154,Jeff Brehaut,71.55,3649,51
154,155,155,Pete Jordan,71.56,5152,72
155,156,156,Craig Kanada,71.57,4008,56
156,T157,T157,Doug Barron,71.58,3436,48
157,T157,T157,Jason Gore,71.58,4223,59
158,T157,T157,Craig Perks,71.58,4295,60
159,160,160,Fulton Allem,71.6,3007,42
160,T161,T161,Garrett Willis,71.62,4727,66
161,T161,T161,Brian Wilson,71.62,4512,63
162,163,163,Jay Williamson,71.64,4728,66
163,164,164,Cliff Kresge,71.68,4444,62
164,165,165,Brian Henninger,71.78,4235,59
165,166,166,Paul Gow,71.79,3805,53
166,T167,T167,Woody Austin,71.8,5026,70
167,T167,T167,Bill Glasson,71.8,3662,51
168,169,169,Franklin Langham,71.83,2945,41
169,170,170,Mark Hensby,71.88,4097,57
170,T171,T171,Jimmy Green,71.91,4890,68
171,T171,T171,Geoff Ogilvy,71.91,3308,46
172,T173,T173,Richie Coughlan,71.92,3668,51
173,T173,T173,Kent Jones,71.92,4315,60
174,175,175,Gabriel Hjertstedt,71.97,4462,62
175,T176,T176,Dicky Pride,72.0,3888,54
176,T176,T176,Mark Wiebe,72.0,3384,47
177,178,178,Steve Allan,72.03,4538,63
178,179,179,Tommy Tolles,72.05,4611,64
179,180,180,Doug Dunakey,72.16,4546,63
180,181,181,Mathew Goggin,72.17,4763,66
181,182,182,Jeremy Anderson,72.18,3970,55
182,T183,T183,Kelly Grunewald,72.2,3899,54
183,T183,T183,Gary Nicklaus,72.2,5054,70
184,185,185,Robert Gamez,72.23,3467,48
185,186,186,Jean Van de Velde,72.26,2240,31
186,187,187,"Dave Stockton, Jr.",72.36,3256,45
187,188,188,Keith Clearwater,72.38,3474,48
188,189,189,Tom Scherrer,72.42,3838,53
189,190,190,Hunter Haas,72.45,4347,60
190,191,191,Sean Murphy,72.46,3913,54
191,192,192,Ben Ferguson,72.8,4368,60
192,193,193,Jeff Julian,72.93,3282,45
193,194,194,Rocky Walcher,73.43,3892,53
