,Eagles_Holes_per_RANK THIS WEEK,Eagles_Holes_per_RANK LAST WEEK,Eagles_Holes_per_PLAYER NAME,Eagles_Holes_per_ROUNDS,Eagles_Holes_per_FREQUENCY,Eagles_Holes_per_# OF HOLES,Eagles_Holes_per_# OF EAGLES
125,T126,T126,Brian Henninger,81,284.4,1422,5
126,T126,T126,Tom Lehman,82,284.4,1422,5
127,128,128,Doug Dunakey,83,291.6,1458,5
128,129,129,Cliff Kresge,84,295.2,1476,5
129,130,130,Tom Scherrer,69,297.0,1188,4
130,131,131,Fred Funk,118,300.9,2106,7
131,132,132,Neal Lancaster,107,315.0,1890,6
132,133,133,Jim Furyk,88,316.8,1584,5
133,134,134,Bob Tway,109,318.0,1908,6
134,135,135,Greg Chalmers,92,320.4,1602,5
135,T136,T136,Jay Haas,75,324.0,1296,4
136,T136,T136,Jay Williamson,92,324.0,1620,5
137,T138,T138,Robert Damron,91,327.6,1638,5
138,T138,T138,Kevin Johnson,93,327.6,1638,5
139,T138,T138,Spike McRoy,95,327.6,1638,5
140,141,141,Lee Janzen,96,331.2,1656,5
141,142,142,Mike Sposa,96,334.8,1674,5
142,143,143,Fulton Allem,56,336.0,1008,3
143,144,144,Gary Nicklaus,96,338.4,1692,5
144,T145,T145,J.P. Hayes,76,342.0,1368,4
145,T145,T145,Grant Waite,78,342.0,1368,4
146,147,147,Brandel Chamblee,77,346.5,1386,4
147,T148,T148,Dan Forsman,81,351.0,1404,4
148,T148,T148,Craig Kanada,80,351.0,1404,4
149,T148,T148,Chris Perry,80,351.0,1404,4
150,151,151,Billy Andrade,82,355.5,1422,4
151,T152,T152,Matt Gogel,83,364.5,1458,4
152,T152,T152,Kaname Yokoo,81,364.5,1458,4
153,154,154,Doug Barron,62,372.0,1116,3
154,T155,T155,Paul Goydos,86,378.0,1512,4
155,T155,T155,Ian Leggatt,84,378.0,1512,4
156,157,157,Charles Howell III,89,382.5,1530,4
157,158,158,Mark O'Meara,69,390.0,1170,3
158,159,159,Bob Estes,91,396.0,1584,4
159,160,160,José María Olazábal,51,423.0,846,2
160,T161,T161,Mark Hensby,71,426.0,1278,3
161,T161,T161,Steve Jones,75,426.0,1278,3
162,163,163,Woody Austin,99,427.5,1710,4
163,164,164,Jay Don Blake,100,432.0,1728,4
164,T165,T165,Ben Ferguson,76,444.0,1332,3
165,T165,T165,Kent Jones,74,444.0,1332,3
166,T165,T165,Larry Mize,76,444.0,1332,3
167,T165,T165,Nick Price,74,444.0,1332,3
168,169,169,Paul Gow,79,450.0,1350,3
169,170,170,Glen Hnatiuk,104,454.5,1818,4
170,171,171,Pete Jordan,105,463.5,1854,4
171,T172,T172,Brian Gay,114,504.0,2016,4
172,T172,T172,Brian Watts,56,504.0,1008,2
173,174,174,Jeff Hart,87,510.0,1530,3
174,175,175,Esteban Toledo,116,513.0,2052,4
175,176,176,Tripp Isenhour,92,534.0,1602,3
176,177,177,"Dave Stockton, Jr.",61,549.0,1098,2
177,178,178,Craig Parry,68,567.0,1134,2
178,T179,T179,Sean Murphy,70,630.0,1260,2
179,T179,T179,Corey Pavin,72,630.0,1260,2
180,181,181,Duffy Waldorf,77,648.0,1296,2
181,182,182,Loren Roberts,84,756.0,1512,2
182,183,183,David Frost,87,783.0,1566,2
183,184,184,Donnie Hammond,51,918.0,918,1
184,185,185,José Coceres,60,1026.0,1026,1
185,T186,T186,Steve Elkington,64,1098.0,1098,1
186,T186,T186,Bernhard Langer,62,1098.0,1098,1
187,188,188,Keith Clearwater,62,1116.0,1116,1
188,189,189,Scott Simpson,73,1314.0,1314,1
189,190,190,Mark Brooks,88,1584.0,1584,1
