,Birdie_or_Better_Percentage_RANK THIS WEEK,Birdie_or_Better_Percentage_RANK LAST WEEK,Birdie_or_Better_Percentage_PLAYER NAME,Birdie_or_Better_Percentage_ROUNDS,Birdie_or_Better_Percentage_%,Birdie_or_Better_Percentage_TOTAL BIRDIES,Birdie_or_Better_Percentage_TOTAL HOLES,Birdie_or_Better_Percentage_GIR RANK
69,70,70,Craig Parry,68,21.08,239,1134,64
70,71,71,Marco Dawson,57,21.05,216,1026,72
71,72,72,Jason Gore,82,21.04,303,1440,163
72,73,73,Mike Sposa,96,21.03,352,1674,92
73,74,74,Geoff Ogilvy,60,21.02,227,1080,155
74,T75,T75,Robert Allenby,108,20.96,400,1908,33
75,T75,T75,Billy Andrade,82,20.96,298,1422,145
76,T75,T75,Joey Sindelar,69,20.96,249,1188,76
77,78,78,Jay Don Blake,100,20.95,362,1728,114
78,79,79,John Huston,64,20.93,226,1080,18
79,80,80,Donnie Hammond,51,20.92,192,918,10
80,81,81,Jerry Smith,95,20.88,357,1710,160
81,82,82,Garrett Willis,88,20.87,323,1548,126
82,T83,T83,"David Berganio, Jr.",76,20.85,274,1314,73
83,T83,T83,Fred Funk,118,20.85,439,2106,50
84,T83,T83,Neal Lancaster,107,20.85,394,1890,54
85,T83,T83,Rory Sabbatini,73,20.85,259,1242,95
86,T87,T87,K.J. Choi,95,20.83,345,1656,101
87,T87,T87,Glen Day,89,20.83,315,1512,132
88,89,89,Hal Sutton,96,20.7,354,1710,9
89,T90,T90,Bob May,86,20.69,298,1440,38
90,T90,T90,Grant Waite,78,20.69,283,1368,91
91,92,92,Brent Geiberger,84,20.68,294,1422,78
92,93,93,Nick Price,74,20.65,275,1332,68
93,94,94,Michael Muehr,94,20.59,341,1656,96
94,95,95,Ian Leggatt,84,20.57,311,1512,79
95,96,96,Scott Dunlap,80,20.53,292,1422,120
96,97,97,Jim Carter,103,20.52,373,1818,119
97,98,98,David Peoples,96,20.49,343,1674,32
98,99,99,Brian Wilson,88,20.48,317,1548,152
99,100,100,Jim McGovern,66,20.46,232,1134,118
100,101,101,Briny Baird,106,20.39,378,1854,27
101,102,102,Rich Beem,91,20.35,326,1602,124
102,103,103,Scott Simpson,73,20.32,267,1314,151
103,T104,T104,J.J. Henry,86,20.3,307,1512,13
104,T104,T104,Andrew McLardy,75,20.3,274,1350,125
105,106,106,Blaine McCallister,80,20.28,292,1440,133
106,107,107,Craig Kanada,80,20.23,284,1404,190
107,108,108,José María Olazábal,51,20.21,171,846,84
108,109,109,Glen Hnatiuk,104,20.19,367,1818,11
109,110,110,Craig Perks,78,20.18,276,1368,137
110,T111,T111,Bob Burns,92,20.16,323,1602,65
111,T111,T111,David Morland IV,88,20.16,312,1548,179
112,113,113,Dennis Paulson,75,20.12,268,1332,140
113,114,114,Matt Gogel,83,20.1,293,1458,113
114,115,115,José Coceres,60,20.08,206,1026,61
115,116,116,Brent Schwarzrock,63,20.02,227,1134,69
116,117,117,Woody Austin,99,20.0,342,1710,104
117,118,118,Andrew Magee,97,19.98,338,1692,165
118,119,119,Steve Elkington,64,19.95,219,1098,144
119,T120,T120,Tripp Isenhour,92,19.91,319,1602,172
120,T120,T120,John Riegger,86,19.91,301,1512,44
121,T120,T120,Duffy Waldorf,77,19.91,258,1296,53
122,123,123,Tom Byrum,85,19.87,304,1530,100
123,124,124,J.L. Lewis,108,19.86,379,1908,137
124,125,125,Brad Elder,111,19.83,389,1962,169
125,126,126,Chris Perry,80,19.8,278,1404,47
126,127,127,Mark O'Meara,69,19.74,231,1170,90
127,128,128,Mathew Goggin,96,19.71,330,1674,105
128,T129,T129,Hunter Haas,78,19.66,269,1368,191
129,T129,T129,Tim Herron,97,19.66,322,1638,21
130,131,131,Spike McRoy,95,19.6,321,1638,88
131,132,132,Gabriel Hjertstedt,76,19.59,268,1368,172
132,133,133,Kevin Johnson,93,19.54,320,1638,152
133,134,134,J.P. Hayes,76,19.52,267,1368,112
134,T135,T135,Mark Wiebe,62,19.44,217,1116,130
135,T135,T135,Jay Williamson,92,19.44,315,1620,109
136,137,137,Robert Gamez,59,19.4,206,1062,131
137,138,138,Tommy Armour III,93,19.35,317,1638,147
138,139,139,Ted Tryba,110,19.34,369,1908,114
139,140,140,Ben Bates,53,19.29,184,954,129
140,141,141,Paul Goydos,86,19.25,291,1512,161
141,T142,T142,Per-Ulrik Johansson,82,19.24,277,1440,52
142,T142,T142,Cliff Kresge,84,19.24,284,1476,142
143,144,144,Willie Wood,52,19.23,180,936,177
144,145,145,Paul Gow,79,19.19,259,1350,140
145,146,146,Greg Kraft,105,19.17,352,1836,94
146,147,147,Robert Damron,91,19.11,313,1638,136
147,148,148,Esteban Toledo,116,19.1,392,2052,123
148,149,149,Robin Freeman,105,19.09,354,1854,89
149,T150,T150,Craig Barlow,74,19.06,247,1296,71
150,T150,T150,Ronnie Black,51,19.06,175,918,122
151,152,152,Loren Roberts,84,18.98,287,1512,116
152,153,153,Frank Nobilo,91,18.91,303,1602,58
153,154,154,Lee Porter,93,18.89,306,1620,149
154,155,155,Carl Paulson,93,18.88,316,1674,97
155,T156,T156,Richie Coughlan,66,18.86,224,1188,158
156,T156,T156,Danny Ellis,76,18.86,258,1368,170
157,158,158,Steve Pate,89,18.8,291,1548,146
158,159,159,Steve Jones,75,18.78,240,1278,102
159,160,160,Brandel Chamblee,77,18.76,260,1386,159
160,161,161,Len Mattiace,98,18.75,324,1728,168
161,162,162,Dan Forsman,81,18.73,263,1404,83
162,T163,T163,Fulton Allem,56,18.65,188,1008,161
163,T163,T163,Corey Pavin,72,18.65,235,1260,183
164,165,165,Michael Clark II,87,18.56,284,1530,98
165,166,166,Larry Mize,76,18.47,246,1332,150
166,167,167,Doug Barron,62,18.46,206,1116,156
167,168,168,Jeff Brehaut,80,18.4,255,1386,92
168,169,169,Bradley Hughes,96,18.38,311,1692,43
169,170,170,Brian Henninger,81,18.35,261,1422,167
170,171,171,Pete Jordan,105,18.34,340,1854,135
171,T172,T172,Doug Dunakey,83,18.31,267,1458,184
172,T172,T172,Mark Hensby,71,18.31,234,1278,166
173,T172,T172,"Dave Stockton, Jr.",61,18.31,201,1098,187
174,175,175,Dicky Pride,78,18.3,257,1404,174
175,176,176,Jean Van de Velde,52,18.15,147,810,154
176,177,177,Steve Allan,88,18.09,280,1548,189
177,178,178,Shaun Micheel,103,18.06,325,1800,128
178,179,179,Chris Tidland,83,17.99,259,1440,147
179,T180,T180,Jeremy Anderson,69,17.71,220,1242,139
180,T180,T180,Jeff Hart,87,17.71,271,1530,56
181,182,182,Ben Ferguson,76,17.64,235,1332,181
182,183,183,Mark Brooks,88,17.61,279,1584,163
183,184,184,Gary Nicklaus,96,17.55,297,1692,178
184,185,185,Keith Clearwater,62,17.38,194,1116,182
185,186,186,Kelly Grunewald,66,17.34,206,1188,186
186,187,187,Bill Glasson,69,17.18,201,1170,66
187,188,188,Jimmy Green,94,17.15,284,1656,171
188,189,189,Kent Jones,74,17.12,228,1332,120
189,190,190,Tom Scherrer,69,17.09,203,1188,176
190,191,191,Rocky Walcher,59,16.85,179,1062,194
191,192,192,Franklin Langham,63,16.76,181,1080,188
192,193,193,Sean Murphy,70,16.27,205,1260,192
193,194,194,Jeff Julian,55,16.16,160,990,193
