,Average_Distance_to_Hole_After_Tee_Shot_RANK THIS WEEK,Average_Distance_to_Hole_After_Tee_Shot_RANK LAST WEEK,Average_Distance_to_Hole_After_Tee_Shot_PLAYER NAME,Average_Distance_to_Hole_After_Tee_Shot_ROUNDS,Average_Distance_to_Hole_After_Tee_Shot_AVG,Average_Distance_to_Hole_After_Tee_Shot_TOTAL DIST AFTER TEE SHOT,Average_Distance_to_Hole_After_Tee_Shot_TOTAL TEE SHOTS
85,86,86,Stuart Appleby,83,174.0,5573644.0,890
86,87,87,Chad Campbell,91,174.1,5778208.0,922
87,88,88,David Toms,76,174.2,5435825.0,867
88,T89,T89,Greg Owen,79,174.3,5390025.0,859
89,T89,T89,Kevin Sutherland,100,174.3,7536815.0,1201
90,T91,T91,David Howell,52,174.4,2618102.0,417
91,T91,T91,Ryan Moore,68,174.4,5030187.0,801
92,T93,T93,Frank Lickliter II,99,174.5,7316728.0,1165
93,T93,T93,Steve Lowery,99,174.5,7216266.0,1149
94,T93,T93,Vaughn Taylor,88,174.5,6671363.0,1062
95,96,96,Jesper Parnevik,84,174.6,6340475.0,1009
96,97,97,Bob Tway,81,174.7,5767728.0,917
97,T98,T98,Michael Allen,84,174.8,6210196.0,987
98,T98,T98,Arjun Atwal,97,174.8,7058881.0,1122
99,T98,T98,K.J. Choi,93,174.8,6883938.0,1094
100,T98,T98,Jason Schultz,77,174.8,5607893.0,891
101,T98,T98,Patrick Sheehan,104,174.8,7521399.0,1195
102,103,103,Brian Davis,92,174.9,7077637.0,1124
103,104,104,Rod Pampling,89,175.1,5678484.0,901
104,105,105,Joe Durant,101,175.2,8414900.0,1334
105,106,106,Brett Quigley,109,175.4,8175059.0,1295
106,T107,T107,Carl Pettersson,95,175.5,6563051.0,1039
107,T107,T107,Ted Purdy,103,175.5,6944549.0,1099
108,T109,T109,Bernhard Langer,77,175.7,5136274.0,812
109,T109,T109,Ian Leggatt,80,175.7,6052461.0,957
110,111,111,Zach Johnson,98,175.8,6777566.0,1071
111,112,112,Jim Furyk,89,175.9,6035703.0,953
112,113,113,"John Engler, Jr.",69,176.0,5525238.0,872
113,T114,T114,Woody Austin,107,176.1,8113232.0,1280
114,T114,T114,Paul Azinger,87,176.1,6934860.0,1094
115,T114,T114,David McKenzie,82,176.1,6036491.0,952
116,117,117,Mike Sposa,68,176.2,5100535.0,804
117,T118,T118,Greg Chalmers,71,176.3,4894394.0,771
118,T118,T118,Tom Lehman,70,176.3,4132315.0,651
119,T118,T118,Heath Slocum,96,176.3,7398632.0,1166
120,121,121,Len Mattiace,59,176.4,4503517.0,709
121,122,122,Brent Geiberger,99,176.5,7864502.0,1238
122,T123,T123,Dudley Hart,83,176.6,6205793.0,976
123,T123,T123,Tjaart van der Walt,60,176.6,4576454.0,720
124,125,125,Billy Andrade,78,176.7,5190869.0,816
125,T126,T126,Steve Flesch,119,176.8,9044400.0,1421
126,T126,T126,Shigeki Maruyama,94,176.8,7015488.0,1102
127,T128,T128,Briny Baird,81,176.9,6139853.0,964
128,T128,T128,Ben Crane,85,176.9,5375733.0,844
129,T128,T128,Omar Uresti,61,176.9,4483604.0,704
130,T131,T131,Justin Leonard,83,177.0,5747778.0,902
131,T131,T131,Ian Poulter,53,177.0,3721214.0,584
132,T133,T133,Jeff Brehaut,100,177.2,7500846.0,1176
133,T133,T133,Bart Bryant,87,177.2,6310448.0,989
134,135,135,Robert Gamez,94,177.3,7258155.0,1137
135,136,136,Duffy Waldorf,96,177.4,7262582.0,1137
136,137,137,Kent Jones,103,177.5,7746552.0,1212
137,T138,T138,Stephen Ames,63,177.7,3907897.0,611
138,T138,T138,Tim Petrovic,95,177.7,7337230.0,1147
139,T140,T140,David Branshaw,98,177.8,7693466.0,1202
140,T140,T140,Todd Hamilton,72,177.8,4922619.0,769
141,T140,T140,Steve Stricker,64,177.8,4589951.0,717
142,T140,T140,Vance Veazey,59,177.8,4749193.0,742
143,144,144,Mark Calcavecchia,94,177.9,6982588.0,1090
144,T145,T145,Jeff Maggert,81,178.0,5992351.0,935
145,T145,T145,José María Olazábal,62,178.0,3446635.0,538
146,T147,T147,Tommy Armour III,65,178.1,4679270.0,730
147,T147,T147,D.A. Points,82,178.1,6251970.0,975
148,T147,T147,Joey Sindelar,90,178.1,6713161.0,1047
149,150,150,Tom Pernice Jr.,108,178.2,7680602.0,1197
150,151,151,Thomas Levet,53,178.3,4300693.0,670
151,152,152,Billy Mayfair,94,178.4,6850802.0,1067
152,153,153,Bob Estes,85,178.5,6617198.0,1030
153,T154,T154,Aaron Baddeley,78,178.6,6031202.0,938
154,T154,T154,Daisuke Maruyama,83,178.6,6222842.0,968
155,T156,T156,Robert Damron,91,178.7,7300932.0,1135
156,T156,T156,Steve Elkington,52,178.7,4085929.0,635
157,158,158,Dean Wilson,115,178.8,8240715.0,1280
158,159,159,Kirk Triplett,58,178.9,4360397.0,677
159,160,160,Ryuji Imada,105,179.0,7725816.0,1199
160,161,161,Mike Weir,88,179.3,5647347.0,875
161,162,162,Michael Connell,51,179.4,3745392.0,580
162,T163,T163,Shaun Micheel,96,179.6,6945409.0,1074
163,T163,T163,Chris Riley,86,179.6,6147579.0,951
164,165,165,J.L. Lewis,57,179.8,4505201.0,696
165,166,166,Fred Funk,106,180.0,7673635.0,1184
166,167,167,Mark Wilson,79,180.2,6447965.0,994
167,168,168,Luke Donald,66,180.4,3902457.0,601
168,169,169,Ben Curtis,86,180.5,6031721.0,928
169,170,170,Chris DiMarco,83,180.8,5505338.0,846
170,T171,T171,Olin Browne,108,180.9,7797361.0,1197
171,T171,T171,Nathan Green,108,180.9,8442002.0,1296
172,173,173,Jeff Sluman,101,181.1,7465543.0,1145
173,174,174,Skip Kendall,72,181.5,5352019.0,819
174,175,175,Richard Johnson,94,181.8,7682319.0,1174
175,176,176,Ron Whittaker,81,182.1,6429372.0,981
176,177,177,Lee Janzen,79,182.2,6093393.0,929
177,T178,T178,Doug Barron,74,182.5,6039029.0,919
178,T178,T178,Jerry Kelly,100,182.5,7639077.0,1163
179,180,180,Hidemichi Tanaka,74,182.8,5831332.0,886
180,181,181,Greg Kraft,79,182.9,6130422.0,931
181,182,182,Shane Bertsch,104,183.3,8168817.0,1238
182,183,183,Steve Jones,83,183.7,6348569.0,960
183,T184,T184,John Cook,67,183.8,4988762.0,754
184,T184,T184,Scott Verplank,88,183.8,6205705.0,938
185,186,186,Jerry Smith,94,184.0,7684710.0,1160
186,T187,T187,Brian Gay,107,184.7,9196229.0,1383
187,T187,T187,Paul Goydos,72,184.7,5817123.0,875
188,189,189,Mark Brooks,90,185.0,6818734.0,1024
189,190,190,Todd Fischer,101,185.2,8221282.0,1233
190,191,191,Tim Clark,80,185.4,5358098.0,803
191,192,192,Brad Faxon,78,186.4,6789408.0,1012
192,T193,T193,Stephen Leaney,84,186.6,7094151.0,1056
193,T193,T193,Larry Mize,53,186.6,3802692.0,566
194,195,195,Mark O'Meara,52,189.3,3346207.0,491
195,196,196,Corey Pavin,74,189.8,5396610.0,790
