,Longest_Hole_Outs_in_yards_RANK THIS WEEK,Longest_Hole_Outs_in_yards_RANK LAST WEEK,Longest_Hole_Outs_in_yards_PLAYER NAME,Longest_Hole_Outs_in_yards_ROUNDS,Longest_Hole_Outs_in_yards_DISTANCE,Longest_Hole_Outs_in_yards_TOURNAMENT,Longest_Hole_Outs_in_yards_ROUND- COURSE,Longest_Hole_Outs_in_yards_HOLE
140,T141,141,Jason Schultz,77,97,John Deere Classic,1,6
141,T141,9,Lucas Glover,105,97,Bob Hope Chrysler Classic,5,15
142,143,85,Shane Bertsch,104,95,Nissan Open,2,17
143,144,50,Charles Howell III,96,94,Deutsche Bank Championship,3,18
144,T145,145,Michael Connell,51,93,Buick Open,3,16
145,T145,146,Donnie Hammond,33,93,Chrysler Classic of Tucson,1,3
146,T145,147,Chad Campbell,91,93,THE PLAYERS Championship,1,6
147,T145,148,Steven Bowditch,43,93,Deutsche Bank Championship,2,6
148,149,149,Vance Veazey,59,92,Chrysler Classic of Tucson,4,3
149,T150,136,Eric Axley,91,91,Chrysler Classic of Greensboro,4,5
150,T150,151,Robert Damron,91,91,Cialis Western Open,1,7
151,T152,152,Kevin Sutherland,100,89,Southern Farm Bureau Classic,2,3
152,T152,59,Mike Weir,88,89,Cialis Western Open,1,10
153,T154,154,Bob May,65,87,Booz Allen Classic,2,6
154,T154,64,Zach Johnson,98,87,Wachovia Championship,1,8
155,T156,60,Bob Estes,85,86,Reno-Tahoe Open,1,17
156,T156,157,Greg Owen,79,86,Shell Houston Open,1,12
157,T156,3,Patrick Sheehan,104,86,THE PLAYERS Championship,1,4
158,159,40,Adam Scott,70,85,Chrysler Championship,2,9
159,160,160,David Hearn,4,84,Canadian Open,1,10
160,T161,54,Kent Jones,103,83,84 LUMBER Classic,2,8
161,T161,162,Brandt Jobe,91,83,Bay Hill Invitational Presented by MasterCard,2,16
162,163,129,Robert Gamez,94,81,Verizon Heritage,1,9
163,T164,164,Paul Goydos,72,80,Wachovia Championship,2,8
164,T164,53,Brian Henninger,39,80,Chrysler Classic of Tucson,4,8
165,T166,148,Steven Bowditch,43,79,Deutsche Bank Championship,1,7
166,T166,4,Robert Allenby,79,79,World Golf Championships-American Express Championship,3,10
167,168,168,Arron Oberholser,82,78,Buick Invitational,4,13
168,T169,91,James Driscoll,80,77,Buick Invitational,2,13
169,T169,170,Brett Quigley,109,77,Buick Open,1,13
170,T169,171,Nathan Green,108,77,Buick Invitational,4,13
171,T169,117,Ryan Palmer,101,77,Chrysler Championship,1,11
172,T169,93,David Duval,71,77,Sony Open in Hawaii,3,9
173,T169,174,Ben Crane,85,77,Bank of America Colonial,2,2
174,T175,175,J.B. Holmes,81,75,Bay Hill Invitational Presented by MasterCard,2,16
175,T175,59,Mike Weir,88,75,Wachovia Championship,3,7
176,T175,177,Glen Day,30,75,Southern Farm Bureau Classic,4,18
177,T178,33,Jimmy Walker,60,74,John Deere Classic,3,10
178,T178,90,Chris Riley,86,74,U.S. Bank Championship in Milwaukee,2,1
179,T180,109,Steve Flesch,119,73,BellSouth Classic,3,6
180,T180,181,Louis Oosthuizen,6,73,World Golf Championships-American Express Championship,2,10
181,T182,182,Paul Casey,26,71,World Golf Championships-Bridgestone Invitational,2,2
182,T182,64,Zach Johnson,98,71,Buick Open,2,12
183,184,184,John Huston,74,67,John Deere Classic,2,2
184,T185,185,Carlos Franco,86,66,Booz Allen Classic,1,13
185,T185,186,Stephen Leaney,84,66,Barclays Classic,1,11
186,187,187,Ian Leggatt,80,64,FUNAI Classic at the WALT DISNEY WORLD Resort,4,13
187,188,76,Chris Couch,75,61,Shell Houston Open,2,13
188,189,189,Rory Sabbatini,84,60,World Golf Championships-American Express Championship,3,9
189,190,190,Billy Andrade,78,58,Buick Championship,4,2
190,T191,191,Mike Small,27,56,Reno-Tahoe Open,2,8
191,T191,192,Tom Pernice Jr.,108,56,the Memorial Tournament,1,17
192,T193,193,B.J. Staten,49,55,Shell Houston Open,3,13
193,T193,27,Corey Pavin,74,55,Booz Allen Classic,2,14
194,195,195,Scott Gump,28,54,U.S. Bank Championship in Milwaukee,4,6
195,T196,196,Davis Love III,85,51,Bank of America Colonial,4,2
196,T196,197,Willie Wood,26,51,AT&T Pebble Beach National Pro-Am,2,6
197,T196,9,Lucas Glover,105,51,Bank of America Colonial,2,1
198,T196,199,Marco Dawson,87,51,Barclays Classic,2,10
199,200,200,Nick Watney,97,50,Verizon Heritage,2,9
