,Greens_or_Fringe_in_Regulation_RANK THIS WEEK,Greens_or_Fringe_in_Regulation_RANK LAST WEEK,Greens_or_Fringe_in_Regulation_PLAYER NAME,Greens_or_Fringe_in_Regulation_ROUNDS,Greens_or_Fringe_in_Regulation_%,Greens_or_Fringe_in_Regulation_TOTAL HIT,Greens_or_Fringe_in_Regulation_TOTAL ATTEMPTS,Greens_or_Fringe_in_Regulation_RTP SCORE
97,98,98,Nicholas Thompson,96,71.87,1009,1404,-184.0
98,99,99,Pat Perez,50,71.83,543,756,-121.0
99,100,100,Charley Hoffman,100,71.78,1147,1598,-330.0
100,101,101,Sean O'Hair,100,71.76,981,1367,-220.0
101,102,102,Jeff Sluman,101,71.75,1072,1494,-267.0
102,103,103,John Cook,67,71.62,709,990,-139.0
103,104,104,Corey Pavin,74,71.61,734,1025,-143.0
104,T105,T105,Mark Calcavecchia,94,71.52,1017,1422,-212.0
105,T105,T105,Tom Pernice Jr.,108,71.52,1120,1566,-290.0
106,T105,T105,Paul Stankowski,70,71.52,811,1134,-172.0
107,108,108,Retief Goosen,68,71.5,592,828,-161.0
108,109,109,Olin Browne,108,71.49,1106,1547,-261.0
109,110,110,David Howell,52,71.48,386,540,-108.0
110,111,111,Stewart Cink,93,71.46,939,1314,-252.0
111,112,112,Eric Axley,91,71.45,1016,1422,-270.0
112,113,113,Robert Damron,91,71.39,1053,1475,-221.0
113,114,114,Joe Ogilvie,95,71.35,1001,1403,-241.0
114,115,115,Ryan Palmer,101,71.32,1052,1475,-251.0
115,116,116,Vaughn Taylor,88,71.28,988,1386,-282.0
116,117,117,Tjaart van der Walt,60,71.26,667,936,-126.0
117,118,118,Henrik Bjornstad,97,71.22,1141,1602,-239.0
118,119,119,Dean Wilson,115,71.21,1192,1674,-309.0
119,120,120,D.J. Trahan,92,71.2,974,1368,-226.0
120,121,121,Luke Donald,66,71.19,551,774,-155.0
121,122,122,Roger Tambellini,64,71.17,679,954,-129.0
122,123,123,Jesper Parnevik,84,71.16,935,1314,-259.0
123,124,124,Scott Gutschewski,53,71.11,576,810,-149.0
124,125,125,Tommy Armour III,65,71.07,678,954,-168.0
125,126,126,Ryan Moore,68,71.05,741,1043,-180.0
126,127,127,Bob Tway,81,70.98,856,1206,-190.0
127,128,128,Nathan Green,108,70.96,1200,1691,-303.0
128,129,129,Jason Gore,86,70.91,919,1296,-198.0
129,130,130,Robert Gamez,94,70.87,1046,1476,-219.0
130,131,131,Peter Lonard,77,70.83,840,1186,-143.0
131,132,132,Harrison Frazar,95,70.81,956,1350,-267.0
132,T133,T133,Marco Dawson,87,70.76,980,1385,-253.0
133,T133,T133,Shigeki Maruyama,94,70.76,1019,1440,-250.0
134,135,135,Robert Garrigus,85,70.72,942,1332,-240.0
135,136,136,Dudley Hart,83,70.71,903,1277,-194.0
136,137,137,Rory Sabbatini,84,70.66,814,1152,-203.0
137,138,138,J.P. Hayes,55,70.57,633,897,-161.0
138,T139,T139,Paul Azinger,87,70.56,1014,1437,-222.0
139,T139,T139,Bill Haas,99,70.56,1117,1583,-271.0
140,T139,T139,Patrick Sheehan,104,70.56,1105,1566,-223.0
141,142,142,Tim Herron,82,70.52,787,1116,-162.0
142,T143,T143,Fred Couples,52,70.49,406,576,-87.0
143,T143,T143,Carlos Franco,86,70.49,977,1386,-216.0
144,145,145,Freddie Jacobson,56,70.47,685,972,-172.0
145,146,146,Brian Gay,107,70.45,1266,1797,-330.0
146,147,147,Craig Barlow,77,70.4,735,1044,-205.0
147,148,148,"Wes Short, Jr.",96,70.33,1076,1530,-233.0
148,149,149,Mark Brooks,90,70.32,936,1331,-162.0
149,150,150,Shane Bertsch,104,70.31,1139,1620,-263.0
150,151,151,Michael Connell,51,70.24,531,756,-97.0
151,152,152,Danny Ellis,68,70.19,758,1080,-179.0
152,T153,T153,Brian Bateman,69,70.15,745,1062,-159.0
153,T153,T153,Carl Pettersson,95,70.15,947,1350,-224.0
154,155,155,Larry Mize,53,70.05,517,738,-89.0
155,156,156,Justin Leonard,83,70.03,818,1168,-190.0
156,157,157,John Huston,74,70.0,819,1170,-182.0
157,158,158,Woody Austin,107,69.99,1171,1673,-266.0
158,159,159,Ernie Els,69,69.98,592,846,-165.0
159,160,160,Stuart Appleby,83,69.97,806,1152,-227.0
160,161,161,Greg Kraft,79,69.9,843,1206,-180.0
161,162,162,Ryuji Imada,105,69.88,1093,1564,-257.0
162,163,163,D.A. Points,82,69.77,891,1277,-200.0
163,164,164,Todd Fischer,101,69.67,1128,1619,-267.0
164,165,165,Lee Janzen,79,69.53,851,1224,-180.0
165,166,166,Daniel Chopra,110,69.43,1124,1619,-344.0
166,167,167,Steve Jones,83,69.32,861,1242,-176.0
167,168,168,Arjun Atwal,97,69.31,1023,1476,-243.0
168,169,169,Geoff Ogilvy,76,69.3,648,935,-176.0
169,T170,T170,Jason Schultz,77,69.15,809,1170,-167.0
170,T170,T170,Jimmy Walker,60,69.15,697,1008,-166.0
171,172,172,Alex Aragon,63,69.07,670,970,-122.0
172,173,173,Ian Leggatt,80,68.97,869,1260,-198.0
173,174,174,Michael Allen,84,68.9,893,1296,-232.0
174,175,175,Mike Sposa,68,68.87,719,1044,-149.0
175,176,176,Tim Petrovic,95,68.85,1028,1493,-210.0
176,177,177,Doug Barron,74,68.82,830,1206,-163.0
177,178,178,Rod Pampling,89,68.8,805,1170,-227.0
178,179,179,Ben Crane,85,68.76,755,1098,-216.0
179,180,180,Tag Ridings,103,68.4,1108,1620,-267.0
180,181,181,James Driscoll,80,68.27,934,1368,-188.0
181,182,182,Jon Mills,68,68.25,662,970,-119.0
182,183,183,John Daly,51,67.89,501,738,-109.0
183,184,184,J.L. Lewis,57,67.22,605,900,-112.0
184,185,185,David Duval,71,67.19,641,954,-164.0
185,186,186,Chris Riley,86,67.15,834,1242,-204.0
186,187,187,Vance Veazey,59,67.08,652,972,-161.0
187,188,188,Len Mattiace,59,66.74,624,935,-137.0
188,189,189,Ryan Hietala,61,66.12,607,918,-128.0
189,190,190,Mark O'Meara,52,65.84,426,647,-81.0
190,191,191,Brad Faxon,78,65.8,864,1313,-190.0
191,192,192,"John Engler, Jr.",69,65.61,744,1134,-148.0
192,193,193,Hidemichi Tanaka,74,64.96,760,1170,-135.0
193,194,194,Greg Chalmers,71,63.94,656,1026,-149.0
194,195,195,Aaron Baddeley,78,63.89,782,1224,-224.0
195,196,196,Todd Hamilton,72,61.61,621,1008,-134.0
