,GIR_Percentage_from_Other_than_Fairway_RANK THIS WEEK,GIR_Percentage_from_Other_than_Fairway_RANK LAST WEEK,GIR_Percentage_from_Other_than_Fairway_PLAYER NAME,GIR_Percentage_from_Other_than_Fairway_ROUNDS,GIR_Percentage_from_Other_than_Fairway_%,GIR_Percentage_from_Other_than_Fairway_GREENS HIT,GIR_Percentage_from_Other_than_Fairway_# OF HOLES
83,84,84,Mathew Goggin,72,50.98,182,357
84,85,85,Robert Allenby,79,50.91,168,330
85,86,86,Chris Couch,75,50.86,207,407
86,87,87,Nathan Green,108,50.84,272,535
87,88,88,Dudley Hart,83,50.83,246,484
88,89,89,Robert Garrigus,85,50.71,251,495
89,90,90,Ryuji Imada,105,50.68,298,588
90,91,91,Stephen Leaney,84,50.63,202,399
91,92,92,Jason Bohn,104,50.62,244,482
92,93,93,Paul Goydos,72,50.55,137,271
93,T94,T94,Harrison Frazar,95,50.4,250,496
94,T94,T94,Shigeki Maruyama,94,50.4,250,496
95,96,96,Ben Curtis,86,50.37,202,401
96,97,97,Tom Lehman,70,50.31,164,326
97,98,98,Jerry Kelly,100,50.24,208,414
98,99,99,Padraig Harrington,54,50.21,119,237
99,T100,T100,Brian Davis,92,50.0,188,376
100,T100,T100,Freddie Jacobson,56,50.0,147,294
101,T100,T100,Jason Schultz,77,50.0,212,424
102,T100,T100,Jeff Sluman,101,50.0,247,494
103,104,104,K.J. Choi,93,49.89,224,449
104,105,105,David McKenzie,82,49.86,181,363
105,106,106,Michael Connell,51,49.81,130,261
106,107,107,Brent Geiberger,99,49.78,222,446
107,T108,T108,Alex Aragon,63,49.76,207,416
108,T108,T108,D.A. Points,82,49.76,209,420
109,110,110,Retief Goosen,68,49.72,178,358
110,111,111,Ron Whittaker,81,49.71,172,346
111,112,112,Joe Ogilvie,95,49.67,227,457
112,113,113,Mike Weir,88,49.65,211,425
113,114,114,Patrick Sheehan,104,49.59,242,488
114,115,115,Stephen Ames,63,49.53,159,321
115,T116,T116,Ian Leggatt,80,49.51,204,412
116,T116,T116,Jimmy Walker,60,49.51,201,406
117,118,118,Dean Wilson,115,49.47,279,564
118,119,119,Brian Bateman,69,49.45,180,364
119,120,120,Thomas Levet,53,49.42,127,257
120,121,121,Tag Ridings,103,49.37,315,638
121,122,122,Chris DiMarco,83,49.36,192,389
122,123,123,Olin Browne,108,49.35,190,385
123,124,124,Tommy Armour III,65,49.33,148,300
124,125,125,Nicholas Thompson,96,49.29,208,422
125,126,126,Mark Wilson,79,49.28,171,347
126,127,127,J.L. Lewis,57,49.12,140,285
127,128,128,John Cook,67,49.08,134,273
128,129,129,Adam Scott,70,49.03,177,361
129,T130,T130,Ted Purdy,103,48.96,236,482
130,T130,T130,Tjaart van der Walt,60,48.96,118,241
131,132,132,Robert Damron,91,48.94,230,470
132,133,133,José María Olazábal,62,48.93,160,327
133,134,134,John Huston,74,48.91,202,413
134,135,135,Mark Calcavecchia,94,48.89,220,450
135,136,136,Michael Allen,84,48.88,241,493
136,137,137,Jerry Smith,94,48.84,190,389
137,138,138,Kirk Triplett,58,48.83,104,213
138,139,139,Geoff Ogilvy,76,48.8,183,375
139,140,140,Arjun Atwal,97,48.77,237,486
140,141,141,Scott Verplank,88,48.65,144,296
141,142,142,Tim Clark,80,48.61,175,360
142,T143,T143,Craig Barlow,77,48.6,208,428
143,T143,T143,Shane Bertsch,104,48.6,225,463
144,145,145,Sean O'Hair,100,48.59,242,498
145,146,146,Danny Ellis,68,48.58,171,352
146,147,147,Skip Kendall,72,48.57,136,280
147,148,148,Mike Sposa,68,48.55,151,311
148,149,149,Ryan Palmer,101,48.47,254,524
149,150,150,Lee Janzen,79,48.33,231,478
150,151,151,Robert Gamez,94,48.25,193,400
151,152,152,Todd Fischer,101,47.93,232,484
152,153,153,Daisuke Maruyama,83,47.91,149,311
153,154,154,Vaughn Taylor,88,47.79,216,452
154,155,155,Rod Pampling,89,47.73,221,463
155,156,156,Paul Azinger,87,47.68,216,453
156,157,157,J.P. Hayes,55,47.64,121,254
157,158,158,Tom Pernice Jr.,108,47.41,238,502
158,159,159,Woody Austin,107,47.32,274,579
159,T160,T160,John Daly,51,47.24,154,326
160,T160,T160,Peter Lonard,77,47.24,180,381
161,162,162,David Toms,76,47.16,141,299
162,163,163,Kent Jones,103,47.11,212,450
163,164,164,Bob Tway,81,47.04,199,423
164,T165,T165,David Duval,71,46.82,221,472
165,T165,T165,Greg Kraft,79,46.82,147,314
166,T167,T167,Stuart Appleby,83,46.71,206,441
167,T167,T167,Tim Herron,82,46.71,220,471
168,169,169,Luke Donald,66,46.58,136,292
169,170,170,D.J. Trahan,92,46.56,210,451
170,171,171,Tim Petrovic,95,46.44,215,463
171,T172,T172,Richard Johnson,94,46.41,194,418
172,T172,T172,Justin Leonard,83,46.41,168,362
173,174,174,Carl Pettersson,95,46.06,234,508
174,175,175,Stewart Cink,93,46.04,227,493
175,176,176,Corey Pavin,74,46.03,145,315
176,177,177,Steve Jones,83,45.57,185,406
177,178,178,Chris Riley,86,45.54,153,336
178,179,179,Ernie Els,69,45.5,172,378
179,180,180,Zach Johnson,98,45.04,168,373
180,181,181,Jon Mills,68,44.95,178,396
181,182,182,Aaron Baddeley,78,44.84,187,417
182,183,183,Greg Chalmers,71,44.78,193,431
183,184,184,"John Engler, Jr.",69,44.64,175,392
184,185,185,Brad Faxon,78,44.49,206,463
185,186,186,Ben Crane,85,44.12,180,408
186,187,187,Larry Mize,53,43.96,80,182
187,188,188,Mark Brooks,90,43.95,167,380
188,189,189,David Howell,52,43.88,104,237
189,190,190,Fred Funk,106,43.79,141,322
190,191,191,Todd Hamilton,72,43.28,190,439
191,192,192,Ryan Moore,68,42.67,128,300
192,193,193,Doug Barron,74,42.6,141,331
193,194,194,Brian Gay,107,41.97,196,467
194,195,195,Jeff Maggert,81,40.88,130,318
195,196,196,Hidemichi Tanaka,74,40.81,171,419
