,Going_for_the_Green_-_Birdie_or_Better_RANK THIS WEEK,Going_for_the_Green_-_Birdie_or_Better_RANK LAST WEEK,Going_for_the_Green_-_Birdie_or_Better_PLAYER NAME,Going_for_the_Green_-_Birdie_or_Better_ROUNDS,Going_for_the_Green_-_Birdie_or_Better_%,Going_for_the_Green_-_Birdie_or_Better_# OF BIRDIE OR BETTER,Going_for_the_Green_-_Birdie_or_Better_ATTEMPTS,Going_for_the_Green_-_Birdie_or_Better_RTP-SUCCESSES,Going_for_the_Green_-_Birdie_or_Better_RTP-NOT GOING FOR THE GRN
54,T55,T55,Brandt Jobe,91,58.27,81,139,-86,-5.00
55,T55,T55,Jeff Sluman,101,58.27,74,127,-75,-18.00
56,57,57,Jimmy Walker,60,58.26,67,115,-68,-5.00
57,58,58,Carlos Franco,86,58.24,99,170,-107,+7.00
58,59,59,Marco Dawson,87,58.22,85,146,-89,-16.00
59,60,60,Tim Herron,82,57.98,69,119,-74,+4.00
60,61,61,Lucas Glover,105,57.75,123,213,-129,-24.00
61,62,62,Doug Barron,74,57.73,56,97,-57,-11.00
62,63,63,Arron Oberholser,82,57.69,60,104,-65,-19.00
63,64,64,Sean O'Hair,100,57.67,109,189,-114,+5.00
64,65,65,Mark Wilson,79,57.55,61,106,-65,-27.00
65,66,66,Bubba Watson,83,57.49,119,207,-128,+7.00
66,67,67,Sergio Garcia,59,57.43,58,101,-61,+2.00
67,68,68,Kevin Sutherland,100,57.38,105,183,-115,+7.00
68,69,69,Robert Allenby,79,57.35,78,136,-89,-3.00
69,70,70,Woody Austin,107,57.32,94,164,-99,-22.00
70,71,71,Robert Damron,91,57.26,71,124,-76,-23.00
71,72,72,Paul Azinger,87,57.25,79,138,-85,-12.00
72,73,73,Dean Wilson,115,57.23,91,159,-96,-15.00
73,T74,T74,Todd Fischer,101,57.14,72,126,-75,-45.00
74,T74,T74,Duffy Waldorf,96,57.14,96,168,-98,-10.00
75,76,76,Brian Gay,107,57.02,65,114,-68,-55.00
76,77,77,Peter Lonard,77,56.84,54,95,-55,-12.00
77,78,78,Olin Browne,108,56.76,63,111,-67,-23.00
78,79,79,Frank Lickliter II,99,56.65,98,173,-105,-16.00
79,80,80,Nick Watney,97,56.6,133,235,-140,-7.00
80,81,81,Steve Flesch,119,56.54,108,191,-115,+3.00
81,82,82,Chris Smith,67,56.45,70,124,-76,-10.00
82,83,83,Jon Mills,68,56.44,57,101,-62,+2.00
83,84,84,Alex Cejka,93,56.41,88,156,-90,-6.00
84,85,85,Mike Weir,88,56.36,62,110,-65,-18.00
85,86,86,John Senden,96,56.29,85,151,-92,-18.00
86,87,87,Richard Johnson,94,56.2,68,121,-71,-29.00
87,88,88,James Driscoll,80,56.13,87,155,-92,E
88,89,89,Stephen Leaney,84,56.0,56,100,-57,-34.00
89,90,90,Ryan Hietala,61,55.88,57,102,-60,+2.00
90,T91,T91,Jeff Brehaut,100,55.81,96,172,-99,-22.00
91,T91,T91,Jerry Kelly,100,55.81,72,129,-77,-19.00
92,93,93,Joey Sindelar,90,55.73,73,131,-77,-18.00
93,T94,T94,David Duval,71,55.56,55,99,-58,-6.00
94,T94,T94,Steve Jones,83,55.56,55,99,-56,-10.00
95,T94,T94,Joe Ogilvie,95,55.56,80,144,-83,-12.00
96,97,97,Charles Warren,93,55.33,109,197,-120,-12.00
97,98,98,Rod Pampling,89,55.26,63,114,-68,-20.00
98,99,99,Alex Aragon,63,55.24,58,105,-62,+18.00
99,100,100,Shane Bertsch,104,55.14,59,107,-64,-55.00
100,101,101,Rich Beem,85,55.13,86,156,-91,-13.00
101,102,102,Hunter Mahan,98,55.12,113,205,-116,+1.00
102,T103,T103,Pat Perez,50,54.95,50,91,-55,-11.00
103,T103,T103,Ted Purdy,103,54.95,100,182,-111,-1.00
104,105,105,Bob Estes,85,54.76,69,126,-74,-16.00
105,T106,T106,Kris Cox,83,54.73,81,148,-89,+7.00
106,T106,T106,Heath Slocum,96,54.73,81,148,-87,-29.00
107,108,108,Len Mattiace,59,54.67,41,75,-42,-4.00
108,109,109,Robert Gamez,94,54.63,59,108,-61,-10.00
109,110,110,K.J. Choi,93,54.61,77,141,-81,-13.00
110,111,111,Ryan Palmer,101,54.59,107,196,-110,+5.00
111,112,112,Jason Gore,86,54.55,84,154,-95,E
112,113,113,Shaun Micheel,96,54.48,73,134,-80,-20.00
113,114,114,Adam Scott,70,54.46,55,101,-61,-7.00
114,T115,T115,Luke Donald,66,54.29,38,70,-42,-15.00
115,T115,T115,Lee Janzen,79,54.29,57,105,-58,-22.00
116,117,117,Briny Baird,81,54.26,70,129,-74,-32.00
117,118,118,Troy Matteson,101,54.11,112,207,-120,-2.00
118,119,119,Joe Durant,101,53.99,115,213,-123,-19.00
119,T120,T120,Brian Bateman,69,53.98,61,113,-65,+14.00
120,T120,T120,Retief Goosen,68,53.98,61,113,-66,E
121,122,122,Robert Garrigus,85,53.96,109,202,-116,+18.00
122,123,123,Bart Bryant,87,53.92,55,102,-59,-16.00
123,124,124,Danny Ellis,68,53.85,63,117,-65,-11.00
124,125,125,Roger Tambellini,64,53.78,64,119,-68,-5.00
125,126,126,Arjun Atwal,97,53.7,87,162,-94,+1.00
126,127,127,Tom Lehman,70,53.66,44,82,-48,+1.00
127,128,128,Ben Curtis,86,53.57,45,84,-46,-31.00
128,129,129,Matt Hansen,68,53.54,68,127,-71,+2.00
129,130,130,Greg Owen,79,53.37,87,163,-90,-14.00
130,T131,T131,Rory Sabbatini,84,53.33,64,120,-68,-9.00
131,T131,T131,"Wes Short, Jr.",96,53.33,96,180,-102,-2.00
132,133,133,Tjaart van der Walt,60,53.25,41,77,-44,-8.00
133,T134,T134,Billy Andrade,78,53.06,52,98,-53,-13.00
134,T134,T134,Brad Faxon,78,53.06,52,98,-54,-4.00
135,136,136,Nicholas Thompson,96,52.84,93,176,-98,+11.00
136,137,137,Carl Pettersson,95,52.78,76,144,-80,E
137,138,138,Scott Gutschewski,53,52.68,59,112,-66,+9.00
138,139,139,Shigeki Maruyama,94,52.63,70,133,-73,-16.00
139,140,140,Jonathan Kaye,95,52.36,100,191,-104,-7.00
140,141,141,Mathew Goggin,72,52.23,82,157,-87,+7.00
141,142,142,J.L. Lewis,57,52.22,47,90,-50,+1.00
142,143,143,Mark Calcavecchia,94,52.15,85,163,-87,-4.00
143,144,144,Jeff Overton,95,51.89,110,212,-113,-8.00
144,145,145,Davis Love III,85,51.8,72,139,-78,-5.00
145,146,146,Billy Mayfair,94,51.72,75,145,-84,-3.00
146,147,147,Henrik Bjornstad,97,51.37,94,183,-101,+5.00
147,148,148,Patrick Sheehan,104,51.33,77,150,-83,+7.00
148,149,149,Tim Petrovic,95,51.27,81,158,-85,-2.00
149,150,150,John Huston,74,51.24,62,121,-68,-3.00
150,151,151,Justin Leonard,83,51.19,43,84,-48,-37.00
151,152,152,D.J. Trahan,92,51.15,89,174,-96,-7.00
152,153,153,Larry Mize,53,51.06,24,47,-27,-5.00
153,T154,T154,Mathias Grönberg,92,50.94,108,212,-112,-5.00
154,T154,T154,Bob May,65,50.94,54,106,-54,-11.00
155,156,156,David McKenzie,82,50.83,61,120,-67,+2.00
156,157,157,José María Olazábal,62,50.6,42,83,-45,-17.00
157,158,158,Ian Poulter,53,50.56,45,89,-45,-13.00
158,159,159,Ron Whittaker,81,50.48,53,105,-54,-23.00
159,160,160,Kenny Perry,73,50.46,55,109,-59,-8.00
160,T161,T161,Daisuke Maruyama,83,50.39,65,129,-73,-17.00
161,T161,T161,D.A. Points,82,50.39,65,129,-69,+6.00
162,163,163,Brent Geiberger,99,50.33,76,151,-80,-11.00
163,T164,T164,Chris DiMarco,83,50.0,48,96,-50,-22.00
164,T164,T164,Bob Tway,81,50.0,58,116,-63,-12.00
165,166,166,Ryuji Imada,105,49.66,73,147,-79,-30.00
166,167,167,Paul Stankowski,70,49.61,63,127,-67,+6.00
167,168,168,Bubba Dickerson,98,49.51,102,206,-107,+12.00
168,T169,T169,Fred Couples,52,49.32,36,73,-39,-2.00
169,T169,T169,David Howell,52,49.32,36,73,-36,-5.00
170,T169,T169,Ian Leggatt,80,49.32,72,146,-76,+1.00
171,172,172,Corey Pavin,74,49.21,31,63,-33,-21.00
172,173,173,Bernhard Langer,77,49.18,60,122,-65,-13.00
173,174,174,Michael Connell,51,49.09,27,55,-29,-16.00
174,175,175,Chris Couch,75,48.89,88,180,-89,-6.00
175,176,176,Greg Chalmers,71,48.86,43,88,-44,+15.00
176,177,177,Freddie Jacobson,56,48.6,52,107,-56,-5.00
177,178,178,John Cook,67,48.44,31,64,-33,-17.00
178,179,179,Paul Goydos,72,48.31,43,89,-44,-42.00
179,180,180,John Daly,51,48.25,55,114,-58,+1.00
180,181,181,Hidemichi Tanaka,74,48.15,39,81,-41,+7.00
181,182,182,"John Engler, Jr.",69,48.04,49,102,-52,-5.00
182,183,183,Eric Axley,91,48.02,85,177,-90,-5.00
183,184,184,Jerry Smith,94,47.47,47,99,-50,-34.00
184,185,185,David Branshaw,98,47.34,80,169,-88,-20.00
185,186,186,Jeff Maggert,81,47.29,61,129,-63,E
186,187,187,Todd Hamilton,72,47.25,43,91,-47,-1.00
187,188,188,Mark O'Meara,52,47.06,16,34,-16,-24.00
188,189,189,Skip Kendall,72,46.43,39,84,-41,-28.00
189,190,190,Fred Funk,106,46.23,49,106,-53,-36.00
190,191,191,Tommy Armour III,65,46.05,35,76,-36,-6.00
191,192,192,Kirk Triplett,58,45.45,30,66,-33,-21.00
192,193,193,Brian Davis,92,45.03,77,171,-81,-24.00
193,194,194,Greg Kraft,79,43.9,36,82,-38,-36.00
194,195,195,Thomas Levet,53,43.82,39,89,-41,-1.00
195,196,196,Mark Brooks,90,40.86,38,93,-40,-17.00
