,Average_Approach_Shot_Distance_RANK THIS WEEK,Average_Approach_Shot_Distance_RANK LAST WEEK,Average_Approach_Shot_Distance_PLAYER NAME,Average_Approach_Shot_Distance_ROUNDS,Average_Approach_Shot_Distance_AVG,Average_Approach_Shot_Distance_TOTAL DIST OF APPR SHOT,Average_Approach_Shot_Distance_TOTAL HOLES
110,T108,T108,Scott Gutschewski,53,163.0,4728566.0,806
111,T108,T108,Mike Weir,88,163.0,6642136.0,1132
112,T113,T113,Daniel Chopra,110,163.1,9440347.0,1608
113,T113,T113,Lee Janzen,79,163.1,7163006.0,1220
114,T113,T113,Roger Tambellini,64,163.1,5576622.0,950
115,T113,T113,Ron Whittaker,81,163.1,7466565.0,1272
116,117,117,Jeff Overton,95,163.2,9133848.0,1555
117,T118,T118,Ben Curtis,86,163.3,7059848.0,1201
118,T118,T118,Matt Hansen,68,163.3,6089856.0,1036
119,T118,T118,Ian Poulter,53,163.3,4422102.0,752
120,T118,T118,Rory Sabbatini,84,163.3,6729602.0,1145
121,T118,T118,Charles Warren,93,163.3,8522289.0,1450
122,T123,T123,Eric Axley,91,163.4,8313033.0,1413
123,T123,T123,Jim Furyk,89,163.4,7139407.0,1214
124,T125,T125,Rich Beem,85,163.6,6857121.0,1164
125,T125,T125,Trevor Immelman,86,163.6,7701284.0,1308
126,T127,T127,Steve Flesch,119,163.7,10852498.0,1842
127,T127,T127,Ian Leggatt,80,163.7,7368351.0,1250
128,T127,T127,Tom Lehman,70,163.7,4973375.0,844
129,T127,T127,Jimmy Walker,60,163.7,5915648.0,1004
130,T131,T131,Stuart Appleby,83,163.8,6770788.0,1148
131,T131,T131,Alex Cejka,93,163.8,8419960.0,1428
132,T131,T131,K.J. Choi,93,163.8,8333077.0,1413
133,T131,T131,John Daly,51,163.8,4315929.0,732
134,T131,T131,Camilo Villegas,95,163.8,8609475.0,1460
135,136,136,John Rollins,93,163.9,7982285.0,1353
136,T137,T137,Jeff Brehaut,100,164.0,8986114.0,1522
137,T137,T137,Stephen Leaney,84,164.0,8138018.0,1378
138,T137,T137,Daisuke Maruyama,83,164.0,7416848.0,1256
139,T137,T137,Brett Quigley,109,164.0,9960446.0,1687
140,T137,T137,Kevin Sutherland,100,164.0,9202710.0,1559
141,T142,T142,Brad Faxon,78,164.1,7727017.0,1308
142,T142,T142,Frank Lickliter II,99,164.1,8977264.0,1520
143,T142,T142,Dean Wilson,115,164.1,9864645.0,1670
144,T145,T145,David Howell,52,164.2,3169227.0,536
145,T145,T145,Geoff Ogilvy,76,164.2,5479613.0,927
146,T145,T145,Pat Perez,50,164.2,4451332.0,753
147,T148,T148,Robert Garrigus,85,164.3,7814794.0,1321
148,T148,T148,Padraig Harrington,54,164.3,4027697.0,681
149,T148,T148,Steve Jones,83,164.3,7317206.0,1237
150,T148,T148,Shaun Micheel,96,164.3,8237342.0,1393
151,T148,T148,Phil Mickelson,74,164.3,4993424.0,844
152,T153,T153,Lucas Glover,105,164.4,9144110.0,1545
153,T153,T153,Bernhard Langer,77,164.4,6255732.0,1057
154,T155,T155,Carl Pettersson,95,164.5,7958999.0,1344
155,T155,T155,Duffy Waldorf,96,164.5,8692742.0,1468
156,157,157,Charley Hoffman,100,164.6,9391220.0,1585
157,158,158,David Branshaw,98,164.7,9241400.0,1559
158,159,159,Ryan Moore,68,164.8,6153953.0,1037
159,T160,T160,Craig Barlow,77,164.9,6191161.0,1043
160,T160,T160,Steve Lowery,99,164.9,8854526.0,1492
161,T162,T162,Joe Durant,101,165.0,10199991.0,1717
162,T162,T162,Hunter Mahan,98,165.0,9487039.0,1597
163,T164,T164,Charles Howell III,96,165.2,8428042.0,1417
164,T164,T164,D.A. Points,82,165.2,7578942.0,1274
165,T164,T164,D.J. Trahan,92,165.2,8092365.0,1361
166,T167,T167,Chris Couch,75,165.3,7115795.0,1196
167,T167,T167,Mathias Grönberg,92,165.3,8374506.0,1407
168,T167,T167,Bill Haas,99,165.3,9376093.0,1576
169,T167,T167,Jeff Maggert,81,165.3,7200449.0,1210
170,T167,T167,Tim Petrovic,95,165.3,8845457.0,1486
171,172,172,Jonathan Byrd,66,165.4,5758429.0,967
172,T173,T173,Brandt Jobe,91,165.5,7465438.0,1253
173,T173,T173,Corey Pavin,74,165.5,6107755.0,1025
174,175,175,Mark Calcavecchia,94,165.6,8422450.0,1413
175,176,176,Vijay Singh,103,165.7,8990864.0,1507
176,T177,T177,Davis Love III,85,165.8,6065607.0,1016
177,T177,T177,Troy Matteson,101,165.8,9391740.0,1573
178,T179,T179,Billy Mayfair,94,165.9,8246751.0,1381
179,T179,T179,José María Olazábal,62,165.9,4157308.0,696
180,181,181,Carlos Franco,86,166.0,8235686.0,1378
181,182,182,Tom Pernice Jr.,108,166.5,9347388.0,1559
182,183,183,Ryan Palmer,101,166.6,8779096.0,1464
183,184,184,Ted Purdy,103,166.9,8628453.0,1436
184,185,185,Thomas Levet,53,167.0,5174912.0,861
185,186,186,Robert Allenby,79,167.4,6464893.0,1073
186,187,187,Sean O'Hair,100,167.7,8208426.0,1360
187,188,188,Sergio Garcia,59,167.8,4203377.0,696
188,T189,T189,Aaron Baddeley,78,168.0,7358238.0,1217
189,T189,T189,Ernie Els,69,168.0,5079947.0,840
190,191,191,Nick Watney,97,168.4,9315355.0,1537
191,T192,T192,Nathan Green,108,168.5,10154744.0,1674
192,T192,T192,Jesper Parnevik,84,168.5,7929958.0,1307
193,T194,T194,Mathew Goggin,72,168.8,6318077.0,1040
194,T194,T194,Greg Owen,79,168.8,6743469.0,1110
195,196,196,Tiger Woods,55,169.3,4054138.0,665
