,Approaches_from_50-75_yards_Rgh_RANK THIS WEEK,Approaches_from_50-75_yards_Rgh_RANK LAST WEEK,Approaches_from_50-75_yards_Rgh_PLAYER NAME,Approaches_from_50-75_yards_Rgh_ROUNDS,Approaches_from_50-75_yards_Rgh_AVG,Approaches_from_50-75_yards_Rgh_TOTAL DISTANCE (FEET),Approaches_from_50-75_yards_Rgh_# OF ATTEMPTS,Approaches_from_50-75_yards_Rgh_RELATIVE TO PAR
163,164,164,D.A. Points,82,"29' 7""",414.25,14,+5
164,T165,T165,K.J. Choi,93,"29' 11""",299.5,10,+4
165,T165,T165,Steve Lowery,99,"29' 11""",479.0,16,+2
166,T167,T167,Brian Bateman,69,"30' 0""",479.833,16,+8
167,T167,T167,Stephen Leaney,84,"30' 0""",269.91700000000003,9,+3
168,169,169,Ian Leggatt,80,"30' 2""",453.0,15,+5
169,170,170,Brad Faxon,78,"30' 3""",725.0,24,+5
170,171,171,Olin Browne,108,"30' 4""",424.333,14,+5
171,T172,T172,Jeff Overton,95,"30' 6""",732.0,24,+2
172,T172,T172,Kevin Sutherland,100,"30' 6""",397.0,13,+6
173,174,174,Mathias Grönberg,92,"30' 10""",400.583,13,+6
174,175,175,Peter Lonard,77,"30' 11""",278.5,9,-1
175,176,176,Rich Beem,85,"31' 2""",280.66700000000003,9,+5
176,177,177,Pat Perez,50,"31' 4""",250.833,8,+2
177,178,178,Jerry Kelly,100,"31' 6""",188.833,6,E
178,179,179,Daniel Chopra,110,"31' 8""",569.75,18,+4
179,180,180,Hunter Mahan,98,"31' 10""",541.0830000000001,17,+7
180,181,181,Jason Bohn,104,"32' 4""",549.5,17,+6
181,182,182,Ernie Els,69,"32' 5""",420.917,13,+1
182,183,183,Brandt Jobe,91,"32' 7""",326.16700000000003,10,+1
183,184,184,Ryan Moore,68,"32' 8""",489.417,15,+10
184,185,185,John Rollins,93,"33' 2""",265.08299999999997,8,E
185,186,186,D.J. Trahan,92,"33' 6""",368.417,11,+5
186,187,187,Robert Gamez,94,"33' 7""",369.75,11,+5
187,188,188,Troy Matteson,101,"35' 1""",666.0,19,+7
188,189,189,Omar Uresti,61,"35' 11""",323.16700000000003,9,+5
189,190,190,Arron Oberholser,82,"36' 1""",325.08299999999997,9,+1
190,191,191,James Driscoll,80,"36' 11""",922.6669999999999,25,+3
191,T192,T192,Robert Damron,91,"38' 1""",418.5,11,+3
192,T192,T192,Chris Smith,67,"38' 1""",304.58299999999997,8,E
193,194,194,Stewart Cink,93,"38' 3""",152.917,4,+5
194,195,195,Duffy Waldorf,96,"39' 5""",473.25,12,+5
195,196,196,Mathew Goggin,72,"40' 9""",529.5,13,+15
