,GIR_Percentage_from_Fairway_RANK THIS WEEK,GIR_Percentage_from_Fairway_RANK LAST WEEK,GIR_Percentage_from_Fairway_PLAYER NAME,GIR_Percentage_from_Fairway_ROUNDS,GIR_Percentage_from_Fairway_%,GIR_Percentage_from_Fairway_GREENS HIT,GIR_Percentage_from_Fairway_# OF HOLES
83,T83,T83,Paul Stankowski,91,75.95,619,815
84,85,85,Garrett Willis,88,75.94,628,827
85,86,86,Tommy Tolles,89,75.9,589,776
86,87,87,Frank Nobilo,91,75.89,680,896
87,88,88,Jeff Hart,87,75.88,670,883
88,89,89,Cliff Kresge,84,75.87,569,750
89,90,90,Nick Price,74,75.85,534,704
90,91,91,Stuart Appleby,105,75.82,674,889
91,92,92,Andrew Magee,97,75.81,611,806
92,93,93,Grant Waite,78,75.8,548,723
93,94,94,K.J. Choi,95,75.79,620,818
94,T95,T95,José Coceres,60,75.77,441,582
95,T95,T95,Skip Kendall,111,75.77,838,1106
96,T97,T97,Craig Barlow,74,75.75,506,668
97,T97,T97,Michael Muehr,94,75.75,603,796
98,99,99,Steve Pate,89,75.71,586,774
99,100,100,Shaun Micheel,103,75.6,694,918
100,T101,T101,Dan Forsman,81,75.52,583,772
101,T101,T101,Chris Tidland,83,75.52,512,678
102,103,103,Ted Tryba,110,75.45,753,998
103,104,104,Mark Wiebe,62,75.44,430,570
104,105,105,J.P. Hayes,76,75.43,528,700
105,106,106,Scott Dunlap,80,75.41,592,785
106,107,107,Olin Browne,99,75.22,765,1017
107,108,108,Andrew McLardy,75,75.17,542,721
108,109,109,Craig Parry,68,75.08,491,654
109,110,110,Chris Perry,80,75.07,560,746
110,111,111,J.L. Lewis,108,75.05,731,974
111,112,112,Brian Watts,56,75.0,396,528
112,113,113,Steve Stricker,73,74.95,344,459
113,T114,T114,Michael Clark II,87,74.94,607,810
114,T114,T114,Harrison Frazar,88,74.94,583,778
115,116,116,Glen Day,89,74.91,636,849
116,117,117,Woody Austin,99,74.84,681,910
117,118,118,Kent Jones,74,74.73,544,728
118,119,119,Brent Geiberger,84,74.58,581,779
119,120,120,"David Berganio, Jr.",76,74.55,539,723
120,121,121,Paul Gow,79,74.5,523,702
121,T122,T122,Sergio Garcia,64,74.48,426,572
122,T122,T122,Tom Pernice Jr.,106,74.48,677,909
123,124,124,Carlos Franco,87,74.47,557,748
124,125,125,Shigeki Maruyama,98,74.46,624,838
125,126,126,Tom Scherrer,69,74.4,433,582
126,T127,T127,Steve Jones,75,74.39,485,652
127,T127,T127,Kaname Yokoo,81,74.39,584,785
128,129,129,José María Olazábal,51,74.31,298,401
129,130,130,Loren Roberts,84,74.18,589,794
130,131,131,Ben Bates,53,74.17,382,515
131,132,132,Brad Elder,111,74.13,765,1032
132,133,133,Blaine McCallister,80,74.12,613,827
133,134,134,Ian Leggatt,84,74.1,598,807
134,135,135,Jesper Parnevik,91,74.09,612,826
135,136,136,Carl Paulson,93,74.04,693,936
136,137,137,Rich Beem,91,73.93,638,863
137,138,138,Brian Wilson,88,73.88,594,804
138,T139,T139,Brad Faxon,95,73.84,556,753
139,T139,T139,Brian Gay,114,73.84,858,1162
140,141,141,Jay Don Blake,100,73.83,711,963
141,142,142,Brent Schwarzrock,63,73.81,479,649
142,143,143,David Frost,87,73.79,577,782
143,144,144,Chris Riley,104,73.77,734,995
144,145,145,Jerry Smith,95,73.75,666,903
145,146,146,Greg Chalmers,92,73.72,634,860
146,147,147,Doug Barron,62,73.7,412,559
147,148,148,Larry Mize,76,73.68,546,741
148,149,149,Brian Henninger,81,73.65,559,759
149,150,150,Jim Carter,103,73.58,763,1037
150,151,151,Robert Damron,91,73.51,680,925
151,152,152,Mark Hensby,71,73.49,510,694
152,153,153,Gabriel Hjertstedt,76,73.47,529,720
153,154,154,Ernie Els,70,73.39,375,511
154,155,155,Spike McRoy,95,73.33,635,866
155,156,156,Danny Ellis,76,73.32,503,686
156,157,157,Scott Simpson,73,73.31,511,697
157,158,158,Kevin Johnson,93,73.27,592,808
158,159,159,Len Mattiace,98,73.21,664,907
159,160,160,"Dave Stockton, Jr.",61,73.17,390,533
160,161,161,Hunter Haas,78,73.13,449,614
161,162,162,Paul Goydos,86,73.05,618,846
162,163,163,Esteban Toledo,116,73.03,842,1153
163,164,164,Lee Porter,93,72.76,657,903
164,165,165,Jeremy Anderson,69,72.56,460,634
165,166,166,David Morland IV,88,72.55,584,805
166,167,167,Jimmy Green,94,72.53,602,830
167,168,168,Tommy Armour III,93,72.41,635,877
168,169,169,Jeff Brehaut,80,72.4,543,750
169,170,170,Robert Gamez,59,72.38,422,583
170,171,171,Brandel Chamblee,77,72.35,518,716
171,172,172,Keith Clearwater,62,72.26,396,548
172,173,173,Steve Allan,88,72.1,535,742
173,T174,T174,Jason Gore,82,72.08,524,727
174,T174,T174,Tripp Isenhour,92,72.08,617,856
175,176,176,Kelly Grunewald,66,72.03,412,572
176,177,177,Gary Nicklaus,96,72.0,607,843
177,178,178,Fulton Allem,56,71.91,407,566
178,179,179,Craig Kanada,80,71.77,478,666
179,180,180,Geoff Ogilvy,60,71.66,392,547
180,181,181,Doug Dunakey,83,71.58,529,739
181,182,182,Pete Jordan,105,71.5,760,1063
182,183,183,Jean Van de Velde,52,71.23,312,438
183,184,184,Jeff Julian,55,71.03,304,428
184,185,185,Mark Brooks,88,70.85,632,892
185,186,186,Joe Ogilvie,110,70.55,678,961
186,T187,T187,Steve Elkington,64,70.33,403,573
187,T187,T187,Franklin Langham,63,70.33,384,546
188,189,189,Ben Ferguson,76,70.21,462,658
189,190,190,Sean Murphy,70,69.81,451,646
190,191,191,Richie Coughlan,66,69.38,460,663
191,192,192,Dicky Pride,78,69.26,534,771
192,193,193,Corey Pavin,72,69.03,477,691
193,194,194,Rocky Walcher,59,64.72,343,530
