,Percentage_of_Available_Purse_Won_RANK THIS WEEK,Percentage_of_Available_Purse_Won_RANK LAST WEEK,Percentage_of_Available_Purse_Won_PLAYER NAME,Percentage_of_Available_Purse_Won_EVENTS,Percentage_of_Available_Purse_Won_%,Percentage_of_Available_Purse_Won_OFFICIAL MONEY WON,Percentage_of_Available_Purse_Won_TOTAL PURSE AVAILABLE
187,T188,T188,Troy Matteson,28,0.44,"$736,058","$167,200,000"
188,T188,T188,Scott Piercy,28,0.44,"$676,431","$155,400,000"
189,T188,T188,Mike Weir,19,0.44,"$559,092","$128,200,000"
190,T191,T191,Gonzalo Fernandez-Castaño,3,0.43,"$99,633","$23,000,000"
191,T191,T191,Kent Jones,9,0.43,"$188,746","$43,500,000"
192,T191,T191,John Mallinger,29,0.43,"$684,685","$159,100,000"
193,T194,T194,Nathan Green,27,0.42,"$636,179","$151,500,000"
194,T194,T194,Michael Jonzon,1,0.42,"$35,875","$8,500,000"
195,T194,T194,George McNeill,28,0.42,"$664,852","$159,800,000"
196,T194,T194,Jeev Milkha Singh,19,0.42,"$420,244","$99,500,000"
197,T198,T198,Lee Janzen,26,0.41,"$603,195","$146,300,000"
198,T198,T198,Scott McCarron,29,0.41,"$642,540","$158,400,000"
199,T198,T198,Katsumasa Miyamoto,2,0.41,"$63,500","$15,500,000"
200,201,201,Steve Allan,2,0.4,"$42,000","$10,500,000"
201,T202,T202,Craig Barlow,10,0.39,"$184,621","$47,100,000"
202,T202,T202,Kevin Chappell,2,0.39,"$44,000","$11,200,000"
203,T202,T202,Rob Grube,1,0.39,"$19,890","$5,100,000"
204,T202,T202,Adam Hadwin,1,0.39,"$19,890","$5,100,000"
205,T202,T202,Brock Mackenzie,1,0.39,"$19,890","$5,100,000"
206,T202,T202,Jeff Quinney,29,0.39,"$605,863","$156,300,000"
207,T208,T208,John Merrick,31,0.38,"$658,812","$172,200,000"
208,T208,T208,Alex Noren,3,0.38,"$92,250","$24,000,000"
209,T208,T208,Joe Ogilvie,32,0.38,"$641,795","$169,600,000"
210,T211,T211,Mark Hensby,12,0.37,"$228,383","$61,800,000"
