,FedExCup_Season_Points_RANK THIS WEEK,FedExCup_Season_Points_RANK LAST WEEK,FedExCup_Season_Points_PLAYER NAME,FedExCup_Season_Points_EVENTS,FedExCup_Season_Points_POINTS,FedExCup_Season_Points_# OF WINS,FedExCup_Season_Points_# OF TOP 10'S,FedExCup_Season_Points_POINTS BEHIND LEAD,FedExCup_Season_Points_RESET POINTS
36,37,37,Trevor Immelman,18,6309,,4.0,24265.0,
37,38,38,Mark Wilson,20,6225,1.0,2.0,24349.0,
38,39,39,Pat Perez,22,6212,,5.0,24362.0,
39,40,40,Billy Mayfair,23,6109,,5.0,24465.0,
40,41,41,Jeff Quinney,21,6053,,5.0,24521.0,
41,42,42,Anthony Kim,22,6013,,4.0,24561.0,
42,43,43,Carl Pettersson,23,6012,,3.0,24562.0,
43,44,44,Ángel Cabrera,11,5997,1.0,1.0,24577.0,
44,45,45,Lucas Glover,24,5954,,3.0,24620.0,
45,46,46,Charley Hoffman,22,5941,1.0,1.0,24633.0,
46,47,47,Kevin Sutherland,20,5888,,3.0,24686.0,
47,48,48,John Senden,22,5729,,3.0,24845.0,
48,49,49,Rod Pampling,22,5559,,2.0,25015.0,
49,50,50,Brett Wetterich,22,5430,,3.0,25144.0,
50,51,51,Ryan Moore,21,5383,,2.0,25191.0,
51,52,52,Camilo Villegas,20,5329,,3.0,25245.0,
52,53,53,Paul Goydos,17,5267,1.0,1.0,25307.0,
53,54,54,Nathan Green,24,5115,,2.0,25459.0,
54,55,55,Ryuji Imada,24,5005,,2.0,25569.0,
55,56,56,Troy Matteson,22,4986,,2.0,25588.0,
56,57,57,Nick O'Hern,18,4980,,3.0,25594.0,
57,58,58,Kenny Perry,21,4926,,3.0,25648.0,
58,59,59,Bernhard Langer,14,4917,,4.0,25657.0,
59,60,60,José Coceres,12,4870,,3.0,25704.0,
60,61,61,Vaughn Taylor,21,4868,,3.0,25706.0,
61,62,62,Brian Bateman,13,4843,1.0,1.0,25731.0,
62,63,63,Steve Marino,23,4790,,4.0,25784.0,
63,64,64,Stephen Ames,18,4787,,3.0,25787.0,
64,65,65,Rocco Mediate,15,4767,,3.0,25807.0,
65,66,66,Peter Lonard,24,4764,,3.0,25810.0,
66,67,67,Bo Van Pelt,23,4723,,2.0,25851.0,
67,68,68,John Mallinger,21,4600,,3.0,25974.0,
68,69,69,Stephen Leaney,21,4596,,2.0,25978.0,
69,70,70,Sean O'Hair,21,4580,,2.0,25994.0,
70,71,71,Will MacKenzie,25,4558,,3.0,26016.0,
71,72,72,Arron Oberholser,17,4538,,4.0,26036.0,
72,73,73,Fred Funk,18,4501,1.0,2.0,26073.0,
73,74,74,Brian Davis,20,4442,,2.0,26132.0,
74,75,75,Dean Wilson,23,4408,,3.0,26166.0,
75,76,76,Brian Gay,23,4345,,2.0,26229.0,
76,77,77,Ian Poulter,15,4334,,3.0,26240.0,
77,78,78,Bart Bryant,18,4271,,2.0,26303.0,
78,79,79,Joe Ogilvie,24,4193,1.0,1.0,26381.0,
79,80,80,Davis Love III,19,4142,,3.0,26432.0,
80,81,81,Steve Flesch,25,4119,1.0,2.0,26455.0,
81,82,82,Tim Petrovic,25,4102,,1.0,26472.0,
82,83,83,Jason Gore,22,3963,,2.0,26611.0,
83,84,84,Charles Warren,23,3915,,2.0,26659.0,
84,85,85,Justin Leonard,22,3885,,2.0,26689.0,
85,86,86,Tom Lehman,16,3702,,3.0,26872.0,
86,87,87,Retief Goosen,12,3688,,1.0,26886.0,
87,88,88,J.J. Henry,22,3624,,1.0,26950.0,
88,89,89,Tom Pernice Jr.,24,3561,,2.0,27013.0,
89,90,90,Mike Weir,19,3556,,2.0,27018.0,
90,91,91,Steve Elkington,22,3543,,2.0,27031.0,
91,92,92,Matt Kuchar,19,3493,,2.0,27081.0,
92,93,93,Chris DiMarco,22,3385,,1.0,27189.0,
93,94,94,Shaun Micheel,21,3263,,2.0,27311.0,
94,95,95,Kevin Na,18,3261,,3.0,27313.0,
95,96,96,José María Olazábal,16,3202,,1.0,27372.0,
96,97,97,Freddie Jacobson,13,3176,,3.0,27398.0,
97,98,98,Charlie Wi,20,3138,,2.0,27436.0,
98,99,99,Cliff Kresge,23,3125,,1.0,27449.0,
99,100,100,Jeff Maggert,19,3104,,1.0,27470.0,
100,101,101,Craig Kanada,25,3076,,1.0,27498.0,
101,102,102,Briny Baird,23,3069,,1.0,27505.0,
102,103,103,Ted Purdy,24,3056,,1.0,27518.0,
103,104,104,Tim Herron,22,3055,,1.0,27519.0,
104,105,105,Kevin Stadler,23,3055,,2.0,27519.0,
105,106,106,Chad Campbell,22,3036,,1.0,27538.0,
106,107,107,Bob Estes,20,3016,,3.0,27558.0,
107,108,108,Robert Garrigus,21,2987,,1.0,27587.0,
108,109,109,Jeff Overton,11,2977,,2.0,27597.0,
109,110,110,Ben Curtis,20,2955,,2.0,27619.0,
110,111,111,Tommy Armour III,18,2865,,1.0,27709.0,
111,112,112,J.B. Holmes,18,2860,,2.0,27714.0,
112,113,113,George McNeill,23,2848,,1.0,27726.0,
113,114,114,Daniel Chopra,26,2819,,1.0,27755.0,
114,115,115,D.J. Trahan,24,2766,,2.0,27808.0,
115,116,116,Harrison Frazar,23,2710,,2.0,27864.0,
116,117,117,J.P. Hayes,20,2653,,2.0,27921.0,
117,118,118,Brett Quigley,23,2613,,1.0,27961.0,
118,119,119,Steve Allan,16,2479,,1.0,28095.0,
119,120,120,Mathew Goggin,23,2468,,,28106.0,
120,121,121,Doug LaBelle II,24,2427,,1.0,28147.0,
121,122,122,Alex Cejka,19,2400,,2.0,28174.0,
122,123,123,Joe Durant,22,2392,,,28182.0,
123,124,124,John Merrick,21,2358,,1.0,28216.0,
124,125,125,Bill Haas,24,2336,,1.0,28238.0,
125,126,126,Jason Bohn,17,2334,,,28240.0,
126,127,127,Johnson Wagner,26,2317,,1.0,28257.0,
127,128,128,Jason Dufner,25,2180,,1.0,28394.0,
128,129,129,Frank Lickliter II,22,2175,,,28399.0,
129,130,130,Gavin Coles,20,2174,,2.0,28400.0,
130,131,131,Ryan Armour,24,2165,,2.0,28409.0,
131,132,132,Bob Heintz,19,2163,,2.0,28411.0,
132,133,133,Ryan Palmer,23,2142,,1.0,28432.0,
133,134,134,Rich Beem,21,2101,,1.0,28473.0,
134,135,135,Tripp Isenhour,24,2099,,1.0,28475.0,
135,136,136,Billy Andrade,21,2019,,,28555.0,
136,137,137,Anders Hansen,14,1989,,,28585.0,
137,138,138,Jesper Parnevik,20,1976,,,28598.0,
138,139,139,Corey Pavin,22,1967,,1.0,28607.0,
139,140,140,Shigeki Maruyama,24,1942,,1.0,28632.0,
140,141,141,Michael Putnam,21,1791,,,28783.0,
141,142,142,Bob Tway,24,1790,,,28784.0,
142,143,143,Andrew Buckle,18,1771,,1.0,28803.0,
143,144,144,Jeff Gove,22,1763,,1.0,28811.0,
144,145,145,Eric Axley,29,1740,,,28834.0,
145,146,146,Lee Janzen,19,1694,,,28880.0,
146,147,147,Glen Day,20,1672,,,28902.0,
147,148,148,Marco Dawson,16,1669,,1.0,28905.0,
148,149,149,Cameron Beckman,22,1610,,1.0,28964.0,
149,150,150,Mark Hensby,20,1561,,,29013.0,
150,151,151,Steve Lowery,15,1536,,1.0,29038.0,
151,152,152,Mathias Grönberg,24,1515,,,29059.0,
152,153,153,Chris Couch,24,1494,,,29080.0,
153,154,154,Dudley Hart,12,1388,,1.0,29186.0,
154,155,155,Greg Kraft,4,1335,,1.0,29239.0,
155,156,156,Greg Owen,22,1321,,1.0,29253.0,
156,157,157,Duffy Waldorf,17,1313,,,29261.0,
157,158,158,Parker McLachlin,21,1307,,,29267.0,
158,159,159,Richard Johnson,25,1294,,,29280.0,
159,160,160,Paul Stankowski,18,1288,,,29286.0,
160,161,161,Olin Browne,11,1284,,1.0,29290.0,
161,162,162,Michael Allen,17,1279,,1.0,29295.0,
162,163,163,Robert Gamez,23,1217,,1.0,29357.0,
163,164,164,Rich Barcelo,20,1217,,1.0,29357.0,
164,165,165,Kent Jones,23,1196,,,29378.0,
165,166,166,Craig Bowden,18,1193,,1.0,29381.0,
166,167,167,Chris Stroud,17,1174,,1.0,29400.0,
167,168,168,Joey Sindelar,20,1160,,,29414.0,
168,169,169,Michael Sim,11,1144,,,29430.0,
169,170,170,John Daly,18,1081,,,29493.0,
170,171,171,Neal Lancaster,7,1080,,1.0,29494.0,
171,172,172,Chris Tidland,15,1044,,1.0,29530.0,
172,173,173,Kirk Triplett,19,1033,,,29541.0,
173,174,174,Jeff Sluman,21,1030,,1.0,29544.0,
174,175,175,Brendon de Jonge,19,1010,,2.0,29564.0,
175,176,176,Paul Gow,19,1001,,1.0,29573.0,
176,177,177,Lee Westwood,8,991,,,29583.0,
177,178,178,Darron Stiles,17,922,,,29652.0,
178,179,179,Chris Riley,12,919,,,29655.0,
179,180,180,Dicky Pride,18,907,,,29667.0,
180,181,181,Kyle Reifers,20,897,,,29677.0,
181,182,182,Scott Gutschewski,15,870,,,29704.0,
182,183,183,Jarrod Lyle,17,869,,,29705.0,
183,184,184,Tom Johnson,20,826,,,29748.0,
184,185,185,Tom Byrum,15,792,,,29782.0,
185,186,186,Vance Veazey,8,783,,1.0,29791.0,
186,187,187,Paul Azinger,13,782,,,29792.0,
187,188,188,B.J. Staten,7,727,,1.0,29847.0,
188,189,189,Jeff Brehaut,14,711,,,29863.0,
189,190,190,Ben Crane,6,691,,,29883.0,
190,191,191,Daisuke Maruyama,21,685,,,29889.0,
191,192,192,D.J. Brigman,16,653,,,29921.0,
192,193,193,Craig Lile,17,599,,,29975.0,
193,194,194,David Howell,10,577,,,29997.0,
194,195,195,John Huston,11,525,,,30049.0,
195,196,196,John Cook,12,516,,,30058.0,
196,197,197,Jason Schultz,15,504,,,30070.0,
197,198,198,Mark Brooks,14,489,,,30085.0,
198,199,199,Craig Barlow,11,451,,,30123.0,
199,200,200,Skip Kendall,5,440,,1.0,30134.0,
200,201,201,Steve Wheatcroft,18,429,,,30145.0,
201,202,202,Tag Ridings,13,416,,,30158.0,
202,203,203,Brent Geiberger,12,382,,,30192.0,
203,204,204,Larry Mize,8,378,,1.0,30196.0,
204,205,205,Brad Faxon,18,375,,,30199.0,
205,206,206,Jay Delsing,8,371,,,30203.0,
206,207,207,Todd Hamilton,24,358,,,30216.0,
207,208,208,Bob May,10,355,,,30219.0,
208,209,209,Garrett Willis,8,333,,,30241.0,
209,210,210,Arjun Atwal,9,331,,,30243.0,
210,211,211,David Branshaw,23,324,,,30250.0,
211,212,212,Michael Boyd,14,294,,,30280.0,
212,T213,T213,Omar Uresti,3,293,,,30281.0,
213,T213,T213,Tom Watson,2,293,,,30281.0,
214,215,215,Jerry Smith,12,292,,,30282.0,
215,216,216,Darren Clarke,10,291,,,30283.0,
216,217,217,David Duval,5,287,,,30287.0,
217,218,218,Carlos Franco,9,285,,,30289.0,
218,219,219,Bubba Dickerson,13,252,,,30322.0,
219,220,220,Matt Hendrix,17,238,,,30336.0,
220,221,221,Jaco Van Zyl,14,224,,,30350.0,
221,222,222,Grant Waite,8,223,,,30351.0,
222,223,223,Chris Smith,7,204,,,30370.0,
223,224,224,Shane Bertsch,4,190,,,30384.0,
224,225,225,"Wes Short, Jr.",12,184,,,30390.0,
225,226,226,Jim Rutledge,16,178,,,30396.0,
226,227,227,Fred Couples,3,163,,,30411.0,
227,228,228,Steve Jones,9,161,,,30413.0,
228,229,229,Mark O'Meara,4,160,,,30414.0,
229,230,230,Sandy Lyle,2,159,,,30415.0,
230,231,231,Dan Forsman,8,156,,,30418.0,
231,232,232,Kris Cox,8,146,,,30428.0,
232,233,233,Michael Bradley,5,137,,,30437.0,
233,234,234,Danny Ellis,2,111,,,30463.0,
234,235,235,Bryce Molder,14,107,,,30467.0,
235,236,236,"Jim Gallagher, Jr.",6,98,,,30476.0,
236,237,237,Jim McGovern,4,83,,,30491.0,
237,238,238,Notah Begay III,5,80,,,30494.0,
238,239,239,Craig Stadler,1,70,,,30504.0,
239,240,240,Ben Crenshaw,1,63,,,30511.0,
240,241,241,Fuzzy Zoeller,1,61,,,30513.0,
241,242,242,Phil Tataurangi,5,56,,,30518.0,
242,243,243,Loren Roberts,3,53,,,30521.0,
243,244,244,Paul Sheehan,11,52,,,30522.0,
244,245,245,Blaine McCallister,6,52,,,30522.0,
245,T246,T246,Brandt Jobe,5,51,,,30523.0,
246,T246,T246,J.L. Lewis,4,51,,,30523.0,
247,248,248,Bob Burns,4,51,,,30523.0,
248,249,249,Spike McRoy,2,50,,,30524.0,
249,250,250,"David Berganio, Jr.",3,44,,,30530.0,
250,251,251,Willie Wood,4,44,,,30530.0,
251,252,252,Guy Boros,4,30,,,30544.0,
252,253,253,Scott Gump,8,28,,,30546.0,
