,FedExCup_Playoffs_Points_RANK THIS WEEK,FedExCup_Playoffs_Points_RANK LAST WEEK,FedExCup_Playoffs_Points_PLAYER NAME,FedExCup_Playoffs_Points_EVENTS,FedExCup_Playoffs_Points_POINTS,FedExCup_Playoffs_Points_# OF WINS,FedExCup_Playoffs_Points_# OF TOP 10'S,FedExCup_Playoffs_Points_POINTS BEHIND LEAD,FedExCup_Playoffs_Points_RESET POINTS
50,51,51,Jeff Quinney,3,92532,,,30501.0,92425
51,52,52,Ryan Moore,3,92464,,,30569.0,91675
52,53,53,Rod Pampling,3,92446,,,30587.0,91825
53,54,54,Ryuji Imada,3,92442,,,30591.0,91375
54,55,55,John Senden,3,92439,,,30594.0,91900
55,56,56,Kevin Sutherland,3,92365,,,30668.0,91975
56,57,57,Ian Poulter,3,92275,,2.0,30758.0,89725
57,58,58,Sean O'Hair,3,91963,,1.0,31070.0,90250
58,59,59,Paul Goydos,2,91923,,,31110.0,91525
59,60,60,Kenny Perry,3,91773,,,31260.0,91150
60,61,61,John Mallinger,3,91688,,,31345.0,90400
61,62,62,Nick O'Hern,3,91575,,,31458.0,91225
62,63,63,Vaughn Taylor,3,91504,,,31529.0,90925
63,64,64,Bo Van Pelt,3,91356,,,31677.0,90475
64,65,65,Rocco Mediate,3,91129,,,31904.0,90625
65,66,66,José Coceres,3,91111,,,31922.0,91000
66,67,67,Brian Bateman,3,91109,,,31924.0,90850
67,68,68,Bernhard Langer,0,91075,,,31958.0,91075
68,69,69,Stephen Ames,2,91013,,,32020.0,90700
69,70,70,Steve Marino,3,91002,,,32031.0,90775
70,71,71,Steve Flesch,2,90620,,,32413.0,89425
71,72,72,Peter Lonard,2,90550,,,32483.0,90550
72,73,73,Will MacKenzie,2,90448,,,32585.0,90175
73,74,74,Stephen Leaney,2,90325,,,32708.0,90325
74,75,75,Dean Wilson,2,90256,,,32777.0,89875
75,76,76,Brian Davis,2,90161,,,32872.0,89950
76,77,77,Fred Funk,2,90151,,,32882.0,90025
77,78,78,Brian Gay,2,90075,,,32958.0,89800
78,79,79,Bart Bryant,2,89934,,,33099.0,89650
79,80,80,Tim Petrovic,2,89890,,,33143.0,89350
80,81,81,Jason Gore,2,89795,,,33238.0,89275
81,82,82,Joe Ogilvie,2,89693,,,33340.0,89575
82,83,83,Davis Love III,2,89675,,,33358.0,89500
83,84,84,Freddie Jacobson,2,89589,,1.0,33444.0,88225
84,85,85,Charles Warren,2,89297,,,33736.0,89200
85,86,86,Justin Leonard,2,89238,,,33795.0,89125
86,87,87,Mike Weir,2,89198,,,33835.0,88750
87,88,88,Steve Elkington,2,89096,,,33937.0,88675
88,89,89,Retief Goosen,2,89083,,,33950.0,88975
89,T90,T90,Tom Lehman,1,89050,,,33983.0,89050
90,T90,T90,Charlie Wi,2,89050,,,33983.0,88150
91,92,92,Matt Kuchar,2,89021,,,34012.0,88600
92,93,93,Tom Pernice Jr.,2,88943,,,34090.0,88825
93,94,94,J.J. Henry,2,88900,,,34133.0,88900
94,95,95,Cliff Kresge,2,88865,,,34168.0,88075
95,96,96,Robert Garrigus,2,88854,,1.0,34179.0,87400
96,97,97,Chris DiMarco,2,88525,,,34508.0,88525
97,98,98,Kevin Na,2,88476,,,34557.0,88375
98,99,99,Shaun Micheel,2,88450,,,34583.0,88450
99,100,100,José María Olazábal,0,88300,,,34733.0,88300
100,101,101,Briny Baird,2,88298,,,34735.0,87850
101,102,102,Jeff Maggert,2,88201,,,34832.0,88000
102,103,103,Craig Kanada,2,88038,,,34995.0,87925
103,104,104,Tim Herron,2,87934,,,35099.0,87700
104,105,105,Ted Purdy,2,87775,,,35258.0,87775
105,106,106,George McNeill,2,87702,,,35331.0,87025
106,107,107,Chad Campbell,2,87658,,,35375.0,87550
107,108,108,Kevin Stadler,2,87625,,,35408.0,87625
108,109,109,Bob Estes,2,87579,,,35454.0,87475
109,110,110,Rich Beem,2,87335,,1.0,35698.0,85450
110,111,111,Jeff Overton,2,87325,,,35708.0,87325
111,112,112,Tommy Armour III,2,87283,,,35750.0,87175
112,113,113,J.B. Holmes,2,87275,,,35758.0,87100
113,114,114,Ben Curtis,2,87250,,,35783.0,87250
114,115,115,Daniel Chopra,2,87050,,,35983.0,86950
115,116,116,Brett Quigley,2,87000,,,36033.0,86650
116,117,117,D.J. Trahan,2,86983,,,36050.0,86875
117,118,118,J.P. Hayes,2,86839,,,36194.0,86725
118,119,119,Harrison Frazar,2,86800,,,36233.0,86800
119,120,120,Doug LaBelle II,2,86732,,,36301.0,86425
120,121,121,Steve Allan,1,86575,,,36458.0,86575
121,122,122,Mathew Goggin,1,86500,,,36533.0,86500
122,123,123,Joe Durant,1,86383,,,36650.0,86275
123,124,124,Alex Cejka,1,86350,,,36683.0,86350
124,125,125,Bob Heintz,1,86325,,,36708.0,85600
125,126,126,Bill Haas,1,86251,,,36782.0,86125
126,127,127,Jason Dufner,1,86250,,,36783.0,85900
127,128,128,Ryan Armour,1,86215,,,36818.0,85675
128,129,129,John Merrick,1,86200,,,36833.0,86200
129,130,130,Johnson Wagner,1,86079,,,36954.0,85975
130,131,131,Jason Bohn,0,86050,,,36983.0,86050
131,132,132,Frank Lickliter II,1,86000,,,37033.0,85825
132,133,133,Gavin Coles,1,85750,,,37283.0,85750
133,134,134,Ryan Palmer,0,85525,,,37508.0,85525
134,135,135,Tripp Isenhour,1,85375,,,37658.0,85375
135,136,136,Billy Andrade,1,85300,,,37733.0,85300
136,137,137,Anders Hansen,1,85225,,,37808.0,85225
137,138,138,Corey Pavin,1,85189,,,37844.0,85075
138,139,139,Jesper Parnevik,1,85150,,,37883.0,85150
139,140,140,Shigeki Maruyama,1,85000,,,38033.0,85000
140,141,141,Michael Putnam,1,84925,,,38108.0,84925
141,142,142,Andrew Buckle,1,84879,,,38154.0,84775
142,143,143,Bob Tway,1,84850,,,38183.0,84850
143,144,144,Jeff Gove,1,84700,,,38333.0,84700
