,FedExCup_Bonus_Money_RANK THIS WEEK,FedExCup_Bonus_Money_RANK LAST WEEK,FedExCup_Bonus_Money_PLAYER NAME,FedExCup_Bonus_Money_EVENTS,FedExCup_Bonus_Money_MONEY
45,46,46,Nathan Green,3,129000
46,47,47,Ángel Cabrera,3,128000
47,48,48,Troy Matteson,3,127000
48,49,49,Billy Mayfair,3,126000
49,50,50,Charley Hoffman,3,125000
50,51,51,Jeff Quinney,3,120000
51,52,52,Ryan Moore,3,115000
52,53,53,Rod Pampling,3,114000
53,54,54,Ryuji Imada,3,113000
54,55,55,John Senden,3,110000
55,56,56,Kevin Sutherland,3,110000
56,57,57,Ian Poulter,3,110000
57,58,58,Sean O'Hair,3,110000
58,59,59,Paul Goydos,2,110000
59,60,60,Kenny Perry,3,110000
60,61,61,John Mallinger,3,110000
61,62,62,Nick O'Hern,3,110000
62,63,63,Vaughn Taylor,3,110000
63,64,64,Bo Van Pelt,3,110000
64,65,65,Rocco Mediate,3,110000
65,66,66,José Coceres,3,110000
66,67,67,Brian Bateman,3,110000
67,68,68,Bernhard Langer,0,110000
68,69,69,Stephen Ames,2,110000
69,70,70,Steve Marino,3,110000
70,71,71,Steve Flesch,2,80000
71,72,72,Peter Lonard,2,80000
72,73,73,Will MacKenzie,2,80000
73,74,74,Stephen Leaney,2,80000
74,75,75,Dean Wilson,2,80000
75,76,76,Brian Davis,2,80000
76,77,77,Fred Funk,2,80000
77,78,78,Brian Gay,2,80000
78,79,79,Bart Bryant,2,80000
79,80,80,Tim Petrovic,2,80000
80,81,81,Jason Gore,2,75000
81,82,82,Joe Ogilvie,2,75000
82,83,83,Davis Love III,2,75000
83,84,84,Freddie Jacobson,2,75000
84,85,85,Charles Warren,2,75000
85,86,86,Justin Leonard,2,75000
86,87,87,Mike Weir,2,75000
87,88,88,Steve Elkington,2,75000
88,89,89,Retief Goosen,2,75000
89,T90,T90,Tom Lehman,1,75000
90,T90,T90,Charlie Wi,2,75000
91,92,92,Matt Kuchar,2,75000
92,93,93,Tom Pernice Jr.,2,75000
93,94,94,J.J. Henry,2,75000
94,95,95,Cliff Kresge,2,75000
95,96,96,Robert Garrigus,2,75000
96,97,97,Chris DiMarco,2,75000
97,98,98,Kevin Na,2,75000
98,99,99,Shaun Micheel,2,75000
99,100,100,José María Olazábal,0,75000
100,101,101,Briny Baird,2,70000
101,102,102,Jeff Maggert,2,70000
102,103,103,Craig Kanada,2,70000
103,104,104,Tim Herron,2,70000
104,105,105,Ted Purdy,2,70000
105,106,106,George McNeill,2,70000
106,107,107,Chad Campbell,2,70000
107,108,108,Kevin Stadler,2,70000
108,109,109,Bob Estes,2,70000
109,110,110,Rich Beem,2,70000
110,111,111,Jeff Overton,2,70000
111,112,112,Tommy Armour III,2,70000
112,113,113,J.B. Holmes,2,70000
113,114,114,Ben Curtis,2,70000
114,115,115,Daniel Chopra,2,70000
115,116,116,Brett Quigley,2,70000
116,117,117,D.J. Trahan,2,70000
117,118,118,J.P. Hayes,2,70000
118,119,119,Harrison Frazar,2,70000
119,120,120,Doug LaBelle II,2,70000
120,121,121,Steve Allan,1,70000
121,122,122,Mathew Goggin,1,70000
122,123,123,Joe Durant,1,70000
123,124,124,Alex Cejka,1,70000
124,125,125,Bob Heintz,1,70000
125,126,126,Bill Haas,1,32000
126,127,127,Jason Dufner,1,32000
127,128,128,Ryan Armour,1,32000
128,129,129,John Merrick,1,32000
129,130,130,Johnson Wagner,1,32000
130,131,131,Jason Bohn,0,32000
131,132,132,Frank Lickliter II,1,32000
132,133,133,Gavin Coles,1,32000
133,134,134,Ryan Palmer,0,32000
134,135,135,Tripp Isenhour,1,32000
135,136,136,Billy Andrade,1,32000
136,137,137,Anders Hansen,1,32000
137,138,138,Corey Pavin,1,32000
138,139,139,Jesper Parnevik,1,32000
139,140,140,Shigeki Maruyama,1,32000
140,141,141,Michael Putnam,1,32000
141,142,142,Andrew Buckle,1,32000
142,143,143,Bob Tway,1,32000
143,144,144,Jeff Gove,1,32000
144,145,145,Eric Axley,29,32000
145,146,146,Lee Janzen,19,32000
146,147,147,Glen Day,20,32000
147,148,148,Marco Dawson,16,32000
148,149,149,Cameron Beckman,22,32000
149,150,150,Mark Hensby,20,32000
