,_of_Potential_Pts_won_-_FedExCup_Playoffs_RANK THIS WEEK,_of_Potential_Pts_won_-_FedExCup_Playoffs_RANK LAST WEEK,_of_Potential_Pts_won_-_FedExCup_Playoffs_PLAYER NAME,_of_Potential_Pts_won_-_FedExCup_Playoffs_EVENTS,_of_Potential_Pts_won_-_FedExCup_Playoffs_%,_of_Potential_Pts_won_-_FedExCup_Playoffs_PLAYOFF POINTS WON,_of_Potential_Pts_won_-_FedExCup_Playoffs_POTENTIAL PTS,_of_Potential_Pts_won_-_FedExCup_Playoffs_# OF WINS,_of_Potential_Pts_won_-_FedExCup_Playoffs_# OF TOP 10'S
55,T56,T56,Briny Baird,31,2.49,448,18000,,
56,T56,T56,Mike Weir,23,2.49,448,18000,,
57,58,58,Mark Wilson,25,2.45,663,27000,,
58,T59,T59,Steve Elkington,25,2.34,421,18000,,
59,T59,T59,Matt Kuchar,26,2.34,421,18000,,
60,61,61,John Rollins,29,2.33,870,37300,,
61,62,62,Kenny Perry,24,2.31,623,27000,,
62,T63,T63,Trevor Immelman,21,2.3,621,27000,,
63,T63,T63,Rod Pampling,25,2.3,621,27000,,
64,T65,T65,Pat Perez,27,2.25,609,27000,,
65,T65,T65,David Toms,22,2.25,609,27000,,
66,T65,T65,Bubba Watson,26,2.25,609,27000,,
67,68,68,Paul Goydos,19,2.21,398,18000,,
68,69,69,Vaughn Taylor,28,2.14,579,27000,,
69,70,70,Dean Wilson,28,2.12,381,18000,,
70,71,71,John Senden,27,2.0,539,27000,,
71,72,72,Brett Quigley,25,1.95,350,18000,,
72,73,73,Frank Lickliter II,30,1.94,175,9000,,
73,74,74,Charley Hoffman,30,1.91,516,27000,,
74,75,75,Rocco Mediate,22,1.87,504,27000,,
75,76,76,Stephen Ames,23,1.74,313,18000,,
76,T77,T77,Doug LaBelle II,33,1.71,307,18000,,
77,T77,T77,Nick Watney,26,1.71,461,27000,,
78,79,79,Bart Bryant,25,1.58,284,18000,,
79,80,80,Brian Gay,32,1.53,275,18000,,
80,81,81,Will MacKenzie,30,1.52,273,18000,,
81,82,82,Luke Donald,20,1.48,399,27000,,
82,T83,T83,Stuart Appleby,24,1.44,390,27000,,
83,T83,T83,Kevin Sutherland,25,1.44,390,27000,,
84,85,85,Bill Haas,30,1.4,126,9000,,
85,T86,T86,Tim Herron,27,1.3,234,18000,,
86,T86,T86,Nick O'Hern,22,1.3,350,27000,,
87,88,88,Corey Pavin,25,1.26,114,9000,,
88,89,89,Joe Durant,28,1.2,108,9000,,
89,90,90,Brian Davis,28,1.17,211,18000,,
90,T91,T91,Andrew Buckle,26,1.15,104,9000,,
91,T91,T91,Johnson Wagner,33,1.15,104,9000,,
92,93,93,Jeff Maggert,26,1.11,201,18000,,
93,T94,T94,J.B. Holmes,24,0.97,175,18000,,
94,T94,T94,Davis Love III,21,0.97,175,18000,,
95,96,96,Brian Bateman,18,0.96,259,27000,,
96,97,97,Henrik Stenson,15,0.85,230,27000,,
97,98,98,Steve Marino,31,0.84,227,27000,,
98,99,99,Ken Duke,31,0.82,221,27000,,
99,100,100,Billy Mayfair,30,0.74,200,27000,,
100,101,101,Fred Funk,22,0.7,126,18000,,
101,T102,T102,Joe Ogilvie,31,0.66,118,18000,,
102,T102,T102,Tom Pernice Jr.,31,0.66,118,18000,,
103,T104,T104,J.P. Hayes,28,0.63,114,18000,,
104,T104,T104,Craig Kanada,34,0.63,113,18000,,
105,T104,T104,Justin Leonard,29,0.63,113,18000,,
106,T107,T107,Tommy Armour III,24,0.6,108,18000,,
107,T107,T107,Chad Campbell,28,0.6,108,18000,,
108,T107,T107,Retief Goosen,14,0.6,108,18000,,
109,T107,T107,D.J. Trahan,30,0.6,108,18000,,
110,111,111,Bob Estes,28,0.58,104,18000,,
111,112,112,Kevin Na,27,0.56,101,18000,,
112,113,113,Daniel Chopra,34,0.55,100,18000,,
113,114,114,Charles Warren,29,0.54,97,18000,,
114,115,115,José Coceres,17,0.41,111,27000,,
115,116,116,Jeff Quinney,29,0.4,107,27000,,
