,Total_Driving_Efficiency_RANK THIS WEEK,Total_Driving_Efficiency_RANK LAST WEEK,Total_Driving_Efficiency_PLAYER NAME,Total_Driving_Efficiency_ROUNDS,Total_Driving_Efficiency_COMBINED RANK,Total_Driving_Efficiency_CARRY EFFICIENCY RANK,Total_Driving_Efficiency_TOTAL DIST. EFFIC. RANK
106,107,107,George McNeill,79,207,80,127
107,108,108,Jim Furyk,76,208,149,59
108,109,109,Steve Lowery,67,209,100,109
109,110,110,Marc Leishman,87,210,76,134
110,T111,T111,Jason Dufner,87,211,142,69
111,T111,T111,Lee Janzen,77,211,107,104
112,113,113,Graham DeLaet,88,212,64,148
113,114,114,Brett Quigley,96,213,50,163
114,T115,T115,Omar Uresti,74,214,119,95
115,T115,T115,Garrett Willis,82,214,114,100
116,117,117,Ben Curtis,78,216,86,130
117,118,118,Brian Gay,101,219,150,69
118,T119,T119,Brendon de Jonge,114,228,113,115
119,T119,T119,Robert Garrigus,71,228,82,146
120,T119,T119,Garth Mulroy,53,228,62,166
121,122,122,Cameron Beckman,68,231,128,103
122,123,123,Chris Riley,73,233,172,61
123,124,124,Michael Letzig,84,234,114,120
124,125,125,Ian Poulter,55,236,93,143
125,126,126,Charles Warren,64,237,59,178
126,127,127,Cameron Tringale,55,238,119,119
127,128,128,Sean O'Hair,84,242,96,146
128,129,129,Scott Verplank,74,244,171,73
129,130,130,Nick Watney,91,245,140,105
130,131,131,Justin Leonard,89,247,155,92
131,T132,T132,Troy Merritt,86,250,107,143
132,T132,T132,Bubba Watson,77,250,133,117
133,134,134,Tom Pernice Jr.,74,251,124,127
134,135,135,David Duval,71,253,112,141
135,136,136,Skip Kendall,58,255,131,124
136,137,137,Daniel Chopra,74,257,94,163
137,138,138,Ryuji Imada,90,258,124,134
138,T139,T139,Chad Campbell,94,260,136,124
139,T139,T139,Tim Petrovic,105,260,145,115
140,141,141,Steve Elkington,74,261,140,121
141,142,142,Andrew McLardy,52,265,74,191
142,143,143,D.A. Points,90,269,130,139
143,144,144,Stephen Ames,75,270,182,88
144,145,145,Aaron Baddeley,94,273,84,189
145,146,146,Shaun Micheel,70,276,183,93
146,147,147,Brad Faxon,58,277,187,90
147,148,148,Greg Owen,69,278,136,142
148,149,149,Matt Jones,89,282,103,179
149,150,150,Bob Estes,79,291,186,105
150,151,151,Stuart Appleby,101,293,134,159
151,152,152,Dean Wilson,54,294,164,130
152,153,153,Bryce Molder,84,295,159,136
153,154,154,Charley Hoffman,85,296,126,170
154,155,155,Sergio Garcia,58,299,119,180
155,156,156,Matt Every,60,302,136,166
156,157,157,Matt Bettencourt,91,304,165,139
157,158,158,Brent Delahoussaye,57,305,169,136
158,159,159,Scott McCarron,90,310,134,176
159,T160,T160,Luke Donald,71,312,147,165
160,T160,T160,Freddie Jacobson,83,312,180,132
161,T160,T160,Pat Perez,90,312,150,162
162,T163,T163,Michael Bradley,77,315,159,156
163,T163,T163,Kevin Streelman,90,315,158,157
164,T163,T163,Johnson Wagner,85,315,167,148
165,T166,T166,Briny Baird,87,318,165,153
166,T166,T166,Charlie Wi,95,318,159,159
167,168,168,Charles Howell III,103,322,179,143
168,T169,T169,Greg Chalmers,93,323,172,151
169,T169,T169,Steve Flesch,78,323,168,155
170,171,171,James Nitties,92,324,176,148
171,172,172,Michael Sim,64,325,150,175
172,T173,T173,Woody Austin,93,326,154,172
173,T173,T173,J.J. Henry,92,326,156,170
174,175,175,Bill Haas,87,329,156,173
175,176,176,Jimmy Walker,82,330,142,188
176,177,177,Vance Veazey,58,331,177,154
177,T178,T178,Chad Collins,87,335,174,161
178,T178,T178,Adam Scott,70,335,145,190
179,180,180,Rod Pampling,77,338,170,168
180,181,181,Tom Gillis,97,340,188,152
181,182,182,Jeev Milkha Singh,59,342,174,168
182,T183,T183,Richard Johnson,90,344,163,181
183,T183,T183,John Senden,103,344,159,185
184,185,185,Nathan Green,86,357,184,173
185,186,186,James Driscoll,78,361,178,183
186,187,187,Joe Durant,67,366,184,182
187,188,188,Kevin Na,94,368,191,177
188,189,189,Chris Couch,66,373,181,192
189,190,190,Mike Weir,59,374,190,184
190,191,191,Ricky Barnes,103,375,188,187
191,192,192,Trevor Immelman,55,377,192,185
