,Distance_from_Center_of_Fairway_RANK THIS WEEK,Distance_from_Center_of_Fairway_RANK LAST WEEK,Distance_from_Center_of_Fairway_PLAYER NAME,Distance_from_Center_of_Fairway_EVENTS,Distance_from_Center_of_Fairway_AVG,Distance_from_Center_of_Fairway_TOTAL DISTANCE (FEET),Distance_from_Center_of_Fairway_TOTAL STROKES
157,T158,T158,Bob Estes,26,"26' 11""",16050.25,596
158,T158,T158,Pat Perez,27,"26' 11""",20062.25,745
159,T160,T160,Brent Delahoussaye,21,"27' 0""",11739.75,435
160,T160,T160,David Lutterus,25,"27' 0""",11598.25,430
161,T160,T160,Brenden Pappas,24,"27' 0""",11018.667,408
162,T160,T160,Chris Stroud,27,"27' 0""",16778.0,621
163,T160,T160,Johnson Wagner,28,"27' 0""",17154.25,636
164,T165,T165,Cameron Beckman,25,"27' 1""",13900.167,514
165,T165,T165,Daniel Chopra,28,"27' 1""",12694.333,469
166,T165,T165,Cliff Kresge,17,"27' 1""",11498.25,425
167,168,168,Shaun Micheel,21,"27' 2""",12542.417,462
168,T169,T169,Chris DiMarco,25,"27' 3""",20113.417,738
169,T169,T169,Jerry Kelly,29,"27' 3""",21577.667,793
170,T169,T169,James Nitties,30,"27' 3""",19824.667,728
171,T169,T169,Kevin Stadler,28,"27' 3""",16828.583,618
172,173,173,George McNeill,28,"27' 4""",14016.167,513
173,T174,T174,Briny Baird,28,"27' 5""",19568.583,714
174,T174,T174,Charles Howell III,28,"27' 5""",18332.667,668
175,T176,T176,Kevin Johnson,26,"27' 6""",11738.5,427
176,T176,T176,Jarrod Lyle,18,"27' 6""",11003.25,400
177,T176,T176,Roland Thatcher,26,"27' 6""",15361.25,558
178,T176,T176,Mike Weir,19,"27' 6""",7860.6669999999995,286
179,180,180,Brett Quigley,29,"27' 7""",19971.083,724
180,181,181,Mathew Goggin,28,"27' 8""",18569.417,672
181,182,182,Scott Piercy,28,"27' 9""",16779.0,604
182,183,183,Greg Kraft,22,"27' 10""",9040.583,325
183,184,184,Mathias Grönberg,22,"27' 11""",12185.333,437
184,185,185,Brett Wetterich,16,"28' 2""",11901.25,422
185,186,186,Steve Flesch,25,"28' 3""",16658.5,590
186,187,187,Brian Gay,30,"28' 4""",23801.833,840
187,188,188,Trevor Immelman,19,"28' 5""",10535.417,371
188,189,189,Nathan Green,27,"28' 7""",19494.917,683
189,190,190,David Duval,24,"29' 5""",12396.167,421
190,191,191,Brad Faxon,23,"29' 10""",11450.333,384
191,192,192,Michael Bradley,24,"31' 4""",17711.667,566
