,Total_Driving_RANK THIS WEEK,Total_Driving_RANK LAST WEEK,Total_Driving_PLAYER NAME,Total_Driving_EVENTS,Total_Driving_TOTAL,Total_Driving_DISTANCE RANK,Total_Driving_ACCURACY RANK
141,142,142,Padraig Harrington,18,221,52,169
142,T143,T143,Bill Lunde,28,222,85,137
143,T143,T143,Ian Poulter,15,222,109,113
144,T145,T145,J.P. Hayes,25,223,148,75
145,T145,T145,Spencer Levin,31,223,150,73
146,T145,T145,Kevin Na,26,223,167,56
147,T148,T148,Brent Delahoussaye,21,225,181,44
148,T148,T148,George McNeill,28,225,41,184
149,T148,T148,Rory Sabbatini,26,225,82,143
150,151,151,David Lutterus,25,226,55,171
151,152,152,Michael Sim,20,228,127,101
152,T153,T153,Steve Flesch,25,232,173,59
153,T153,T153,Charlie Wi,27,232,146,86
154,155,155,Jimmy Walker,27,235,45,190
155,T156,T156,Stuart Appleby,31,236,84,152
156,T156,T156,Jeev Milkha Singh,19,236,100,136
157,T158,T158,Ernie Els,20,237,90,147
158,T158,T158,Steve Lowery,25,237,112,125
159,160,160,Shaun Micheel,21,242,128,114
160,T161,T161,Michael Connell,25,243,144,99
161,T161,T161,Roland Thatcher,26,243,95,148
162,163,163,Tim Herron,24,244,58,186
163,164,164,Troy Merritt,29,246,92,154
164,165,165,Lee Janzen,26,248,98,150
165,166,166,Carl Pettersson,29,249,137,112
166,167,167,Johnson Wagner,28,252,135,117
167,168,168,Freddie Jacobson,24,253,131,122
168,169,169,Bob Estes,26,257,125,132
169,170,170,Webb Simpson,31,258,118,140
170,171,171,Brandt Snedeker,26,260,176,84
171,172,172,Geoff Ogilvy,19,265,104,161
172,T173,T173,Mark Calcavecchia,16,269,148,121
173,T173,T173,Ryuji Imada,28,269,165,104
174,T173,T173,Joe Ogilvie,32,269,114,155
175,T173,T173,Brenden Pappas,24,269,90,179
176,177,177,David Duval,24,271,105,166
177,178,178,Kevin Johnson,26,272,178,94
178,T179,T179,Bryce Molder,26,274,171,103
179,T179,T179,Brett Quigley,29,274,128,146
180,181,181,Ricky Barnes,28,276,117,159
181,182,182,Michael Bradley,24,284,143,141
182,T183,T183,Rich Barcelo,25,286,99,187
183,T183,T183,Jerod Turner,21,286,160,126
184,185,185,Nathan Green,27,292,157,135
185,T186,T186,Luke Donald,20,297,177,120
186,T186,T186,Vance Veazey,23,297,123,174
187,188,188,Greg Kraft,22,306,187,119
188,189,189,Chad Collins,26,324,180,144
189,190,190,Greg Chalmers,27,333,182,151
190,191,191,Brad Faxon,23,343,190,153
191,192,192,Mike Weir,19,369,184,185
