,Distance_from_Edge_of_Fairway_RANK THIS WEEK,Distance_from_Edge_of_Fairway_RANK LAST WEEK,Distance_from_Edge_of_Fairway_PLAYER NAME,Distance_from_Edge_of_Fairway_EVENTS,Distance_from_Edge_of_Fairway_AVG,Distance_from_Edge_of_Fairway_TOTAL DISTANCE (FEET),Distance_from_Edge_of_Fairway_TOTAL STROKES
38,T38,T38,J.J. Henry,27,"22' 7""",8345.75,369
39,40,40,Skip Kendall,18,"22' 8""",4471.417,197
40,41,41,Robert Allenby,22,"22' 10""",6681.1669999999995,293
41,T42,T42,Rocco Mediate,25,"22' 11""",5887.4169999999995,257
42,T42,T42,Vaughn Taylor,26,"22' 11""",7491.75,327
43,44,44,Chris DiMarco,25,"23' 0""",7414.1669999999995,322
44,45,45,Steve Flesch,25,"23' 1""",6795.5,294
45,T46,T46,Kevin Streelman,28,"23' 2""",8396.417,362
46,T46,T46,Y.E. Yang,21,"23' 2""",6269.75,271
47,T48,T48,Chad Campbell,28,"23' 5""",7654.9169999999995,327
48,T48,T48,Scott McCarron,29,"23' 5""",8486.083,362
49,T48,T48,D.A. Points,29,"23' 5""",8914.083,380
50,T51,T51,Will MacKenzie,23,"23' 6""",7098.6669999999995,302
51,T51,T51,John Merrick,31,"23' 6""",9484.917,404
52,T51,T51,Bo Van Pelt,28,"23' 6""",9811.75,418
53,54,54,Billy Mayfair,26,"23' 8""",6077.0830000000005,257
54,T55,T55,Nick Watney,24,"23' 11""",8306.0,347
55,T55,T55,Garrett Willis,24,"23' 11""",6453.0830000000005,270
56,T57,T57,Ben Crane,24,"24' 0""",6403.8330000000005,267
57,T57,T57,Shaun Micheel,21,"24' 0""",6303.8330000000005,263
58,T59,T59,Jarrod Lyle,18,"24' 2""",5356.6669999999995,222
59,T59,T59,John Rollins,26,"24' 2""",8467.333,350
60,T59,T59,Kevin Stadler,28,"24' 2""",8275.583,343
61,T59,T59,Chris Tidland,24,"24' 2""",8118.1669999999995,336
62,63,63,Brandt Snedeker,26,"24' 3""",8595.167,354
63,T64,T64,John Mallinger,29,"24' 4""",6312.0,259
64,T64,T64,Tim Petrovic,32,"24' 4""",10106.5,416
65,T66,T66,Woody Austin,29,"24' 5""",9164.917,375
66,T66,T66,James Nitties,30,"24' 5""",8902.167,364
67,T68,T68,J.P. Hayes,25,"24' 6""",8004.75,327
68,T68,T68,Sean O'Hair,25,"24' 6""",7817.6669999999995,319
69,T68,T68,Pat Perez,27,"24' 6""",8978.5,366
70,T71,T71,Mathew Goggin,28,"24' 7""",8443.917,344
71,T71,T71,Matt Kuchar,26,"24' 7""",7913.0,322
72,T71,T71,Kevin Sutherland,25,"24' 7""",8542.5,347
73,74,74,Kevin Na,26,"24' 8""",8582.417,348
74,75,75,Carl Pettersson,29,"24' 9""",10191.917,412
75,T76,T76,Richard Johnson,27,"24' 10""",7143.75,288
76,T76,T76,Josh Teater,31,"24' 10""",10993.583,442
77,T78,T78,Matt Every,18,"24' 11""",6486.8330000000005,260
78,T78,T78,Charlie Wi,27,"24' 11""",10477.417,420
79,80,80,Bill Lunde,28,"25' 0""",8169.1669999999995,327
80,81,81,Kris Blanks,30,"25' 2""",8059.75,320
81,82,82,Cameron Percy,25,"25' 3""",7898.3330000000005,313
82,83,83,Mathias Grönberg,22,"25' 4""",6112.5830000000005,241
83,84,84,Andrew McLardy,21,"25' 5""",5649.4169999999995,222
84,T85,T85,John Senden,30,"25' 6""",10060.417,395
85,T85,T85,Camilo Villegas,20,"25' 6""",7533.5830000000005,295
86,T87,T87,Greg Chalmers,27,"25' 7""",11978.25,468
87,T87,T87,Ernie Els,20,"25' 7""",7942.9169999999995,310
88,T87,T87,Bob Estes,26,"25' 7""",9446.917,369
89,T90,T90,Blake Adams,26,"25' 8""",8591.25,335
90,T90,T90,Mark Calcavecchia,16,"25' 8""",4486.25,175
91,T90,T90,Rory Sabbatini,26,"25' 8""",8753.417,341
92,T90,T90,Webb Simpson,31,"25' 8""",12338.917,481
93,T94,T94,Bill Haas,25,"25' 9""",9114.583,354
94,T94,T94,Jerod Turner,21,"25' 9""",5281.8330000000005,205
95,T96,T96,Cameron Beckman,25,"25' 10""",7411.75,287
96,T96,T96,Brendon de Jonge,32,"25' 10""",10739.667,416
97,T96,T96,Greg Kraft,22,"25' 10""",5212.583,202
98,T96,T96,Paul Stankowski,18,"25' 10""",6123.0,237
99,100,100,Michael Connell,25,"25' 11""",9925.75,383
100,T101,T101,Luke Donald,20,"26' 3""",7276.6669999999995,277
101,T101,T101,Charley Hoffman,24,"26' 3""",9710.417,370
102,T103,T103,Briny Baird,28,"26' 4""",9555.833,363
103,T103,T103,Rory McIlroy,16,"26' 4""",5318.4169999999995,202
104,T105,T105,Jonathan Byrd,26,"26' 6""",11079.167,418
105,T105,T105,Troy Matteson,28,"26' 6""",10898.333,411
106,T105,T105,Adam Scott,20,"26' 6""",7099.9169999999995,268
107,T105,T105,Chris Stroud,27,"26' 6""",9177.083,346
108,T105,T105,Brett Wetterich,16,"26' 6""",7555.75,285
109,T110,T110,Tim Herron,24,"26' 7""",10978.0,413
110,T110,T110,Freddie Jacobson,24,"26' 7""",10035.833,378
111,T110,T110,Chris Wilson,26,"26' 7""",7443.25,280
112,113,113,Geoff Ogilvy,19,"26' 9""",7757.25,290
113,T114,T114,Alex Cejka,28,"26' 10""",7120.75,265
114,T114,T114,Nathan Green,27,"26' 10""",11308.083,422
115,T114,T114,Alex Prugh,28,"26' 10""",11989.25,447
116,T117,T117,Bryce Molder,26,"26' 11""",9704.417,361
117,T117,T117,Johnson Wagner,28,"26' 11""",9592.083,356
118,119,119,Ryan Palmer,27,"27' 0""",11090.5,411
119,T120,T120,Rickie Fowler,28,"27' 1""",10930.667,403
120,T120,T120,Lucas Glover,23,"27' 1""",7702.3330000000005,284
121,T120,T120,Michael Letzig,27,"27' 1""",10170.417,376
122,T120,T120,D.J. Trahan,27,"27' 1""",11572.167,427
123,T124,T124,Stuart Appleby,31,"27' 2""",12379.5,455
124,T124,T124,Jeff Gove,22,"27' 2""",5779.8330000000005,213
125,T126,T126,Jason Day,24,"27' 3""",10697.75,392
126,T126,T126,Brian Stuard,28,"27' 3""",9196.417,338
127,T128,T128,Chad Collins,26,"27' 4""",10725.333,392
128,T128,T128,Charles Howell III,28,"27' 4""",14763.583,540
129,T130,T130,Ian Poulter,15,"27' 5""",4659.0,170
130,T130,T130,Charles Warren,21,"27' 5""",6574.6669999999995,240
131,T132,T132,Michael Sim,20,"27' 6""",7280.0,265
132,T132,T132,Cameron Tringale,22,"27' 6""",6620.8330000000005,241
133,134,134,Roger Tambellini,26,"27' 7""",8339.5,302
134,T135,T135,Martin Laird,26,"27' 8""",11549.583,417
135,T135,T135,Nicholas Thompson,29,"27' 8""",10271.0,371
136,T137,T137,Ricky Barnes,28,"27' 9""",12531.0,452
137,T137,T137,Chris Couch,23,"27' 9""",7383.5,266
138,T137,T137,Troy Merritt,29,"27' 9""",11321.167,408
139,T140,T140,Greg Owen,27,"27' 10""",8777.167,315
140,T140,T140,Jeev Milkha Singh,19,"27' 10""",7494.3330000000005,269
141,T142,T142,Michael Bradley,24,"27' 11""",9897.833,355
142,T142,T142,Davis Love III,24,"27' 11""",8617.75,309
143,T142,T142,Steve Marino,24,"27' 11""",8986.667,322
144,T142,T142,Ted Purdy,30,"27' 11""",10596.167,379
145,T146,T146,Garth Mulroy,19,"28' 0""",6020.5,215
146,T146,T146,Justin Rose,22,"28' 0""",9136.833,326
147,148,148,Stewart Cink,23,"28' 2""",8997.0,319
148,T149,T149,James Driscoll,26,"28' 3""",11580.75,410
149,T149,T149,Steve Lowery,25,"28' 3""",7918.4169999999995,280
150,T151,T151,Justin Bolli,23,"28' 4""",5413.75,191
151,T151,T151,Kevin Johnson,26,"28' 4""",6410.0830000000005,226
152,T153,T153,Matt Bettencourt,32,"28' 7""",11534.417,403
153,T153,T153,Trevor Immelman,19,"28' 7""",5940.0830000000005,208
154,T153,T153,Lee Janzen,26,"28' 7""",10760.833,376
155,T156,T156,Brad Faxon,23,"28' 10""",7668.0,266
156,T156,T156,Retief Goosen,19,"28' 10""",7013.5,243
157,T156,T156,Roland Thatcher,26,"28' 10""",10225.833,355
158,T156,T156,Steve Wheatcroft,27,"28' 10""",7546.0830000000005,262
159,160,160,Ryuji Imada,28,"28' 11""",12072.917,417
160,T161,T161,Paul Casey,17,"29' 0""",6613.1669999999995,228
161,T161,T161,Joe Ogilvie,32,"29' 0""",13624.833,470
162,163,163,Graham DeLaet,28,"29' 3""",10362.333,354
163,T164,T164,Henrik Bjornstad,26,"29' 7""",8159.9169999999995,276
164,T164,T164,Jeff Overton,26,"29' 7""",12534.917,424
165,T164,T164,Vijay Singh,24,"29' 7""",8685.583,294
166,T167,T167,Robert Garrigus,22,"29' 8""",10296.25,347
167,T167,T167,Marc Leishman,26,"29' 8""",12084.25,407
168,T169,T169,John Daly,20,"29' 10""",8536.75,286
169,T169,T169,George McNeill,28,"29' 10""",12799.417,429
170,171,171,Bubba Watson,22,"30' 0""",11339.417,378
171,172,172,Padraig Harrington,18,"30' 2""",7716.0,256
172,T173,T173,Sergio Garcia,15,"30' 5""",5752.6669999999995,189
173,T173,T173,Vance Veazey,23,"30' 5""",8087.8330000000005,266
174,T175,T175,David Lutterus,25,"30' 6""",9833.417,322
175,T175,T175,Andres Romero,21,"30' 6""",12514.0,410
176,177,177,Brett Quigley,29,"30' 10""",14253.333,462
177,178,178,Daniel Chopra,28,"31' 0""",12944.167,417
178,T179,T179,Martin Flores,26,"31' 1""",13188.083,424
179,T179,T179,Mike Weir,19,"31' 1""",8046.6669999999995,259
180,181,181,Derek Lamely,28,"31' 5""",11817.5,376
181,T182,T182,Aaron Baddeley,26,"31' 7""",15226.667,482
182,T182,T182,Dustin Johnson,23,"31' 7""",11865.75,376
183,184,184,Matt Jones,27,"31' 9""",14486.417,456
184,185,185,David Duval,24,"32' 2""",10385.417,323
185,186,186,Ángel Cabrera,19,"32' 4""",10335.833,320
186,187,187,Scott Piercy,28,"32' 10""",15420.833,470
187,188,188,Brenden Pappas,24,"33' 0""",10620.0,322
188,189,189,Phil Mickelson,20,"34' 3""",12195.167,356
189,190,190,J.B. Holmes,26,"34' 5""",18204.917,529
190,T191,T191,Rich Barcelo,25,"35' 8""",12383.333,347
191,T191,T191,Jimmy Walker,27,"35' 8""",15978.417,448
