,Ball_Striking_RANK THIS WEEK,Ball_Striking_RANK LAST WEEK,Ball_Striking_PLAYER NAME,Ball_Striking_ROUNDS,Ball_Striking_VALUE,Ball_Striking_TOTAL DRV RANK,Ball_Striking_GIR RANK
55,56,56,Sean O'Hair,84,124,61,63
56,57,57,Martin Laird,91,126,49,77
57,58,58,Kevin Streelman,90,129,25,104
58,T59,T59,Greg Owen,69,130,89,41
59,T59,T59,David Toms,86,130,43,87
60,T59,T59,Bubba Watson,77,130,75,55
61,62,62,Jeff Gove,57,131,103,28
62,63,63,Alex Prugh,88,135,82,53
63,64,64,Nicholas Thompson,88,139,64,75
64,T65,T65,Dustin Johnson,83,140,70,70
65,T65,T65,Michael Letzig,84,140,68,72
66,T67,T67,Richard Johnson,90,141,83,58
67,T67,T67,Rory McIlroy,54,141,21,120
68,69,69,Tom Gillis,97,142,11,131
69,T70,T70,Charley Hoffman,85,147,35,112
70,T70,T70,Tom Pernice Jr.,74,147,122,25
71,72,72,Kevin Stadler,86,149,79,70
72,T73,T73,K.J. Choi,82,150,94,56
73,T73,T73,Cliff Kresge,50,150,46,104
74,75,75,Omar Uresti,74,152,89,63
75,76,76,Jason Dufner,87,153,49,104
76,77,77,Jerry Kelly,99,156,68,88
77,T78,T78,Sergio Garcia,58,157,34,123
78,T78,T78,Rocco Mediate,71,157,122,35
79,T80,T80,Jason Day,82,159,75,84
80,T80,T80,Robert Garrigus,71,159,73,86
81,T80,T80,Retief Goosen,75,159,26,133
82,T83,T83,Briny Baird,87,160,127,33
83,T83,T83,Zach Johnson,93,160,49,111
84,85,85,Scott McCarron,90,163,23,140
85,86,86,John Mallinger,78,164,70,94
86,T87,T87,Chris DiMarco,88,166,75,91
87,T87,T87,Jarrod Lyle,54,166,17,149
88,89,89,Spencer Levin,110,168,145,23
89,90,90,Chris Stroud,90,170,134,36
90,91,91,Justin Rose,78,177,58,119
91,92,92,Scott Piercy,88,178,96,82
92,93,93,Jim Furyk,76,179,86,93
93,94,94,Stephen Ames,75,180,101,79
94,95,95,Steve Marino,81,184,96,88
95,96,96,Ben Curtis,78,185,116,69
96,97,97,James Nitties,92,186,70,116
97,98,98,Woody Austin,93,188,116,72
98,T99,T99,Charles Howell III,103,193,139,54
99,T99,T99,Marc Leishman,87,193,89,104
100,T101,T101,Alex Cejka,81,195,86,109
101,T101,T101,Brett Quigley,96,195,179,16
102,T101,T101,Y.E. Yang,72,195,61,134
103,104,104,Tim Clark,88,198,96,102
104,105,105,Chris Riley,73,201,109,92
105,106,106,Jeff Overton,89,202,106,96
106,107,107,Jason Bohn,84,206,127,79
107,T108,T108,Jeff Maggert,76,212,112,100
108,T108,T108,D.A. Points,90,212,138,74
109,110,110,Johnson Wagner,85,228,167,61
110,T111,T111,James Driscoll,78,229,132,97
111,T111,T111,J.B. Holmes,100,229,85,144
112,T111,T111,Chris Tidland,77,229,112,117
113,114,114,Ángel Cabrera,64,230,89,141
114,115,115,Michael Bradley,77,231,182,49
115,116,116,Ernie Els,72,233,158,75
116,117,117,Ryan Palmer,84,234,89,145
117,118,118,Trevor Immelman,55,241,115,126
118,119,119,Ricky Barnes,103,243,181,62
119,T120,T120,Aaron Baddeley,94,245,81,164
120,T120,T120,Paul Goydos,78,245,111,134
121,T122,T122,Brent Delahoussaye,57,246,148,98
122,T122,T122,Matt Every,60,246,84,162
123,T122,T122,Freddie Jacobson,83,246,168,78
124,T125,T125,John Daly,63,248,106,142
125,T125,T125,Bob Estes,79,248,169,79
126,T127,T127,Lee Janzen,77,249,165,84
127,T127,T127,Tim Petrovic,105,249,131,118
128,T127,T127,Rory Sabbatini,79,249,148,101
129,130,130,Camilo Villegas,78,252,125,127
130,131,131,Skip Kendall,58,254,75,179
131,T132,T132,Geoff Ogilvy,62,255,172,83
132,T132,T132,Rod Pampling,77,255,96,159
133,134,134,Michael Connell,89,256,161,95
134,T135,T135,Cameron Beckman,68,259,137,122
135,T135,T135,Justin Leonard,89,259,103,156
136,137,137,Andrew McLardy,52,261,129,132
137,138,138,Charlie Wi,95,263,153,110
138,T139,T139,Jeff Quinney,91,264,116,148
139,T139,T139,Steve Wheatcroft,74,264,94,170
140,141,141,Phil Mickelson,76,271,116,155
141,142,142,Justin Bolli,55,272,112,160
142,143,143,J.P. Hayes,79,275,145,130
143,T144,T144,Tim Herron,79,276,163,113
144,T144,T144,George McNeill,79,276,148,128
145,146,146,Brian Gay,101,277,106,171
146,147,147,Brian Davis,101,278,103,175
147,148,148,Andres Romero,73,279,122,157
148,T149,T149,Bill Lunde,79,282,143,139
149,T149,T149,Kevin Na,94,282,145,137
150,151,151,Scott Verplank,74,284,116,168
151,T152,T152,Martin Flores,75,286,125,161
152,T152,T152,Matt Jones,89,286,135,151
153,154,154,Craig Bowden,56,287,109,178
154,155,155,Brenden Pappas,66,288,173,115
155,156,156,Webb Simpson,98,291,170,121
156,157,157,Jimmy Walker,82,293,155,138
157,158,158,Brian Stuard,81,294,136,158
158,159,159,Ted Purdy,86,296,129,167
159,160,160,Roland Thatcher,72,297,161,136
160,161,161,Joe Ogilvie,99,298,173,125
161,T162,T162,David Duval,71,301,177,124
162,T162,T162,Steve Lowery,67,301,158,143
163,T162,T162,Michael Sim,64,301,152,149
164,T165,T165,Matt Bettencourt,91,305,116,189
165,T165,T165,Chris Wilson,65,305,132,173
166,167,167,Jeev Milkha Singh,59,308,156,152
167,168,168,Troy Merritt,86,309,164,145
168,169,169,David Lutterus,69,317,151,166
169,170,170,Mark Calcavecchia,50,318,173,145
170,171,171,Greg Chalmers,93,319,190,129
171,T172,T172,Derek Lamely,81,323,140,183
172,T172,T172,Shaun Micheel,70,323,160,163
173,174,174,Ian Poulter,55,324,143,181
174,175,175,Padraig Harrington,57,326,142,184
175,176,176,Daniel Chopra,74,327,140,187
176,177,177,Steve Flesch,78,329,153,176
177,178,178,Bryce Molder,84,331,179,152
178,179,179,Carl Pettersson,99,335,166,169
179,T180,T180,Luke Donald,71,338,186,152
180,T180,T180,Ryuji Imada,90,338,173,165
181,182,182,Stuart Appleby,101,341,156,185
182,183,183,Brandt Snedeker,89,353,171,182
183,184,184,Kevin Johnson,62,358,178,180
184,185,185,Nathan Green,86,359,185,174
185,186,186,Chad Collins,87,361,189,172
186,187,187,Vance Veazey,58,363,186,177
187,188,188,Rich Barcelo,70,369,183,186
188,189,189,Jerod Turner,54,374,183,191
189,190,190,Greg Kraft,52,376,188,188
190,191,191,Brad Faxon,58,381,191,190
191,192,192,Mike Weir,59,384,192,192
