,Percentage_of_Yardage_covered_by_Tee_Shots_RANK THIS WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_RANK LAST WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_PLAYER NAME,Percentage_of_Yardage_covered_by_Tee_Shots_ROUNDS,Percentage_of_Yardage_covered_by_Tee_Shots_AVG (%),Percentage_of_Yardage_covered_by_Tee_Shots_TOTAL SHOT DISTANCE,Percentage_of_Yardage_covered_by_Tee_Shots_TOTAL DISTANCE
52,53,53,Tim Herron,79,62.5,273311.9,437294
53,54,54,Will MacKenzie,72,62.48,268858.5,430318
54,55,55,Sean O'Hair,84,62.47,260130.9,416408
55,56,56,Jeev Milkha Singh,59,62.41,204219.2,327233
56,57,57,Michael Letzig,84,62.4,315015.4,504802
57,T58,T58,Jonathan Byrd,85,62.39,324556.2,520170
58,T58,T58,Kevin Stadler,86,62.39,285703.3,457914
59,60,60,Kevin Streelman,90,62.37,317395.7,508855
60,T61,T61,Blake Adams,84,62.35,294423.0,472200
61,T61,T61,Ted Purdy,86,62.35,296271.2,475205
62,T63,T63,Matt Jones,89,62.33,314957.4,505284
63,T63,T63,Roger Tambellini,77,62.33,244908.7,392909
64,65,65,J.J. Henry,92,62.31,311423.7,499788
65,66,66,Steve Marino,81,62.28,250838.9,402763
66,T67,T67,Joe Durant,67,62.27,222592.1,357446
67,T67,T67,Paul Stankowski,62,62.27,208428.8,334712
68,T69,T69,Bill Haas,87,62.26,296061.7,475559
69,T69,T69,Andrew McLardy,52,62.26,173813.6,279153
70,T69,T69,Nicholas Thompson,88,62.26,304301.2,488787
71,T72,T72,Stuart Appleby,101,62.25,347676.8,558555
72,T72,T72,Joe Ogilvie,99,62.25,338986.8,544564
73,T74,T74,Ryan Moore,80,62.21,242492.6,389805
74,T74,T74,Greg Owen,69,62.21,243710.4,391726
75,76,76,Jeff Gove,57,62.2,173076.9,278275
76,77,77,Steve Lowery,67,62.19,219559.9,353071
77,78,78,John Merrick,109,62.16,363721.3,585095
78,79,79,Jimmy Walker,82,62.14,274790.5,442194
79,T80,T80,Bill Lunde,79,62.06,264142.0,425623
80,T80,T80,Troy Merritt,86,62.06,302443.3,487361
81,82,82,David Lutterus,69,62.03,221406.9,356913
82,83,83,Camilo Villegas,78,62.02,221715.6,357466
83,T84,T84,Mathew Goggin,85,62.01,298415.7,481259
84,T84,T84,Roland Thatcher,72,62.01,266479.2,429760
85,T86,T86,Sergio Garcia,58,62.0,141088.6,227575
86,T86,T86,Chris Stroud,90,62.0,281608.3,454235
87,T88,T88,Adam Scott,70,61.99,206820.3,333624
88,T88,T88,Steve Wheatcroft,74,61.99,227964.1,367744
89,90,90,George McNeill,79,61.98,274596.0,443013
90,91,91,John Senden,103,61.89,341872.4,552355
91,T92,T92,Brenden Pappas,66,61.88,215520.1,348295
92,T92,T92,Chris Tidland,77,61.88,268480.4,433859
93,94,94,Padraig Harrington,57,61.86,172956.0,279585
94,95,95,Henrik Bjornstad,72,61.79,231373.1,374445
95,96,96,Pat Perez,90,61.77,325940.2,527652
96,T97,T97,Brendon de Jonge,114,61.74,355419.1,575661
97,T97,T97,Scott McCarron,90,61.74,323886.0,524567
98,99,99,Tom Gillis,97,61.73,352906.7,571731
99,100,100,Y.E. Yang,72,61.72,229990.7,372622
100,101,101,Matt Kuchar,97,61.69,294365.6,477155
101,102,102,Robert Allenby,76,61.67,240652.9,390221
102,103,103,Brian Stuard,81,61.65,276219.3,448025
103,104,104,Rich Barcelo,70,61.57,226972.6,368646
104,105,105,Webb Simpson,98,61.54,356526.7,579383
105,106,106,Geoff Ogilvy,62,61.52,198200.6,322194
106,T107,T107,Justin Rose,78,61.5,274267.6,445951
107,T107,T107,Jay Williamson,76,61.5,236605.0,384725
108,109,109,Steve Elkington,74,61.47,228612.1,371921
109,110,110,Kevin Sutherland,86,61.45,302691.4,492617
110,111,111,Ernie Els,72,61.39,217804.0,354816
111,T112,T112,Ricky Barnes,103,61.38,322093.1,524717
112,T112,T112,Mark Calcavecchia,50,61.38,129181.9,210452
113,114,114,Vaughn Taylor,87,61.36,309098.6,503730
114,115,115,Lee Janzen,77,61.33,270713.6,441415
115,116,116,Carl Pettersson,99,61.32,320919.4,523331
116,117,117,Kris Blanks,91,61.3,286866.5,468008
117,118,118,Freddie Jacobson,83,61.29,300066.5,489580
118,119,119,James Nitties,92,61.27,313367.6,511430
119,120,120,Chad Campbell,94,61.25,314654.1,513683
120,121,121,Cameron Beckman,68,61.22,227787.8,372082
121,122,122,Cliff Kresge,50,61.18,173695.9,283932
122,T123,T123,Jeff Maggert,76,61.12,243148.3,397826
123,T123,T123,Billy Mayfair,78,61.12,251483.9,411438
124,125,125,Rod Pampling,77,61.11,270722.3,443034
125,126,126,Jerod Turner,54,61.1,153527.1,251279
126,127,127,Ben Crane,85,61.07,257341.4,421416
127,T128,T128,David Duval,71,61.02,216630.8,355030
128,T128,T128,Chris Riley,73,61.02,242115.5,396773
129,130,130,Aron Price,70,61.0,239709.0,392970
130,T131,T131,Ian Poulter,55,60.99,132548.9,217339
131,T131,T131,Michael Sim,64,60.99,205520.9,336998
132,T131,T131,David Toms,86,60.99,269318.2,441598
133,134,134,Woody Austin,93,60.98,320572.4,525689
134,135,135,Spencer Levin,110,60.93,377843.9,620116
135,136,136,K.J. Choi,82,60.91,237182.8,389395
136,137,137,Jason Dufner,87,60.9,267429.3,439132
137,138,138,Mark Wilson,87,60.88,306618.4,503680
138,139,139,Bob Estes,79,60.84,272212.3,447443
139,T140,T140,Zach Johnson,93,60.82,291625.3,479513
140,T140,T140,Steve Stricker,73,60.82,218827.7,359811
141,T142,T142,Michael Bradley,77,60.81,261865.9,430649
142,T142,T142,Vance Veazey,58,60.81,185579.8,305181
143,144,144,Shaun Micheel,70,60.8,203569.0,334832
144,145,145,J.P. Hayes,79,60.79,261269.2,429765
145,T146,T146,D.A. Points,90,60.77,305774.5,503207
146,T146,T146,Brett Quigley,96,60.77,338564.7,557095
147,T148,T148,Stephen Ames,75,60.74,266938.4,439497
148,T148,T148,John Mallinger,78,60.74,250800.3,412896
149,150,150,Briny Baird,87,60.71,301948.7,497401
150,151,151,Johnson Wagner,85,60.62,284396.3,469123
151,152,152,Garrett Willis,82,60.59,272896.4,450424
152,153,153,Heath Slocum,97,60.58,281827.3,465186
153,154,154,Chris DiMarco,88,60.56,297309.2,490931
154,155,155,Michael Connell,89,60.54,295419.7,487981
155,T156,T156,Charlie Wi,95,60.48,339728.1,561706
156,T156,T156,Dean Wilson,54,60.48,179789.4,297248
157,158,158,Justin Bolli,55,60.47,161360.6,266842
158,159,159,Tim Petrovic,105,60.45,361239.7,597571
159,160,160,Brian Davis,101,60.37,340630.9,564271
160,161,161,Rocco Mediate,71,60.36,232352.6,384959
161,162,162,Ryuji Imada,90,60.32,321255.0,532619
162,163,163,Jerry Kelly,99,60.31,313087.0,519145
163,164,164,Jason Bohn,84,60.3,282269.3,468097
164,T165,T165,Skip Kendall,58,60.22,186884.7,310360
165,T165,T165,Justin Leonard,89,60.22,274322.7,455498
166,T165,T165,Scott Verplank,74,60.22,213409.6,354387
167,168,168,Brandt Snedeker,89,60.2,285821.5,474785
168,169,169,Kevin Na,94,60.12,288505.5,479885
169,170,170,Brent Delahoussaye,57,60.11,178214.9,296493
170,171,171,Greg Chalmers,93,60.1,330125.5,549297
171,172,172,Trevor Immelman,55,60.0,161765.3,269630
172,173,173,Nathan Green,86,59.99,308910.6,514922
173,T174,T174,Kevin Johnson,62,59.94,185418.9,309360
174,T174,T174,Tom Pernice Jr.,74,59.94,220591.0,368050
175,176,176,Chad Collins,87,59.83,283561.5,473946
176,177,177,Bryce Molder,84,59.82,276660.1,462500
177,178,178,Jim Furyk,76,59.74,228208.6,382023
178,179,179,Steve Flesch,78,59.7,245117.0,410558
179,180,180,Richard Johnson,90,59.66,275206.2,461296
180,181,181,Ben Curtis,78,59.64,250311.3,419693
181,T182,T182,Alex Cejka,81,59.61,257241.7,431533
182,T182,T182,Greg Kraft,52,59.61,147155.7,246855
183,184,184,Tim Clark,88,59.37,256182.1,431471
184,185,185,Paul Goydos,78,59.27,248516.2,419312
185,T186,T186,Jeff Quinney,91,59.25,298817.9,504304
186,T186,T186,Omar Uresti,74,59.25,228712.1,385981
187,188,188,Luke Donald,71,59.1,199498.8,337559
188,189,189,Mike Weir,59,58.82,148260.2,252052
189,190,190,Craig Bowden,56,58.55,179470.1,306532
190,191,191,Brian Gay,101,58.32,302702.6,519003
191,192,192,Brad Faxon,58,57.97,176058.2,303716
