,Ryder_Cup_Euro_Points_RANK THIS WEEK,Ryder_Cup_Euro_Points_RANK LAST WEEK,Ryder_Cup_Euro_Points_PLAYER NAME,Ryder_Cup_Euro_Points_POINTS
133,134,134,Peter Lawrie,50080.0
134,135,135,Adrien Saddier,48525.0
135,136,136,Niall Kearney,45887.14
136,137,137,Soren Hansen,45165.1
137,138,138,Romain Langasque,45120.0
138,139,139,Scott Henry,43310.26
139,140,140,James Heath,42948.2
140,141,141,Richard Finch,41561.53
141,142,142,Carlos Pigem,40551.01
142,143,143,Nick Dougherty,40365.77
143,144,144,Oskar Henningsson,39350.0
144,145,145,Jose-Filipe Lima,38699.81
145,146,146,Kevin Phelan,38084.63
146,147,147,Tom Murray,37578.78
147,148,148,Marco Crespi,35216.82
148,149,149,Simon Wakefield,33720.0
149,150,150,Clément Sordet,33694.63
150,151,151,Paul Maddy,33660.25
151,152,152,Michael Jonzon,32862.59
152,153,153,Francesco Laporta,32489.5
153,154,154,Ricardo Santos,32190.0
154,155,155,Lukas Nemecz,29957.62
155,156,156,Jason Barnes,29570.0
156,157,157,Jordi Garcia Pinto,29041.0
157,158,158,Max Orrin,28985.24
158,159,159,Chris Doak,28710.0
159,160,160,Jack Senior,28490.41
160,161,161,Damian McGrane,26625.0
161,162,162,José Manuel Lara,25750.0
162,163,163,Matthew Baldwin,25423.69
163,164,164,Andrea Pavan,24830.55
164,165,165,Javier Colomo,24594.14
165,166,166,Sam Hutsby,24134.78
166,167,167,Pep Angles,22685.71
167,168,168,Simon Griffiths,22540.0
168,169,169,Andrew McCarthy,21592.09
169,170,170,Jens Dantorp,18975.0
170,171,171,Jerome Lando Casanova,18200.0
171,172,172,Simon Thornton,18180.0
172,173,173,Jack Doherty,18166.56
173,174,174,Cyril Bouniol,17248.5
174,175,175,Colin Montgomerie,16482.08
175,176,176,Alessandro Tadini,16333.33
176,177,177,Dominic Foos,15965.32
177,178,178,Simon Dyson,14082.23
178,179,179,Toby Tree,13646.7
179,180,180,Pedro Oriol,13450.0
180,181,181,Sandy Lyle,12341.75
181,182,182,Alexander Björk,11550.0
182,183,183,James Robinson,11431.93
183,184,184,Steven Brown,10400.0
184,185,185,Daan Huizing,10202.61
185,186,186,Ben Stow,9800.0
186,187,187,Sebastian Soderberg,9639.48
187,188,188,Gary King,9233.44
188,189,189,Scott Fernandez,9229.48
189,190,190,Moritz Lampert,9060.12
190,191,191,Jordan L Smith,8750.0
191,192,192,Ian Woosnam,8743.55
192,193,193,David Law,8692.09
193,194,194,Wil Besseling,7920.0
194,195,195,Scott Fallon,7800.0
195,196,196,Oliver Farr,7600.0
196,197,197,Sebastian Heisele,6450.0
197,198,198,Victor Riu,6150.0
198,199,199,Steven Jeppesen,6093.07
199,200,200,Matt Wallace,5400.0
