,FedExCup_Season_Points_RANK THIS WEEK,FedExCup_Season_Points_RANK LAST WEEK,FedExCup_Season_Points_PLAYER NAME,FedExCup_Season_Points_EVENTS,FedExCup_Season_Points_POINTS,FedExCup_Season_Points_# OF WINS,FedExCup_Season_Points_# OF TOP 10'S,FedExCup_Season_Points_POINTS BEHIND LEAD,FedExCup_Season_Points_RESET POINTS
59,60,60,Chris Kirk,25,749,,2.0,1986.0,
60,61,61,Ben Martin,25,741,,2.0,1994.0,
61,62,62,Patrick Rodgers,26,739,,3.0,1996.0,
62,63,63,Ryan Palmer,20,731,,2.0,2004.0,
63,64,64,Vaughn Taylor,21,726,1.0,1.0,2009.0,
64,65,65,Jason Kokrak,25,721,,2.0,2014.0,
65,66,66,Ricky Barnes,27,718,,4.0,2017.0,
66,67,67,Freddie Jacobson,24,714,,3.0,2021.0,
67,68,68,Paul Casey,18,710,,4.0,2025.0,
68,69,69,Billy Hurley III,17,710,1.0,1.0,2025.0,
69,70,70,K.J. Choi,20,705,,2.0,2030.0,
70,71,71,Danny Lee,26,699,,2.0,2036.0,
71,72,72,Billy Horschel,17,694,,4.0,2041.0,
72,73,73,Kevin Streelman,23,692,,2.0,2043.0,
73,74,74,Jerry Kelly,21,692,,2.0,2043.0,
74,75,75,Danny Willett,9,691,1.0,3.0,2044.0,
75,76,76,Brian Stuard,17,680,1.0,1.0,2055.0,
76,77,77,Jason Bohn,19,667,,3.0,2068.0,
77,78,78,Webb Simpson,18,666,,2.0,2069.0,
78,79,79,Bryce Molder,24,652,,5.0,2083.0,
79,80,80,Spencer Levin,30,644,,2.0,2091.0,
80,81,81,Scott Brown,25,643,,4.0,2092.0,
81,82,82,Harold Varner III,26,643,,4.0,2092.0,
82,83,83,Russell Henley,23,642,,4.0,2093.0,
83,84,84,Adam Hadwin,25,638,,2.0,2097.0,
84,85,85,Chad Campbell,26,633,,3.0,2102.0,
85,86,86,Chez Reavie,25,630,,2.0,2105.0,
86,87,87,Shane Lowry,17,615,,2.0,2120.0,
87,88,88,Brian Harman,28,607,,2.0,2128.0,
88,89,89,Martin Laird,22,605,,3.0,2130.0,
89,90,90,Hudson Swafford,27,603,,1.0,2132.0,
90,91,91,David Hearn,26,599,,1.0,2136.0,
91,92,92,Johnson Wagner,24,598,,3.0,2137.0,
92,93,93,Peter Malnati,31,596,1.0,3.0,2139.0,
93,94,94,Jim Furyk,12,591,,3.0,2144.0,
94,95,95,Robert Streb,26,590,,1.0,2145.0,
95,96,96,Lucas Glover,22,587,,2.0,2148.0,
96,97,97,Vijay Singh,20,586,,2.0,2149.0,
97,98,98,Steve Stricker,13,583,,3.0,2152.0,
98,99,99,John Senden,26,577,,1.0,2158.0,
99,100,100,Jonas Blixt,25,572,,2.0,2163.0,
100,101,101,Brett Stegmaier,28,559,,3.0,2176.0,
101,102,102,Robert Garrigus,20,558,,3.0,2177.0,
102,103,103,Zac Blair,30,553,,2.0,2182.0,
103,104,104,Tyrone Van Aswegen,29,550,,2.0,2185.0,
104,105,105,Francesco Molinari,17,550,,3.0,2185.0,
105,106,106,Keegan Bradley,25,545,,2.0,2190.0,
106,107,107,Cameron Tringale,24,539,,1.0,2196.0,
107,108,108,Sean O'Hair,23,536,,1.0,2199.0,
108,109,109,Andrew Loupe,26,535,,4.0,2200.0,
109,110,110,Boo Weekley,25,532,,2.0,2203.0,
110,111,111,John Huh,26,526,,3.0,2209.0,
111,112,112,Blayne Barber,26,520,,1.0,2215.0,
112,113,113,Mark Hubbard,29,503,,,2232.0,
113,114,114,Ben Crane,26,500,,1.0,2235.0,
114,115,115,Michael Kim,28,500,,,2235.0,
115,116,116,Kyle Stanley,27,497,,,2238.0,
116,117,117,Anirban Lahiri,21,494,,1.0,2241.0,
117,118,118,Derek Fathauer,28,491,,1.0,2244.0,
118,119,119,Graham DeLaet,20,487,,3.0,2248.0,
119,120,120,Troy Merritt,25,482,,1.0,2253.0,
120,121,121,Luke List,26,481,,2.0,2254.0,
121,122,122,Sung Kang,27,473,,2.0,2262.0,
122,123,123,Shawn Stefani,28,459,,1.0,2276.0,
123,124,124,David Toms,18,455,,1.0,2280.0,
124,125,125,Seung-Yul Noh,27,454,,1.0,2281.0,
125,126,126,Matt Jones,27,445,,,2290.0,
126,127,127,Whee Kim,27,444,,2.0,2291.0,
127,128,128,Scott Stallings,27,443,,1.0,2292.0,
128,129,129,Nick Taylor,26,441,,1.0,2294.0,
129,130,130,Steve Marino,24,429,,2.0,2306.0,
130,131,131,Bronson Burgoon,27,428,,,2307.0,
131,132,132,Tim Wilkinson,22,426,,1.0,2309.0,
132,133,133,Morgan Hoffmann,25,424,,1.0,2311.0,
133,134,134,Chris Stroud,27,412,,1.0,2323.0,
134,135,135,Bud Cauley,14,409,,3.0,2326.0,
135,136,136,Chad Collins,26,402,,1.0,2333.0,
136,137,137,Steve Wheatcroft,26,400,,2.0,2335.0,
137,138,138,Willy Wilcox,23,399,,2.0,2336.0,
138,139,139,Padraig Harrington,16,393,,1.0,2342.0,
139,140,140,Tyler Aldridge,28,384,,,2351.0,
140,141,141,Retief Goosen,16,380,,,2355.0,
141,142,142,Greg Chalmers,12,366,1.0,1.0,2369.0,
142,143,143,Stuart Appleby,23,360,,,2375.0,
143,144,144,Tom Hoge,26,349,,2.0,2386.0,
144,145,145,Michael Thompson,23,340,,1.0,2395.0,
145,146,146,Hiroshi Iwata,29,339,,1.0,2396.0,
146,147,147,Stewart Cink,19,331,,,2404.0,
147,148,148,Sam Saunders,24,324,,2.0,2411.0,
148,149,149,Jamie Donaldson,13,322,,,2413.0,
149,150,150,Greg Owen,29,319,,1.0,2416.0,
150,151,151,Will MacKenzie,26,317,,1.0,2418.0,
151,152,152,Camilo Villegas,27,313,,,2422.0,
152,153,153,Ken Duke,20,309,,2.0,2426.0,
153,154,154,Andres Gonzales,28,307,,1.0,2428.0,
154,155,155,Jason Gore,27,307,,,2428.0,
155,156,156,Brendon de Jonge,30,304,,,2431.0,
156,157,157,Cameron Smith,24,304,,,2431.0,
157,158,158,Rob Oppenheim,21,300,,1.0,2435.0,
158,159,159,Chesson Hadley,27,293,,,2442.0,
159,160,160,Jeff Overton,25,289,,1.0,2446.0,
160,161,161,Geoff Ogilvy,22,283,,1.0,2452.0,
161,162,162,Martin Piller,22,278,,2.0,2457.0,
162,163,163,Ernie Els,21,273,,1.0,2462.0,
163,164,164,Henrik Norlander,21,273,,,2462.0,
164,165,165,Kelly Kraft,20,273,,1.0,2462.0,
165,166,166,Thomas Aiken,23,268,,,2467.0,
166,167,167,Scott Langley,22,266,,,2469.0,
167,168,168,Cameron Percy,15,258,,,2477.0,
168,169,169,Scott Pinckney,29,258,,,2477.0,
169,170,170,Wes Roach,21,241,,,2494.0,
170,171,171,Dawie van der Walt,25,239,,,2496.0,
171,172,172,Carlos Ortiz,29,238,,,2497.0,
172,173,173,Erik Compton,24,236,,,2499.0,
173,174,174,Ian Poulter,13,236,,1.0,2499.0,
174,175,175,Luke Guthrie,19,234,,1.0,2501.0,
175,176,176,Mark Wilson,21,225,,,2510.0,
176,177,177,Brice Garnett,15,222,,2.0,2513.0,
177,178,178,Andrew Landry,18,217,,1.0,2518.0,
178,179,179,Steven Bowditch,26,192,,1.0,2543.0,
179,180,180,Ángel Cabrera,22,187,,,2548.0,
180,181,181,Justin Leonard,13,186,,,2549.0,
181,182,182,Tim Herron,14,186,,1.0,2549.0,
182,183,183,Hunter Mahan,22,174,,,2561.0,
183,184,184,D.A. Points,18,167,,,2568.0,
184,185,185,J.J. Henry,24,162,,,2573.0,
185,186,186,Derek Ernst,20,159,,,2576.0,
186,187,187,Miguel Angel Carballo,18,159,,1.0,2576.0,
187,188,188,Davis Love III,15,154,,,2581.0,
188,189,189,Brian Gay,13,149,,1.0,2586.0,
189,190,190,Abraham Ancer,19,147,,,2588.0,
190,191,191,Rory Sabbatini,20,143,,,2592.0,
191,192,192,George McNeill,23,134,,,2601.0,
192,193,193,Alex Prugh,13,133,,,2602.0,
193,194,194,D.J. Trahan,14,124,,1.0,2611.0,
194,195,195,Rod Pampling,18,122,,,2613.0,
195,196,196,Wesley Bryan,4,122,,1.0,2613.0,
196,197,197,Andres Romero,14,120,,1.0,2615.0,
197,198,198,John Merrick,12,114,,,2621.0,
198,199,199,Rhein Gibson,20,113,,,2622.0,
199,200,200,Matt Every,17,112,,,2623.0,
200,201,201,D.H. Lee,22,104,,,2631.0,
201,202,202,Nick Watney,5,99,,,2636.0,
202,203,203,Lucas Lee,16,93,,,2642.0,
203,204,204,Shane Bertsch,9,91,,,2644.0,
204,205,205,Tim Clark,7,86,,,2649.0,
205,206,206,Dicky Pride,21,84,,,2651.0,
206,207,207,Jonathan Byrd,6,73,,,2662.0,
207,208,208,Tom Gillis,12,72,,,2663.0,
208,209,209,Michael Bradley,8,62,,,2673.0,
209,210,210,Marc Turnesa,10,62,,,2673.0,
210,211,211,John Rollins,9,62,,,2673.0,
211,212,212,Brendon Todd,29,60,,,2675.0,
212,213,213,Ryo Ishikawa,6,55,,,2680.0,
213,214,214,Carl Pettersson,22,48,,,2687.0,
214,215,215,Cameron Beckman,12,45,,,2690.0,
215,216,216,Bernhard Langer,2,45,,,2690.0,
216,217,217,Darron Stiles,17,44,,,2691.0,
217,218,218,Eric Axley,7,41,,,2694.0,
218,219,219,Billy Mayfair,7,40,,,2695.0,
219,220,220,Darren Clarke,4,39,,,2696.0,
220,221,221,Ted Purdy,9,38,,,2697.0,
221,222,222,Pat Perez,11,34,,,2701.0,
222,223,223,Michael Putnam,7,30,,,2705.0,
223,T224,T224,Frank Lickliter II,9,28,,,2707.0,
224,T224,T224,Shaun Micheel,3,28,,,2707.0,
225,226,226,Troy Matteson,3,26,,,2709.0,
226,227,227,Rocco Mediate,2,26,,,2709.0,
227,228,228,Charlie Wi,5,26,,,2709.0,
228,229,229,Fred Funk,4,26,,,2709.0,
229,230,230,Brian Davis,9,23,,,2712.0,
230,231,231,Ben Curtis,5,22,,,2713.0,
231,232,232,Arjun Atwal,6,21,,,2714.0,
232,233,233,Steve Flesch,6,19,,,2716.0,
233,234,234,Larry Mize,1,19,,,2716.0,
234,235,235,Bo Van Pelt,5,18,,,2717.0,
235,236,236,Jarrod Lyle,10,10,,,2725.0,
236,237,237,Omar Uresti,4,10,,,2725.0,
237,238,238,Robert Allenby,23,9,,,2726.0,
238,239,239,Trevor Immelman,11,7,,,2728.0,
239,240,240,Mark O'Meara,2,7,,,2728.0,
240,241,241,Kent Jones,1,3,,,2732.0,
241,242,242,Mark Hensby,5,2,,,2733.0,
242,243,243,Tim Petrovic,7,2,,,2733.0,
243,244,244,Marco Dawson,1,2,,,2733.0,
244,245,245,Tommy Gainey,4,1,,,2734.0,
245,246,246,Rich Beem,1,1,,,2734.0,
246,T247,T247,Charlie Beljan,13,1,,,2734.0,
247,T247,T247,John Peterson,3,1,,,2734.0,
248,249,249,Matt Bettencourt,5,1,,,2734.0,
