,FedExCup_Standings_RANK THIS WEEK,FedExCup_Standings_RANK LAST WEEK,FedExCup_Standings_PLAYER NAME,FedExCup_Standings_EVENTS,FedExCup_Standings_POINTS,FedExCup_Standings_# OF WINS,FedExCup_Standings_# OF TOP 10'S,FedExCup_Standings_POINTS BEHIND LEAD,FedExCup_Standings_RESET POINTS
207,208,208,Tom Gillis,12,72,,,5497.0,
208,209,209,Michael Bradley,8,62,,,5507.0,
209,210,210,Marc Turnesa,10,62,,,5507.0,
210,211,211,John Rollins,9,62,,,5507.0,
211,212,212,Brendon Todd,29,60,,,5509.0,
212,213,213,Ryo Ishikawa,6,55,,,5514.0,
213,214,214,Carl Pettersson,22,48,,,5521.0,
214,215,215,Cameron Beckman,12,45,,,5524.0,
215,216,216,Bernhard Langer,2,45,,,5524.0,
216,217,217,Darron Stiles,17,44,,,5525.0,
217,218,218,Eric Axley,7,41,,,5528.0,
218,219,219,Billy Mayfair,7,40,,,5529.0,
219,220,220,Darren Clarke,4,39,,,5530.0,
220,221,221,Ted Purdy,9,38,,,5531.0,
221,222,222,Pat Perez,11,34,,,5535.0,
222,223,223,Michael Putnam,7,30,,,5539.0,
223,T224,T224,Frank Lickliter II,9,28,,,5541.0,
224,T224,T224,Shaun Micheel,3,28,,,5541.0,
225,226,226,Troy Matteson,3,26,,,5543.0,
226,227,227,Rocco Mediate,2,26,,,5543.0,
227,228,228,Charlie Wi,5,26,,,5543.0,
228,229,229,Fred Funk,4,26,,,5543.0,
229,230,230,Brian Davis,9,23,,,5546.0,
230,231,231,Ben Curtis,5,22,,,5547.0,
231,232,232,Arjun Atwal,6,21,,,5548.0,
232,233,233,Steve Flesch,6,19,,,5550.0,
233,234,234,Larry Mize,1,19,,,5550.0,
234,235,235,Bo Van Pelt,5,18,,,5551.0,
235,236,236,Jarrod Lyle,10,10,,,5559.0,
236,237,237,Omar Uresti,4,10,,,5559.0,
237,238,238,Robert Allenby,23,9,,,5560.0,
238,239,239,Trevor Immelman,11,7,,,5562.0,
239,240,240,Mark O'Meara,2,7,,,5562.0,
240,241,241,Kent Jones,1,3,,,5566.0,
241,242,242,Mark Hensby,5,2,,,5567.0,
242,243,243,Tim Petrovic,7,2,,,5567.0,
243,244,244,Marco Dawson,1,2,,,5567.0,
244,245,245,Tommy Gainey,4,1,,,5568.0,
245,246,246,Rich Beem,1,1,,,5568.0,
246,T247,T247,Charlie Beljan,13,1,,,5568.0,
247,T247,T247,John Peterson,3,1,,,5568.0,
248,249,249,Matt Bettencourt,5,1,,,5568.0,
