,FedExCup_Playoffs_Points_RANK THIS WEEK,FedExCup_Playoffs_Points_RANK LAST WEEK,FedExCup_Playoffs_Points_PLAYER NAME,FedExCup_Playoffs_Points_EVENTS,FedExCup_Playoffs_Points_POINTS,FedExCup_Playoffs_Points_# OF WINS,FedExCup_Playoffs_Points_# OF TOP 10'S,FedExCup_Playoffs_Points_POINTS BEHIND LEAD,FedExCup_Playoffs_Points_RESET POINTS
43,44,44,Kevin Sutherland,25,1276,,2.0,5920.0,
44,45,45,John Rollins,24,1266,1.0,4.0,5930.0,
45,46,46,Pat Perez,21,1233,1.0,2.0,5963.0,
46,47,47,Ryan Moore,24,1215,1.0,4.0,5981.0,
47,48,48,Jason Day,18,1213,,2.0,5983.0,
48,49,49,Charles Howell III,26,1202,,3.0,5994.0,
49,50,50,Bo Van Pelt,26,1195,1.0,4.0,6001.0,
50,51,51,Davis Love III,24,1166,,2.0,6030.0,
51,52,52,Paul Casey,12,1161,1.0,3.0,6035.0,
52,53,53,Bubba Watson,23,1140,,2.0,6056.0,
53,54,54,Paul Goydos,22,1120,,4.0,6076.0,
54,55,55,Stephen Ames,20,1102,,4.0,6094.0,
55,56,56,Charlie Wi,25,1101,,3.0,6095.0,
56,57,57,Freddie Jacobson,21,1087,,3.0,6109.0,
57,58,58,Brian Davis,28,1045,,3.0,6151.0,
58,59,59,Chad Campbell,24,1043,,2.0,6153.0,
59,60,60,John Mallinger,24,1037,,4.0,6159.0,
60,61,61,Ben Crane,23,996,,4.0,6200.0,
61,62,62,Webb Simpson,26,986,,3.0,6210.0,
62,63,63,Nathan Green,27,910,1.0,1.0,6286.0,
63,64,64,Bryce Molder,19,894,,2.0,6302.0,
64,65,65,Woody Austin,22,892,,3.0,6304.0,
65,66,66,Jonathan Byrd,21,888,,2.0,6308.0,
66,67,67,Jeff Overton,24,880,,3.0,6316.0,
67,68,68,Jason Bohn,22,876,,2.0,6320.0,
68,69,69,J.B. Holmes,23,843,,2.0,6353.0,
69,70,70,Bob Estes,23,824,,2.0,6372.0,
70,71,71,Brett Quigley,25,812,,3.0,6384.0,
71,72,72,D.A. Points,25,808,,3.0,6388.0,
72,73,73,Boo Weekley,22,802,,1.0,6394.0,
73,74,74,Mathew Goggin,23,782,,3.0,6414.0,
74,75,75,John Merrick,24,762,,4.0,6434.0,
75,76,76,Kevin Streelman,25,758,,2.0,6438.0,
76,77,77,Greg Owen,26,756,,1.0,6440.0,
77,78,78,Troy Matteson,27,754,,,6442.0,
78,79,79,Lee Janzen,22,738,,2.0,6458.0,
79,80,80,Briny Baird,25,733,,3.0,6463.0,
80,81,81,Vijay Singh,21,719,,3.0,6477.0,
81,82,82,Scott McCarron,25,719,,3.0,6477.0,
82,83,83,J.J. Henry,26,709,,3.0,6487.0,
83,84,84,Fred Couples,15,709,,4.0,6487.0,
84,85,85,Justin Rose,20,704,,1.0,6492.0,
85,86,86,Michael Letzig,24,697,,2.0,6499.0,
86,87,87,Greg Chalmers,23,696,,2.0,6500.0,
87,88,88,Scott Piercy,25,683,,2.0,6513.0,
88,89,89,Tim Petrovic,27,655,,4.0,6541.0,
89,90,90,Jeff Klauk,25,645,,2.0,6551.0,
90,91,91,Richard Johnson,22,599,,2.0,6597.0,
91,92,92,Rod Pampling,22,592,,2.0,6604.0,
92,93,93,Ted Purdy,26,580,,1.0,6616.0,
93,94,94,James Nitties,25,560,,2.0,6636.0,
94,95,95,Kevin Stadler,19,557,,1.0,6639.0,
95,96,96,D.J. Trahan,26,549,,2.0,6647.0,
96,97,97,Daniel Chopra,25,549,,2.0,6647.0,
97,98,98,Cameron Beckman,22,521,,2.0,6675.0,
98,99,99,Nick O'Hern,23,512,,1.0,6684.0,
99,100,100,Ryuji Imada,23,504,,,6692.0,
100,101,101,K.J. Choi,21,492,,1.0,6704.0,
101,102,102,Ben Curtis,17,491,,1.0,6705.0,
102,103,103,Chris Riley,18,489,,1.0,6707.0,
103,104,104,Harrison Frazar,24,483,,,6713.0,
104,105,105,George McNeill,22,480,,1.0,6716.0,
105,106,106,Matt Bettencourt,27,463,,2.0,6733.0,
106,107,107,Bill Lunde,24,444,,1.0,6752.0,
107,108,108,Michael Allen,19,440,,1.0,6756.0,
108,109,109,Robert Garrigus,21,433,,1.0,6763.0,
109,110,110,Adam Scott,18,432,,1.0,6764.0,
110,111,111,Aaron Baddeley,20,431,,2.0,6765.0,
111,112,112,James Driscoll,17,428,,1.0,6768.0,
112,113,113,Jeff Quinney,22,425,,2.0,6771.0,
113,114,114,Tim Herron,23,421,,,6775.0,
114,115,115,Vaughn Taylor,25,416,,1.0,6780.0,
115,116,116,Alex Cejka,22,416,,2.0,6780.0,
116,117,117,Mark Calcavecchia,19,411,,3.0,6785.0,
117,118,118,Chris DiMarco,25,391,,,6805.0,
118,119,119,Steve Flesch,23,389,,2.0,6807.0,
119,120,120,Chris Stroud,25,379,,1.0,6817.0,
120,121,121,Joe Ogilvie,25,377,,1.0,6819.0,
121,122,122,David Mathis,23,377,,,6819.0,
122,123,123,Todd Hamilton,25,369,,1.0,6827.0,
123,124,124,Roland Thatcher,12,364,,2.0,6832.0,
124,125,125,Jeff Maggert,24,363,,2.0,6833.0,
125,126,126,Matt Jones,14,353,,2.0,6843.0,
126,127,127,Ken Duke,25,352,,,6844.0,
127,128,128,Rich Beem,22,347,,1.0,6849.0,
128,129,129,Corey Pavin,21,334,,,6862.0,
129,130,130,Tom Watson,2,330,,1.0,6866.0,
130,131,131,Charles Warren,18,330,,,6866.0,
131,132,132,Andres Romero,17,329,,1.0,6867.0,
132,133,133,Rocco Mediate,18,327,,1.0,6869.0,
133,134,134,Ryan Palmer,23,324,,1.0,6872.0,
134,135,135,Cliff Kresge,24,319,,1.0,6877.0,
135,136,136,Aron Price,23,317,,1.0,6879.0,
136,137,137,Brendon de Jonge,25,315,,2.0,6881.0,
137,138,138,Nicholas Thompson,27,315,,,6881.0,
138,139,139,Michael Bradley,14,306,1.0,1.0,6890.0,
139,140,140,Tommy Armour III,15,302,,1.0,6894.0,
140,141,141,Stuart Appleby,22,302,,1.0,6894.0,
141,142,142,Ricky Barnes,19,300,,1.0,6896.0,
142,143,143,Spencer Levin,21,295,,1.0,6901.0,
143,144,144,Will MacKenzie,20,292,,2.0,6904.0,
144,145,145,Dean Wilson,25,291,,,6905.0,
145,146,146,Martin Laird,21,289,,1.0,6907.0,
146,147,147,Tom Lehman,14,285,,1.0,6911.0,
147,148,148,Jimmy Walker,20,284,,1.0,6912.0,
148,149,149,David Duval,18,274,,1.0,6922.0,
149,150,150,Glen Day,22,273,,,6923.0,
